"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018043024","21","4","","250","120","200","180","","10","169","149","10166","10158","0","88","7","7","3","7","","","","","","","","",""
"2018050101","5","3","","160","60","80","70","","41","162","143","10162","10154","","89","7","7","2","7","","","","","","","","",""
"2018050102","5","4","","140","100","140","90","","10","160","142","10163","10155","","89","7","7","2","7","","","","","","","","",""
"2018050103","15","3","","170","120","90","38","","41","162","144","10162","10154","","89","7","7","4","7","","","","","","","","",""
"2018050104","8","3","","300","","","","","10","166","147","10159","10151","","89","7","7","4","7","","","","","","","","",""
"2018050105","12","3","","300","","","","","10","168","147","10161","10153","","88","7","7","4","7","","","","","","","","",""
"2018050106","12","3","","270","","","","","10","165","146","10152","10144","","88","7","7","10","7","","","","","","","","",""
"2018050107","33","2","","420","","","","","10","173","151","10153","10145","","87","7","7","10","7","","","","","","","","",""
"2018050108","2","2","","350","","","","","10","175","149","10152","10144","","85","7","7","10","7","","","","","","","","",""
"2018050109","3","2","","420","","","","","10","188","149","10155","10147","","78","7","7","10","7","","","","","","","","",""
"2018050110","35","5","","500","","","","","10","196","149","10154","10146","","75","7","3","10","7","7","30","6","","","","","",""
"2018050111","33","6","","600","","","","","10","196","148","10158","10150","","74","7","2","15","7","4","30","6","7","120","3","","",""
"2018050112","34","8","","600","","","","","10","198","146","10153","10145","","72","7","4","30","6","7","120","3","","","","","",""
"2018050113","33","11","","600","","","","","10","205","143","10145","10137","","68","7","4","35","6","7","120","3","","","","","",""
"2018050114","32","10","","600","","","","","10","203","141","10140","10132","","68","7","4","40","6","7","120","3","","","","","",""
"2018050115","33","8","","800","","","","","5","204","145","10129","10121","","69","7","4","40","6","7","120","3","","","","","",""
"2018050116","31","6","","800","","","","","5","201","143","10124","10116","","69","8","4","40","6","8","120","4","","","","","",""
"2018050117","33","5","","800","","","","","10","186","138","10121","10113","","74","8","4","40","6","8","120","4","","","","","",""
"2018050118","31","3","","1000","","","","","","192","140","10119","10111","","72","8","4","40","6","8","120","4","","","","","",""
"2018050119","25","3","","1000","","","","","","183","138","10118","10110","","75","8","4","40","6","8","120","4","","","","","",""
"2018050120","34","3","","1000","","","","","","174","131","10125","10117","","76","8","4","40","6","8","120","4","","","","","",""
"2018050121","10","1","","1000","","","","","","169","136","10122","10114","","81","8","4","40","6","8","120","4","","","","","",""
"2018050122","16","9","","500","","","","","60","157","134","10117","10109","0","86","8","4","30","6","8","80","4","","","","","",""
"2018050123","34","4","","500","","","","","10","164","136","10114","10106","0","83","8","4","30","6","8","80","4","","","","","",""
"2018050124","33","8","","600","","","","","10","152","129","10113","10105","","86","8","4","30","6","8","120","4","","","","","",""
"2018050201","31","5","","600","","","","","60","159","133","10110","10102","0","84","8","4","30","6","8","120","4","","","","","",""
"2018050202","1","2","","420","","","","","60","162","137","10097","10089","0","85","8","4","30","6","8","120","4","","","","","",""
"2018050203","5","4","","400","","","","","10","167","141","10089","10081","0","85","8","5","25","6","8","100","4","","","","","",""
"2018050204","15","4","","300","","","","","61","164","140","10083","10075","20","86","8","5","25","6","8","100","4","","","","","",""
"2018050205","5","4","","400","","","","","10","169","143","10072","10064","5","85","8","5","25","6","8","100","4","","","","","",""
"2018050206","13","3","","300","","","","","10","169","144","10068","10060","","85","8","5","25","6","8","100","4","","","","","",""
"2018050207","33","1","","250","","","","","60","172","148","10065","10057","0","86","8","5","25","6","8","100","4","","","","","",""
"2018050208","16","4","","180","","","","","61","169","146","10060","10052","10","86","8","2","10","7","5","25","6","8","100","4","","",""
"2018050209","7","2","","180","","","","","60","175","151","10059","10051","0","86","8","2","10","7","5","25","6","8","100","4","","",""
"2018050210","14","3","","130","170","180","120","","60","173","150","10053","10045","5","87","8","3","10","7","5","25","6","8","100","4","","",""
"2018050211","25","8","","180","","","","","61","156","135","10049","10041","0","88","8","3","10","7","5","25","6","8","100","4","","",""
"2018050212","32","5","","200","","","","","10","165","143","10044","10036","0","87","8","3","4","7","5","25","6","8","100","4","","",""
"2018050213","28","8","","500","","","","","10","152","128","10037","10029","","86","8","2","5","7","5","25","6","8","100","4","","",""
"2018050214","25","9","","140","200","170","75","","10","132","112","10027","10019","","88","8","4","1","7","6","25","6","8","100","4","","",""
"2018050215","26","17","","170","","","","","10","112","93","10026","10018","0","88","8","4","2","7","6","25","6","8","100","4","","",""
"2018050216","27","13","","800","","","","","10","124","94","10023","10015","","82","8","2","8","7","5","30","6","8","120","4","","",""
"2018050217","30","19","","1000","","","","","","130","93","10022","10014","","79","8","2","8","7","5","30","6","8","120","4","","",""
"2018050218","30","17","","1000","","","","","","121","83","10028","10020","","77","8","5","25","6","8","120","4","","","","","",""
"2018050219","30","20","","1000","","","","","","117","71","10039","10031","","73","8","4","30","6","8","120","4","","","","","",""
"2018050220","31","20","","1000","","","","","","117","58","10047","10039","","67","8","4","25","6","8","120","4","","","","","",""
"2018050221","32","18","","1000","","","","","","115","53","10060","10052","","66","8","4","30","6","8","120","4","","","","","",""
"2018050222","33","19","","1000","","","","","","112","48","10070","10062","","65","6","3","30","6","6","120","3","","","","","",""
"2018050223","34","13","","1000","","","","","","105","45","10077","10069","","67","4","2","30","6","4","120","3","","","","","",""
