"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018073124","32","5","","1000","","","","","","284","230","10041","10033","","73","0","","","","","","","","","","","",""
"2018080101","36","2","","1000","","","","","","283","228","10040","10032","","72","0","","","","","","","","","","","",""
"2018080102","6","2","","1000","","","","","","284","227","10038","10030","","71","0","","","","","","","","","","","",""
"2018080103","6","1","","1000","","","","","","285","228","10040","10032","","71","0","","","","","","","","","","","",""
"2018080104","5","3","","1000","","","","","","280","232","10037","10029","","75","0","","","","","","","","","","","",""
"2018080105","35","2","","1000","","","","","","276","229","10039","10031","","75","0","","","","","","","","","","","",""
"2018080106","13","1","","1000","","","","","","280","231","10039","10031","","75","0","","","","","","","","","","","",""
"2018080107","4","4","","1000","","","","","","289","229","10040","10032","","70","0","","","","","","","","","","","",""
"2018080108","5","6","","1000","","","","","","304","225","10042","10034","","63","0","","","","","","","","","","","",""
"2018080109","4","6","","1000","","","","","","315","225","10044","10037","","59","0","","","","","","","","","","","",""
"2018080110","3","6","","1000","","","","","","330","221","10042","10035","","53","0","","","","","","","","","","","",""
"2018080111","34","5","","1000","","","","","","339","219","10039","10032","","50","0","","","","","","","","","","","",""
"2018080112","29","8","","1000","","","","","","347","198","10038","10031","","42","0","","","","","","","","","","","",""
"2018080113","29","9","","1000","","","","","","346","202","10035","10028","","43","0","","","","","","","","","","","",""
"2018080114","30","10","","1000","","","","","","348","213","10029","10022","","45","0","","","","","","","","","","","",""
"2018080115","29","11","","1000","","","","","","348","205","10027","10020","","43","0","","","","","","","","","","","",""
"2018080116","29","12","","1000","","","","","","339","208","10026","10019","","46","0","","","","","","","","","","","",""
"2018080117","29","13","","1000","","","","","","331","207","10026","10019","","48","0","","","","","","","","","","","",""
"2018080118","29","11","","1000","","","","","","316","202","10025","10018","","51","0","","","","","","","","","","","",""
"2018080119","30","9","","1000","","","","","","298","204","10029","10021","","57","0","","","","","","","","","","","",""
"2018080120","30","5","","1000","","","","","","289","208","10033","10025","","62","2","2","200","0","","","","","","","","",""
"2018080121","29","5","","1000","","","","","","285","217","10038","10030","","67","2","2","200","0","","","","","","","","",""
"2018080122","29","4","","1000","","","","","","288","221","10040","10032","","67","0","","","","","","","","","","","",""
"2018080123","35","2","","1000","","","","","","285","225","10042","10034","","70","0","","","","","","","","","","","",""
"2018080124","34","2","","1000","","","","","","293","221","10045","10037","","65","0","","","","","","","","","","","",""
"2018080201","1","2","","1000","","","","","","297","226","10042","10034","","66","0","","","","","","","","","","","",""
"2018080202","6","2","","1000","","","","","","294","228","10042","10034","","68","0","","","","","","","","","","","",""
"2018080203","15","7","","1000","","","","","","273","223","10047","10039","","74","0","","","","","","","","","","","",""
"2018080204","15","2","","1000","","","","","","273","218","10047","10039","","72","0","","","","","","","","","","","",""
"2018080205","4","2","","1000","","","","","","272","215","10052","10044","","71","0","","","","","","","","","","","",""
"2018080206","15","4","","1000","","","","","","270","219","10056","10048","","74","0","","","","","","","","","","","",""
"2018080207","15","7","","1000","","","","","","281","224","10059","10051","","71","0","","","","","","","","","","","",""
"2018080208","15","9","","1000","","","","","","303","219","10062","10054","","61","0","","","","","","","","","","","",""
"2018080209","16","9","","1000","","","","","","308","210","10065","10057","","56","3","1","50","6","3","180","0","","","","","",""
"2018080210","15","9","","1000","","","","","","327","210","10066","10059","","50","1","1","180","0","","","","","","","","",""
"2018080211","19","7","","1000","","","","","","331","201","10066","10059","","47","1","1","180","0","","","","","","","","",""
"2018080212","21","10","","1000","","","","","","339","193","10063","10056","","42","1","1","180","0","","","","","","","","",""
"2018080213","21","8","","1000","","","","","","347","180","10061","10054","","37","1","1","180","0","","","","","","","","",""
"2018080214","23","10","","1000","","","","","","349","178","10059","10052","","36","1","1","180","0","","","","","","","","",""
"2018080215","28","10","","1000","","","","","","343","188","10055","10048","","40","0","","","","","","","","","","","",""
"2018080216","29","9","","1000","","","","","","345","182","10053","10046","","38","0","","","","","","","","","","","",""
"2018080217","31","6","","1000","","","","","","333","205","10051","10044","","47","0","","","","","","","","","","","",""
"2018080218","31","6","","1000","","","","","","323","218","10049","10042","","54","0","","","","","","","","","","","",""
"2018080219","30","4","","1000","","","","","","310","224","10050","10042","","60","3","3","180","0","","","","","","","","",""
"2018080220","29","6","","1000","","","","","","297","227","10055","10047","","66","3","3","180","0","","","","","","","","",""
"2018080221","29","4","","1000","","","","","","287","232","10061","10053","","72","3","3","180","0","","","","","","","","",""
"2018080222","32","3","","1000","","","","","","291","238","10062","10054","","73","3","3","180","0","","","","","","","","",""
"2018080223","32","4","","700","","","","","10","284","237","10061","10053","","76","0","","","","","","","","","","","",""
"2018080224","32","4","","1000","","","","","","284","237","10061","10053","","76","3","3","180","0","","","","","","","","",""
"2018080301","31","1","","800","","","","","5","294","238","10059","10051","","72","0","","","","","","","","","","","",""
