"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2020083124","14","13","","1000","","","","","21","250","210","10112","10104","0","79","6","5","40","6","6","70","4","","","","","",""
"2020090101","14","13","","1000","","","","","","259","200","10109","10101","","70","5","5","45","6","","","","","","","","",""
"2020090102","14","13","","1000","","","","","","254","198","10104","10096","","71","3","3","50","6","","","","","","","","",""
"2020090103","15","12","","1000","","","","","","248","193","10102","10094","","72","4","4","30","6","","","","","","","","",""
"2020090104","14","12","","1000","","","","","","248","188","10101","10093","","69","5","5","40","6","","","","","","","","",""
"2020090105","14","11","","1000","","","","","","247","183","10097","10089","","68","5","5","25","6","","","","","","","","",""
"2020090106","15","9","","1000","","","","","","245","178","10095","10087","","66","5","5","25","6","","","","","","","","",""
"2020090107","15","9","","1000","","","","","","247","174","10096","10088","","64","3","3","25","6","","","","","","","","",""
"2020090108","14","10","","1000","","","","","","252","180","10099","10091","","65","4","3","25","6","4","150","3","","","","","",""
"2020090109","15","14","","1000","","","","","","253","175","10102","10094","","62","5","4","25","6","5","150","3","","","","","",""
"2020090110","15","13","","1000","","","","","","258","177","10104","10096","","61","5","5","25","6","","","","","","","","",""
"2020090111","13","12","","1000","","","","","","260","177","10102","10094","","60","6","4","30","6","6","65","3","","","","","",""
"2020090112","14","12","","1000","","","","","","271","180","10094","10086","","57","5","3","30","6","5","70","3","","","","","",""
"2020090113","15","8","","1000","","","","","","280","187","10088","10080","","57","4","2","30","6","4","70","3","","","","","",""
"2020090114","18","8","","1000","","","","","","283","191","10084","10076","","57","4","4","70","3","","","","","","","","",""
"2020090115","22","4","","1000","","","","","","288","189","10078","10070","","55","4","1","30","6","4","70","3","","","","","",""
"2020090116","29","8","","1000","","","","","","287","202","10077","10069","","60","6","1","30","6","6","80","3","","","","","",""
"2020090117","29","7","","1000","","","","","","275","199","10079","10071","","63","7","1","45","6","7","80","3","","","","","",""
"2020090118","31","6","","1000","","","","","","276","204","10080","10072","","65","6","6","90","3","","","","","","","","",""
"2020090119","30","7","","1000","","","","","","259","203","10079","10071","","71","6","3","40","6","6","80","3","","","","","",""
"2020090120","33","6","","1000","","","","","","252","212","10079","10071","","","5","2","40","6","5","100","3","","","","","",""
