"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2020053124","25","8","","1000","","","","","","171","143","10110","10102","","84","8","2","12","7","5","20","6","8","80","4","","",""
"2020060101","25","11","","800","","","","","10","165","143","10110","10102","","87","8","3","3","7","5","20","6","8","80","4","","",""
"2020060102","25","10","","250","","","","","10","160","143","10104","10096","","90","8","3","1","7","6","20","6","8","80","4","","",""
"2020060103","26","10","23","500","","","","","10","161","143","10105","10097","","89","8","3","2","7","6","20","6","8","80","4","","",""
"2020060104","25","10","","350","","","","","10","160","142","10104","10096","","89","8","3","2","7","6","20","6","8","80","4","","",""
"2020060105","27","10","","300","","","","","10","157","142","10103","10095","","91","8","6","1","7","8","20","6","","","","","",""
"2020060106","24","7","","500","","","","","10","157","139","10103","10095","","89","5","5","3","7","","","","","","","","",""
"2020060107","24","9","","1000","","","","","","165","140","10101","10093","","85","3","3","5","7","","","","","","","","",""
"2020060108","28","11","","1000","","","","","","182","132","10107","10099","","73","1","1","5","7","","","","","","","","",""
"2020060109","27","8","","1000","","","","","","189","134","10110","10102","","71","1","1","12","7","","","","","","","","",""
"2020060110","26","8","","1000","","","","","","200","139","10106","10098","","68","0","","","","","","","","","","","",""
"2020060111","28","13","","1000","","","","","","196","129","10107","10099","","65","0","","","","","","","","","","","",""
"2020060112","26","13","","1000","","","","","","208","112","10107","10099","","54","0","","","","","","","","","","","",""
"2020060113","26","16","","1000","","","","","","218","94","10101","10093","","45","0","","","","","","","","","","","",""
"2020060114","25","15","","1000","","","","","","212","100","10100","10092","","49","1","1","200","0","","","","","","","","",""
"2020060115","25","17","","1000","","","","","","217","113","10096","10088","","52","3","3","200","0","","","","","","","","",""
"2020060116","25","15","","1000","","","","","","209","113","10094","10086","","54","3","3","200","0","","","","","","","","",""
"2020060117","25","13","","1000","","","","","","203","109","10094","10086","","55","1","1","200","0","","","","","","","","",""
"2020060118","25","13","","1000","","","","","","195","104","10089","10081","","56","0","","","","","","","","","","","",""
"2020060119","25","11","","1000","","","","","","187","95","10094","10086","","55","0","","","","","","","","","","","",""
"2020060120","25","14","","1000","","","","","","170","115","10100","10092","","70","2","2","200","0","","","","","","","","",""
"2020060121","26","11","","1000","","","","","","155","125","10100","10092","","83","3","3","200","0","","","","","","","","",""
"2020060122","23","5","","1000","","","","","","151","124","10107","10099","","84","5","5","200","0","","","","","","","","",""
"2020060123","25","2","","1000","","","","","","141","119","10108","10100","","86","5","3","5","7","5","200","0","","","","","",""
"2020060124","27","4","","700","","","","","10","138","119","10105","10097","","88","7","5","3","7","7","200","0","","","","","",""
"2020060201","18","4","","900","","","","","10","133","115","10103","10095","","89","6","4","5","7","6","200","0","","","","","",""
"2020060202","17","8","","900","","","","","10","127","108","10101","10093","","88","5","3","3","7","5","200","0","","","","","",""
"2020060203","16","6","","250","","","","","10","126","110","10102","10094","","90","7","7","2","7","","","","","","","","",""
"2020060204","15","7","","250","","","","","10","131","114","10092","10084","","90","7","7","4","7","","","","","","","","",""
"2020060205","9","3","","300","","","","","10","138","122","10089","10081","","90","7","2","4","7","7","180","0","","","","","",""
"2020060206","15","5","","300","","","","","10","147","128","10101","10093","","88","7","2","4","7","7","150","4","","","","","",""
"2020060207","16","8","","300","","","","","10","153","127","10102","10094","","85","8","1","30","6","8","100","4","","","","","",""
"2020060208","20","3","","380","","","","","10","158","134","10112","10104","","86","8","1","6","7","8","100","4","","","","","",""
"2020060209","34","3","","450","","","","","10","160","129","10109","10101","","82","8","1","6","7","3","50","6","8","70","4","","",""
"2020060210","27","9","","400","","","","","61","151","128","10118","10110","0","86","8","3","6","7","5","40","6","8","70","5","","",""
"2020060211","12","7","","600","","","","","63","144","111","10092","10084","30","81","8","3","25","6","8","70","5","","","","","",""
"2020060212","16","22","","1000","","","","","21","156","106","10062","10054","5","72","7","3","25","6","7","70","4","","","","","",""
"2020060213","17","16","","1000","","","","","","182","101","10056","10048","","59","7","1","20","6","7","200","0","","","","","",""
"2020060214","17","22","","1000","","","","","","191","122","10056","10048","","64","7","1","30","6","5","70","3","7","200","0","","",""
"2020060215","17","18","","1000","","","","","","197","89","10052","10044","","50","7","1","30","6","5","70","3","7","200","0","","",""
"2020060216","18","9","","1000","","","","","","198","99","10055","10047","","53","6","6","40","6","","","","","","","","",""
"2020060217","22","8","","1000","","","","","","194","108","10055","10047","","57","8","6","30","6","8","80","4","","","","","",""
"2020060218","26","4","","1000","","","","","","189","106","10054","10046","","59","8","6","25","6","8","80","4","","","","","",""
"2020060219","23","11","","1000","","","","","","186","100","10055","10047","","57","8","3","15","7","6","40","6","8","80","4","","",""
"2020060220","23","9","","1000","","","","","","182","113","10057","10049","","64","8","5","11","7","8","40","6","","","","","",""
"2020060221","22","10","","1000","","","","","","178","125","10060","10052","","71","8","5","13","7","8","40","6","","","","","",""
"2020060222","23","9","","1000","","","","","","174","133","10063","10055","","77","8","5","8","7","8","40","6","","","","","",""
"2020060223","24","8","","700","","","","","10","166","140","10062","10054","","85","8","3","4","7","8","25","6","","","","","",""
"2020060224","20","4","","320","","","","","41","166","148","10059","10051","","89","8","7","2","7","8","20","6","","","","","",""
"2020060301","23","5","","240","","","","","41","166","150","10057","10049","","90","8","8","1","7","","","","","","","","",""
"2020060302","20","4","","50","190","170","60","","47","163","148","10057","10049","","91","8","9","1","10","","","","","","","","",""
"2020060303","23","5","","20","75","80","100","","47","165","151","10056","10048","","91","8","9","1","10","","","","","","","","",""
"2020060304","24","1","","140","200","200","200","","41","165","151","10056","10048","","92","8","8","2","7","","","","","","","","",""
"2020060305","10","4","","210","100","150","200","","41","165","151","10052","10044","","92","8","8","2","7","","","","","","","","",""
"2020060306","11","4","","180","","","","","10","168","155","10050","10042","","92","8","8","1","7","","","","","","","","",""
"2020060307","13","5","","400","","","","","10","172","157","10050","10042","","91","8","8","1","7","","","","","","","","",""
"2020060308","11","5","","500","","","","","10","180","157","10053","10045","","87","8","8","5","7","","","","","","","","",""
"2020060309","17","3","","600","","","","","10","200","155","10058","10050","","75","7","5","10","7","7","20","6","","","","","",""
