"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2020043024","21","7","","1000","","","","","","154","122","10144","10136","","81","7","7","12","7","","","","","","","","",""
"2020050101","19","7","","1000","","","","","","153","122","10144","10136","","82","7","7","12","7","","","","","","","","",""
"2020050102","18","9","","1000","","","","","","152","124","10140","10132","","83","7","7","12","7","","","","","","","","",""
"2020050103","19","9","","800","","","","","10","154","129","10138","10130","","85","7","7","8","7","","","","","","","","",""
"2020050104","19","9","","700","","","","","10","154","131","10138","10130","","86","7","7","7","7","","","","","","","","",""
"2020050105","18","11","","600","","","","","10","151","131","10138","10130","","88","7","7","7","7","","","","","","","","",""
"2020050106","15","4","","600","","","","","10","152","129","10139","10131","","86","7","7","7","7","","","","","","","","",""
"2020050107","16","4","","600","","","","","10","155","132","10142","10134","","86","7","7","10","7","","","","","","","","",""
"2020050108","18","5","","800","","","","","10","160","133","10144","10136","","84","7","7","10","7","","","","","","","","",""
"2020050109","18","8","","800","","","","","10","165","134","10144","10136","","82","7","7","10","7","","","","","","","","",""
"2020050110","18","9","","800","","","","","10","170","134","10146","10138","","79","7","7","9","7","","","","","","","","",""
"2020050111","19","11","","900","","","","","10","191","144","10144","10136","","74","7","7","12","7","","","","","","","","",""
"2020050112","19","11","","900","","","","","10","196","142","10142","10134","","71","7","7","17","7","","","","","","","","",""
"2020050113","21","13","","900","","","","","10","208","147","10131","10123","","68","5","5","18","7","","","","","","","","",""
"2020050114","21","13","","1000","","","","","","211","150","10127","10119","","68","6","6","15","7","","","","","","","","",""
"2020050115","21","10","","900","","","","","5","206","150","10123","10115","","70","6","6","14","7","","","","","","","","",""
"2020050116","23","10","","900","","","","","5","196","147","10119","10111","","73","7","7","12","7","","","","","","","","",""
"2020050117","22","10","","800","","","","","5","187","148","10119","10111","","78","7","7","10","7","","","","","","","","",""
