"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018063024","5","5","","1000","","","","","","238","197","10106","10098","","78","7","2","30","6","5","120","3","7","180","0","","",""
"2018070101","5","5","","1000","","","","","","237","196","10106","10098","","78","7","2","30","6","5","120","3","7","180","0","","",""
"2018070102","6","3","","1000","","","","","","234","195","10105","10097","","79","7","2","30","6","5","120","3","7","180","0","","",""
"2018070103","6","3","","1000","","","","","","233","198","10104","10096","","81","7","3","30","6","6","120","3","7","180","0","","",""
"2018070104","11","4","","1000","","","","","","241","193","10098","10090","","75","8","5","30","6","8","100","4","","","","","",""
"2018070105","14","8","","600","","","","","60","230","199","10100","10092","0","83","8","5","30","6","8","100","4","","","","","",""
"2018070106","10","4","","700","","","","","61","225","198","10095","10087","5","85","8","5","30","6","8","100","4","","","","","",""
"2018070107","12","5","","700","","","","","61","226","187","10099","10091","0","79","8","5","30","6","8","100","4","","","","","",""
"2018070108","10","4","","1000","","","","","61","230","188","10098","10090","0","77","8","5","30","6","8","100","4","","","","","",""
"2018070109","10","7","","700","","","","","63","216","189","10093","10085","25","85","8","2","5","7","6","30","6","8","80","5","","",""
"2018070110","8","4","","600","","","","","63","213","189","10091","10083","40","86","8","2","5","7","6","25","6","8","80","5","","",""
"2018070111","9","8","","700","","","","","63","216","192","10083","10075","25","86","8","2","5","7","5","30","6","8","80","5","","",""
"2018070112","11","10","","1000","","","","","61","218","191","10075","10067","25","85","8","2","10","7","5","40","6","8","90","5","","",""
"2018070113","11","10","","1000","","","","","61","219","193","10068","10060","15","85","8","2","5","7","5","40","6","8","90","5","","",""
"2018070114","14","13","","700","","","","","63","220","197","10072","10064","30","87","8","2","5","7","6","30","6","8","80","5","","",""
"2018070115","13","10","","700","","","","","63","222","200","10071","10063","30","87","8","3","5","7","6","25","6","8","80","5","","",""
"2018070116","14","12","","700","","","","","61","222","201","10073","10065","20","88","8","3","7","7","6","25","6","8","80","5","","",""
"2018070117","16","14","","420","","","","","63","216","196","10073","10065","55","89","8","3","4","7","6","25","6","8","80","5","","",""
"2018070118","15","11","","500","","","","","63","216","196","10077","10069","35","89","8","3","4","7","6","25","6","8","80","5","","",""
"2018070119","14","13","","700","","","","","63","216","196","10082","10074","40","89","8","2","4","7","6","25","6","8","80","5","","",""
"2018070120","14","12","","800","","","","","63","216","196","10080","10072","25","88","8","2","7","7","6","40","6","8","80","5","","",""
"2018070121","14","15","","600","","","","","63","215","195","10082","10074","30","89","8","3","5","7","6","30","6","8","80","5","","",""
"2018070122","14","15","","600","","","","","63","215","196","10087","10079","45","89","8","3","5","7","6","30","6","8","80","5","","",""
"2018070123","14","14","","600","","","","","63","215","195","10086","10078","40","88","8","3","5","7","6","30","6","8","80","5","","",""
"2018070124","14","13","","600","","","","","63","213","194","10083","10075","20","89","8","3","5","7","6","30","6","8","80","5","","",""
"2018070201","14","12","","600","","","","","61","212","193","10070","10062","15","89","8","3","5","7","6","30","6","8","80","5","","",""
"2018070202","14","14","","600","","","","","61","210","191","10076","10068","35","89","8","3","5","7","6","30","6","8","80","5","","",""
"2018070203","15","14","","800","","","","","63","208","189","10074","10066","25","89","8","3","5","7","6","30","6","8","80","5","","",""
"2018070204","13","8","","1000","","","","","61","209","187","10062","10054","5","87","8","2","8","7","6","25","6","8","80","5","","",""
"2018070205","12","8","","1000","","","","","61","210","186","10058","10050","0","86","8","2","10","7","6","30","6","8","80","5","","",""
"2018070206","12","9","","800","","","","","61","211","187","10061","10053","10","86","8","2","10","7","6","30","6","8","80","5","","",""
"2018070207","14","10","","140","200","200","200","","65","207","187","10060","10052","110","88","8","2","10","7","6","30","6","8","80","5","","",""
"2018070208","16","12","","420","","","","","65","206","189","10062","10054","105","90","8","2","10","7","6","30","6","8","80","5","","",""
"2018070209","16","13","","120","200","200","200","","63","211","193","10068","10060","35","89","8","2","5","7","6","25","6","8","80","5","","",""
"2018070210","17","10","","280","","","","","61","217","198","10070","10062","30","89","8","3","4","7","5","25","6","8","80","5","","",""
"2018070211","17","8","","250","","","","","61","219","200","10073","10065","20","89","8","3","2","7","5","25","6","8","80","5","","",""
"2018070212","18","8","","600","","","","","60","228","206","10077","10069","0","88","8","2","10","7","5","30","6","8","80","4","","",""
"2018070213","20","9","","800","","","","","10","245","212","10072","10064","0","82","8","3","10","7","6","30","6","8","80","4","","",""
"2018070214","21","9","","800","","","","","10","255","219","10071","10063","5","81","7","2","15","7","5","30","6","7","100","3","","",""
"2018070215","22","7","","1000","","","","","","257","213","10069","10061","","77","7","5","30","6","7","100","3","","","","","",""
"2018070216","23","9","","1000","","","","","","255","213","10066","10058","","77","7","5","30","6","7","100","3","","","","","",""
"2018070217","22","7","","1000","","","","","","248","214","10066","10058","","81","7","2","7","7","5","30","6","7","120","3","","",""
"2018070218","29","4","","900","","","","","10","256","212","10061","10053","","77","7","2","5","7","5","30","6","7","80","3","","",""
"2018070219","34","2","","900","","","","","10","246","209","10062","10054","","80","7","2","10","7","5","20","6","7","80","3","","",""
"2018070220","17","8","","250","","","","","61","236","213","10064","10056","10","87","8","2","2","7","5","20","6","8","80","5","","",""
"2018070221","18","7","","500","","","","","91","236","211","10067","10059","60","86","8","2","5","7","6","25","6","8","90","5","","",""
"2018070222","17","7","","1000","","","","","61","229","207","10068","10060","5","87","8","2","2","7","5","20","6","8","80","5","","",""
"2018070223","7","2","","600","","","","","10","227","208","10067","10059","0","89","7","2","1","7","5","25","6","7","100","3","","",""
"2018070224","11","4","","800","","","","","10","236","216","10063","10055","","89","7","2","5","7","5","30","6","7","100","3","","",""
"2018070301","2","2","","600","","","","","10","235","215","10055","10047","","88","7","2","10","7","5","40","6","7","80","3","","",""
"2018070302","6","3","","600","","","","","10","236","215","10049","10041","0","88","7","2","10","7","5","40","6","7","80","4","","",""
"2018070303","6","4","","600","","","","","10","233","212","10045","10037","","88","7","3","40","6","5","90","3","7","180","0","","",""
"2018070304","7","4","","800","","","","","10","236","214","10039","10031","","87","6","4","40","6","6","90","3","","","","","",""
"2018070305","6","5","","1000","","","","","","234","213","10036","10028","","88","7","5","40","6","7","90","3","","","","","",""
