"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2018103124","35","8","","1000","","","","","","67","-12","10252","10244","","57","0","","","","","","","","","","","",""
"2018110101","36","6","","1000","","","","","","84","-2","10252","10244","","54","0","","","","","","","","","","","",""
"2018110102","35","4","","1000","","","","","","80","1","10252","10244","","57","0","","","","","","","","","","","",""
"2018110103","35","4","","1000","","","","","","62","0","10251","10243","","65","0","","","","","","","","","","","",""
"2018110104","34","3","","1000","","","","","","56","1","10250","10242","","68","0","","","","","","","","","","","",""
"2018110105","2","3","","1000","","","","","","63","10","10255","10247","","69","0","","","","","","","","","","","",""
"2018110106","2","3","","1000","","","","","","69","11","10258","10250","","67","0","","","","","","","","","","","",""
"2018110107","6","1","","1000","","","","","","50","4","10260","10252","","72","0","","","","","","","","","","","",""
"2018110108","12","2","","1000","","","","","","82","29","10266","10258","","69","0","","","","","","","","","","","",""
"2018110109","4","2","","1000","","","","","","99","10","10273","10265","","54","0","","","","","","","","","","","",""
"2018110110","3","2","","1000","","","","","","116","-1","10276","10268","","44","0","","","","","","","","","","","",""
"2018110111","32","3","","1000","","","","","","126","-31","10278","10270","","33","0","","","","","","","","","","","",""
"2018110112","30","6","","1000","","","","","","134","-22","10275","10267","","34","0","","","","","","","","","","","",""
"2018110113","33","7","","1000","","","","","","135","-36","10269","10261","","30","0","","","","","","","","","","","",""
"2018110114","32","6","","1000","","","","","","140","-24","10266","10258","","32","0","","","","","","","","","","","",""
"2018110115","32","5","","1000","","","","","","138","-15","10261","10253","","35","0","","","","","","","","","","","",""
"2018110116","32","5","","1000","","","","","","141","-35","10261","10253","","29","0","","","","","","","","","","","",""
"2018110117","26","4","","1000","","","","","","137","-39","10264","10256","","29","0","","","","","","","","","","","",""
"2018110118","25","5","","1000","","","","","","119","9","10264","10256","","47","0","","","","","","","","","","","",""
"2018110119","24","3","","1000","","","","","","123","29","10267","10259","","53","0","","","","","","","","","","","",""
"2018110120","25","4","","1000","","","","","","128","46","10269","10261","","57","0","","","","","","","","","","","",""
"2018110121","14","2","","1000","","","","","","109","39","10273","10265","","62","0","","","","","","","","","","","",""
"2018110122","14","1","","1000","","","","","","99","44","10276","10268","","69","0","","","","","","","","","","","",""
"2018110123","5","3","","1000","","","","","","87","42","10278","10270","","73","0","","","","","","","","","","","",""
"2018110124","11","1","","1000","","","","","","95","58","10277","10269","","78","0","","","","","","","","","","","",""
"2018110201","5","4","","1000","","","","","","90","53","10277","10269","","78","0","","","","","","","","","","","",""
"2018110202","6","5","","1000","","","","","","85","56","10278","10270","","82","0","","","","","","","","","","","",""
"2018110203","6","5","","1000","","","","","","71","40","10278","10270","","81","0","","","","","","","","","","","",""
"2018110204","5","5","","800","","","","","10","76","42","10281","10273","","79","0","","","","","","","","","","","",""
"2018110205","6","5","","800","","","","","10","68","39","10284","10276","","82","0","","","","","","","","","","","",""
"2018110206","6","6","","800","","","","","10","65","37","10287","10279","","82","0","","","","","","","","","","","",""
"2018110207","6","6","","700","","","","","10","57","29","10288","10280","","82","0","","","","","","","","","","","",""
"2018110208","5","6","","800","","","","","10","71","38","10293","10285","","80","0","","","","","","","","","","","",""
"2018110209","6","5","","800","","","","","10","97","47","10296","10288","","71","0","","","","","","","","","","","",""
"2018110210","14","4","","900","","","","","5","121","33","10296","10288","","55","0","","","","","","","","","","","",""
"2018110211","14","5","","900","","","","","5","136","31","10295","10287","","49","0","","","","","","","","","","","",""
"2018110212","13","3","","900","","","","","5","150","39","10290","10282","","48","0","","","","","","","","","","","",""
"2018110213","2","5","","1000","","","","","","163","31","10281","10273","","41","0","","","","","","","","","","","",""
"2018110214","34","4","","1000","","","","","","165","16","10274","10266","","37","0","","","","","","","","","","","",""
"2018110215","2","3","","1000","","","","","","171","-6","10268","10260","","30","0","","","","","","","","","","","",""
"2018110216","31","6","","1000","","","","","","158","49","10267","10259","","48","0","","","","","","","","","","","",""
"2018110217","29","7","","1000","","","","","","142","56","10267","10259","","56","0","","","","","","","","","","","",""
"2018110218","29","5","","1000","","","","","","134","54","10268","10260","","58","0","","","","","","","","","","","",""
"2018110219","30","5","","1000","","","","","","130","49","10273","10265","","58","0","","","","","","","","","","","",""
"2018110220","32","6","","1000","","","","","","126","59","10275","10267","","64","0","","","","","","","","","","","",""
"2018110221","30","6","","1000","","","","","","117","65","10276","10268","","70","0","","","","","","","","","","","",""
