,Arrival Standard Deviation,Departure Standard Deviation,capa_sd
0,2.758152839521966,2.2364199256428683,6.692545698778197
1,2.7440131146619984,2.1969426230410143,6.688371653177273
2,2.724672540795463,2.231867352782867,6.687310617585945
3,2.685206001435946,2.139612696479663,6.676747366003515
4,2.6158444032421757,2.21620762762739,6.670646624243582
5,2.544545389906609,2.301895288308943,6.665164994880501
6,2.5935772464805984,2.464344961123088,6.681161757856759
7,2.623500300141327,2.733583731355739,6.7018537444440245
8,2.6263885274150973,3.055971789175398,6.724126397691255
9,2.4201907409439873,2.907670374178895,6.685496726961665
10,2.3421493480955147,2.6963530737706964,6.661403989008045
11,2.3241879952689253,2.6251279704125148,6.654635958293798
12,2.1575773512792615,2.608473116160284,6.633140925179576
13,2.137409311376351,2.5528362172935135,6.6273568345822405
14,2.263524825254992,2.539298866017176,6.641771688117551
15,2.2643838103136322,2.5480503296419745,6.642405338017773
16,2.250340438670679,2.5634763188866168,6.641600736399106
17,2.250340438670679,2.566410206216209,6.641778909562076
18,2.253355379222695,2.5546995004929567,6.64144117517919
19,2.257289487926992,2.5933455546988724,6.644282402921887
20,2.2488092496573824,2.618768763376514,6.644803299602488
21,2.2628258914332537,2.6356141127267643,6.647582852082464
22,2.2382306231310194,2.6307901295657414,6.64424936729272
23,2.222680980631521,2.663238988346697,6.644381383987177
24,2.2913953071421496,2.628336172066684,6.650692696767081
25,2.285195249366933,2.6013227269489874,6.648245272762916
26,2.3453117104499284,2.5957678256667704,6.655523546990998
27,2.409945056316133,2.596847530820518,6.6639925044921196
28,2.445471027149235,2.595530346880714,6.668623098135297
29,2.5323175379024323,2.465293786073963,6.672653968333768
30,2.6165580767021237,2.4982529820302943,6.686402962241591
31,2.8133769495471563,2.499411155345327,6.715509413357689
32,2.966164369816769,2.514343818151983,6.74028184346353
33,2.9731766971873013,2.556620628473654,6.743906751861852
34,2.962757814201099,2.5830814850577686,6.743822634652371
35,2.9354784112402794,2.608158688202137,6.740995727674915
36,2.9375414410059157,2.6783753829233334,6.745651072766255
37,2.9591650792743374,2.806393247998125,6.757266875652979
38,3.0430804653162005,2.8052024409832743,6.770747378757178
39,3.0863688580404762,2.8450702626919315,6.780491494719013
40,3.06624953312673,2.794116330543901,6.773832232396849
41,3.1063797040714345,2.84552455322536,6.783848293036721
42,3.1104434302060304,2.903811223854094,6.788408829512417
43,3.151386446652055,2.933952986300694,6.7973174766262785
44,3.151386446652055,2.9292778338306102,6.7970003921102675
45,3.151386446652055,2.9292778338306102,6.7970003921102675
46,3.151386446652055,2.9292778338306102,6.7970003921102675
47,3.151386446652055,2.9292778338306102,6.7970003921102675
48,3.151386446652055,2.9292778338306102,6.7970003921102675
49,3.151386446652055,2.9292778338306102,6.7970003921102675
50,3.151386446652055,2.9292778338306102,6.7970003921102675
51,3.151386446652055,2.9292778338306102,6.7970003921102675
52,3.151386446652055,2.9292778338306102,6.7970003921102675
53,3.151386446652055,2.9292778338306102,6.7970003921102675
54,3.151386446652055,2.9292778338306102,6.7970003921102675
55,3.151386446652055,2.9292778338306102,6.7970003921102675
56,3.151386446652055,2.9292778338306102,6.7970003921102675
57,3.151386446652055,2.9292778338306102,6.7970003921102675
58,3.151386446652055,2.9292778338306102,6.7970003921102675
59,3.151386446652055,2.9292778338306102,6.7970003921102675
60,3.151386446652055,2.9292778338306102,6.7970003921102675
61,3.151386446652055,2.9292778338306102,6.7970003921102675
62,3.151386446652055,2.9292778338306102,6.7970003921102675
63,3.151386446652055,2.9292778338306102,6.7970003921102675
64,3.151386446652055,2.9292778338306102,6.7970003921102675
65,3.151386446652055,2.9292778338306102,6.7970003921102675
66,3.151386446652055,2.9292778338306102,6.7970003921102675
67,3.151386446652055,2.9292778338306102,6.7970003921102675
68,3.151386446652055,2.9292778338306102,6.7970003921102675
69,3.151386446652055,2.9292778338306102,6.7970003921102675
70,3.151386446652055,2.9292778338306102,6.7970003921102675
71,3.151386446652055,2.9292778338306102,6.7970003921102675
72,3.151386446652055,2.9292778338306102,6.7970003921102675
73,3.151386446652055,2.9292778338306102,6.7970003921102675
74,3.151386446652055,2.9292778338306102,6.7970003921102675
75,3.151386446652055,2.9292778338306102,6.7970003921102675
76,3.151386446652055,2.9292778338306102,6.7970003921102675
77,3.151386446652055,2.9292778338306102,6.7970003921102675
78,3.151386446652055,2.9292778338306102,6.7970003921102675
79,3.151386446652055,2.9292778338306102,6.7970003921102675
80,3.151386446652055,2.9292778338306102,6.7970003921102675
