,Arrival Standard Deviation,Departure Standard Deviation,capa_sd
0,1.9248214849879721,1.759783829336274,5.117165711768127
1,1.9061405264792053,1.7378640041389777,5.111766370647188
2,1.8916689767782284,1.7152062071469794,5.106299652623329
3,1.9002368629987063,1.7432321541712614,5.112974509359717
4,1.879695768120538,1.7272023219005244,5.1089841727378245
5,1.8499540318630743,1.7499289735870545,5.114050787664206
6,1.9843494548910685,1.7086816352526804,5.105757663079708
7,1.949567958411036,1.7603655089651848,5.1175648631709985
8,1.883852837089782,1.74092846588773,5.11226097207432
9,1.8506592886586049,1.7678837377918357,5.118344469334316
10,1.7836960825067416,1.7350750914844355,5.109880549604419
11,1.7387248948550111,1.7910048429050311,5.12283440485627
12,1.620425674971866,1.7850450100227464,5.12031184718007
13,1.6540176768627746,1.8152220239430812,5.127972012682288
14,1.746626739521565,1.8363282826936362,5.13403995486891
15,1.7579895892521689,1.822769375122526,5.130791236225332
16,1.716032145066799,1.8920649553057467,5.147789311071181
17,1.7158938638685628,1.8920649553057467,5.147788030664758
18,1.7158394385272018,1.944458295025572,5.161327880896425
19,1.717153715414934,1.9329934963080724,5.158348558361277
20,1.7184363393179696,1.9329934963080724,5.158360423067393
21,1.7222204890811765,1.9297343989762021,5.157548017657495
22,1.7207387244513856,1.9711201183018476,5.168391502573092
23,1.7008932657571496,1.9931898435530666,5.1740837165056
24,1.7474881543626828,1.9693109832372488,5.168161880014436
25,1.7675286497861542,1.9584324324636684,5.165479806215384
26,1.9997455362218028,1.9960513239782767,5.177817122888145
27,2.054196215772826,2.0132853805668383,5.1830402220584535
28,2.1053462659666433,2.015529252875758,5.184215837016173
29,2.115802026821689,2.0597527489975875,5.196390558663206
30,2.1867121525726425,2.080903935535939,5.203053806936525
31,2.1843959410043285,2.081868628634124,5.203294767050853
32,2.181191922066415,2.0922072701567,5.206136392692518
33,2.2530452805439722,2.0949438393949658,5.207750358236861
34,2.2411942459750884,2.150188609263996,5.223221838087674
35,2.252345150484002,2.1615053405866465,5.226597664812515
36,2.252345150484002,2.258059558095262,5.254870291656087
37,2.249141394586586,2.272364263657761,5.259112625729036
38,2.2762733605302854,2.2836424233125827,5.262828056897449
39,2.2810649811189863,2.4197665813845988,5.304958258396513
40,2.3109380320127664,2.655876799574515,5.383179603668998
41,2.308091236226794,2.821531632099056,5.441357176523823
42,2.308091236226794,2.8127876260441855,5.438212487592765
43,2.3045862949818257,2.828739047780161,5.443913967511617
44,2.3045862949818257,2.828739047780161,5.443913967511617
45,2.320458442441074,2.828739047780161,5.444101251395681
46,2.320458442441074,2.828739047780161,5.444101251395681
47,2.320458442441074,2.828739047780161,5.444101251395681
48,2.320458442441074,2.828739047780161,5.444101251395681
49,2.320458442441074,2.828739047780161,5.444101251395681
50,2.320458442441074,2.828739047780161,5.444101251395681
51,2.320458442441074,2.828739047780161,5.444101251395681
52,2.320458442441074,2.828739047780161,5.444101251395681
53,2.320458442441074,2.828739047780161,5.444101251395681
54,2.320458442441074,2.828739047780161,5.444101251395681
55,2.320458442441074,2.828739047780161,5.444101251395681
56,2.320458442441074,2.828739047780161,5.444101251395681
57,2.320458442441074,2.828739047780161,5.444101251395681
58,2.320458442441074,2.828739047780161,5.444101251395681
59,2.320458442441074,2.828739047780161,5.444101251395681
60,2.320458442441074,2.828739047780161,5.444101251395681
61,2.320458442441074,2.828739047780161,5.444101251395681
62,2.320458442441074,2.828739047780161,5.444101251395681
63,2.320458442441074,2.828739047780161,5.444101251395681
64,2.320458442441074,2.828739047780161,5.444101251395681
65,2.320458442441074,2.828739047780161,5.444101251395681
66,2.320458442441074,2.828739047780161,5.444101251395681
67,2.320458442441074,2.828739047780161,5.444101251395681
68,2.320458442441074,2.828739047780161,5.444101251395681
69,2.320458442441074,2.828739047780161,5.444101251395681
70,2.320458442441074,2.828739047780161,5.444101251395681
71,2.320458442441074,2.828739047780161,5.444101251395681
72,2.320458442441074,2.828739047780161,5.444101251395681
73,2.320458442441074,2.828739047780161,5.444101251395681
74,2.320458442441074,2.828739047780161,5.444101251395681
75,2.320458442441074,2.828739047780161,5.444101251395681
76,2.320458442441074,2.828739047780161,5.444101251395681
77,2.320458442441074,2.828739047780161,5.444101251395681
78,2.320458442441074,2.828739047780161,5.444101251395681
79,2.320458442441074,2.828739047780161,5.444101251395681
80,2.320458442441074,2.828739047780161,5.444101251395681
