,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR941,JFK,00:05,23:45,00:05
1,KAL593,FRA,00:05,23:40,00:08
2,UAE323,DXB,00:05,23:50,00:02
3,ETD873,AUH,00:15,00:15,00:43
4,TAX703,DMK,00:20,00:20,00:30
5,SIA007,SIN,00:25,00:25,00:41
6,QTR859,DOH,00:30,00:30,00:38
7,SYL506,YKS,00:40,00:40,00:52
8,THY91,IST,00:40,00:40,00:49
9,KLM856,AMS,00:55,00:55,01:11
10,AAR987,PVG,01:05,01:05,01:09
11,PAC217,PVG,01:15,01:15,01:36
12,VJC839,CXR,01:50,02:35,03:00
13,KAL249,JFK,02:10,02:10,02:05
14,CEB187,MNL,02:30,02:30,02:50
15,GAP2483,TAG,02:30,02:30,02:30
16,CKS9597,BOM,02:50,14:20,14:45
17,PAC237,HKG,02:55,02:55,03:03
18,HKE615,HKG,04:55,04:55,05:02
19,AAR801A,GMP,05:15,05:50,05:50
20,AAR807A,GMP,05:15,05:56,05:56
21,JNA934,GMP,05:25,05:25,05:54
22,JJA9392,GMP,05:30,05:30,05:52
23,JNA942,CJU,05:30,05:30,05:45
24,JJA9396,GMP,05:35,05:35,05:48
25,ESR262F,GMP,05:40,05:40,06:08
26,JNA936,GMP,05:40,05:40,06:00
27,TWB3002,GMP,05:40,06:10,06:30
28,JJA9394,GMP,05:45,05:45,05:58
29,PIC195,DAD,06:10,06:10,07:05
30,AAR805A,GMP,06:15,06:15,06:20
31,VJC881,DAD,06:15,06:15,06:32
32,AAV601,CEB,06:20,06:20,06:45
33,AAV705,KLO,06:20,06:20,07:02
34,JCC802,REP,06:20,06:20,06:26
35,VJC963,HAN,06:25,08:30,09:15
36,CRK627,HKG,06:30,06:30,06:42
37,ESR633,OKA,06:30,06:30,06:57
38,JJA1408,FUK,06:30,06:30,06:47
39,AAV701,KLO,06:45,06:45,07:12
40,JJA9398,GMP,06:45,06:45,07:00
41,VJC865,SGN,06:45,06:45,07:08
42,VJC879,DAD,06:45,06:45,07:49
43,APG037,KLO,06:55,06:55,07:14
44,AAR803A,GMP,07:00,07:00,07:25
45,ESR264F,GMP,07:00,07:00,07:41
46,EVA149,TPE,07:00,07:00,07:17
