,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AJX8480,OKA,00:05,00:05,00:32
1,AZG124,GYD,00:05,23:45,00:01
2,KAL857,PEK,00:05,23:55,00:12
3,MAS039,KUL,00:10,00:10,00:25
4,UAE323,DXB,00:10,23:55,00:07
5,SIA007,SIN,00:35,00:35,00:43
6,QTR859,DOH,00:45,00:45,00:40
7,KLM856,AMS,00:55,00:55,01:15
8,ETD873,AUH,01:00,01:00,01:06
9,PAC916,LAX,01:00,01:00,01:36
10,AAR987,PVG,01:05,01:05,01:18
11,TAX703,DMK,01:05,01:05,01:08
12,PAC717,PVG,01:10,01:10,01:20
13,GTI654,ORD,01:15,17:20,17:42
14,SOO7970,HKG,01:15,01:15,01:39
15,VAS9305,KHV,01:40,01:40,02:01
16,VJC839,CXR,01:50,01:50,02:12
17,GEC8385,FRA,02:05,02:05,02:05
18,KAL335,PVG,02:05,02:05,02:09
19,SHU5435,VVO,02:15,02:15,02:16
20,CEB187,MNL,02:35,02:35,02:49
21,PAC677,TPE,03:05,03:05,03:24
22,KAL595,ZAZ,03:25,03:25,03:32
23,AAR198,NRT,04:00,04:00,04:23
24,PAC225,CVG,04:35,04:35,05:02
25,CKK258,PVG,04:55,08:50,09:17
26,HKE603,HKG,05:25,05:25,05:36
27,PAC927,HKG,05:30,06:00,06:22
28,THY6495,IST,05:55,05:55,06:16
29,AAV601,CEB,06:15,06:15,06:26
30,VJC881,DAD,06:15,06:15,06:43
31,SWM212,REP,06:25,06:25,06:36
32,VJC963,HAN,06:25,06:25,07:08
33,AAR8533,PUS,06:30,,06:51
34,AAV701,KLO,06:30,06:30,06:33
35,CRK647,HKG,06:30,06:30,06:39
36,JJA780M,TNN,06:30,06:30,06:48
37,VJC865,SGN,06:45,06:45,07:05
38,APG037,KLO,06:55,06:55,07:02
39,ASV722,NGS,07:00,07:00,07:20
40,TWB289,KIX,07:00,07:00,07:13
41,VJC879,DAD,07:00,07:00,07:18
42,ASV762,KIX,07:05,07:05,07:26
43,EVA149,TPE,07:10,07:10,07:24
44,JJA1304,KIX,07:10,07:10,07:23
45,JNA221,FUK,07:15,07:15,07:33
46,TWB9237,NGO,07:15,07:15,07:47
47,VJC925,HPH,07:15,07:15,07:29
48,AAR731,SGN,07:20,07:20,07:39
49,JNA077,DAD,07:20,07:20,08:13
50,JNA201,NRT,07:25,08:25,08:52
51,TWB297,OIT,07:25,07:25,07:37
52,TWB671,KHH,07:25,07:25,07:41
53,APJ012,KIX,07:30,07:30,07:43
54,JNA039,KLO,07:30,07:30,07:52
55,KAL1411,TAE,07:30,,07:44
56,KAL529,FRA,07:30,09:30,07:35
57,ESR621,CTS,07:40,07:40,07:50
58,CES5050,YNT,07:45,07:45,07:55
59,TWB125,DAD,07:45,07:45,08:09
60,TWB201,NRT,07:45,07:45,08:34
61,JNA081,TPE,07:50,07:50,08:47
62,JNA211,KIX,07:50,07:50,08:24
63,TWB273,HSG,07:50,07:50,07:57
64,AAR112,KIX,07:55,07:55,08:21
65,AMU825,MFM,07:55,07:55,08:07
66,CEB181,KLO,07:55,07:55,08:02
67,ESR601,NRT,08:00,08:00,08:18
68,KAL621,MNL,08:00,08:00,08:22
69,KAL747,OKJ,08:00,08:00,08:28
70,KAL787,FUK,08:00,08:00,08:25
71,KAL809,CGO,08:00,08:00,08:20
72,TWB281,KIX,08:00,08:00,08:11
73,ESR641,FUK,08:05,08:05,08:30
74,ESR881,TPE,08:05,08:05,08:17
75,KAL831,SHE,08:05,08:05,08:30
76,KAL845,TAO,08:05,08:05,08:52
77,KAL479,HAN,08:10,08:10,08:28
78,KAL603,HKG,08:10,08:10,08:37
79,PAL467,MNL,08:10,08:10,08:33
80,AAR122,NGO,08:15,08:15,08:37
81,AAR327,TSN,08:15,08:15,08:26
82,AAR331,PEK,08:20,08:20,08:55
83,AAR727,HAN,08:20,08:20,08:40
84,JJA8401,TAO,08:20,08:20,09:07
85,JNA231,CTS,08:20,08:20,09:01
86,ASV702,TAK,08:25,08:25,08:45
87,KAL1401,PUS,08:25,,08:47
88,PAL487,KLO,08:25,08:25,08:24
89,AAR795,FRA,08:30,08:30,09:10
90,CES2044,TAO,08:30,08:30,08:35
91,JJA1102,NRT,08:30,08:30,08:55
92,KAL893,PVG,08:30,08:30,08:50
93,PAL485,CEB,08:30,08:30,08:44
94,AAR369,CAN,08:40,08:40,09:01
95,AAR701,MNL,08:40,10:00,09:50
96,CPA415,HKG,08:40,08:40,08:57
97,KAL827,SZX,08:40,08:40,09:03
98,AAR132,FUK,08:45,08:45,09:12
99,CDG4620,TAO,08:45,08:45,09:23
100,ESR611,KIX,08:45,08:45,08:49
101,KAL823,MDG,08:45,08:45,08:59
102,KAL865,CAN,08:50,08:50,09:13
103,AAR351,YNJ,08:55,08:55,09:27
104,CES5052,PVG,08:55,08:55,09:05
105,AAR102,NRT,09:00,09:00,09:14
106,AAR303,CGQ,09:00,09:00,09:15
107,AAR309,WEH,09:00,09:00,09:42
108,AAR361,PVG,09:00,09:00,09:58
109,AAR721,HKG,09:00,09:00,09:25
110,KAL819,CSX,09:00,09:00,09:19
111,SIA607,SIN,09:00,09:00,09:21
112,AAR286,SFO,09:05,09:35,10:02
113,AAR301,DLC,09:05,09:05,09:35
114,AAR317,TAO,09:05,09:05,09:38
115,AFR267,CDG,09:05,09:05,09:45
116,JJA2601,TPE,09:05,09:05,09:54
117,KAL657,BKK,09:05,09:05,09:29
118,KAL775,KMQ,09:05,09:05,09:25
119,KAL881,WUH,09:05,09:05,09:31
120,CPA421,HKG,09:10,09:10,09:40
121,ESR931,HKG,09:10,09:10,09:32
122,JJA1302,KIX,09:10,09:10,09:21
123,KAL681,SGN,09:10,09:10,09:44
124,AAR172,OKA,09:15,09:15,09:48
125,KAL805,TSN,09:15,09:15,09:52
126,KAL807,XIY,09:15,09:15,09:56
127,KAL035,ATL,09:20,09:20,09:50
128,KAL785,KOJ,09:20,09:20,09:41
129,ASV742,YGJ,09:30,09:30,09:45
130,JJA3402,SPN,09:30,09:30,09:47
131,JNA113,HKG,09:30,09:30,10:02
132,JJA1402,FUK,09:35,09:35,10:00
133,KAL073,YYZ,09:35,09:35,09:57
134,KAL723,KIX,09:35,09:35,10:10
135,KAL825,YNJ,09:35,09:35,10:08
136,THA659,BKK,09:35,09:35,10:00
137,AAR158,KMI,09:40,09:40,10:06
138,AIH231,YNT,09:40,09:40,10:04
139,JNA641,GUM,09:40,09:40,09:54
140,AJX8476,NRT,09:45,09:45,09:52
141,KAL113,GUM,09:45,09:45,10:08
142,XAX507,KUL,09:45,09:45,10:06
143,KAL613,HKG,09:50,09:50,10:16
144,JJA2101,HKG,09:55,09:55,10:12
145,AAR152,SDJ,10:00,10:00,10:14
146,AAR371,SZX,10:00,10:00,10:56
147,AAR711,TPE,10:00,10:00,10:42
148,ASV752,NRT,10:00,10:00,10:16
149,KAL081,JFK,10:00,10:00,10:25
150,HVN417,HAN,10:05,10:05,10:18
151,KAL767,AOJ,10:05,10:05,10:23
152,TWB291,FUK,10:05,10:05,10:12
153,APJ002,KIX,10:10,10:10,10:40
154,JJA8501,WEH,10:10,10:10,10:48
155,JJA8801,SJW,10:10,10:10,10:13
156,KAL703,NRT,10:10,10:10,10:37
157,KAL765,CTS,10:10,10:10,10:29
158,KAL981,VVO,10:10,10:10,10:32
159,UZB512,TAS,10:10,10:10,10:44
160,AAR3533,CKG,10:15,10:15,10:30
161,CPA417,HKG,10:15,10:15,10:38
162,DLH739,MUC,10:15,10:15,10:27
163,HVN409,SGN,10:15,10:15,10:34
164,JNA281,KIX,10:15,10:15,10:34
165,FIN42,HEL,10:20,10:20,10:53
166,KAL887,XMN,10:20,10:20,10:46
167,THA629,BKK,10:20,10:20,10:36
168,AAR222,JFK,10:30,10:30,11:07
169,KAL093,IAD,10:30,10:30,10:56
170,BAW18,LHR,10:35,10:35,11:05
171,DAL158,DTW,10:35,10:35,10:51
172,GIA879,CGK,10:35,10:35,10:40
173,JJA1106,NRT,10:35,10:35,10:59
174,JJA3102,GUM,10:35,10:35,10:53
175,JNA245,OKA,10:35,10:35,11:11
176,KAL691,TPE,10:35,10:35,10:58
177,TWB251,CTS,10:35,10:35,10:49
178,JJA2901,DAD,10:40,10:40,11:01
179,KAL037,ORD,10:40,10:40,11:22
180,KAL207,LAX,10:40,10:40,11:15
181,KAL483,HAN,10:40,10:40,11:04
182,KAL741,NGO,10:40,10:40,11:12
183,LAO922,VTE,10:40,10:40,10:51
184,AAR363,PVG,10:50,10:50,11:24
185,KAL855,PEK,10:50,10:50,11:46
186,AAR347,XIY,10:55,10:55,11:29
187,LOT98,WAW,10:55,10:55,11:17
188,JJA2001,MFM,11:00,11:00,11:25
189,MAS067,KUL,11:00,11:00,11:27
190,VJC961,HAN,11:05,11:05,11:19
191,JJA1602,NGO,11:10,11:10,11:32
192,KAL897,PVG,11:10,11:10,11:42
193,CSN340,HAK,11:15,11:15,11:31
194,TAX701,DMK,11:15,11:15,11:34
195,CSN686,DLC,11:20,11:20,11:36
196,HVN431,DAD,11:20,11:20,11:39
197,SIA008,LAX,11:20,11:20,11:48
198,GIA871,DPS,11:25,11:25,11:40
199,KAL317,TSN,11:25,11:25,11:55
200,KAL461,DAD,11:25,11:25,11:50
201,AIH233,YNT,11:30,11:30,11:51
202,CAL165,KHH,11:30,11:30,11:58
203,ESR631,OKA,11:30,11:30,11:53
204,VJC863,SGN,11:40,11:40,12:08
205,CDG4096,TNA,11:45,11:45,12:04
206,CSN6088,MDG,11:45,11:45,12:07
207,GCR7994,TSN,11:45,11:45,11:59
208,AAR997,TSN,11:50,11:50,12:11
209,JNA223,FUK,11:50,11:50,12:20
210,CES2040,TAO,11:55,11:55,12:17
211,PAC237,HKG,11:55,11:55,12:01
212,AAR541,FRA,12:00,12:00,12:31
213,CES550,YNT,12:00,12:00,12:14
214,EVA169,TPE,12:00,12:00,12:16
215,KZR210,TSE,12:05,12:05,12:42
216,UPS11,SDF,12:05,11:45,12:23
217,AAR339,HRB,12:10,12:10,12:25
218,CDG4618,TAO,12:15,12:15,12:29
219,CES580,NKG,12:15,12:15,12:34
220,JJA1902,CTS,12:20,12:20,12:40
221,AAR359,HGH,12:25,12:25,12:54
222,AMX091,MEX,12:25,12:25,12:52
223,CSN314,PVG,12:25,15:30,16:13
224,JJA5102,VVO,12:25,12:25,12:47
225,KAL795,CTS,12:25,12:25,12:49
226,TWB283,KIX,12:25,12:25,12:45
227,AAR134,FUK,12:30,13:40,14:00
228,AAR349,NKG,12:30,12:30,13:00
229,AAR501,CDG,12:30,12:30,13:04
230,UPS174,ANC,12:30,12:30,12:37
231,CAL161,TPE,12:35,12:35,13:02
232,CCA172,TSN,12:45,12:45,13:11
233,CSN682,SHE,12:45,12:45,13:07
234,HKE619,HKG,12:45,12:45,12:58
235,KAL935,PRG,12:45,12:45,13:13
236,KAL905,FRA,12:50,12:50,13:24
237,KAL937,VIE,12:50,12:50,13:47
238,APG885,MNL,12:55,12:55,13:26
239,CES5042,PVG,12:55,14:30,15:47
240,CSN6080,WUH,12:55,12:55,13:09
241,AAR333,PEK,13:00,13:00,13:21
242,KAL481,DEL,13:00,13:00,13:16
243,KAL869,DLC,13:00,13:00,13:39
244,KAL915,BCN,13:00,13:00,13:56
245,SHU5451,KHV,13:00,13:00,13:17
246,CCA124,PEK,13:05,13:05,13:31
247,CCA140,HGH,13:05,14:19,14:19
248,KAL841,TAO,13:05,13:05,13:28
249,KAL901,CDG,13:05,13:05,14:06
250,SHU5437,VVO,13:05,13:05,13:20
251,CES2034,TAO,13:10,13:10,13:17
252,FDX5230,IND,13:10,13:10,13:41
253,KAL847,TNA,13:10,13:10,13:34
254,ABW392,SVO,13:15,13:15,13:37
255,AFL251,SVO,13:15,13:15,14:16
256,ASV764,KIX,13:15,13:15,13:35
257,TWB275,KMJ,13:15,13:15,13:26
258,CSN688,CGQ,13:20,13:20,13:50
259,KAL923,SVO,13:20,13:20,14:27
260,JJA4501,KHH,13:25,13:50,14:01
261,KAL551,NRT,13:25,13:25,13:57
262,KAL601,HKG,13:25,13:25,13:54
263,KAL951,DXB,13:25,13:25,14:37
264,JJA1802,OKA,13:30,13:30,13:52
265,KAL695,KTM,13:30,13:30,14:04
266,KAL907,LHR,13:30,13:30,15:12
267,CPA439,HKG,13:35,13:35,13:44
268,ASV766,KIX,13:40,13:40,13:54
269,KAL955,IST,13:40,13:40,14:52
270,JNA213,KIX,13:45,13:45,14:10
271,UPS64,ANC,13:45,13:45,13:58
272,AZA759,FCO,13:55,13:55,15:01
273,AAR365,PVG,14:00,14:00,14:21
274,CDG4088,TAO,14:00,14:00,14:42
275,CSA191,PRG,14:00,14:00,15:22
276,KAL789,FUK,14:00,14:00,14:24
277,AAR114,KIX,14:05,14:05,14:21
278,FDX5391,MEM,14:05,14:05,14:30
279,TWB271,OKA,14:05,14:05,14:35
280,KAL839,WEH,14:10,14:10,15:25
281,KAL8553,KIX,14:10,14:10,14:26
282,AIC317,BOM,14:15,14:15,14:28
283,CES2018,WEH,14:15,14:15,14:47
284,CES5022,TAO,14:15,14:15,14:33
285,KAL931,FCO,14:15,14:15,15:30
286,AAR174,CTS,14:20,14:20,14:31
287,AAR307,YNT,14:20,14:20,14:55
288,AAR319,TAO,14:20,14:20,14:49
289,AAR713,TPE,14:20,14:20,15:17
290,CCA144,YNJ,14:20,14:20,14:40
291,DLH713,FRA,14:20,15:20,15:52
292,MGL302,ULN,14:20,14:20,15:41
293,JNA203,NRT,14:25,14:25,14:45
294,AAR521,LHR,14:30,14:30,15:04
295,CES5062,PVG,14:30,16:00,16:45
296,KAL017,LAX,14:30,14:30,14:58
297,CSN6074,YNJ,14:35,14:35,15:15
298,KAL833,SHE,14:35,14:35,15:07
299,AAR202,LAX,14:40,15:44,15:43
300,CCA402,CTU,14:40,14:40,15:27
301,CCA440,CKG,14:40,14:40,15:19
302,ESR643,FUK,14:40,14:40,14:48
303,KAL643,SIN,14:45,14:45,15:09
304,TWB295,HSG,14:45,14:45,14:57
305,CSN338,CAN,14:55,14:55,15:23
306,CSZ9034,SZX,14:55,14:55,15:36
307,AMU819,MFM,15:05,15:05,15:40
308,CPA411,HKG,15:05,15:05,15:54
309,JJA1104,NRT,15:05,15:05,15:37
310,KAL927,MXP,15:05,15:05,16:02
311,ESR603,NRT,15:10,15:10,15:59
312,ESR651,KOJ,15:10,15:10,15:48
313,APJ006,KIX,15:15,15:15,16:07
314,TWB669,RMQ,15:15,15:15,15:55
315,KAL725,KIX,15:20,15:50,16:26
