,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR286,SFO,00:10,23:30,00:08
1,AAR951,HAN,00:10,23:55,00:09
2,KAL9525,MXP,00:10,23:40,00:05
3,UAE323,DXB,00:10,23:50,00:01
4,AJX8480,OKA,00:15,00:15,00:16
5,ETD873,AUH,00:15,00:15,00:25
6,TAX703,DMK,00:20,00:20,00:32
7,SIA007,SIN,00:25,00:25,00:36
8,QTR859,DOH,00:30,00:30,00:29
9,THY91,IST,00:40,00:40,00:42
10,KLM856,AMS,00:55,00:55,00:55
11,PAC7970,HKG,01:00,01:00,01:23
12,AAR987,PVG,01:05,01:05,01:56
13,PAC717,PVG,01:15,01:10,01:32
14,VJC839,CXR,01:50,01:50,02:01
15,KAL335,PVG,02:05,02:05,02:06
16,GEC8385,FRA,02:10,02:10,02:28
17,CEB187,MNL,02:30,02:30,02:48
18,GAP2483,TAG,02:30,02:30,02:34
19,KAL541,OSL,02:50,02:50,03:08
20,JJA234M,CGK,03:40,03:40,03:49
21,CKK258,PVG,04:20,04:20,04:44
22,HKE615,HKG,04:55,04:55,04:58
23,PAC997,PVG,05:00,05:00,05:40
24,PAC225,CVG,05:30,06:15,06:32
25,KAL1497,CJU,05:40,05:40,05:44
26,PAC959,HKG,05:45,05:45,06:00
27,SWM212,REP,06:10,06:10,06:21
28,VJC881,DAD,06:15,06:40,08:13
29,AAV601,CEB,06:20,06:20,06:26
30,AAV705,KLO,06:20,06:20,06:19
31,VJC963,HAN,06:25,06:25,06:45
32,CRK627,HKG,06:30,06:30,06:34
33,ESR633,OKA,06:30,06:30,06:37
34,AAV701,KLO,06:45,06:45,06:51
35,VJC865,SGN,06:45,06:45,07:07
36,VJC879,DAD,06:45,06:45,07:33
37,TWB289,KIX,06:50,06:50,07:00
38,APG037,KLO,06:55,06:55,06:49
39,EVA149,TPE,07:00,07:00,07:10
40,JJA1304,KIX,07:00,07:00,07:18
41,ASV762,KIX,07:05,07:05,07:24
42,JNA221,FUK,07:05,07:05,07:13
43,VJC925,HPH,07:15,07:15,07:26
44,TWB297,OIT,07:20,07:20,07:56
45,CES5050,YNT,07:25,07:25,07:30
46,ESR621,CTS,07:25,07:40,07:49
47,TWB671,KHH,07:25,07:25,07:32
48,TWB9237,NGO,07:25,07:25,07:36
49,AAR731,SGN,07:30,07:30,08:04
50,APJ012,KIX,07:30,07:30,07:44
51,JJA1408,FUK,07:30,07:30,07:38
52,JNA261,KKJ,07:30,07:30,07:54
53,PAL485,CEB,07:30,07:30,07:41
54,TWB607,TAO,07:30,07:30,07:47
55,JNA201,NRT,07:35,07:35,07:52
56,KAL1413,TAE,07:35,,
57,JNA077,DAD,07:40,07:40,07:58
58,TWB125,DAD,07:45,07:45,08:02
59,TWB201,NRT,07:45,07:45,08:00
60,AAR701,MNL,07:50,07:50,08:19
61,ASV702,TAK,07:55,07:55,08:12
62,CEB181,KLO,07:55,07:55,08:17
63,ESR881,TPE,07:55,07:55,08:09
64,KAL621,MNL,07:55,07:55,08:24
65,TWB281,KIX,07:55,07:55,08:09
66,JNA211,KIX,08:00,08:00,08:18
67,KAL529,FRA,08:00,08:00,08:21
68,KAL787,FUK,08:00,08:00,08:37
69,PAL487,KLO,08:00,08:00,08:28
70,AAR112,KIX,08:05,08:05,08:29
71,KAL747,OKJ,08:05,08:05,08:43
72,AAR327,TSN,08:10,08:10,08:15
73,JJA1102,NRT,08:10,08:10,08:25
74,KAL479,HAN,08:10,08:10,08:30
75,PAL467,MNL,08:10,08:10,08:26
76,AAR122,NGO,08:15,08:15,08:32
77,KAL827,SZX,08:15,08:15,08:39
78,AAR727,HAN,08:20,08:20,08:43
79,JJA8401,TAO,08:20,08:20,08:37
80,KAL1401,PUS,08:25,,08:46
81,KAL603,HKG,08:25,08:25,08:45
82,AAR353,CKG,08:30,08:30,08:47
83,AAR795,FRA,08:30,08:30,08:50
84,AIH231,YNT,08:30,08:30,08:41
85,CES2044,TAO,08:30,08:30,08:32
86,JNA021,CEB,08:30,08:30,08:54
87,JNA281,KIX,08:30,08:30,09:09
88,JNA231,CTS,08:35,08:35,09:12
89,KAL893,PVG,08:35,08:35,09:00
90,AAR369,CAN,08:40,08:40,08:58
91,ESR601,NRT,08:40,08:40,09:06
92,CDG4620,TAO,08:45,08:45,08:52
93,CPA415,HKG,08:45,08:45,08:56
94,KAL785,KOJ,08:45,08:45,09:02
95,AAR198,NRT,08:50,10:10,10:19
96,KAL831,SHE,08:50,08:50,09:09
97,UPS186,ANC,08:50,10:15,10:14
98,CES5052,PVG,08:55,08:55,09:02
99,KAL819,CSX,08:55,08:55,09:17
100,AAR102,NRT,09:00,09:00,09:23
101,AAR132,FUK,09:00,09:00,09:16
102,AAR309,WEH,09:00,09:00,09:15
103,AAR317,TAO,09:00,09:00,09:21
104,AAR721,HKG,09:00,09:00,09:07
105,KAL691,TPE,09:00,09:00,09:25
106,KAL723,KIX,09:00,09:00,09:21
107,KAL865,CAN,09:00,09:00,09:33
108,SIA607,SIN,09:00,09:00,09:20
109,AAR303,CGQ,09:05,09:05,09:12
110,ESR611,KIX,09:05,09:05,09:15
111,KAL657,BKK,09:05,09:05,09:30
112,KAL775,KMQ,09:05,09:05,09:29
113,KAL845,TAO,09:05,09:05,09:35
114,KAL881,WUH,09:05,09:05,09:45
115,ESR931,HKG,09:10,09:10,09:23
116,JJA1302,KIX,09:10,09:10,09:26
117,KAL681,SGN,09:10,09:10,09:47
118,KAL825,YNJ,09:10,09:10,09:32
119,AAR361,PVG,09:15,09:15,09:37
120,KAL113,GUM,09:15,09:15,09:47
121,AAR351,YNJ,09:20,09:20,09:28
122,CPA421,HKG,09:20,09:20,09:39
123,KAL807,XIY,09:20,09:20,09:48
124,KAL809,CGO,09:20,09:20,09:52
125,JNA113,HKG,09:25,09:25,09:42
126,AAR152,SDJ,09:30,09:30,09:44
127,AJX8476,NRT,09:30,09:30,09:32
128,ESR641,FUK,09:35,09:35,09:49
129,JNA641,GUM,09:35,09:35,09:51
130,KAL035,ATL,09:35,09:35,10:32
131,THA659,BKK,09:35,09:35,09:50
132,XAX507,KUL,09:35,09:35,10:01
133,AAR158,KMI,09:40,09:40,10:01
134,AAR172,OKA,09:40,09:40,09:58
135,JJA8901,JMU,09:40,09:40,09:56
136,JNA081,TPE,09:40,09:40,09:54
137,KAL483,HAN,09:40,09:40,10:08
138,AAR222,JFK,09:50,,
139,AAR371,SZX,09:55,09:55,10:13
140,AFR267,CDG,09:55,09:55,10:11
141,JJA2101,HKG,09:55,09:55,10:05
142,AAR301,DLC,10:00,10:10,10:19
143,AAR711,TPE,10:00,10:00,10:17
144,ASV752,NRT,10:00,10:00,10:13
145,KAL763,KIJ,10:00,10:00,10:23
146,JJA3102,GUM,10:05,10:05,10:17
147,KAL765,CTS,10:05,10:05,10:29
148,KAL887,XMN,10:05,10:05,10:22
149,TWB291,FUK,10:05,10:05,10:14
150,CPA417,HKG,10:10,10:10,10:32
151,JJA3402,SPN,10:10,10:10,10:21
152,JNA245,OKA,10:10,10:10,10:26
153,KAL703,NRT,10:10,10:10,10:26
