,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR9871,PVG,00:05,00:05,00:14
1,AZG126,GYD,00:05,23:35,00:02
2,HKE627,HKG,00:05,23:45,00:05
3,HVN407,SGN,00:05,23:55,00:38
4,MAS039,KUL,00:10,00:10,00:17
5,SYL506,YKS,00:30,00:30,00:50
6,SIA007,SIN,00:35,00:35,00:44
7,QTR859,DOH,00:45,00:45,00:40
8,KLM856,AMS,00:55,02:30,02:46
9,AAR941,JFK,01:00,00:30,01:16
10,ETD873,AUH,01:00,01:00,00:57
11,ETH673,ADD,01:05,01:05,01:24
12,TAX703,DMK,01:05,01:05,01:18
13,AAR282,LAX,01:40,02:40,03:24
14,ABW792,SVO,01:40,01:40,01:37
15,KAL249,JFK,01:45,01:45,01:51
16,VJC839,CXR,01:50,01:50,02:07
17,PAC237,HKG,02:00,05:00,05:09
18,GEC8387,FRA,02:05,02:05,02:02
19,SHU5435,VVO,02:15,02:15,02:09
20,CEB187,MNL,03:05,03:05,03:22
21,VJC881,DAD,06:15,06:15,06:17
22,AAV605,CEB,06:20,06:20,06:25
23,HVN441,CXR,06:20,06:20,06:23
24,JNA209,NRT,06:20,06:20,06:42
25,VJC963,HAN,06:25,06:25,06:48
26,AAR8533,PUS,06:30,06:30,06:59
27,ABL7031,TNN,06:30,06:30,06:44
28,JJA1408,FUK,06:30,06:30,06:54
29,CRK647,HKG,06:45,06:45,06:57
30,JJA1304,KIX,06:45,06:45,07:42
31,VJC865,SGN,06:45,06:45,07:03
32,VJC879,DAD,07:00,07:00,07:15
33,AAR987,PVG,07:05,07:05,07:12
34,EVA149,TPE,07:10,07:10,07:27
35,JJA2201,BKK,07:10,07:10,07:32
36,JNA261,KKJ,07:10,07:10,07:35
37,JNA221,FUK,07:15,07:15,07:52
38,VJC925,HPH,07:15,07:15,07:23
39,AAR731,SGN,07:20,07:20,07:44
40,JNA077,DAD,07:20,07:20,07:48
41,TWB297,OIT,07:20,07:20,07:37
42,ASV762,KIX,07:25,07:50,08:29
43,JNA201,NRT,07:25,07:25,07:56
44,TWB125,DAD,07:25,07:25,07:58
45,TWB669,RMQ,07:25,07:25,07:40
46,APJ012,KIX,07:30,07:30,07:46
47,KAL1411,TAE,07:30,,07:50
48,ESR621,CTS,07:40,07:40,08:00
49,AAR701,MNL,07:45,07:45,08:08
50,CES5050,YNT,07:45,07:45,07:54
51,TWB201,NRT,07:45,07:45,08:06
52,JNA081,TPE,07:50,07:50,08:18
53,JNA211,KIX,07:50,07:50,08:35
54,TWB299,FUK,07:50,07:50,08:02
55,AAR112,KIX,07:55,07:55,08:17
56,AMU825,MFM,07:55,07:55,08:04
57,ESR601,NRT,08:00,08:00,08:27
58,KAL621,MNL,08:00,08:00,08:26
59,KAL747,OKJ,08:00,08:00,08:24
60,KAL787,FUK,08:00,08:00,08:21
61,KAL809,CGO,08:00,08:00,08:28
62,TWB281,KIX,08:00,08:00,08:20
63,ESR881,TPE,08:05,08:05,08:21
64,JNA645,GUM,08:05,09:07,09:07
65,KAL831,SHE,08:05,08:05,08:40
66,KAL845,TAO,08:05,08:05,08:31
67,KAL479,HAN,08:10,08:10,08:35
68,KAL603,HKG,08:10,08:10,08:33
69,AAR122,NGO,08:15,08:15,08:33
70,AAR327,TSN,08:15,08:15,08:43
71,AAR331,PEK,08:20,08:20,08:37
72,AAR727,HAN,08:20,08:20,08:41
73,JJA8401,TAO,08:20,08:20,08:49
74,JNA231,CTS,08:20,08:20,08:38
75,ASV722,NGS,08:25,08:25,08:41
76,KAL1401,PUS,08:25,08:42,08:55
77,PAL475,PPS,08:25,08:25,08:23
78,CES2044,TAO,08:30,08:30,08:46
79,JJA1102,NRT,08:30,08:30,08:51
80,KAL893,PVG,08:30,08:30,08:48
81,PAL485,CEB,08:30,08:30,08:30
82,AAR369,CAN,08:40,08:40,08:55
83,CPA415,HKG,08:40,08:40,08:51
84,ESR641,FUK,08:40,08:40,08:49
85,KAL813,HFE,08:40,08:40,09:07
86,KAL827,SZX,08:40,08:40,09:00
87,AAR132,FUK,08:45,08:45,08:59
88,CDG4620,TAO,08:45,08:45,08:53
89,ESR611,KIX,08:45,08:45,08:57
90,KAL865,CAN,08:50,08:50,09:13
91,AAR351,YNJ,08:55,08:55,09:22
92,CES5052,PVG,08:55,08:55,09:19
93,AAR102,NRT,09:00,09:00,09:23
94,AAR303,CGQ,09:00,09:00,09:09
95,AAR309,WEH,09:00,09:00,09:12
96,AAR361,PVG,09:00,09:00,09:35
97,AAR721,HKG,09:00,09:00,09:27
98,KAL819,CSX,09:00,09:00,09:33
99,SIA607,SIN,09:00,09:00,09:15
100,AAR2921,ORD,09:05,09:05,09:16
101,AAR301,DLC,09:05,09:05,09:37
102,AAR317,TAO,09:05,09:05,09:29
103,AFR267,CDG,09:05,09:05,09:25
104,JJA2601,TPE,09:05,09:05,09:31
105,KAL657,BKK,09:05,09:05,09:47
106,ASV772,OKA,09:10,09:10,09:41
107,CPA421,HKG,09:10,09:10,09:18
108,ESR931,HKG,09:10,09:10,09:43
109,JJA1302,KIX,09:10,09:10,09:20
110,KAL681,SGN,09:10,09:10,09:39
111,AAR172,OKA,09:15,09:15,09:49
112,KAL805,TSN,09:15,09:15,10:05
113,KAL807,XIY,09:15,09:15,09:45
114,KAL031,DFW,09:20,09:20,09:38
115,KAL035,ATL,09:20,09:20,09:43
116,JJA3402,SPN,09:30,09:30,09:45
117,JNA113,HKG,09:30,09:30,09:58
118,AAR152,SDJ,09:35,09:35,09:48
119,JJA1402,FUK,09:35,09:35,09:58
120,JNA205,NRT,09:35,09:35,09:53
121,KAL073,YYZ,09:35,09:35,10:00
122,KAL723,KIX,09:35,09:35,09:51
123,KAL891,YNJ,09:35,09:35,09:56
124,THA659,BKK,09:35,09:35,09:52
125,AIH221,TAO,09:40,09:40,10:00
126,ASV712,FSZ,09:40,09:40,09:57
127,JNA641,GUM,09:40,09:40,10:03
128,KAL113,GUM,09:45,09:45,10:08
129,XAX507,KUL,09:45,09:45,10:16
130,KAL613,HKG,09:50,09:50,10:09
131,UZB514,TAS,09:50,09:50,10:11
132,JJA2101,HKG,09:55,09:55,10:07
133,AAR347,XIY,10:00,10:00,10:25
134,AAR371,SZX,10:00,10:00,10:26
135,AAR711,TPE,10:00,10:00,10:22
136,ASV752,NRT,10:00,10:00,10:10
137,KAL081,JFK,10:00,10:00,10:24
138,HVN417,HAN,10:05,10:05,10:13
139,TWB291,FUK,10:05,10:05,10:15
140,APJ002,KIX,10:10,10:10,10:36
141,JJA8501,WEH,10:10,10:10,10:39
142,JJA8801,SJW,10:10,10:10,10:28
143,KAL703,NRT,10:10,10:10,10:38
144,KAL765,CTS,10:10,10:10,10:27
145,KAL981,VVO,10:10,10:10,10:32
146,AAR3533,CKG,10:15,10:15,10:34
147,CPA417,HKG,10:15,10:15,10:30
148,HVN409,SGN,10:15,10:15,10:37
149,JNA281,KIX,10:15,10:15,10:33
150,FIN42,HEL,10:20,10:20,10:41
151,KAL887,XMN,10:20,10:20,10:46
152,THA629,BKK,10:20,10:20,10:43
153,KAL093,IAD,10:30,10:30,10:53
154,BAW18,LHR,10:35,10:35,11:04
155,DAL158,DTW,10:35,10:35,10:48
156,GIA879,CGK,10:35,10:35,10:48
157,JJA1106,NRT,10:35,10:35,10:51
158,JJA3102,GUM,10:35,10:35,10:46
159,JNA245,OKA,10:35,10:35,11:15
