,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,EVA150,TPE,00:05,00:03,00:03,착륙
1,AAR994,CAN,00:20,00:14,00:14,착륙
2,KAL854,PEK,00:30,00:07,00:07,착륙
3,XAX508,KUL,00:30,00:38,00:38,착륙
4,CRK646,HKG,00:40,00:20,00:20,착륙
5,TAX702,DMK,00:50,00:41,00:41,착륙
6,AJX8475,NRT,00:55,00:44,00:44,착륙
7,AAR998,TSN,01:20,01:56,01:56,착륙
8,AAR241,SEA,02:20,02:24,02:24,착륙
9,CKK257,PVG,02:40,06:48,06:48,지연
10,PAC226,CVG,03:00,02:57,02:57,착륙
11,KAL638,HKT,03:25,03:22,03:22,착륙
12,KAL868,ULN,03:25,03:05,03:05,착륙
13,JNA080,DAD,03:55,03:25,03:25,착륙
14,AAR235,ORD,04:00,03:30,03:30,착륙
15,AAR2811,LAX,04:00,08:29,08:29,지연
16,DAL27,ATL,04:00,03:16,03:16,착륙
17,JJA2306,MNL,04:05,04:23,04:23,착륙
18,KAL086,JFK,04:10,03:34,03:34,착륙
19,UPS99,SDF,04:10,04:10,04:10,착륙
20,KAL624,MNL,04:15,03:52,03:52,착륙
21,AAR203,LAX,04:20,03:39,03:39,착륙
22,APJ809,HND,04:25,04:08,04:08,착륙
23,AAR211,SFO,04:30,03:49,03:49,착륙
24,HKE602,HKG,04:30,04:01,04:01,착륙
25,HVN440,CXR,04:30,04:06,04:06,착륙
26,KAL720,HND,04:35,04:03,04:03,착륙
27,AAR704,MNL,04:40,04:32,04:32,착륙
28,CES2023,CSX,04:40,04:43,04:43,착륙
29,TWB302,GUM,04:45,04:26,04:26,착륙
30,AAR324,CTU,04:50,04:54,04:54,착륙
31,AAV604,CEB,04:50,04:40,04:40,착륙
32,KAL012,LAX,04:50,05:05,05:05,착륙
33,KAL026,SFO,04:50,04:38,04:38,착륙
34,KAL006,LAS,04:55,04:45,04:45,착륙
35,THY6486,IST,04:55,05:07,05:07,착륙
36,AAV600,CEB,05:00,04:52,04:52,착륙
37,ESR592,DAD,05:00,04:35,04:35,착륙
38,TWB132,VTE,05:00,04:49,04:49,착륙
39,VJC880,DAD,05:00,05:21,05:21,착륙
40,AAR326,KWL,05:05,04:59,04:59,착륙
41,AAR746,HKG,05:10,05:02,05:02,착륙
42,ASV502,REP,05:20,06:13,06:13,착륙
43,KAL542,OSL,05:20,05:01,05:01,착륙
44,PAL466,MNL,05:20,05:32,05:32,착륙
45,TWB308,SPN,05:20,04:47,04:47,착륙
46,KAL464,DAD,05:25,05:15,05:15,착륙
47,KAL608,HKG,05:25,05:10,05:10,착륙
48,KAL680,HAN,05:25,04:56,04:56,착륙
49,VJC864,SGN,05:25,05:53,05:53,착륙
50,ASV532,HKG,05:30,05:23,05:23,착륙
51,VJC962,HAN,05:30,05:51,05:51,착륙
52,KAL858,PEK,05:35,05:12,05:12,착륙
53,AAR734,HAN,05:40,06:28,06:28,착륙
54,AMU826,MFM,05:40,05:34,05:34,착륙
55,CPA412,HKG,05:45,06:26,06:26,착륙
56,HVN416,HAN,05:50,05:28,05:28,착륙
57,AAR756,DAD,05:55,05:18,05:18,착륙
58,CES2015,KWL,05:55,06:05,06:05,착륙
59,KAL112,GUM,05:55,05:59,05:59,착륙
60,KAL644,SIN,05:55,05:41,05:41,착륙
61,AMX090,MEX,06:00,07:41,07:41,지연
62,ESR512,BKK,06:00,05:39,05:39,착륙
63,SBI501,OVB,06:00,06:09,06:09,착륙
64,THA688,BKK,06:00,05:45,05:45,착륙
65,VJC878,DAD,06:00,06:07,06:07,착륙
66,AAR356,CAN,06:05,05:43,05:43,착륙
67,AAR740,PNH,06:05,06:12,06:12,착륙
68,JJA2108,HKG,06:05,06:02,06:02,착륙
69,TWB122,SGN,06:05,05:37,05:37,착륙
70,JJA2004,MFM,06:10,06:17,06:17,착륙
71,KAL652,BKK,06:10,05:56,05:56,착륙
72,VJC926,HPH,06:15,05:48,05:48,착륙
73,JNA122,MFM,06:20,06:31,06:31,착륙
74,KAL482,DEL,06:20,05:58,05:58,착륙
75,JJA2502,BKI,06:25,06:18,06:18,착륙
76,KAL632,CEB,06:25,06:14,06:14,착륙
77,PAL484,CEB,06:25,06:10,06:10,착륙
78,AAR970,HKG,06:30,06:20,06:20,착륙
79,JNA024,CRK,06:30,06:29,06:29,착륙
80,KAL208,LAX,06:30,06:45,06:45,착륙
81,KAL690,PNH,06:35,06:22,06:22,착륙
82,THA658,BKK,06:35,06:25,06:25,착륙
83,TWB128,DAD,06:35,08:36,08:36,지연
84,HVN408,SGN,06:40,06:39,06:39,착륙
85,HVN430,DAD,06:40,06:43,06:43,착륙
86,JNA062,BKI,06:40,06:42,06:42,착륙
87,KAL684,SGN,06:40,06:35,06:35,착륙
88,ESR594,DAD,06:45,06:54,06:54,착륙
89,AAR708,CRK,06:50,06:34,06:34,착륙
90,JJA2406,CEB,06:50,07:52,07:52,지연
91,JJA9391,GMP,06:50,06:33,06:33,착륙
92,JNA026,CEB,06:50,06:51,06:51,착륙
93,KAL658,BKK,06:50,06:40,06:40,착륙
94,ASV101,GUM,06:55,08:58,08:58,지연
95,JJA3105,GUM,06:55,06:23,06:23,착륙
96,KAL672,KUL,06:55,07:03,07:03,착륙
97,THA656,BKK,06:55,06:46,06:46,착륙
98,AAR626,SPN,07:00,07:12,07:12,착륙
99,AAR7325,PQC,07:00,06:37,06:37,착륙
100,AAR988,PVG,07:00,08:26,08:26,지연
101,AAR752,SIN,07:05,07:37,07:37,착륙
102,JNA052,VTE,07:05,06:55,06:55,착륙
103,KAL668,CNX,07:05,06:16,06:16,착륙
104,AAR736,SGN,07:10,07:28,07:28,착륙
105,AFR264,CDG,07:10,07:17,07:17,착륙
106,ESR502,BKI,07:10,06:49,06:49,착륙
107,MAS066,KUL,07:10,07:30,07:30,착륙
108,KAL628,CGK,07:15,07:07,07:07,착륙
109,ASV512,BKI,07:20,07:10,07:10,착륙
110,HKE676,HKG,07:20,07:05,07:05,착륙
111,JNA058,HAN,07:20,07:25,07:25,착륙
112,JJA2804,HAN,07:25,07:43,07:43,착륙
113,KAL638D,HKT,07:25,07:45,07:45,착륙
114,PAC968,HKG,07:25,07:34,07:34,착륙
115,BAW17,LHR,07:30,07:22,07:22,착륙
116,KAL472,RGN,07:35,06:58,06:58,착륙
117,SIA608,SIN,07:45,07:47,07:47,착륙
118,JJA2904,DAD,07:50,09:05,09:05,지연
119,KAL214,SFO,07:50,07:00,07:00,착륙
120,KAL314,HKG,07:50,07:14,07:14,착륙
121,KAL468,CXR,07:50,07:39,07:39,착륙
122,ESR542,HAN,07:55,07:32,07:32,착륙
123,JNA060,DAD,07:55,08:10,08:10,착륙
124,VJC960,HAN,07:55,08:21,08:21,착륙
125,AAR8532,PUS,08:00,07:54,07:54,착륙
126,AAR710,CEB,08:05,08:40,08:40,착륙
127,AAR748,HKT,08:05,08:51,08:51,착륙
128,TWB622,SYX,08:05,08:04,08:04,착륙
129,UPS11,SDF,08:05,07:49,07:49,착륙
130,KAL1402,PUS,08:10,08:02,08:02,착륙
131,KAL1412,TAE,08:15,07:59,07:59,착륙
132,FIN41,HEL,08:20,07:56,07:56,착륙
133,JNA002,BKK,08:25,08:45,08:45,착륙
134,KAL320,CAN,08:25,08:15,08:15,착륙
135,KAL642,SIN,08:25,08:33,08:33,착륙
136,GIA878,CGK,08:30,08:24,08:24,착륙
137,JJA3403,SPN,08:30,08:12,08:12,착륙
138,AAR177,HND,08:35,08:38,08:38,착륙
139,JJA3107,GUM,08:35,08:35,08:35,착륙
140,KAL336,PVG,08:35,08:06,08:06,착륙
141,KZR959,ALA,08:35,08:18,08:18,착륙
142,XAX506,KUL,08:35,08:31,08:31,착륙
143,JJA2204,BKK,08:40,09:03,09:03,착륙
144,TWB102,BKK,08:40,09:00,09:00,착륙
145,AAR762,CGK,08:55,08:56,08:56,착륙
146,AHK128,HKG,08:55,08:48,08:48,착륙
147,JJA2206,BKK,09:10,09:35,09:35,착륙
148,KAL1406,PUS,09:10,09:49,09:49,지연
149,LOT97,WAW,09:10,08:43,08:43,착륙
150,AAR742,BKK,09:15,09:10,09:10,착륙
151,GIA870,DPS,09:15,09:18,09:18,착륙
152,AAR552,IST,09:20,09:39,09:39,착륙
153,KAL630,DPS,09:25,09:29,09:29,착륙
154,APJ001,KIX,09:30,09:26,09:26,착륙
155,JNA004,BKK,09:30,10:02,10:02,착륙
156,AZA758,FCO,09:40,09:41,09:41,착륙
157,DLH718,MUC,09:40,09:21,09:21,착륙
158,JJA4904,CXR,09:40,09:15,09:15,착륙
159,KAL924,SVO,09:40,09:52,09:52,착륙
160,UPS196,ANC,09:40,09:33,09:33,착륙
161,VJC862,SGN,09:40,09:47,09:47,착륙
162,ESR514,BKK,09:45,09:55,09:55,착륙
163,JJA4704,SGN,09:45,09:08,09:08,착륙
164,SIA008,SIN,09:50,09:37,09:37,착륙
165,JJA2908,DAD,10:05,09:24,09:24,착륙
166,TAX700,DMK,10:05,10:05,10:05,착륙
167,CSN685,DLC,10:20,10:10,10:10,착륙
168,KAL234,SEA,10:20,09:45,09:45,착륙
169,KAL362,HAN,10:20,10:07,10:07,착륙
170,CSA190,PRG,10:25,10:33,10:33,착륙
171,CAL164,KHH,10:30,10:30,10:30,착륙
172,GCR7993,TSN,10:30,10:25,10:25,착륙
173,CDG4095,TNA,10:45,10:37,10:37,착륙
174,CES2039,TAO,10:55,10:17,10:17,착륙
175,EVA188,RMQ,10:55,10:47,10:47,착륙
176,JNA222,FUK,10:55,11:00,11:00,착륙
177,JNA262,KKJ,10:55,10:39,10:39,착륙
178,KAL530,FRA,10:55,11:08,11:08,착륙
179,SHU5450,KHV,10:55,10:52,10:52,착륙
180,AAR115,KIX,11:00,10:59,10:59,착륙
181,CES549,YNT,11:00,10:42,10:42,착륙
182,SYL505,YKS,11:00,10:27,10:27,착륙
183,UIA170,TPE,11:00,11:01,11:01,착륙
184,CAL160,TPE,11:10,11:01,11:05,착륙
185,AFL250,SVO,11:15,11:09,11:09,착륙
186,CDG4617,TAO,11:15,10:54,10:54,착륙
187,CES5085,TNA,11:15,10:57,10:57,착륙
188,CES579,NKG,11:15,11:02,11:02,착륙
189,GTI8914,KBL,11:15,11:26,11:26,착륙
190,JJA1607,NGO,11:15,10:50,10:50,착륙
191,UPS64,ANC,11:15,12:08,12:08,착륙
192,CSN313,PVG,11:20,11:11,11:11,착륙
193,DLH712,FRA,11:20,11:24,11:24,착륙
194,KAL722,KIX,11:20,11:18,11:18,착륙
195,KAL752,NGO,11:25,11:12,11:12,착륙
196,AAR107,NRT,11:30,11:17,11:17,착륙
197,AAR368,PVG,11:30,11:31,11:31,착륙
198,ASV721,NGS,11:30,11:34,11:34,착륙
199,ASV725,KMJ,11:30,11:20,11:20,착륙
200,CCA123,PEK,11:35,11:04,11:04,착륙
201,CSN681,SHE,11:35,11:22,11:22,착륙
202,ETD876,AUH,11:35,11:29,11:29,착륙
203,TWB298,OIT,11:35,11:21,11:21,착륙
204,CCA171,TSN,11:45,11:15,11:15,착륙
205,KAL706,NRT,11:45,11:27,11:27,착륙
206,AAR247,ATL,11:50,21:44,21:44,지연
207,AAR542,FRA,11:50,11:53,11:53,착륙
208,JJA1303,KIX,11:50,11:48,11:48,착륙
209,KAL936,PRG,11:50,11:14,11:14,착륙
210,ASV761,KIX,11:55,11:58,11:58,착륙
211,CES5041,PVG,11:55,11:56,11:56,착륙
212,CSN6079,WUH,11:55,11:32,11:32,착륙
213,KAL1404,PUS,11:55,11:50,,결항
214,KAL896,PVG,11:55,11:55,11:55,착륙
215,HKE618,HKG,12:00,11:46,11:46,착륙
216,KAL748,OKJ,12:00,12:09,12:09,착륙
217,KAL788,FUK,12:00,11:56,11:56,착륙
218,CCA139,HGH,12:05,12:14,12:14,착륙
219,KAL952,DXB,12:05,11:37,11:37,착륙
220,TWB606,TNA,12:05,12:03,12:03,착륙
221,AAR792,FRA,12:10,12:11,12:11,착륙
222,APG884,MNL,12:10,12:13,12:13,착륙
223,CES2033,TAO,12:10,12:15,12:15,착륙
224,KAL846,TAO,12:10,12:00,12:00,착륙
225,SHU5436,VVO,12:10,11:44,11:44,착륙
226,CSN687,CGQ,12:20,12:25,12:25,착륙
227,ESR642,FUK,12:20,12:07,12:07,착륙
228,FDX5132,MEM,12:20,12:40,12:40,착륙
229,JJA8402,TAO,12:20,12:06,12:06,착륙
230,SHU5496,UUS,12:25,12:18,12:18,착륙
231,AAR588,JFK,12:30,12:29,12:29,착륙
232,AIC310,BOM,12:30,12:22,12:22,착륙
233,CPA438,HKG,12:35,13:07,13:07,착륙
234,JNA212,KIX,12:35,14:15,14:15,지연
235,AAR111,KIX,12:40,12:59,12:59,착륙
236,AAR302,DLC,12:40,12:38,12:38,착륙
237,AAR768,DEL,12:40,13:28,13:28,착륙
238,CCA401,CTU,12:40,12:21,12:21,착륙
239,KAL776,KMQ,12:40,12:24,12:24,착륙
240,CDG4087,TAO,12:50,13:26,13:26,착륙
241,MGL301,ULN,12:50,12:36,12:36,착륙
242,AAR318,TAO,12:55,13:37,13:37,착륙
243,KAL906,FRA,12:55,12:53,12:53,착륙
244,THY88,IST,12:55,12:56,12:56,착륙
245,AAR131,FUK,13:00,12:44,12:44,착륙
246,AAR328,TSN,13:00,12:42,12:42,착륙
247,ESR612,KIX,13:00,12:48,12:48,착륙
248,AAR121,NGO,13:05,12:54,12:54,착륙
249,ASV713,FSZ,13:10,13:02,13:02,착륙
250,ASV731,HIJ,13:10,13:10,13:10,착륙
251,CCA143,YNJ,13:10,12:49,12:49,착륙
252,TWB282,KIX,13:10,12:51,12:51,착륙
253,CES2017,WEH,13:15,13:43,13:43,착륙
254,CES5021,TAO,13:15,12:44,12:44,착륙
255,KAL832,SHE,13:15,13:04,13:04,착륙
256,JNA202,NRT,13:20,13:34,13:34,착륙
257,CSN6073,YNJ,13:25,12:57,12:57,착륙
258,CES5061,PVG,13:30,13:14,13:14,착륙
259,KAL918,ZRH,13:35,12:47,12:47,착륙
260,TWB670,RMQ,13:35,13:17,13:17,착륙
261,HKE630,HKG,13:40,13:30,13:30,착륙
262,TWB292,FUK,13:45,15:59,15:59,지연
263,AAR332,PEK,13:50,13:32,13:32,착륙
264,AAR502,CDG,13:50,14:34,14:34,착륙
265,JJA1301,KIX,13:50,13:40,13:40,착륙
266,AAR562,FCO,13:55,14:39,14:39,착륙
267,ACA063,YVR,13:55,14:23,14:23,착륙
268,CSN337,CAN,13:55,13:48,13:48,착륙
269,CSZ9033,SZX,13:55,13:50,13:50,착륙
270,ESR882,TPE,13:55,13:46,13:46,착륙
271,JJA8502,WEH,14:00,13:58,13:58,착륙
272,JNA082,TPE,14:00,14:06,14:06,착륙
273,AMU820,MFM,14:05,14:09,14:09,착륙
274,CPA410,HKG,14:05,14:30,14:30,착륙
275,ESR622,CTS,14:10,14:04,14:04,착륙
276,JJA1401,FUK,14:10,14:02,14:02,착륙
277,KAL806,TSN,14:10,14:01,14:01,착륙
278,KAL810,CGO,14:10,13:55,13:55,착륙
279,KAL724,KIX,14:15,14:13,14:13,착륙
280,KAL894,PVG,14:20,14:25,14:25,착륙
281,PAC989,CVG,14:20,13:52,13:52,착륙
282,APJ005,KIX,14:25,14:36,14:36,착륙
283,AAR304,CGQ,14:30,14:17,14:17,착륙
