,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,ETH673,NRT,00:05,23:16,00:01,착륙
1,KAL854,PEK,00:30,00:17,00:17,착륙
2,PAC237,CVG,00:30,03:55,03:55,지연
3,AAR2911,ORD,00:40,01:05,01:05,착륙
4,CRK646,HKG,01:20,01:01,01:01,착륙
5,JNA080,DAD,03:55,02:45,02:45,착륙
6,DAL27,ATL,04:00,04:31,04:31,착륙
7,JJA2306,MNL,04:05,03:49,03:49,착륙
8,KAL086,JFK,04:10,03:57,03:57,착륙
9,UPS37,ONT,04:10,04:04,04:04,착륙
10,KAL624,MNL,04:15,03:52,03:52,착륙
11,AAR1073,HND,04:20,04:16,04:16,착륙
12,AAR203,LAX,04:20,03:43,03:43,착륙
13,APJ809,HND,04:25,04:08,04:08,착륙
14,AAR211,SFO,04:30,03:27,03:27,착륙
15,HVN440,CXR,04:30,03:59,03:59,착륙
16,JJA1281,HND,04:30,04:44,04:44,착륙
17,KAL720,HND,04:35,04:01,04:01,착륙
18,AAR704,MNL,04:40,05:06,05:06,착륙
19,CES2023,CSX,04:40,04:56,04:56,착륙
20,TWB302,GUM,04:45,04:46,04:46,착륙
21,AAR324,CTU,04:50,04:34,04:34,착륙
22,AAV604,CEB,04:50,04:28,04:28,착륙
23,KAL012,LAX,04:50,04:11,04:11,착륙
24,KAL026,SFO,04:50,04:13,04:13,착륙
25,KAL886,KMG,04:50,04:18,04:18,착륙
26,AAR322,CSX,04:55,05:02,05:02,착륙
27,ESR592,DAD,05:00,04:54,04:54,착륙
28,ESR992,VVO,05:00,04:36,04:36,착륙
29,TWB132,VTE,05:00,04:48,04:48,착륙
30,VJC880,DAD,05:00,05:04,05:04,착륙
31,AAR326,KWL,05:05,04:50,04:50,착륙
32,AAR746,HKG,05:10,04:52,04:52,착륙
33,ASV502,REP,05:20,04:42,04:42,착륙
34,PAL466,MNL,05:20,05:00,05:00,착륙
35,TWB308,SPN,05:20,04:40,04:40,착륙
36,KAL464,DAD,05:25,05:08,05:08,착륙
37,KAL608,HKG,05:25,05:10,05:10,착륙
38,KAL680,HAN,05:25,04:58,04:58,착륙
39,KAL868D,ULN,05:25,05:51,05:51,착륙
40,VJC864,SGN,05:25,05:37,05:37,착륙
41,ASV532,HKG,05:30,05:19,05:19,착륙
42,VJC962,HAN,05:30,05:17,05:17,착륙
43,AAR734,HAN,05:40,05:39,05:39,착륙
44,AMU826,MFM,05:40,05:30,05:30,착륙
45,AAR358,CAN,05:45,05:15,05:15,착륙
46,CPA412,HKG,05:45,05:24,05:24,착륙
47,TWB110,MFM,05:45,05:41,05:41,착륙
48,HVN416,HAN,05:50,05:22,05:22,착륙
49,AAR756,DAD,05:55,05:13,05:13,착륙
50,KAL112,GUM,05:55,05:49,05:49,착륙
51,KAL316,PVG,05:55,06:22,06:22,착륙
52,KAL644,SIN,05:55,05:55,05:55,착륙
53,AAR626,SPN,06:00,05:32,05:32,착륙
54,AAR9881,PVG,06:00,06:09,06:09,착륙
55,AMX090,MEX,06:00,04:38,04:38,착륙
56,ESR512,BKK,06:00,05:34,05:34,착륙
57,VJC878,DAD,06:00,05:58,05:58,착륙
58,AAR740,PNH,06:05,06:00,06:00,착륙
59,JJA2108,HKG,06:05,06:08,06:08,착륙
60,JNA122,MFM,06:05,06:14,06:14,착륙
61,AAR752,SIN,06:10,06:11,06:11,착륙
62,JJA2004,MFM,06:10,06:12,06:12,착륙
63,KAL652,BKK,06:10,05:53,05:53,착륙
64,JNA024,CRK,06:15,06:10,06:10,착륙
65,VJC926,HPH,06:15,05:27,05:27,착륙
66,AAR802A,GMP,06:25,06:25,06:29,착륙
67,JJA2502,BKI,06:25,06:24,06:24,착륙
68,JNA062,BKI,06:25,06:03,06:03,착륙
69,KAL632,CEB,06:25,06:26,06:26,착륙
70,PAL484,CEB,06:25,06:07,06:07,착륙
71,KAL474,MLE,06:30,06:13,06:13,착륙
72,PAL474,PPS,06:30,05:47,05:47,착륙
73,KAL690,PNH,06:35,06:19,06:19,착륙
74,THA658,BKK,06:35,06:17,06:17,착륙
75,TWB128,DAD,06:35,06:38,06:38,착륙
76,AAR285,SFO,06:40,07:16,07:16,착륙
77,ASV101,GUM,06:40,06:47,06:47,착륙
78,HVN408,SGN,06:40,06:24,06:24,착륙
79,HVN430,DAD,06:40,06:05,06:05,착륙
80,KAL482,DEL,06:40,06:01,06:01,착륙
81,KAL684,SGN,06:40,06:15,06:15,착륙
82,ESR594,DAD,06:45,06:21,06:21,착륙
83,AAR708,CRK,06:50,06:31,06:31,착륙
84,JJA2406,CEB,06:50,07:22,07:22,착륙
85,JNA026,CEB,06:50,07:13,07:13,착륙
86,KAL658,BKK,06:50,06:27,06:27,착륙
87,JJA3105,GUM,06:55,06:33,06:33,착륙
88,KAL672,KUL,06:55,06:35,06:35,착륙
89,THA656,BKK,06:55,07:04,07:04,착륙
90,JNA096,JHB,07:00,07:26,07:26,착륙
91,KAL8258,JFK,07:00,07:18,07:18,착륙
92,JNA052,VTE,07:05,07:02,07:02,착륙
93,KAL668,CNX,07:05,06:02,06:02,착륙
94,LAO921,VTE,07:05,06:30,06:30,착륙
95,AAR736,SGN,07:10,07:12,07:12,착륙
96,AFR264,CDG,07:10,06:57,06:57,착륙
97,ESR502,BKI,07:10,07:05,07:05,착륙
98,MAS066,KUL,07:10,07:07,07:07,착륙
99,KAL628,CGK,07:15,07:00,07:00,착륙
100,ASV512,BKI,07:20,07:30,07:30,착륙
101,JJA4304,VTE,07:20,07:10,07:10,착륙
102,JNA058,HAN,07:20,07:39,07:39,착륙
103,JJA2804,HAN,07:25,07:59,07:59,착륙
104,BAW17,LHR,07:30,07:15,07:15,착륙
105,KAL634,DPS,07:30,07:37,07:37,착륙
106,KAL472,RGN,07:35,07:47,07:47,착륙
107,TWB122,SGN,07:35,07:08,07:08,착륙
108,KAL942,TAS,07:45,08:29,08:29,착륙
109,SIA608,SIN,07:45,07:34,07:34,착륙
110,AAR578,ALA,07:50,07:53,07:53,착륙
111,JJA2904,DAD,07:50,07:58,07:58,착륙
112,KAL214,SFO,07:50,07:20,07:20,착륙
113,KAL314,HKG,07:50,07:31,07:31,착륙
114,KAL468,CXR,07:50,07:24,07:24,착륙
115,ESR542,HAN,07:55,07:28,07:28,착륙
116,JNA060,DAD,07:55,08:21,08:21,착륙
117,VJC960,HAN,07:55,07:56,07:56,착륙
118,AAR8532,PUS,08:00,07:49,07:49,착륙
119,AAR710,CEB,08:05,07:51,07:51,착륙
120,JNA644,GUM,08:05,08:04,08:04,착륙
121,KAL1412,TAE,08:05,07:45,07:45,착륙
122,KAL1402,PUS,08:10,08:14,08:14,착륙
123,KAL678,ROR,08:10,07:43,07:43,착륙
124,FIN41,HEL,08:20,08:02,08:02,착륙
125,KAL8206,GDL,08:20,08:08,08:08,착륙
126,JNA002,BKK,08:25,08:31,08:31,착륙
127,KAL320,CAN,08:25,08:10,08:10,착륙
128,KAL646,SIN,08:25,08:24,08:24,착륙
129,FDX5926,LAX,08:30,08:05,08:05,착륙
130,GIA878,CGK,08:30,08:36,08:36,착륙
131,JJA3403,SPN,08:30,08:12,08:12,착륙
132,AAR177,HND,08:35,08:19,08:19,착륙
133,UZB513,TAS,08:35,08:17,08:17,착륙
134,XAX506,KUL,08:35,08:38,08:38,착륙
135,ASV552,DAD,08:40,09:06,09:06,착륙
136,JJA2204,BKK,08:40,08:26,08:26,착륙
137,TWB102,BKK,08:40,08:53,08:53,착륙
138,KAL638,HKT,08:50,08:33,08:33,착륙
139,AAR574,TAS,08:55,08:43,08:43,착륙
140,AAR762,CGK,08:55,09:01,09:01,착륙
141,KAL362,HAN,09:05,08:40,08:40,착륙
142,JJA2206,BKK,09:10,09:08,09:08,착륙
143,AAR742,BKK,09:15,08:55,08:55,착륙
144,GIA870,DPS,09:15,09:03,09:03,착륙
145,KAL630,DPS,09:25,09:16,09:16,착륙
146,APJ001,KIX,09:30,09:11,09:11,착륙
147,AAR748,HKT,09:35,09:33,09:33,착륙
148,AAR552,IST,09:40,10:20,10:20,착륙
149,AZA758,FCO,09:40,09:29,09:29,착륙
150,ESR9322,HKG,09:40,09:27,09:27,착륙
151,JJA4904,CXR,09:40,08:51,08:51,착륙
152,KAL924,SVO,09:40,09:13,09:13,착륙
153,VJC862,SGN,09:40,09:37,09:37,착륙
154,JJA4704,SGN,09:45,08:58,08:58,착륙
155,KZR909,ALA,09:45,09:35,09:35,착륙
156,JJA2466,CEB,09:50,09:57,09:57,착륙
157,SIA008,SIN,09:50,09:23,09:23,착륙
158,AAR610,ROR,09:55,09:43,09:43,착륙
159,JJA2908,DAD,10:05,09:20,09:20,착륙
160,TAX700,DMK,10:05,10:02,10:02,착륙
161,AAR754,SIN,10:15,09:59,09:59,착륙
162,CSN685,DLC,10:20,10:08,10:08,착륙
163,JJA1407,FUK,10:25,10:04,10:04,착륙
164,CAL164,KHH,10:30,10:15,10:15,착륙
165,CSN637,CGQ,10:30,09:54,09:54,착륙
166,GCR7993,TSN,10:30,10:32,10:32,착륙
167,CDG4095,TNA,10:45,10:18,10:18,착륙
168,CSN683,HRB,10:45,10:30,10:30,착륙
169,CES2039,TAO,10:55,10:27,10:27,착륙
170,JNA222,FUK,10:55,11:03,11:03,착륙
171,JNA262,KKJ,10:55,10:41,10:41,착륙
172,KAL530,FRA,10:55,10:54,10:54,착륙
173,AAR115,KIX,11:00,11:00,11:00,착륙
174,CES549,YNT,11:00,10:45,10:45,착륙
175,EVA170,TPE,11:00,10:58,10:58,착륙
176,AAR782,FRA,11:05,14:19,14:19,지연
177,CAL160,TPE,11:10,11:05,11:04,착륙
178,AFL250,SVO,11:15,11:06,11:06,착륙
179,CDG4617,TAO,11:15,10:49,10:49,착륙
180,CES579,NKG,11:15,10:56,10:56,착륙
181,JJA1607,NGO,11:15,10:52,10:52,착륙
182,CSN313,PVG,11:20,11:18,11:18,착륙
183,DLH712,FRA,11:20,11:10,11:10,착륙
184,KAL722,KIX,11:20,11:12,11:12,착륙
185,KAL752,NGO,11:25,11:16,11:16,착륙
186,AAR107,NRT,11:30,11:09,11:09,착륙
187,AAR368,PVG,11:30,11:21,11:21,착륙
188,CCA123,PEK,11:35,11:25,11:25,착륙
189,CSN681,SHE,11:35,11:07,11:07,착륙
190,ETD876,AUH,11:35,11:44,11:44,착륙
191,SHU5436,VVO,11:35,11:14,11:14,착륙
192,TWB298,OIT,11:35,11:52,11:52,착륙
193,CCA171,TSN,11:45,11:34,11:34,착륙
194,KAL706,NRT,11:45,11:30,11:30,착륙
195,SHU5450,KHV,11:45,11:47,11:29,착륙
196,AAR542,FRA,11:50,11:49,11:49,착륙
197,JJA1303,KIX,11:50,11:32,11:32,착륙
198,KAL938,VIE,11:50,11:37,11:37,착륙
199,ASV761,KIX,11:55,12:42,12:42,착륙
200,CES5041,PVG,11:55,11:56,11:56,착륙
201,CSN6079,WUH,11:55,11:27,11:27,착륙
202,KAL1404,PUS,11:55,11:46,11:46,착륙
203,KAL896,PVG,11:55,12:03,12:03,착륙
204,TWB300,FUK,11:55,11:42,11:42,착륙
205,HKE618,HKG,12:00,11:39,11:39,착륙
206,KAL748,OKJ,12:00,12:06,12:06,착륙
207,KAL788,FUK,12:00,11:53,11:53,착륙
208,CCA139,HGH,12:05,12:13,12:13,착륙
209,KAL952,DXB,12:05,12:11,12:11,착륙
210,KAL9576,MXP,12:05,12:02,12:02,착륙
211,APG884,MNL,12:10,13:14,13:14,지연
212,CES2033,TAO,12:10,11:41,11:41,착륙
213,KAL846,TAO,12:10,12:09,12:09,착륙
214,CSN687,CGQ,12:15,11:58,11:58,착륙
215,FDX5235,MEM,12:15,12:22,12:22,착륙
216,AAR310,WEH,12:20,12:07,12:07,착륙
217,ESR642,FUK,12:20,12:00,12:00,착륙
218,JJA8402,TAO,12:20,12:15,12:15,착륙
219,AFR262,CDG,12:25,12:30,12:30,착륙
220,AIC310,BOM,12:30,12:17,12:17,착륙
221,CPA438,HKG,12:35,12:31,12:31,착륙
222,JNA212,KIX,12:35,12:35,12:35,착륙
223,AAR111,KIX,12:40,12:48,12:48,착륙
224,AAR302,DLC,12:40,12:33,12:33,착륙
225,AAR768,DEL,12:40,14:11,14:11,지연
226,CCA401,CTU,12:40,12:20,12:20,착륙
227,ASV721,NGS,12:45,12:24,12:24,착륙
228,CDG4087,TAO,12:50,12:55,12:55,착륙
229,MGL301,ULN,12:50,12:28,12:28,착륙
230,AAR318,TAO,12:55,12:59,12:59,착륙
231,KAL906,FRA,12:55,12:46,12:46,착륙
232,THY88,IST,12:55,12:40,12:40,착륙
233,AAR131,FUK,13:00,12:44,12:44,착륙
234,AAR328,TSN,13:00,13:21,13:21,착륙
235,ESR612,KIX,13:00,13:03,13:03,착륙
236,AAR121,NGO,13:05,12:56,12:56,착륙
237,FDX5128,ANC,13:05,12:37,12:37,착륙
238,AAR988,PVG,13:10,13:05,13:05,착륙
239,CCA143,YNJ,13:10,12:38,12:38,착륙
240,KAL284,ORD,13:10,12:19,12:19,착륙
241,TWB282,KIX,13:10,12:53,12:53,착륙
242,AIH222,TAO,13:15,13:24,13:24,착륙
243,CES2017,WEH,13:15,13:01,13:01,착륙
244,CES5021,TAO,13:15,12:50,12:50,착륙
245,KAL832,SHE,13:15,12:52,12:52,착륙
246,JNA202,NRT,13:20,13:34,13:34,착륙
247,CSN6073,YNJ,13:25,12:57,12:57,착륙
248,KAL956,IST,13:25,13:18,13:18,착륙
249,TWB670,RMQ,13:35,13:33,13:33,착륙
250,CCA135,PEK,13:40,13:45,13:45,착륙
251,TWB292,FUK,13:45,13:29,13:29,착륙
252,AAR332,PEK,13:50,13:38,13:38,착륙
253,JJA1301,KIX,13:50,13:27,13:27,착륙
254,KAL930,LED,13:50,13:42,13:42,착륙
255,AAR562,FCO,13:55,14:07,14:07,착륙
256,ACA063,YVR,13:55,13:40,13:40,착륙
257,CSN337,CAN,13:55,13:26,13:26,착륙
258,CSZ9033,SZX,13:55,13:47,13:47,착륙
259,ESR882,TPE,13:55,14:00,14:00,착륙
260,JJA8502,WEH,14:00,13:36,13:36,착륙
261,JNA082,TPE,14:00,13:49,13:49,착륙
262,AMU820,MFM,14:05,14:05,14:05,착륙
263,CPA410,HKG,14:05,13:55,13:55,착륙
264,ESR622,CTS,14:10,14:09,14:09,착륙
265,JJA1401,FUK,14:10,13:57,13:57,착륙
266,KAL806,TSN,14:10,14:54,14:54,착륙
