,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,EVA150,TPE,00:05,00:36,00:36
1,PAC213,CVG,00:35,00:23,00:23
2,KAL854,PEK,00:45,00:17,00:17
3,CKS232,CVG,01:00,00:59,00:59
4,APJ701,CTS,01:10,01:02,01:02
5,AAR281,LAX,02:00,02:21,02:21
6,ESR872,PVG,02:30,02:29,02:29
7,CKK257,PVG,02:40,02:19,02:19
8,KAL868,ULN,03:25,03:12,03:12
9,PAC224,CVG,03:35,03:46,03:46
10,AAR235,ORD,04:00,03:37,03:37
11,DAL27,ATL,04:00,03:29,03:29
12,JNA080,DAD,04:05,03:01,03:01
13,KAL086,JFK,04:10,04:00,04:00
14,JJA2306,MNL,04:15,04:19,04:19
15,JNA126,MFM,04:15,03:53,03:53
16,AAR203,LAX,04:20,03:34,03:34
17,APJ809,HND,04:25,04:13,04:13
18,CRK646,HKG,04:25,03:55,03:55
19,AAR211,SFO,04:30,03:21,03:43
20,HVN440,CXR,04:30,04:05,04:05
21,KAL026,SFO,04:30,03:49,03:49
22,VJC836,CXR,04:30,05:30,05:30
23,ESR992,VVO,04:35,04:03,04:03
24,KAL624,MNL,04:35,03:57,03:57
25,KAL720,HND,04:35,04:22,04:22
26,TAX704,DMK,04:35,04:57,04:57
27,AAR322,CSX,04:40,04:24,04:24
28,AAR704,MNL,04:40,04:42,04:42
29,TWB302,GUM,04:45,04:27,04:27
30,AAR324,CTU,04:50,04:17,04:17
31,AAV704,KLO,04:50,05:23,05:23
32,KAL012,LAX,04:50,05:06,05:06
33,KAL886,KMG,04:50,04:32,04:32
34,AAV700,KLO,04:55,04:11,04:11
35,KAL006,LAS,04:55,04:37,04:37
36,AAV600,CEB,05:00,04:44,04:44
37,ESR592,DAD,05:00,04:50,04:50
38,TWB132,VTE,05:00,04:54,04:54
39,VJC880,DAD,05:00,04:59,04:59
40,AAR326,KWL,05:05,04:52,04:52
41,KAL696,KTM,05:05,05:16,05:16
42,AAR746,HKG,05:10,04:47,04:47
43,JNA064,BKI,05:10,04:35,04:35
44,CES2023,CSX,05:20,04:39,04:39
45,PAL466,MNL,05:20,05:01,05:01
46,APG036,KLO,05:25,05:11,05:11
47,KAL464,DAD,05:25,05:04,05:04
48,KAL608,HKG,05:25,05:09,05:09
49,KAL680,HAN,05:25,05:13,05:13
50,VJC864,SGN,05:25,07:39,07:39
51,ASV502,HKG,05:30,05:18,05:18
52,JJA4206,CNX,05:30,04:30,04:30
53,VJC962,HAN,05:30,05:35,05:35
54,AAR734,HAN,05:40,05:26,05:26
55,DLH718,MUC,05:40,05:40,05:40
56,AAR356,CAN,05:45,05:21,05:21
57,GTI8059,RMS,05:45,06:55,06:50
58,TWB108,MFM,05:45,05:56,05:56
59,HVN416,HAN,05:50,05:33,05:33
60,AAR756,DAD,05:55,06:10,06:10
61,CPA412,HKG,05:55,06:04,06:04
62,KAL316,PVG,05:55,05:44,05:44
63,ESR512,BKK,06:00,05:42,05:42
64,KAL612,HKG,06:00,05:46,05:46
65,KAL644,SIN,06:00,05:37,05:37
66,THA688,BKK,06:00,06:02,06:02
67,VJC878,DAD,06:00,06:14,06:14
68,JJA2108,HKG,06:05,05:54,05:54
69,JNA122,MFM,06:05,05:58,05:58
70,TWB122,SGN,06:05,06:06,06:06
71,KAL658,BKK,06:10,05:49,05:49
72,KAL8468,CXR,06:10,05:51,05:51
73,VJC926,HPH,06:15,05:28,05:28
74,AAR752,SIN,06:20,06:08,06:08
75,JJA2004,MFM,06:25,06:25,06:25
76,JJA2508,BKI,06:25,06:32,06:32
77,KAL632,CEB,06:25,06:12,06:12
78,PAL484,CEB,06:25,06:21,06:21
79,AAR970,HKG,06:30,06:00,06:00
80,JNA024,CRK,06:30,06:27,06:27
81,KAL482,DEL,06:30,06:16,06:16
82,THA658,BKK,06:35,06:18,06:18
83,TWB128,DAD,06:35,07:21,07:21
84,HVN408,SGN,06:40,06:35,06:35
85,HVN430,DAD,06:40,06:34,06:34
86,JNA062,BKI,06:40,06:22,06:22
87,KAL684,SGN,06:40,06:31,06:31
88,KAL690,PNH,06:40,06:42,06:42
89,ESR594,DAD,06:45,07:13,07:13
90,AAR708,CRK,06:50,06:47,06:47
91,ASV1021,GUM,06:50,19:53,19:53
92,KAL672,KUL,06:50,06:29,06:29
93,RBA651,BWN,06:50,06:28,06:28
94,JJA2406,CEB,06:55,06:57,06:57
95,JJA3105,GUM,06:55,19:14,19:14
96,KAL652,BKK,06:55,06:37,06:37
97,THA656,BKK,06:55,06:43,06:43
98,AAR988,PVG,07:00,07:18,07:18
99,ASV532,KLO,07:00,06:52,06:52
100,LAO921,VTE,07:05,07:02,07:02
101,AAR736,SGN,07:10,07:42,07:42
102,CEB180,KLO,07:10,06:39,06:39
103,ESR502,BKI,07:10,06:45,06:45
104,MAS066,KUL,07:10,07:11,07:11
105,AAR740,PNH,07:15,07:04,07:04
106,AFR264,CDG,07:15,07:16,07:16
107,KAL628,CGK,07:15,06:40,06:40
108,ASV542,BKI,07:20,06:59,06:59
109,JJA4304,VTE,07:20,06:54,06:54
110,JNA058,HAN,07:20,07:05,07:05
111,JJA2804,HAN,07:25,07:56,07:56
112,JJA8602,SYX,07:30,07:10,07:10
113,BAW17,LHR,07:35,06:23,07:49
114,KAL472,RGN,07:35,07:07,07:07
