,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
136,VJC960,HAN,07:55,10:09,10:09
137,AAR8532,PUS,08:00,07:55,07:55
138,JJA2904,DAD,08:05,11:21,11:21
139,TWB622,SYX,08:05,07:35,07:35
140,KAL1402,PUS,08:10,07:43,07:43
141,KAL1410,TAE,08:15,08:00,08:00
142,FIN41,HEL,08:20,07:48,07:48
143,JNA028,CEB,08:20,10:16,10:16
144,JJA8608,HAK,08:25,08:24,08:24
145,JNA002,BKK,08:25,09:37,09:37
146,KAL320,CAN,08:25,09:42,09:42
147,KAL646,SIN,08:25,09:50,09:50
148,GIA878,CGK,08:30,08:48,08:48
149,JNA032,CRK,08:30,08:29,08:27
150,VJC990,CXR,08:30,08:43,08:43
151,AAR177,HND,08:35,08:15,08:15
152,JJA3403,SPN,08:35,07:57,07:57
153,KAL336,PVG,08:35,08:08,08:08
154,KZR959,ALA,08:35,08:37,08:37
155,XAX506,KUL,08:35,08:31,08:31
156,JJA2204,BKK,08:40,09:29,09:29
157,TWB102,BKK,08:40,09:56,09:56
158,AAR762,CGK,08:55,09:32,09:32
159,AHK128,HKG,08:55,08:50,08:50
160,KAL638,HKT,08:55,08:45,08:45
161,JJA3451,SPN,09:00,09:07,09:07
162,JNA012,BKK,09:00,08:52,08:52
163,JNA038,CEB,09:00,09:22,09:22
164,JJA4056,SIN,09:10,09:20,09:20
165,KAL1406,PUS,09:10,09:16,09:16
166,LOT97,WAW,09:10,09:46,09:46
167,AAR742,BKK,09:15,08:57,08:57
168,ASV512,DAD,09:15,09:48,09:48
169,GIA870,DPS,09:15,09:25,09:25
170,KAL630,DPS,09:15,09:09,09:09
171,AAR552,IST,09:20,09:44,09:44
172,JJA2206,BKK,09:20,10:22,10:22
173,AAR780,DAD,09:30,09:02,09:02
174,AAR8533,ICN,09:30,09:34,09:34
175,APJ001,KIX,09:30,09:14,09:14
176,TWB164,HAN,09:30,10:14,10:14
177,AAR748,HKT,09:35,10:04,10:04
178,AZA758,FCO,09:40,10:00,10:00
179,JJA4908,CXR,09:40,10:37,10:37
180,KAL662,BKK,09:40,09:24,09:24
181,KAL924,SVO,09:40,09:40,09:40
182,UPS196,ANC,09:40,09:18,09:18
183,VJC862,SGN,09:40,10:25,10:25
184,ESR514,BKK,09:45,11:12,11:12
185,JJA4704,SGN,09:45,10:29,10:29
186,SIA612,SIN,09:50,09:51,09:51
187,TWB158,CXR,10:00,13:10,13:10
188,JJA2500,BKI,10:05,11:09,11:09
189,TAX700,DMK,10:05,09:54,09:54
190,VJC982,HAN,10:10,09:58,10:02
191,JJA2408,CEB,10:15,11:02,11:02
192,CSN685,DLC,10:20,10:18,10:18
193,CSA190,PRG,10:25,12:09,12:09
194,CAL164,KHH,10:30,10:36,10:36
195,GCR7993,TSN,10:30,10:50,10:50
196,XAX518,KUL,10:30,10:20,10:20
197,JJA2252,BKK,10:40,11:09,11:09
198,CDG4095,TNA,10:45,10:48,10:48
199,JJA2452,CEB,10:50,11:00,11:00
200,CES549,YNT,10:55,11:16,11:16
201,EVA188,RMQ,10:55,10:34,10:34
202,JNA222,FUK,10:55,11:40,11:40
203,KAL530,FRA,10:55,11:11,11:11
204,SHU5450,KHV,10:55,10:41,10:41
205,AAR115,KIX,11:00,10:39,10:39
206,CES2039,TAO,11:00,11:07,11:07
207,UIA170,TPE,11:00,11:15,11:15
208,AFL250,SVO,11:10,10:54,10:54
209,CAL160,TPE,11:10,11:24,11:43
210,KAL920,ZAG,11:10,11:04,11:04
211,CDG4617,TAO,11:15,11:38,11:38
212,CES5085,TNA,11:15,10:52,10:52
213,CES579,NKG,11:15,11:48,11:48
214,JJA1607,NGO,11:15,10:43,10:43
215,UPS64,ANC,11:15,12:37,12:37
216,CSN313,PVG,11:20,12:20,12:20
217,DLH712,FRA,11:20,11:18,11:18
218,KAL722,KIX,11:20,10:58,10:58
219,KAL752,NGO,11:25,11:06,11:06
220,AAR107,NRT,11:30,11:16,11:16
221,AAR368,PVG,11:30,12:53,12:40
222,ASV764,KMJ,11:30,11:35,11:35
223,CCA123,PEK,11:35,11:19,11:19
224,CSN681,SHE,11:35,11:24,11:24
