,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,JJA4603,CRK,00:10,00:10,00:33
1,ETD873,AUH,00:15,00:15,00:48
2,TAX703,DMK,00:20,00:20,00:41
3,THY91,IST,00:30,00:30,00:39
4,VJC875,DAD,00:30,00:10,00:45
5,QTR859,DOH,00:35,00:35,00:44
6,KLM856,AMS,00:55,00:55,01:02
7,CKS257,ANC,01:15,01:15,01:48
8,VJC975,PQC,01:45,01:45,02:20
9,VJC839,CXR,01:50,01:50,02:06
10,KAL335,PVG,01:55,01:55,02:17
11,GAP2483,TAG,02:30,02:30,02:29
12,CEB187,MNL,02:35,02:55,03:09
13,PAC997,PVG,05:00,05:00,05:23
14,PAC225,CVG,05:30,05:30,05:51
15,AAR803A,GMP,06:00,06:00,06:12
16,JJA1764,MYJ,06:00,06:00,06:09
17,HVN441,CXR,06:15,06:15,06:21
18,JJA2201,BKK,06:15,06:15,06:35
19,VJC881,DAD,06:15,06:15,06:45
20,VJC837,CXR,06:20,06:20,06:41
21,AAV601,CEB,06:25,06:25,06:38
22,HVN9409,DLI,06:25,06:25,06:29
23,VJC963,HAN,06:25,06:25,06:53
24,AAR8533,PUS,06:30,,06:43
25,APV1103,MWX,06:30,08:35,08:48
26,CRK647,HKG,06:30,06:30,06:48
27,AAR801A,GMP,06:45,08:30,09:25
28,VJC865,SGN,06:45,06:45,07:07
29,AAV701,KLO,06:50,06:50,06:57
30,ESR633,OKA,06:50,06:50,07:09
31,JNA221,FUK,06:50,06:50,07:21
32,APG037,KLO,06:55,06:55,06:50
33,QTR8983,DOH,06:55,06:55,07:38
34,EVA149,TPE,07:00,07:00,07:19
35,SWM212,REP,07:00,07:00,07:12
36,TWB205,NRT,07:00,07:00,07:17
37,TWB237,NGO,07:00,07:00,07:14
38,VJC879,DAD,07:00,07:00,07:23
39,ASV762,KIX,07:15,07:15,07:31
40,JJA1904,CTS,07:15,07:15,07:28
41,VJC925,HPH,07:15,07:15,07:29
42,JNA261,KKJ,07:20,07:20,07:40
43,TWB297,OIT,07:20,07:20,07:35
44,CES5050,YNT,07:25,07:25,07:34
45,ESR621,CTS,07:25,07:25,07:46
46,JJA1100,NRT,07:25,07:25,07:50
47,TWB669,RMQ,07:25,07:25,07:48
48,AAR731,SGN,07:30,07:30,07:54
49,APJ012,KIX,07:30,07:30,07:43
50,JJA1408,FUK,07:30,08:00,08:17
51,JNA201,NRT,07:30,07:30,07:56
52,PAL485,CEB,07:30,07:30,07:42
53,TWB607,TAO,07:30,07:30,07:52
54,AAR701,MNL,07:35,07:35,07:58
55,KAL1411,TAE,07:35,,08:00
56,AMU825,MFM,07:40,07:40,08:02
57,JNA077,DAD,07:40,07:40,08:28
58,TWB125,DAD,07:45,07:45,08:05
59,TWB201,NRT,07:45,07:45,08:03
60,JNA063,BKI,07:50,07:50,08:19
61,CEB181,KLO,07:55,07:55,08:17
62,KAL621,MNL,07:55,07:55,08:50
63,ESR881,TPE,08:00,08:00,08:11
64,JNA211,KIX,08:00,08:00,08:14
65,KAL787,FUK,08:00,08:00,08:55
66,PAL489,KLO,08:00,08:00,08:09
67,AAR112,KIX,08:05,08:05,08:29
68,KAL479,HAN,08:05,08:05,08:24
69,KAL747,OKJ,08:05,08:05,09:01
70,AAR122,NGO,08:10,08:10,08:50
71,JJA1102,NRT,08:10,08:10,08:32
72,PAL467,MNL,08:10,08:10,08:15
73,KAL827,SZX,08:15,08:15,08:41
74,AAR727,HAN,08:20,08:20,08:34
75,JJA8401,TAO,08:20,08:20,08:32
76,KAL603,HKG,08:20,08:20,08:43
77,KAL1401,PUS,08:25,,08:46
78,AAR353,CKG,08:30,08:30,09:10
79,AAR369,CAN,08:30,08:30,08:47
80,AAR7511,CJU,08:30,09:00,09:28
81,CES2044,TAO,08:30,08:30,08:39
82,JNA021,CEB,08:30,08:30,08:55
83,JNA281,KIX,08:30,08:30,08:48
84,ASV7528,NRT,08:35,08:35,08:58
85,JNA231,CTS,08:35,09:25,10:10
86,KAL893,PVG,08:35,08:35,09:05
87,ESR601,NRT,08:40,08:40,08:53
88,CDG4620,TAO,08:45,08:45,08:57
89,CPA415,HKG,08:45,08:45,09:14
90,KAL785,KOJ,08:45,08:45,09:16
91,KAL831,SHE,08:50,08:50,09:47
92,AAR132,FUK,08:55,08:55,09:09
93,AAR327,TSN,08:55,08:55,09:12
94,CES5052,PVG,08:55,08:55,09:16
95,KAL819,CSX,08:55,08:55,09:33
96,KAL865,CAN,08:55,08:55,09:31
97,AAR102,NRT,09:00,10:00,10:00
98,AAR309,WEH,09:00,09:00,09:29
99,AAR317,TAO,09:00,09:00,09:20
100,AAR721,HKG,09:00,09:00,09:22
101,KAL691,TPE,09:00,09:00,09:38
102,KAL723,KIX,09:00,09:00,09:44
103,SIA607,SIN,09:00,09:00,09:18
104,AAR303,CGQ,09:05,09:05,09:35
105,AAR361,PVG,09:05,09:05,09:26
106,ASV744,YGJ,09:05,09:05,09:27
107,ESR611,KIX,09:05,09:05,09:12
108,KAL775,KMQ,09:05,09:05,09:30
109,KAL845,TAO,09:05,09:05,09:24
110,KAL891,YNJ,09:05,09:05,09:37
111,ESR931,HKG,09:10,09:40,09:55
112,JJA1302,KIX,09:10,09:10,09:49
113,KAL681,SGN,09:10,09:10,09:41
114,KAL809,CGO,09:10,09:10,09:40
115,AAR174,CTS,09:15,09:15,09:34
116,CPA421,HKG,09:15,09:15,10:12
117,JNA113,HKG,09:15,09:15,09:45
118,KAL113,GUM,09:15,09:15,09:42
119,KAL657,BKK,09:15,09:15,09:48
120,KAL881,WUH,09:15,09:15,09:54
121,AAR351,YNJ,09:20,09:20,10:03
122,KAL807,XIY,09:20,09:20,09:58
123,AAR152,SDJ,09:30,09:30,09:52
124,ESR641,FUK,09:35,09:35,09:56
125,JNA641,GUM,09:35,09:35,10:13
126,KAL035,ATL,09:35,09:35,10:15
127,THA659,BKK,09:35,09:35,09:52
128,XAX507,KUL,09:35,09:35,09:50
129,AAR158,KMI,09:40,09:40,10:09
130,AAR172,OKA,09:40,09:50,10:27
131,AAR301,DLC,09:40,09:40,10:12
132,JJA8901,JMU,09:40,09:40,10:06
133,JNA081,TPE,09:40,09:40,09:59
134,AAR711,TPE,09:45,10:00,10:34
135,AAR371,SZX,09:55,10:05,10:17
136,AFR267,CDG,09:55,09:55,10:38
137,JJA2101,HKG,09:55,09:55,10:05
138,KAL703,NRT,09:55,09:55,10:32
139,ASV752,NRT,10:00,10:00,10:23
140,JJA8701,YNT,10:00,10:00,10:19
141,KAL081,JFK,10:00,10:00,10:36
142,KAL483,HAN,10:00,10:00,10:29
143,TWB3301,GUM,10:00,10:00,10:17
144,AAR531,VCE,10:05,10:05,10:32
145,JJA3102,GUM,10:05,10:05,10:21
146,KAL765,CTS,10:05,10:05,10:30
147,KAL887,XMN,10:05,10:05,10:24
148,KAL981,VVO,10:05,10:05,10:25
149,CPA417,HKG,10:10,10:10,10:39
150,JJA3402,SPN,10:10,10:10,10:28
151,JNA245,OKA,10:10,12:20,12:49
152,TWB291,FUK,10:10,10:10,10:25
153,HVN409,SGN,10:15,10:15,10:45
154,KAL093,IAD,10:15,10:15,10:43
155,KAL805,TSN,10:15,10:15,10:35
156,KAL031,DFW,10:20,10:20,10:56
157,KAL073,YYZ,10:20,10:20,11:07
158,APJ002,KIX,10:25,10:25,10:46
159,AAR572,KHV,10:30,10:30,10:43
160,JNA085,DAD,10:30,10:30,11:11
161,KAL767,AOJ,10:30,10:30,10:50
162,GIA879,CGK,10:35,10:35,10:53
163,HVN417,HAN,10:35,10:35,10:50
164,JJA1106,NRT,10:35,10:35,10:53
165,JJA1402,FUK,10:35,10:35,10:48
166,KAL741,NGO,10:35,10:35,10:59
167,JJA2901,DAD,10:40,10:40,10:57
168,JJA8501,WEH,10:40,10:40,10:55
169,KAL037,ORD,10:40,12:02,12:02
170,KAL613,HKG,10:40,10:40,11:22
171,BAW18,LHR,10:45,10:45,11:17
172,HVN431,DAD,10:45,10:45,11:01
173,JJA2601,TPE,10:45,10:45,11:05
174,AAR222,JFK,10:50,10:50,11:12
175,AAR363,PVG,10:50,10:50,11:15
176,DAL158,DTW,10:50,10:50,11:02
177,THA657,BKK,10:50,10:50,11:19
178,VJC863,SGN,10:50,10:50,11:44
179,CSN340,HAK,10:55,10:55,11:09
180,AAR541,FRA,11:00,11:00,11:37
181,MAS067,KUL,11:00,11:00,11:28
182,FIN42,HEL,11:05,11:05,11:30
183,KAL727,KIX,11:05,11:05,11:40
184,KAL745,FUK,11:05,11:05,11:35
185,UZB512,TAS,11:05,11:05,11:24
186,VJC961,HAN,11:05,11:05,11:42
187,JJA1602,NGO,11:10,11:10,11:46
188,KAL485,DAD,11:10,11:10,11:56
189,KAL855,PEK,11:10,11:10,12:04
190,KAL897,PVG,11:10,11:10,11:53
191,TWB251,CTS,11:10,11:10,11:26
192,CSN686,DLC,11:20,11:20,11:33
193,SWM214,REP,11:20,11:20,11:48
194,TAX701,DMK,11:20,11:20,11:51
195,KAL921,ZRH,11:25,11:25,12:11
196,ESR631,OKA,11:30,11:30,11:58
197,GIA871,DPS,11:35,11:35,12:05
198,LAO922,VTE,11:35,11:35,12:00
199,EVA169,TPE,11:40,11:40,12:10
200,CAL165,KHH,11:45,11:45,12:14
201,CDG4096,TNA,11:45,11:45,12:07
202,PAC237,HKG,11:45,11:45,12:17
203,ASV792,CTS,11:55,11:55,12:21
204,CES2040,TAO,11:55,11:55,12:15
205,CES550,YNT,12:00,12:00,12:23
206,CSN314,PVG,12:00,12:00,12:19
207,JJA972F,TAE,12:00,12:00,12:25
208,JNA223,FUK,12:00,12:00,12:29
209,GCR7994,TSN,12:10,12:10,12:31
210,CES218,YNZ,12:15,12:15,12:27
211,JJA2001,MFM,12:15,12:55,13:09
212,CDG4618,TAO,12:20,12:20,12:34
213,AAR339,HRB,12:25,12:25,12:37
214,AMX091,MEX,12:25,12:25,12:44
215,CAL161,TPE,12:25,12:25,13:32
216,AAR349,NKG,12:30,12:30,12:55
217,AAR359,HGH,12:30,12:30,13:06
218,AAR501,CDG,12:30,12:30,12:50
219,TWB283,KIX,12:30,12:30,12:53
220,KAL817,TXN,12:35,12:35,12:57
221,AAR134,FUK,12:40,12:40,12:59
222,SIA611,SIN,12:40,12:40,13:04
223,CCA172,TSN,12:45,12:45,12:59
224,CSN682,SHE,12:45,12:45,12:46
225,HKE619,HKG,12:45,12:45,12:53
226,KAL951,DXB,12:45,12:45,13:02
227,CCA140,HGH,12:50,12:50,13:11
228,KAL869,DLC,12:50,12:50,13:07
229,KAL935,PRG,12:50,12:50,13:14
230,APG885,MNL,12:55,12:55,13:25
231,CES5042,PVG,12:55,12:55,13:18
232,KAL795,CTS,12:55,12:55,13:16
233,KAL847,TNA,12:55,12:55,13:16
234,AAR333,PEK,13:00,13:00,13:20
235,KAL867,ULN,13:00,13:00,13:30
236,KAL907,LHR,13:00,13:00,13:23
237,SHU5497,UUS,13:00,13:00,13:07
238,CCA124,PEK,13:05,13:05,13:40
239,KAL861,TAO,13:05,13:05,13:46
240,KAL923,SVO,13:05,13:05,13:38
241,TWB275,KMJ,13:05,13:05,13:12
242,ASV764,KIX,13:10,13:10,13:29
243,KAL789,FUK,13:10,13:10,13:25
244,AFL251,SVO,13:15,13:15,13:49
245,CES2034,TAO,13:15,13:15,13:34
246,CSN688,CGQ,13:20,13:20,13:27
247,EVA171,KHH,13:20,13:20,13:36
248,JJA1902,CTS,13:20,14:10,14:27
249,KAL791,OIT,13:20,13:20,13:37
250,KAL905,FRA,13:20,13:20,13:51
251,MGL302,ULN,13:20,13:20,13:43
252,UPS64,ANC,13:30,13:30,13:58
253,CCA136,PEK,13:35,13:35,14:03
254,CPA433,HKG,13:35,13:35,13:53
255,ESR623,CTS,13:35,13:35,13:47
256,KAL839,WEH,13:35,13:35,14:06
257,KAL915,BCN,13:35,13:35,13:56
258,SHU5437,VVO,13:35,13:35,13:40
259,TWB207,NRT,13:35,13:35,13:50
260,FDX5391,MEM,13:40,13:40,14:04
261,CCA402,CTU,13:45,13:45,14:00
262,KAL601,HKG,13:45,13:45,14:12
263,AIC317,BOM,13:50,13:50,14:08
264,KAL927,MXP,13:50,13:50,14:10
265,AZA759,FCO,13:55,13:55,14:18
266,CXA872,XMN,13:55,13:55,14:16
267,AAR713,TPE,14:00,14:00,14:24
268,CDG4088,TAO,14:00,14:00,14:25
269,CES2018,WEH,14:00,14:00,14:14
270,KAL909,CDG,14:00,14:00,14:30
271,AMU819,MFM,14:05,14:05,14:20
272,ASV784,UBJ,14:05,14:05,14:18
273,CCA144,YNJ,14:05,14:05,14:22
274,AAR114,KIX,14:10,14:10,14:23
275,KAL1403,PUS,14:10,,14:25
276,AAR319,TAO,14:15,14:15,14:28
277,KAL955,IST,14:15,14:15,14:44
278,TWB271,OKA,14:15,14:15,15:12
279,AAR307,YNT,14:20,14:20,14:37
280,CES5022,TAO,14:20,14:20,14:40
281,JNA233,CTS,14:20,14:20,14:38
282,AAR365,PVG,14:25,15:10,15:26
283,ASV774,OKA,14:25,14:25,14:49
284,JJA5102,VVO,14:25,14:25,15:19
285,AAR521,LHR,14:30,14:30,14:57
286,CES5062,PVG,14:30,14:30,14:42
287,KAL017,LAX,14:30,14:30,14:55
288,KAL833,SHE,14:30,14:30,14:50
289,CSN6074,YNJ,14:35,14:35,14:34
290,KAL643,SIN,14:35,14:35,15:03
291,KAL735,OKA,14:35,14:35,15:06
292,AAR202,LAX,14:40,14:40,15:23
293,FDX5230,IND,14:40,14:40,14:53
294,ESR651,KOJ,14:45,14:45,15:04
295,ASV704,TAK,14:50,14:50,15:18
296,CSN338,CAN,14:50,14:50,15:00
297,JJA1104,NRT,14:50,14:50,16:05
298,TWB295,HSG,14:50,14:50,15:13
299,CSZ9034,SZX,14:55,14:55,15:16
300,JJA1802,OKA,15:00,15:00,15:21
301,JNA213,KIX,15:00,15:00,15:27
302,AAR335,PEK,15:05,15:05,15:33
303,CPA411,HKG,15:05,15:05,15:29
304,KAL627,CGK,15:05,15:05,15:39
305,CCA132,PEK,15:10,15:10,15:49
306,KAL725,KIX,15:10,15:10,15:31
307,ESR613,KIX,15:20,15:20,16:09
308,JNA203,NRT,15:20,15:20,15:37
309,CDG4082,TAO,15:25,15:25,15:35
310,DLH713,FRA,15:25,15:25,15:41
311,JJA4501,KHH,15:25,15:25,15:56
312,JJA8503,WEH,15:25,15:25,15:52
313,AAR124,NGO,15:30,15:30,15:58
314,JJA1404,FUK,15:30,15:30,15:47
315,ESR603,NRT,15:40,15:40,15:53
316,AAR106,NRT,15:45,15:45,16:01
317,APJ006,KIX,15:45,15:45,16:16
318,CCA740,WNZ,15:50,15:50,16:03
319,ESR643,FUK,15:50,15:50,16:14
320,KAL019,SEA,15:50,15:50,16:21
321,CCA440,CKG,15:55,15:55,16:07
322,XAX505,KUL,15:55,15:55,16:19
323,KAL023,SFO,16:00,16:00,16:24
324,SBI556,VVO,16:00,16:00,16:12
325,CES268,YNT,16:05,17:15,17:29
326,JJA1308,KIX,16:05,16:05,16:27
327,CSN3062,CAN,16:15,16:15,16:23
328,JNA061,BKI,16:15,16:15,16:33
329,CES5034,PVG,16:20,16:20,16:37
330,KAL693,TPE,16:20,16:20,16:43
