,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,KAL857,PEK,00:05,23:40,00:02
1,KAL9525,MXP,00:05,23:40,00:04
2,CEB129,CEB,00:10,00:30,01:02
3,MAS039,KUL,00:10,01:25,02:03
4,ETD873,AUH,00:15,00:15,00:16
5,TAX703,DMK,00:20,00:20,00:27
6,SIA007,SIN,00:25,00:25,00:30
7,GTI2688,JFK,00:30,01:20,01:38
8,QTR859,DOH,00:30,00:30,00:34
9,THY91,IST,00:40,00:40,00:55
10,KLM856,AMS,00:55,00:55,01:04
11,AAR987,PVG,01:05,01:05,01:13
12,CKS257,HKG,01:25,01:25,02:08
13,ABW692,SVO,01:50,01:50,02:00
14,VJC839,CXR,01:50,01:50,02:26
15,KAL335,PVG,02:05,02:05,02:37
16,GEC8385,FRA,02:10,02:10,02:05
17,CEB187,MNL,02:30,02:30,02:53
18,GAP2483,TAG,02:30,02:30,02:50
19,AAR242,SEA,03:30,03:30,03:42
20,CKK258,PVG,03:45,03:40,04:09
21,AZG129,GYD,04:00,10:30,10:45
22,AAR286,SFO,04:40,05:05,05:15
23,HKE615,HKG,04:55,04:55,05:12
24,PAC227,CVG,05:00,05:00,05:07
25,AJX8478,NRT,05:15,05:15,05:18
26,JNA934,GMP,05:30,05:30,06:38
27,THY6487,IST,05:35,16:20,16:55
28,UPS99,ANC,05:45,10:07,10:26
29,PIC195,DAD,06:10,06:10,06:24
30,VJC881,DAD,06:15,06:15,07:22
31,AAV601,CEB,06:20,06:20,06:35
32,AAV705,KLO,06:20,06:20,06:27
33,JCC802,REP,06:20,06:20,06:29
34,VJC963,HAN,06:25,06:25,07:25
35,CRK627,HKG,06:30,06:30,06:31
36,ESR633,OKA,06:30,06:50,07:14
37,JJA779M,TNN,06:30,06:30,06:58
38,AAV701,KLO,06:45,06:45,06:47
39,VJC865,SGN,06:45,06:45,07:27
40,VJC879,DAD,06:45,06:45,07:17
41,TWB289,KIX,06:50,09:30,09:44
42,APG037,KLO,06:55,06:55,07:01
43,EVA149,TPE,07:00,07:00,07:09
44,JJA1304,KIX,07:00,07:00,07:20
45,JJA2463,CEB,07:00,07:00,07:07
46,SWM212,REP,07:00,07:00,07:12
47,ASV762,KIX,07:05,07:05,07:36
48,JNA221,FUK,07:05,07:05,07:30
49,PAL489,KLO,07:10,07:10,07:42
50,VJC925,HPH,07:15,09:00,09:37
51,TWB297,OIT,07:20,07:20,07:32
52,ASV726,KMJ,07:25,07:25,07:50
53,CES5050,YNT,07:25,07:25,07:46
54,ESR621,CTS,07:25,07:25,07:39
55,TWB671,KHH,07:25,07:25,07:34
56,AAR731,SGN,07:30,07:30,07:52
57,APJ012,KIX,07:30,07:30,07:44
58,JNA261,KKJ,07:30,07:30,07:48
59,PAL485,CEB,07:30,07:30,07:59
60,QTR8983,DOH,07:30,08:15,08:49
61,TWB607,TAO,07:30,09:30,10:13
62,JJA1408,FUK,07:35,07:35,07:54
63,JNA201,NRT,07:35,07:35,08:01
64,KAL1413,TAE,07:35,07:35,08:08
65,AMU825,MFM,07:40,07:40,07:57
66,JNA077,DAD,07:40,07:40,08:04
67,SWM214,REP,07:40,07:40,08:22
68,TWB125,DAD,07:45,07:45,08:06
69,TWB201,NRT,07:45,07:45,08:09
70,AAR701,MNL,07:50,07:50,08:13
71,ASV714,FSZ,07:55,07:55,08:27
72,ASV722,NGS,07:55,07:55,08:21
73,CEB181,KLO,07:55,07:55,08:29
74,ESR881,TPE,07:55,07:55,08:11
75,KAL621,MNL,07:55,07:55,08:25
76,TWB281,KIX,07:55,09:40,11:21
77,AAR1525,AXT,08:00,08:00,08:30
78,JNA211,KIX,08:00,08:00,08:19
79,KAL529,FRA,08:00,08:00,08:17
80,KAL787,FUK,08:00,08:00,08:25
81,PAL487,KLO,08:00,08:00,08:16
82,AAR112,KIX,08:05,08:05,08:45
83,KAL747,OKJ,08:05,08:05,08:23
84,AAR327,TSN,08:10,08:10,08:27
85,JJA1102,NRT,08:10,08:10,08:33
86,KAL479,HAN,08:10,08:10,08:31
87,PAL467,MNL,08:10,11:20,11:50
88,AAR122,NGO,08:15,08:15,08:41
89,KAL827,SZX,08:15,08:15,08:37
90,PAC968,LAX,08:15,08:15,08:56
91,AAR331,PEK,08:20,08:20,08:55
92,AAR727,HAN,08:20,08:20,08:35
93,JJA8401,TAO,08:20,08:20,08:39
94,KAL1401,PUS,08:25,08:25,08:47
95,KAL603,HKG,08:25,08:25,08:46
96,AAR353,CKG,08:30,08:30,08:42
97,AAR793,FRA,08:30,09:30,10:03
98,AAR951,HAN,08:30,08:30,08:56
99,CES2044,TAO,08:30,08:30,08:33
100,JNA021,CEB,08:30,08:30,08:52
101,JNA231,CTS,08:35,08:35,08:53
102,KAL893,PVG,08:35,08:35,09:02
103,AAR369,CAN,08:40,08:40,09:00
104,ESR601,NRT,08:40,08:40,09:00
105,CDG4620,TAO,08:45,08:45,08:58
106,CPA415,HKG,08:45,08:45,08:50
107,KAL831,SHE,08:50,08:50,09:19
108,CES5052,PVG,08:55,08:55,09:11
109,JNA281,KIX,08:55,08:55,09:23
110,KAL819,CSX,08:55,08:55,09:23
111,AAR102,NRT,09:00,09:00,09:38
112,AAR132,FUK,09:00,09:00,09:20
113,AAR317,TAO,09:00,09:00,09:27
114,AAR721,HKG,09:00,09:00,09:17
115,KAL691,TPE,09:00,09:00,09:32
116,KAL723,KIX,09:00,09:00,09:47
117,KAL741,NGO,09:00,09:00,09:18
118,KAL865,CAN,09:00,09:00,09:44
119,SIA607,SIN,09:00,09:00,09:15
120,AAR303,CGQ,09:05,09:05,09:53
121,AAR361,PVG,09:05,09:05,09:47
122,ESR611,KIX,09:05,09:05,09:26
123,KAL657,BKK,09:05,09:05,09:42
124,KAL775,KMQ,09:05,09:05,09:29
125,KAL823D,MDG,09:05,09:05,09:36
126,KAL845,TAO,09:05,09:05,09:39
127,KAL881,WUH,09:05,09:05,09:31
128,ASV732,HIJ,09:10,09:10,09:34
129,ESR931,HKG,09:10,09:10,09:29
130,JJA1302,KIX,09:10,09:10,09:31
131,KAL681,SGN,09:10,09:10,09:51
132,KAL825,YNJ,09:10,09:10,10:07
133,KAL113,GUM,09:15,09:15,09:54
134,AAR351,YNJ,09:20,09:20,09:57
135,CPA421,HKG,09:20,09:20,09:48
136,KAL807,XIY,09:20,09:20,10:10
137,KAL813,HFE,09:20,09:20,09:59
138,JNA113,HKG,09:25,09:25,09:55
139,AAR152,SDJ,09:30,09:30,09:53
140,ESR641,FUK,09:35,09:35,09:42
141,JNA641,GUM,09:35,09:35,09:58
142,KAL035,ATL,09:35,09:35,10:09
143,KAL461,DAD,09:35,09:35,10:19
144,THA659,BKK,09:35,09:35,10:01
145,XAX507,KUL,09:35,12:55,13:16
146,AAR301,DLC,09:40,09:40,10:21
147,ESR617,KIX,09:40,09:40,09:56
148,JJA8901,JMU,09:40,09:40,10:31
149,JNA081,TPE,09:40,09:40,10:05
150,KAL483,HAN,09:40,09:40,10:15
151,AAR172,OKA,09:45,09:45,10:11
152,AAR371,SZX,09:55,09:55,10:25
153,AFR267,CDG,09:55,09:55,10:24
154,JJA2101,HKG,09:55,09:55,10:33
155,UPS11,SDF,09:55,10:05,10:28
156,AAR711,TPE,10:00,10:00,10:39
157,ASV752,NRT,10:00,10:00,10:12
158,JJA8501,WEH,10:00,10:00,10:17
159,KAL081,JFK,10:00,11:00,11:58
160,JJA3102,GUM,10:05,10:05,10:28
161,KAL763,KIJ,10:05,12:05,12:28
162,KAL765,CTS,10:05,10:05,10:42
163,KAL823,MDG,10:05,10:05,10:52
164,KAL887,XMN,10:05,10:05,10:41
165,TWB291,FUK,10:05,12:30,12:43
166,AAR347,XIY,10:10,10:10,10:49
167,CPA417,HKG,10:10,10:10,10:37
168,JJA3402,SPN,10:10,10:10,10:30
169,JNA245,OKA,10:10,10:10,10:44
170,KAL703,NRT,10:10,10:10,11:00
171,KAL981,VVO,10:10,10:10,11:06
172,HVN409,SGN,10:15,11:05,12:07
173,KAL093,IAD,10:15,10:35,11:08
174,KAL805,TSN,10:15,10:15,11:19
175,KAL073,YYZ,10:20,10:20,10:52
176,APJ002,KIX,10:25,10:25,10:46
177,JNA039,KLO,10:30,10:30,10:56
178,KAL767,AOJ,10:30,10:30,10:49
179,AAR791,FRA,10:35,10:00,10:35
180,GIA879,CGK,10:35,10:35,11:10
181,HVN417,HAN,10:35,10:35,10:53
182,JJA1106,NRT,10:35,10:35,10:56
183,JJA1402,FUK,10:35,10:35,10:57
184,JAL954,NRT,10:40,10:40,11:11
185,JJA1704,MYJ,10:40,10:40,11:02
