,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,CPA418,HKG,00:20,01:08,01:08
1,XAX508A,KUL,00:50,00:43,00:43
2,KAL854,PEK,01:00,01:14,01:14
3,ETH673,NRT,01:10,01:23,01:23
4,JJA8404,TAO,01:30,01:59,01:59
5,CKK257,PVG,01:50,02:24,02:24
6,AAR996A,PEK,02:00,04:06,04:06
7,GTI2678,JFK,02:25,17:56,17:56
8,PAC582,CVG,03:30,03:28,03:28
9,KAL624,MNL,04:00,04:14,04:14
10,VJC838,CXR,04:00,04:55,04:55
11,JNA062,BKI,04:15,03:57,03:57
12,HKE614,HKG,04:20,04:02,04:02
13,CRK646,HKG,04:25,05:22,05:22
14,HVN440,CXR,04:25,05:42,05:42
15,AAR704,MNL,04:30,04:19,04:19
16,AAV600,CEB,04:30,04:12,04:12
17,PAC717,LAX,04:30,10:24,10:24
18,PIC1194,DAD,04:30,04:46,04:46
19,VJC836,CXR,04:30,06:15,06:15
20,APJ809,HND,04:35,04:32,04:32
21,JJA2306,MNL,04:40,03:50,03:50
22,KAL152,KWE,04:40,04:21,04:21
23,CES2023,CSX,04:50,05:13,05:13
24,KAL720,HND,04:50,04:16,04:16
25,AAR324,CTU,04:55,05:02,05:02
26,AAV700,KLO,04:55,04:24,04:24
27,KAL680,HAN,04:55,04:53,04:53
28,AAR235,ORD,05:00,04:09,04:09
29,AAR322,CSX,05:00,05:00,05:00
30,AAR746,HKG,05:00,04:26,04:26
31,ESR592,DAD,05:00,04:29,04:29
32,KAL658,BKK,05:00,04:34,04:34
33,TWB132,VTE,05:00,04:43,04:43
34,KAL886,KMG,05:05,04:51,04:51
35,TWB302,GUM,05:05,04:37,04:37
36,VJC880,DAD,05:05,05:04,05:04
37,KAL012,LAX,05:10,05:31,05:31
38,KAL006,LAS,05:15,05:28,05:28
39,KAL086,JFK,05:15,04:40,04:40
40,AAR203,LAX,05:20,05:44,05:44
41,KAL608,HKG,05:20,05:06,05:06
42,CPA412,HKG,05:25,05:07,05:07
43,SWM211,REP,05:25,05:11,05:11
44,VJC864,SGN,05:25,05:17,05:17
45,VJC962,HAN,05:25,05:40,05:40
46,AAR211,SFO,05:30,05:19,05:19
47,AAR358,CAN,05:30,05:31,05:31
48,HVN416,HAN,05:30,05:10,05:10
49,KAL026,SFO,05:30,05:18,05:18
50,KAL650,MNL,05:30,05:26,05:26
51,KAL696,KTM,05:30,04:58,04:58
52,ASV542,KLO,05:35,04:48,04:48
53,KAL464,DAD,05:35,05:25,05:25
54,KAL632,CEB,05:35,05:35,05:35
55,AAR756,DAD,05:40,05:08,05:08
56,AMU826,MFM,05:40,05:36,05:36
57,JNA004,BKK,05:40,05:27,05:27
58,AAR734,HAN,05:45,05:21,05:21
59,DAL27,ATL,05:45,05:15,05:15
60,JNA052,VTE,05:45,05:29,05:29
61,KAL644,SIN,05:45,05:32,05:32
62,ASV532,HKG,05:50,05:53,05:53
63,PAL466,MNL,05:50,05:16,05:16
64,APG036,KLO,05:55,05:23,05:23
65,JJA2108,HKG,05:55,06:03,06:03
66,PAL484,CEB,06:00,07:29,07:29
67,VJC878,DAD,06:00,06:09,06:09
68,VJC926,HPH,06:00,07:00,07:00
69,JJA4206,CNX,06:05,06:01,06:01
70,THA688,BKK,06:05,05:49,05:49
71,TWB148,CRK,06:05,05:46,05:46
72,KAL482,DEL,06:10,06:11,06:11
73,KAL684,SGN,06:10,06:25,06:25
74,TWB108,MFM,06:10,06:06,06:06
75,KAL668,CNX,06:15,06:10,06:10
76,PAC224,CVG,06:15,05:38,05:38
77,ESR512,BKK,06:20,05:33,05:33
78,JNA026,CEB,06:20,06:37,06:37
79,KAL112,GUM,06:20,05:51,05:51
80,KAL612,HKG,06:20,06:36,06:36
81,JNA024,CRK,06:25,06:50,06:50
82,JNA058,HAN,06:25,06:16,06:16
83,AAR708,CRK,06:30,08:00,08:00
84,AAR970,HKG,06:30,06:15,06:15
85,HVN408,SGN,06:30,06:12,06:12
86,MAS066,KUL,06:30,06:21,06:21
87,AAR752,SIN,06:35,06:28,06:28
88,JNA122,MFM,06:35,06:57,06:57
89,THA658,BKK,06:35,05:58,05:58
90,AAR626,SPN,06:40,06:18,06:18
91,ESR502,BKI,06:40,06:22,06:22
92,JJA3105,GUM,06:40,06:10,06:10
93,KAL652,BKK,06:40,06:20,06:20
94,ASV101,GUM,06:45,14:18,
95,JJA4304,VTE,06:45,06:41,06:41
96,KAL690,PNH,06:45,06:33,06:33
97,KAL628,CGK,06:50,06:31,06:31
98,AAR742,BKK,06:55,06:30,06:30
99,AAR988,PVG,06:55,07:09,07:09
100,ESR582,PQC,06:55,08:18,08:18
101,THA656,BKK,06:55,06:26,06:26
102,TWB128,DAD,06:55,06:46,06:46
103,KAL316,PVG,07:00,06:24,06:24
104,PAL488,KLO,07:00,06:05,06:05
