,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR951,HAN,00:05,00:05,00:08
1,AIH511,HAN,00:05,00:05,00:02
2,AJX8480,OKA,00:05,00:05,00:34
3,APG7047,CEB,00:05,00:05,00:36
4,CDG8072,TAO,00:05,23:45,00:00
5,KAL859,PEK,00:05,00:05,00:11
6,PAC715,PVG,00:05,00:05,00:20
7,QDA9902,TAO,00:05,00:05,00:12
8,SIA603,SIN,00:05,00:05,00:06
9,TWB165,HAN,00:05,00:24,00:24
10,UAE323,DXB,00:05,,00:03
11,CEB187,MNL,00:45,02:00,01:50
12,APG889Y,MNL,00:50,00:50,00:58
13,ETD873,AUH,00:55,00:55,01:13
14,KLM856,AMS,00:55,00:55,01:11
15,KAL8287,LAX,01:00,01:00,00:51
16,AAR987,PVG,01:05,01:05,01:19
17,ETH673,ADD,01:05,01:05,01:16
18,TAX703,DMK,01:05,01:40,01:48
19,QTR859,DOH,01:15,01:15,01:21
20,AFL253,SVO,01:45,01:45,01:54
21,KAL335,PVG,01:45,01:45,01:41
22,VJC975,PQC,01:45,01:45,01:58
23,VJC839,CXR,01:50,01:50,01:52
24,KAL541,OSL,02:30,02:30,02:37
25,APJ702,CTS,02:40,02:40,02:53
26,PAC225,CVG,04:35,04:35,05:27
27,CKS232,ANC,04:45,04:45,05:20
28,KAL2943,SIN,04:45,04:45,05:15
29,CKK258,PVG,04:55,05:40,05:44
30,PAC997,PVG,05:00,06:00,06:04
31,PAC969,HKG,05:15,05:15,05:38
32,ETH3728,HKG,05:30,05:30,05:40
33,JJA1408,FUK,05:40,05:40,05:56
34,ICV8732,MXP,05:45,05:45,06:09
35,TAX705,DMK,05:50,05:50,06:07
36,TWB205,NRT,06:00,06:00,06:24
37,AAV705,KLO,06:10,07:26,07:15
38,AAV601,CEB,06:15,06:15,07:26
39,APG037,KLO,06:15,06:15,06:31
40,VJC837,CXR,06:15,07:20,07:22
41,VJC881,DAD,06:15,07:50,07:58
42,AAV701,KLO,06:20,06:20,07:03
43,HVN441,CXR,06:20,06:20,06:33
44,JJA3100,GUM,06:25,06:25,06:41
45,VJC963,HAN,06:25,06:25,07:13
46,AAR803A,GMP,06:30,06:30,06:44
47,AAR8533,PUS,06:30,06:30,06:42
48,JJA2201,BKK,06:30,06:30,06:46
49,VJC865,SGN,06:45,06:45,07:32
50,JJA1904,CTS,06:50,06:50,07:10
51,CRK647,HKG,06:55,09:20,10:03
52,TWB337,GUM,06:55,06:55,07:09
53,ASV737,OKA,07:00,07:00,07:21
54,VJC879,DAD,07:00,08:00,08:28
55,ESR605,NRT,07:05,07:05,07:18
56,JJA1304,KIX,07:10,07:10,07:28
57,JNA261,KKJ,07:10,07:10,07:25
58,ASV711,KIX,07:15,07:15,07:36
59,JNA221,FUK,07:15,07:15,07:46
60,VJC925,HPH,07:15,07:15,07:34
61,AAR731,SGN,07:20,07:20,08:05
62,JNA077,DAD,07:20,07:20,07:50
63,TWB103,HKT,07:20,07:20,07:40
64,JNA201,NRT,07:25,07:25,07:57
65,TWB297,OIT,07:25,07:25,07:42
66,TWB669,RMQ,07:25,07:25,07:53
67,APJ012,KIX,07:30,07:30,07:44
68,JNA021,CEB,07:30,07:30,08:02
69,KAL529,FRA,07:30,07:30,07:52
70,KAL747,OKJ,07:30,07:30,07:54
71,TWB605,TNA,07:30,07:30,08:00
72,ESR621,CTS,07:40,07:40,08:00
73,AAR701,MNL,07:45,07:45,08:12
74,CES5050,YNT,07:45,07:45,08:04
75,TWB125,DAD,07:45,07:45,08:15
76,TWB201,NRT,07:45,08:57,08:57
77,JNA081,TPE,07:50,08:20,08:58
78,JNA211,KIX,07:50,07:50,08:12
79,KAL621,MNL,07:50,07:50,08:08
80,TWB299,KOJ,07:50,07:50,08:02
81,AAR112,KIX,07:55,07:55,08:17
82,CEB181,KLO,07:55,07:55,08:21
83,ESR601,NRT,08:00,08:00,08:24
84,KAL787,FUK,08:00,08:00,08:21
85,KAL809,CGO,08:00,08:00,08:17
86,KAL845,TAO,08:00,08:00,08:37
87,TWB281,KIX,08:00,08:00,08:15
88,ESR881,TPE,08:05,08:05,08:22
89,KAL831,SHE,08:05,08:05,08:30
90,KAL479,HAN,08:10,08:10,08:35
91,KAL603,HKG,08:10,08:10,08:25
92,PAL467,MNL,08:10,08:10,08:19
93,AAR122,NGO,08:15,08:15,08:40
94,AAR331,PEK,08:20,08:20,08:43
95,AAR727,HAN,08:20,08:20,08:41
96,JJA8401,TAO,08:20,08:20,08:50
97,JNA231,CTS,08:20,08:20,08:43
98,KAL729,AKJ,08:20,08:20,08:28
99,ASV741,TAK,08:25,09:29,09:29
100,KAL1401,PUS,08:25,,08:51
101,KAL775,KMQ,08:25,08:25,08:37
102,PAL489,KLO,08:25,08:25,08:39
103,AAR795,FRA,08:30,08:30,09:05
104,CES2044,TAO,08:30,08:30,08:47
105,JJA1102,NRT,08:30,08:30,08:47
106,KAL893,PVG,08:30,08:30,08:53
107,PAL485,CEB,08:30,08:30,08:32
108,AAR353,CKG,08:35,08:35,09:00
109,AAR369,CAN,08:40,08:40,09:07
110,CPA415,HKG,08:40,08:40,08:54
111,ESR641,FUK,08:40,08:40,09:00
112,KAL827,SZX,08:40,08:40,09:18
113,AAR132,FUK,08:45,08:45,09:04
114,CDG4620,TAO,08:45,08:45,09:02
115,ESR611,KIX,08:45,08:45,09:02
116,KAL865,CAN,08:50,08:50,09:12
117,AAR327,TSN,08:55,08:55,09:14
118,CES5052,PVG,08:55,12:30,12:35
119,UPS186,ANC,08:55,08:55,09:08
120,AAR102,NRT,09:00,09:00,09:17
121,AAR174,CTS,09:00,10:00,10:10
122,AAR309,WEH,09:00,09:00,09:22
123,AAR351,YNJ,09:00,09:00,09:26
124,AAR361,PVG,09:00,09:00,09:35
125,AAR721,HKG,09:00,09:00,09:20
126,KAL819,CSX,09:00,09:00,09:29
127,SIA607,SIN,09:00,09:00,09:49
128,AAR301,DLC,09:05,09:05,09:37
129,AAR317,TAO,09:05,09:05,09:33
130,AFR267,CDG,09:05,09:05,09:57
131,JJA2601,TPE,09:05,09:05,09:24
132,KAL681,SGN,09:05,09:05,09:31
133,KAL881,WUH,09:05,09:05,09:42
134,CPA421,HKG,09:10,09:10,09:16
135,ESR931,HKG,09:10,09:10,09:56
136,JJA1302,KIX,09:10,09:10,09:22
137,KAL657,BKK,09:15,09:15,09:40
138,KAL805,TSN,09:15,09:15,09:51
139,KAL807,XIY,09:15,09:15,09:45
140,AAR303,CGQ,09:20,09:20,09:54
141,KAL031,DFW,09:20,09:20,09:41
142,KAL035,ATL,09:20,09:20,09:47
143,KAL785,KOJ,09:20,09:20,09:38
144,JJA3402,SPN,09:30,09:30,09:52
145,JNA113,HKG,09:30,09:30,10:00
146,JNA205,NRT,09:30,09:30,10:07
147,KAL091,BOS,09:30,09:30,10:15
148,AAR152,SDJ,09:35,09:35,09:51
149,JJA1402,FUK,09:35,09:35,09:57
150,KAL073,YYZ,09:35,09:35,10:03
151,KAL723,KIX,09:35,09:35,09:55
152,KAL891,YNJ,09:35,09:35,10:01
153,THA659,BKK,09:35,09:35,09:46
154,AAR158,KMI,09:40,09:40,10:00
155,JNA641,GUM,09:40,09:40,10:05
156,AAR172,OKA,09:45,09:45,10:05
157,KAL113,GUM,09:45,09:45,10:12
158,XAX507,KUL,09:45,09:45,10:12
159,KAL613,HKG,09:50,09:50,10:09
160,JJA2101,HKG,09:55,09:55,10:06
161,AAR371,SZX,10:00,10:20,10:46
162,AAR711,TPE,10:00,10:00,10:18
163,ASV701,NRT,10:00,10:00,10:17
164,KAL081,JFK,10:00,10:00,10:32
165,HVN417,HAN,10:05,10:05,10:32
166,KAL767,AOJ,10:05,10:05,10:20
167,TWB291,FUK,10:05,10:05,10:34
168,APJ002,KIX,10:10,10:10,10:23
169,JJA8501,WEH,10:10,10:10,10:27
170,JJA8901,JMU,10:10,10:10,10:37
171,KAL703,NRT,10:10,10:10,10:29
172,KAL765,CTS,10:10,10:10,10:26
173,KAL981,VVO,10:10,10:10,10:30
174,AAR531,VCE,10:15,10:15,10:44
175,DLH719,MUC,10:15,10:15,10:21
176,HVN409,SGN,10:15,10:15,10:41
177,AAR222,JFK,10:20,10:20,10:44
178,FIN42,HEL,10:20,10:20,10:40
179,KAL887,XMN,10:20,10:20,10:52
180,THA657,BKK,10:20,10:20,10:34
181,AAR551,IST,10:25,10:25,10:50
182,AAR997,TSN,10:25,10:25,10:54
183,KAL093,IAD,10:25,10:25,10:51
184,ASV731,CTS,10:30,11:57,11:57
185,JNA281,KIX,10:30,10:30,10:54
186,SBI5792,OVB,10:30,10:30,11:20
187,AAR729,HAN,10:35,10:40,11:05
188,BAW18,LHR,10:35,10:35,10:57
189,DAL158,DTW,10:35,10:35,10:41
190,JJA1106,NRT,10:35,10:35,10:49
191,KAL691,TPE,10:35,10:35,10:55
192,JJA2901,DAD,10:40,10:40,11:17
193,JJA3102,GUM,10:40,10:40,10:56
194,JJA8701,YNT,10:40,10:40,11:09
195,KAL037,ORD,10:40,10:40,11:11
196,KAL483,HAN,10:40,10:40,11:16
197,KAL741,NGO,10:40,10:40,11:07
198,KAL855,PEK,10:40,10:40,11:32
199,AAR363,PVG,10:45,10:45,11:22
200,JNA245,OKA,10:45,10:45,11:24
201,UZB512,TAS,10:45,10:45,11:13
202,JJA2001,MFM,11:00,11:00,11:28
203,MAS067,KUL,11:00,11:00,11:26
204,AAR572,KHV,11:05,11:05,11:36
205,ESR571,PPS,11:05,11:05,11:34
206,KAL485,DAD,11:05,11:05,11:41
207,VJC961,HAN,11:05,11:05,11:43
208,JJA1602,NGO,11:10,11:10,11:39
209,KAL897,PVG,11:10,11:10,11:38
210,CSN340,HAK,11:15,11:15,11:30
211,TAX701,DMK,11:15,11:15,11:47
212,CSN686,DLC,11:20,11:20,11:45
213,HVN431,DAD,11:20,11:20,11:53
214,SIA611,SIN,11:20,11:20,11:59
215,KAL317,TSN,11:25,11:25,11:50
216,UAL806,SFO,11:25,11:25,11:48
217,CAL165,KHH,11:30,11:30,11:55
218,ESR631,OKA,11:30,11:30,12:01
219,AAR985,YNT,11:35,11:35,12:03
220,VJC863,SGN,11:40,11:40,12:10
221,CDG4096,TNA,11:45,11:45,12:06
222,GCR7994,TSN,11:45,11:45,12:12
223,KAL509,ARN,11:50,11:50,12:08
224,QTR8983,DOH,11:50,11:50,12:23
