,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,CKS2657,JFK,00:10,00:53,00:53,착륙
1,PAC213,CVG,00:35,00:24,00:24,착륙
2,CRK646,HKG,00:45,00:12,00:12,착륙
3,KAL854,PEK,00:45,00:16,00:16,착륙
4,CKK257,PVG,02:40,02:32,02:32,착륙
5,KAL868,ULN,03:25,03:03,03:03,착륙
6,ABW9195,HRB,03:35,03:09,03:09,착륙
7,PAC224,CVG,03:35,03:26,03:26,착륙
8,JNA080,DAD,03:55,03:31,03:31,착륙
9,AAR235,ORD,04:00,03:45,03:45,착륙
10,DAL27,ATL,04:00,03:11,03:11,착륙
11,JJA2306,MNL,04:05,04:00,04:00,착륙
12,KAL086,JFK,04:10,03:58,03:58,착륙
13,KAL624,MNL,04:15,03:35,03:35,착륙
14,KAL8868,ULN,04:15,04:02,04:02,착륙
15,AAR203,LAX,04:20,03:43,03:43,착륙
16,APJ809,HND,04:25,04:10,04:10,착륙
17,AAR211,SFO,04:30,03:22,03:22,착륙
18,ABW147,SVO,04:30,05:05,05:05,착륙
19,HKE602,HKG,04:30,04:04,04:04,착륙
20,KAL720,HND,04:35,04:14,04:14,착륙
21,AAR322,CSX,04:40,04:23,04:23,착륙
22,AAR704,MNL,04:40,03:48,03:48,착륙
23,CES2023,CSX,04:40,04:50,04:50,착륙
24,KAL984,IKT,04:45,04:12,04:12,착륙
25,TWB302,GUM,04:45,04:06,04:06,착륙
26,AAR324,CTU,04:50,04:26,04:26,착륙
27,AAV604,CEB,04:50,04:30,04:30,착륙
28,KAL012,LAX,04:50,04:54,04:54,착륙
29,KAL026,SFO,04:50,04:28,04:28,착륙
30,KAL886,KMG,04:50,04:20,04:20,착륙
31,KAL006,LAS,04:55,04:38,04:38,착륙
32,KAL844,NNG,04:55,04:17,04:17,착륙
33,AAV600,CEB,05:00,04:36,04:36,착륙
34,ESR592,DAD,05:00,05:28,05:28,착륙
35,TWB132,VTE,05:00,05:12,05:12,착륙
36,VJC880,DAD,05:00,05:03,05:03,착륙
37,AAR326,KWL,05:05,04:33,04:33,착륙
38,KAL696,KTM,05:05,05:09,05:09,착륙
39,AAR746,HKG,05:10,04:40,04:40,착륙
40,PAL466,MNL,05:20,04:56,04:56,착륙
41,TWB308,SPN,05:20,04:44,04:44,착륙
42,KAL464,DAD,05:25,04:42,04:42,착륙
43,KAL608,HKG,05:25,04:48,04:48,착륙
44,KAL680,HAN,05:25,04:58,04:58,착륙
45,VJC864,SGN,05:25,06:02,06:02,착륙
46,ASV532,HKG,05:30,05:01,05:01,착륙
47,VJC962,HAN,05:30,05:44,05:44,착륙
48,AAR734,HAN,05:40,05:19,05:19,착륙
49,AMU826,MFM,05:40,05:27,05:27,착륙
50,AAR356,CAN,05:45,05:25,05:25,착륙
51,CPA412,HKG,05:45,05:22,05:22,착륙
52,HVN416,HAN,05:50,05:42,05:42,착륙
53,AAR756,DAD,05:55,05:14,05:14,착륙
54,KAL112,GUM,05:55,05:59,05:59,착륙
55,KAL316,PVG,05:55,06:12,06:12,착륙
56,KAL644,SIN,05:55,05:39,05:39,착륙
57,ESR512,BKK,06:00,05:31,05:31,착륙
58,THA688,BKK,06:00,05:37,05:37,착륙
59,VJC878,DAD,06:00,06:15,06:15,착륙
60,AAR740,PNH,06:05,06:09,06:09,착륙
61,JJA2108,HKG,06:05,05:35,05:35,착륙
62,TWB122,SGN,06:05,05:24,05:24,착륙
63,AAR752,SIN,06:10,06:14,06:14,착륙
64,KAL652,BKK,06:10,05:52,05:52,착륙
65,VJC926,HPH,06:15,05:17,05:17,착륙
66,JNA122,MFM,06:20,06:19,06:19,착륙
67,JJA2502,BKI,06:25,06:16,06:16,착륙
68,KAL632,CEB,06:25,06:06,06:06,착륙
69,PAL484,CEB,06:25,05:55,05:55,착륙
70,AAR626,SPN,06:30,06:10,06:10,착륙
71,AAR970,HKG,06:30,06:36,06:36,착륙
72,JNA024,CRK,06:30,06:33,06:33,착륙
73,KAL690,PNH,06:35,06:31,06:31,착륙
74,THA658,BKK,06:35,06:28,06:28,착륙
75,TWB128,DAD,06:35,07:08,07:08,착륙
76,HVN408,SGN,06:40,06:45,06:45,착륙
77,HVN430,DAD,06:40,06:38,06:38,착륙
78,JNA062,BKI,06:40,06:40,06:40,착륙
79,KAL684,SGN,06:40,06:23,06:23,착륙
80,AAR2831,SFO,06:45,07:29,07:29,착륙
81,ESR594,DAD,06:45,06:20,06:20,착륙
82,AAR708,CRK,06:50,06:35,06:35,착륙
83,JJA2406,CEB,06:50,06:51,06:51,착륙
84,KAL658,BKK,06:50,06:41,06:41,착륙
85,ASV101,GUM,06:55,06:48,06:48,착륙
86,JJA3105,GUM,06:55,06:26,06:26,착륙
87,KAL672,KUL,06:55,06:29,06:29,착륙
88,THA656,BKK,06:55,07:16,07:16,착륙
89,AAR988,PVG,07:00,07:14,07:14,착륙
90,JNA052,VTE,07:00,07:23,07:23,착륙
91,LAO921,VTE,07:05,07:30,07:30,착륙
92,AAR736,SGN,07:10,07:06,07:06,착륙
93,ESR502,BKI,07:10,06:54,06:54,착륙
94,MAS066,KUL,07:10,06:44,06:44,착륙
95,KAL628,CGK,07:15,06:43,06:43,착륙
96,ASV512,BKI,07:20,07:47,07:47,착륙
97,JJA4304,VTE,07:20,07:36,07:36,착륙
98,JNA058,HAN,07:20,07:32,07:32,착륙
99,JJA2804,HAN,07:25,10:12,10:12,지연
100,JNA026,CEB,07:25,07:24,07:24,착륙
101,BAW17,LHR,07:30,07:39,07:39,착륙
102,JJA8602,SYX,07:30,07:26,07:26,착륙
103,KAL472,RGN,07:35,07:21,07:21,착륙
104,AHK128,HKG,07:45,07:34,07:34,착륙
105,SIA608,SIN,07:45,07:33,07:33,착륙
106,JJA2904,DAD,07:50,07:56,07:56,착륙
107,KAL214,SFO,07:50,07:19,07:19,착륙
108,KAL314,HKG,07:50,07:38,07:38,착륙
109,AJX8479,OKA,07:55,07:57,07:57,착륙
110,ESR542,HAN,07:55,07:41,07:41,착륙
111,JNA060,DAD,07:55,08:12,08:12,착륙
112,UPS196,ANC,07:55,07:49,07:49,착륙
113,VJC960,HAN,07:55,07:52,07:52,착륙
114,AAR8532,PUS,08:00,07:44,07:44,착륙
115,AAR710,CEB,08:05,07:27,07:27,착륙
116,KAL1402,PUS,08:10,08:10,08:10,착륙
117,KAL1412,TAE,08:15,07:54,07:54,착륙
118,FIN41,HEL,08:20,08:04,08:04,착륙
119,JNA002,BKK,08:25,08:17,08:17,착륙
120,KAL320,CAN,08:25,08:05,08:05,착륙
121,KAL642,SIN,08:25,08:24,08:24,착륙
122,UZB511,TAS,08:25,08:01,08:01,착륙
123,FDX5926,MEM,08:30,08:26,08:26,착륙
124,GIA878,CGK,08:30,08:20,08:20,착륙
125,JJA3403,SPN,08:30,08:14,08:14,착륙
126,AAR177,HND,08:35,08:29,08:29,착륙
127,JJA3107,GUM,08:35,08:00,08:00,착륙
128,KAL336,PVG,08:35,08:08,08:08,착륙
129,XAX506,KUL,08:35,08:22,08:22,착륙
130,JJA2204,BKK,08:40,08:39,08:39,착륙
131,TWB102,BKK,08:40,09:09,09:09,착륙
132,KAL638,HKT,08:50,08:45,08:45,착륙
133,AAR574,TAS,08:55,08:19,08:19,착륙
134,AAR762,CGK,08:55,08:35,08:35,착륙
135,FDX5230,MEM,08:55,09:03,09:03,착륙
136,UPS11,SDF,08:55,08:31,08:31,착륙
137,JJA2206,BKK,09:10,08:59,08:59,착륙
138,KAL1406,PUS,09:10,09:11,09:11,착륙
139,LOT97,WAW,09:10,09:01,09:01,착륙
140,AAR742,BKK,09:15,08:42,08:42,착륙
141,ASV554,DAD,09:15,08:47,08:47,착륙
142,GIA870,DPS,09:15,09:15,09:15,착륙
143,GTI8724,OAI,09:20,09:53,09:53,착륙
144,UPS189,ANC,09:20,08:49,08:49,착륙
145,KAL630,DPS,09:25,09:34,09:34,착륙
146,APJ001,KIX,09:30,09:30,09:30,착륙
147,AZA758,FCO,09:30,09:37,09:37,착륙
148,JNA004,BKK,09:30,10:03,10:03,착륙
149,AAR748,HKT,09:35,09:26,09:26,착륙
150,AIH512,HAN,09:40,09:44,09:44,착륙
151,BOX550,LEJ,09:40,10:05,10:05,착륙
152,DLH718,MUC,09:40,09:41,09:41,착륙
153,JJA4904,CXR,09:40,09:06,09:06,착륙
154,KAL924,SVO,09:40,09:18,09:18,착륙
155,VJC862,SGN,09:40,09:28,09:28,착륙
156,ESR514,BKK,09:45,09:23,09:23,착륙
157,JJA4704,SGN,09:45,08:55,08:55,착륙
158,KZR209,TSE,09:45,09:39,09:39,착륙
159,SIA008,SIN,09:50,09:31,09:31,착륙
160,TAX700,DMK,10:05,09:50,09:50,착륙
161,CSN685,DLC,10:20,09:58,09:58,착륙
162,KAL362,HAN,10:20,09:55,09:55,착륙
163,AAR956,HAN,10:25,10:32,10:32,착륙
164,SYL505,YKS,10:25,10:21,10:21,착륙
165,CAL164,KHH,10:30,10:26,10:26,착륙
166,GCR7993,TSN,10:30,10:20,10:20,착륙
167,CDG4095,TNA,10:45,10:15,10:15,착륙
168,QTR8870,DOH,10:45,11:20,11:20,착륙
169,CES2039,TAO,10:55,10:18,10:18,착륙
170,JNA222,FUK,10:55,10:57,10:57,착륙
171,JNA262,KKJ,10:55,10:39,10:39,착륙
172,AAR115,KIX,11:00,10:50,10:50,착륙
173,CES549,YNT,11:00,12:25,12:25,지연
174,UIA170,TPE,11:00,11:01,11:01,착륙
175,ASV721,NGS,11:10,10:54,10:54,착륙
176,CAL160,TPE,11:10,11:50,11:50,착륙
177,AFL250,SVO,11:15,10:57,10:57,착륙
178,CDG4617,TAO,11:15,11:04,11:04,착륙
179,CES579,NKG,11:15,10:52,10:52,착륙
180,JJA1607,NGO,11:15,11:00,11:00,착륙
181,CSN313,PVG,11:20,11:06,11:06,착륙
182,DLH712,FRA,11:20,11:24,11:24,착륙
183,KAL722,KIX,11:20,11:09,11:09,착륙
184,FDX5154,ANC,11:25,11:10,11:10,착륙
185,KAL752,NGO,11:25,11:16,11:16,착륙
186,AAR107,NRT,11:30,11:22,11:22,착륙
187,JJA1407,FUK,11:30,11:20,11:20,착륙
188,CCA123,PEK,11:35,11:07,11:07,착륙
189,CSN681,SHE,11:35,11:14,11:14,착륙
190,ETD876,AUH,11:35,11:28,11:28,착륙
191,TWB298,OIT,11:35,11:43,11:43,착륙
192,CCA171,TSN,11:45,10:56,10:56,착륙
193,KAL706,NRT,11:45,11:33,11:33,착륙
194,SHU5450,KHV,11:45,11:32,11:32,착륙
195,AAR542,FRA,11:50,12:11,12:11,착륙
196,CSN683,HRB,11:50,11:18,11:18,착륙
197,JJA1303,KIX,11:50,11:36,11:36,착륙
198,KAL936,PRG,11:50,11:41,11:41,착륙
199,KAL938,VIE,11:50,11:37,11:37,착륙
200,ASV761,KIX,11:55,11:52,11:52,착륙
201,CES5041,PVG,11:55,12:01,12:01,착륙
202,KAL1404,PUS,11:55,11:45,11:45,착륙
203,KAL896,PVG,11:55,11:40,11:40,착륙
