,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD,Departure_STT
0,AAR951,HAN,00:05,00:30,00:41,이륙
1,KAL315,PVG,00:05,23:55,00:48,이륙
2,KAL319,CAN,00:05,23:35,00:24,이륙
3,KAL361,HAN,00:05,23:30,01:01,이륙
4,PAC214,CVG,00:05,00:05,00:06,이륙
5,UAE323,DXB,00:05,23:50,00:35,이륙
6,AJX8480,OKA,00:15,00:15,00:26,이륙
7,ETD873,AUH,00:15,00:15,01:23,지연
8,KAL8373,PEN,00:15,23:20,00:14,이륙
9,TAX703,DMK,00:20,00:20,00:38,이륙
10,SIA007,SIN,00:25,00:25,00:18,이륙
11,THY91,IST,00:40,00:40,00:46,이륙
12,QTR859,DOH,00:50,00:50,00:51,이륙
13,KLM856,AMS,00:55,00:55,01:03,이륙
14,AAR987,PVG,01:05,03:00,02:41,지연
15,UAE329,DXB,01:10,01:10,01:38,이륙
16,VJC839,CXR,01:50,01:50,02:02,이륙
17,KAL249,JFK,01:55,01:55,02:30,이륙
18,CEB187,MNL,02:30,02:30,03:07,이륙
19,GAP2483,TAG,02:30,02:30,02:28,이륙
20,KAL541,OSL,02:50,02:50,03:04,이륙
21,CKK258,PVG,03:30,03:30,03:47,이륙
22,HKE615,HKG,04:55,04:55,05:11,이륙
23,QTR8981,DOH,05:00,06:30,06:48,지연
24,PAC769,HKG,05:15,13:00,13:28,지연
25,PAC735,HKG,05:25,05:15,05:58,이륙
26,SWM2129,REP,05:50,05:50,06:09,이륙
27,LNI2736,BTH,06:00,06:00,06:13,이륙
28,PIC195,DAD,06:10,06:10,06:33,이륙
29,VJC881,DAD,06:15,07:33,07:51,지연
30,AAV601,CEB,06:20,06:20,07:08,이륙
31,AAV705,KLO,06:20,06:20,07:11,이륙
32,JCC802,REP,06:20,06:20,06:57,이륙
33,VJC963,HAN,06:25,06:25,07:41,지연
34,CRK627,HKG,06:30,06:30,07:19,이륙
35,ESR633,OKA,06:30,06:30,07:17,이륙
36,JJA2965,DAD,06:30,06:30,06:50,이륙
37,HVN9409,PQC,06:40,06:40,07:03,이륙
38,AAV701,KLO,06:45,06:45,07:33,이륙
39,VJC865,SGN,06:45,06:45,07:48,지연
40,TWB203,NRT,06:50,08:30,08:47,지연
41,APG037,KLO,06:55,06:55,07:28,이륙
42,JJA1582,KOJ,06:55,06:55,07:43,이륙
43,EVA149,TPE,07:00,07:00,07:32,이륙
44,JJA1304,KIX,07:00,07:00,07:25,이륙
45,JJA2461,CEB,07:00,07:00,07:29,이륙
46,SWM212,REP,07:00,07:00,07:37,이륙
47,TWB205,NRT,07:00,07:00,07:35,이륙
48,VJC879,DAD,07:00,07:00,07:39,이륙
49,AIH231,YNT,07:05,08:05,08:29,지연
50,ASV762,KIX,07:05,07:05,07:47,이륙
51,JNA221,FUK,07:05,07:05,07:55,이륙
52,PAL489,KLO,07:10,07:10,07:24,이륙
53,VJC925,HPH,07:15,07:15,08:22,지연
54,ESR605,NRT,07:20,07:20,07:58,이륙
55,TWB297,OIT,07:20,07:20,07:57,이륙
56,ESR621,CTS,07:25,07:25,07:53,이륙
57,AAR731,SGN,07:30,08:33,08:34,지연
58,JJA1408,FUK,07:30,07:30,08:09,이륙
59,JJA1904,CTS,07:30,07:30,08:03,이륙
60,JNA201,NRT,07:30,07:30,08:12,이륙
61,JNA261,KKJ,07:30,07:30,08:00,이륙
62,PAL485,CEB,07:30,07:30,07:45,이륙
63,APJ012,KIX,07:40,07:40,08:05,이륙
64,JNA077,DAD,07:40,07:40,08:07,이륙
65,JJA1308,KIX,07:45,08:45,08:45,지연
66,TWB125,DAD,07:45,07:45,08:27,이륙
67,TWB201,NRT,07:45,07:45,08:27,이륙
68,AAR701,MNL,07:50,07:50,08:38,이륙
69,AMU825,MFM,07:50,07:50,08:20,이륙
70,CEB181,KLO,07:55,07:55,08:44,이륙
71,KAL1413,TAE,07:55,07:55,08:14,이륙
72,KAL621,MNL,07:55,07:55,08:31,이륙
73,PAC225,CVG,07:55,07:55,08:16,이륙
74,TWB281,KIX,07:55,07:55,08:20,이륙
75,JNA211,KIX,08:00,08:00,08:23,이륙
76,KAL529,FRA,08:00,08:00,08:18,이륙
77,KAL787,FUK,08:00,08:00,08:25,이륙
78,PAL487,KLO,08:00,08:00,08:36,이륙
79,AAR112,KIX,08:05,08:05,08:50,이륙
80,AAR1523,SDJ,08:05,08:05,08:34,이륙
81,KAL747,OKJ,08:05,08:05,09:04,이륙
