,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,AAR330,HGH,00:05,00:12,00:12,착륙
1,ABW492,SVO,00:05,00:39,00:39,착륙
2,AZG123,GYD,00:10,01:43,01:43,지연
3,CDG4619,TAO,00:20,00:24,00:24,착륙
4,MGL307,ULN,00:25,00:47,00:47,착륙
5,VJC838,CXR,00:40,00:28,00:28,착륙
6,KAL854,PEK,00:45,00:51,00:51,착륙
7,PAC963,CVG,01:05,01:10,01:10,착륙
8,CRK646,HKG,01:20,00:59,00:59,착륙
9,GTI537,CVG,01:30,01:54,01:54,착륙
10,TWB9302,GUM,01:30,00:43,00:43,착륙
11,CKS2437,SEA,01:56,02:02,02:02,착륙
12,CKK257,PVG,02:40,06:07,06:07,지연
13,KAL868,ULN,03:25,03:07,03:07,착륙
14,UPS33,ONT,03:25,03:00,03:00,착륙
15,PAC224,CVG,03:35,03:30,03:30,착륙
16,JNA080,DAD,03:55,03:18,03:18,착륙
17,THY6494,IST,03:55,04:07,04:07,착륙
18,AAR203,LAX,04:00,03:34,03:34,착륙
19,AAR211,SFO,04:00,02:57,03:37,착륙
20,AAR235,ORD,04:00,03:12,03:12,착륙
21,DAL27,ATL,04:00,03:15,03:15,착륙
22,JJA2306,MNL,04:05,04:09,04:09,착륙
23,KAL086,JFK,04:10,04:00,04:00,착륙
24,KAL624,MNL,04:15,03:55,03:55,착륙
25,KAL012,LAX,04:20,03:58,03:58,착륙
26,KAL026,SFO,04:20,04:55,04:55,착륙
27,APJ809,HND,04:25,04:23,04:23,착륙
28,HKE602,HKG,04:30,04:13,04:13,착륙
29,KAL006,LAS,04:35,04:11,04:11,착륙
30,KAL720,HND,04:35,04:03,04:03,착륙
31,AAR322,CSX,04:40,04:26,04:26,착륙
32,AAR704,MNL,04:40,04:40,04:40,착륙
33,CES2023,CSX,04:40,06:03,06:03,지연
34,KAL8288,ORD,04:40,04:35,04:35,착륙
35,TWB302,GUM,04:45,07:13,07:13,지연
36,AAR324,CTU,04:50,04:46,04:46,착륙
37,AAV604,CEB,04:50,06:31,06:20,지연
38,AAV600,CEB,05:00,05:27,05:27,착륙
39,ESR592,DAD,05:00,04:57,04:57,착륙
40,TWB132,VTE,05:00,05:54,05:54,착륙
41,VJC880,DAD,05:00,05:32,05:32,착륙
42,AAR326,KWL,05:05,04:44,04:44,착륙
43,AAR746,HKG,05:10,04:42,04:42,착륙
44,ASV502,REP,05:20,04:50,04:50,착륙
45,PAL466,MNL,05:20,05:14,05:14,착륙
46,TWB308,SPN,05:20,09:30,09:30,지연
47,KAL464,DAD,05:25,04:53,04:53,착륙
48,KAL608,HKG,05:25,05:18,05:18,착륙
49,KAL680,HAN,05:25,05:11,05:11,착륙
50,VJC864,SGN,05:25,05:34,05:34,착륙
51,ASV532,HKG,05:30,05:26,05:26,착륙
52,SYL505,YKS,05:30,05:36,05:36,착륙
53,VJC962,HAN,05:30,05:23,05:23,착륙
54,DLH738,MUC,05:35,05:21,05:21,착륙
55,KAL860,PEK,05:35,05:30,05:30,착륙
