,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR951,HAN,00:05,23:45,00:02
1,AJX8480,OKA,00:05,00:05,00:15
2,APG7047,CEB,00:05,00:05,00:07
3,CDG8066,TNA,00:05,23:40,00:09
4,GTI2848,LAX,00:05,00:30,00:58
5,KAL8397,HKG,00:05,00:05,00:11
6,KAL859,PEK,00:05,00:05,00:24
7,QDA9902,TAO,00:05,00:05,00:14
8,UAE323,DXB,00:05,23:55,00:04
9,PAC717,PVG,00:20,22:00,
10,CEB187,MNL,00:45,00:45,01:04
11,KAL9385,SGN,00:50,01:10,01:31
12,KLM856,AMS,00:55,00:55,01:10
13,CDG8072,TAO,01:00,23:45,01:02
14,ETD873,AUH,01:00,01:00,01:26
15,AAR987,PVG,01:05,01:05,01:18
16,TAX703,DMK,01:05,01:05,01:15
17,QTR859,DOH,01:15,01:15,01:34
18,SOO7970,HKG,01:15,01:15,01:38
19,CDG4778,TAO,01:20,22:55,01:29
20,AFL253,SVO,01:45,01:45,02:01
21,KAL335,PVG,01:45,01:45,01:59
22,VJC975,PQC,01:45,01:45,02:14
23,ABW292,SVO,01:50,01:50,01:50
24,VJC839,CXR,01:50,01:50,02:02
25,GEC8385,FRA,02:05,02:05,02:11
26,AZG122,GYD,02:20,02:20,02:34
27,KAL541,OSL,02:30,02:30,02:44
28,APJ702,CTS,02:40,03:55,03:55
29,AAR198,NRT,04:00,04:00,04:15
30,PAC225,CVG,04:35,04:35,04:47
31,CKK258,PVG,04:55,04:30,04:35
32,PAC997,PVG,05:00,11:30,12:12
33,PAC969,HKG,05:15,05:15,05:29
34,ETH3728,HKG,05:30,05:30,05:44
35,JJA1408,FUK,05:40,05:40,06:03
36,TAX705,DMK,05:50,05:50,06:13
37,AAV705,KLO,06:10,06:10,06:42
38,AAV601,CEB,06:15,06:15,06:52
39,APG037,KLO,06:15,06:15,06:39
40,VJC837,CXR,06:15,06:15,06:37
41,VJC881,DAD,06:15,06:15,06:44
42,AAV701,KLO,06:20,07:20,07:24
43,HVN441,CXR,06:20,06:20,06:25
44,VJC963,HAN,06:25,06:25,06:54
45,AAR8533,PUS,06:30,,06:35
46,JJA2201,BKK,06:30,06:30,06:50
47,VJC865,SGN,06:45,08:20,08:50
48,EVA149,TPE,06:50,06:50,07:12
49,JJA1904,CTS,06:50,06:50,07:10
50,CRK647,HKG,06:55,06:55,07:03
51,TWB337,GUM,06:55,06:55,07:21
52,ASV737,OKA,07:00,07:00,07:14
53,VJC879,DAD,07:00,08:00,08:01
54,ESR605,NRT,07:05,07:05,07:16
55,JNA221,FUK,07:05,07:05,07:20
56,JJA1304,KIX,07:10,07:10,07:25
57,JNA261,KKJ,07:10,07:10,07:28
58,ASV711,KIX,07:15,07:15,07:35
59,VJC925,HPH,07:15,07:15,07:17
60,JNA077,DAD,07:20,07:20,07:51
61,JNA201,NRT,07:25,07:25,07:39
62,TWB297,OIT,07:25,07:25,07:33
63,TWB669,RMQ,07:25,07:25,07:37
64,APJ012,KIX,07:30,07:30,07:45
65,JNA021,CEB,07:30,07:30,07:47
66,KAL529,FRA,07:30,07:30,07:43
67,KAL747,OKJ,07:30,07:30,07:53
68,TWB605,TNA,07:30,07:30,07:55
69,AAR731,SGN,07:35,07:35,08:08
70,ESR621,CTS,07:40,07:40,07:57
71,CES5050,YNT,07:45,07:45,07:59
72,TWB125,DAD,07:45,07:45,08:16
73,TWB201,NRT,07:45,08:20,08:37
74,JNA081,TPE,07:50,07:50,08:04
75,JNA211,KIX,07:50,07:50,08:13
76,KAL621,MNL,07:50,07:50,08:19
77,TWB299,KOJ,07:50,07:50,08:16
78,AAR112,KIX,07:55,07:55,08:10
79,CEB181,KLO,07:55,09:29,09:59
80,ESR601,NRT,08:00,08:00,08:27
81,KAL787,FUK,08:00,08:00,08:25
82,KAL809,CGO,08:00,08:00,08:18
83,KAL845,TAO,08:00,08:00,08:24
84,TWB281,KIX,08:00,08:00,08:20
85,AAR701,MNL,08:05,08:05,08:31
86,ESR881,TPE,08:05,08:05,08:22
87,KAL831,SHE,08:05,08:05,08:30
88,KAL479,HAN,08:10,08:10,08:36
89,KAL603,HKG,08:10,08:10,08:26
90,PAL467,MNL,08:10,08:10,08:13
91,AAR122,NGO,08:15,08:15,08:30
92,AAR331,PEK,08:20,08:20,08:39
93,JJA8401,TAO,08:20,08:20,08:42
94,JNA231,CTS,08:20,08:20,08:34
95,KAL729,AKJ,08:20,08:20,08:53
96,ASV741,TAK,08:25,08:25,08:50
97,KAL1401,PUS,08:25,08:34,08:55
98,KAL775,KMQ,08:25,08:25,08:45
99,PAL489,KLO,08:25,08:25,08:28
100,AAR795,FRA,08:30,08:30,08:56
101,CES2044,TAO,08:30,09:25,09:51
102,JJA1102,NRT,08:30,08:30,08:47
103,KAL893,PVG,08:30,08:30,08:54
104,PAL485,CEB,08:30,08:30,08:34
105,AAR353,CKG,08:35,08:35,08:45
106,AAR369,CAN,08:40,08:40,09:00
107,CPA415,HKG,08:40,08:40,08:47
108,ESR641,FUK,08:40,08:40,08:57
109,KAL827,SZX,08:40,08:40,09:11
110,AAR132,FUK,08:45,08:45,09:22
111,CDG4620,TAO,08:45,08:45,09:18
112,ESR611,KIX,08:45,08:45,09:01
113,KAL865,CAN,08:50,08:50,09:15
114,AAR327,TSN,08:55,08:55,09:09
115,CES5052,PVG,08:55,08:55,09:03
116,UPS186,ANC,08:55,12:00,
117,AAR102,NRT,09:00,09:00,09:39
118,AAR174,CTS,09:00,09:00,09:12
119,AAR309,WEH,09:00,09:00,09:21
120,AAR351,YNJ,09:00,09:00,09:40
121,AAR361,PVG,09:00,09:00,09:25
122,AAR721,HKG,09:00,10:09,10:09
123,KAL819,CSX,09:00,09:00,09:33
124,SIA607,SIN,09:00,09:00,09:22
125,AAR301,DLC,09:05,09:05,09:31
126,AAR317,TAO,09:05,09:05,09:36
127,AFR267,CDG,09:05,09:05,09:12
128,JJA2601,TPE,09:05,09:05,09:30
129,KAL657,BKK,09:05,09:05,09:48
130,KAL881,WUH,09:05,09:05,09:38
131,CPA421,HKG,09:10,09:10,09:27
132,ESR931,HKG,09:10,09:10,09:35
133,JJA1302,KIX,09:10,09:10,09:24
134,KAL681,SGN,09:10,09:10,09:44
135,KAL805,TSN,09:15,09:15,09:57
136,KAL807,XIY,09:15,09:15,09:54
137,AAR303,CGQ,09:20,09:20,09:46
138,KAL031,DFW,09:20,09:20,10:00
139,KAL035,ATL,09:20,09:20,10:04
140,KAL785,KOJ,09:20,09:20,09:52
141,JJA3402,SPN,09:30,09:30,09:46
142,JNA113,HKG,09:30,09:30,10:01
143,JNA205,NRT,09:30,09:30,09:42
144,KAL091,BOS,09:30,09:30,09:56
145,AAR152,SDJ,09:35,09:35,09:58
146,JJA1402,FUK,09:35,09:35,09:54
147,KAL073,YYZ,09:35,09:35,10:08
148,KAL723,KIX,09:35,09:35,10:10
149,KAL891,YNJ,09:35,09:35,10:03
150,THA659,BKK,09:35,09:35,09:56
151,AAR158,KMI,09:40,09:40,10:02
152,JNA641,GUM,09:40,09:40,10:06
153,AAR172,OKA,09:45,09:45,10:06
154,KAL113,GUM,09:45,09:45,10:12
155,XAX507,KUL,09:45,09:45,10:23
156,KAL613,HKG,09:50,09:50,10:12
157,JJA2101,HKG,09:55,09:55,10:14
158,AAR371,SZX,10:00,10:00,10:20
159,AAR711,TPE,10:00,10:00,10:18
160,AIH231,YNT,10:00,14:15,14:50
161,ASV701,NRT,10:00,10:00,10:17
162,KAL081,JFK,10:00,10:00,10:19
163,KAL8287,ORD,10:00,10:00,10:15
164,HVN417,HAN,10:05,10:05,10:27
165,KAL767,AOJ,10:05,10:05,10:23
166,TWB291,FUK,10:05,10:05,10:25
167,APJ002,KIX,10:10,10:10,10:27
168,JJA8501,WEH,10:10,10:10,10:35
169,JJA8901,JMU,10:10,10:10,10:25
170,KAL703,NRT,10:10,10:10,10:33
171,KAL765,CTS,10:10,10:10,10:30
172,KAL981,VVO,10:10,10:10,10:32
173,AAR531,VCE,10:15,10:15,10:56
174,CPA417,HKG,10:15,10:15,10:30
175,DLH719,MUC,10:15,10:15,10:21
176,HVN409,SGN,10:15,10:15,10:39
177,AAR222,JFK,10:20,10:20,10:35
178,FIN42,HEL,10:20,10:20,10:44
179,KAL887,XMN,10:20,10:20,10:42
180,THA657,BKK,10:20,10:20,10:46
181,KAL093,IAD,10:25,10:25,10:46
182,JNA281,KIX,10:30,10:30,10:43
183,SBI5792,OVB,10:30,10:30,11:45
184,AAR729,HAN,10:35,10:35,10:52
185,BAW18,LHR,10:35,10:35,12:00
186,DAL158,DTW,10:35,10:35,10:40
187,GIA879,CGK,10:35,10:35,10:54
188,JJA1106,NRT,10:35,10:35,10:48
189,KAL691,TPE,10:35,10:35,10:49
190,JJA2901,DAD,10:40,10:40,11:03
191,JJA3102,GUM,10:40,10:40,10:58
192,JJA8701,YNT,10:40,10:40,10:59
193,KAL037,ORD,10:40,10:40,11:00
194,KAL483,HAN,10:40,10:40,10:58
195,KAL741,NGO,10:40,10:40,10:55
196,KAL855,PEK,10:40,11:40,11:40
197,AAR363,PVG,10:45,10:45,11:08
198,JNA245,OKA,10:45,10:45,11:05
199,UZB512,TAS,10:45,11:54,11:54
200,JJA2001,MFM,11:00,11:00,11:15
201,MAS067,KUL,11:00,11:00,11:20
202,AAR572,KHV,11:05,11:05,11:11
203,KAL485,DAD,11:05,11:05,11:51
204,VJC961,HAN,11:05,11:05,11:13
205,JJA1602,NGO,11:10,11:10,11:22
206,KAL897,PVG,11:10,11:10,12:02
207,CSN340,HAK,11:15,11:15,11:26
208,TAX701,DMK,11:15,11:15,11:35
209,CSN686,DLC,11:20,11:20,11:23
210,HVN431,DAD,11:20,11:20,11:30
211,SIA611,SIN,11:20,11:20,11:48
212,KAL317,TSN,11:25,11:25,12:06
213,UAL806,SFO,11:25,11:25,11:28
214,ASV731,CTS,11:30,11:30,11:52
215,CAL165,KHH,11:30,11:30,11:56
216,ESR631,OKA,11:30,11:30,12:04
217,AAR985,YNT,11:35,11:35,11:43
218,VJC863,SGN,11:40,11:40,12:07
219,CDG4096,TNA,11:45,11:45,11:58
220,GCR7994,TSN,11:45,11:45,12:10
