,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,ABW292,SVO,00:05,00:01,00:01
1,EVA150,TPE,00:05,00:17,00:17
2,TWB206,NRT,00:05,00:05,00:05
3,UPS37,ONT,00:25,00:37,00:37
4,KAL854,PEK,00:45,00:23,00:23
5,APJ701,CTS,01:10,00:47,00:47
6,PAC963,CVG,01:15,01:36,01:36
7,ESR872,PVG,02:30,02:01,02:01
8,HYT9073,YNZ,02:35,01:51,01:51
9,CKK257,PVG,02:40,04:49,04:49
10,KAL868,ULN,03:25,05:06,05:06
11,AZG121,GYD,03:30,03:34,03:34
12,ETH3640,BRU,03:30,03:12,03:12
13,PAC224,CVG,03:35,03:53,03:53
14,PAC997,LAX,03:35,03:05,03:05
15,ICV8732,MXP,03:45,05:14,05:14
16,AAR203,LAX,04:00,03:56,03:56
17,AAR211,SFO,04:00,02:49,03:48
18,DAL27,ATL,04:00,03:29,03:29
19,JNA080,DAD,04:05,03:31,03:31
20,KAL086,JFK,04:10,04:28,04:28
21,JJA2306,MNL,04:15,04:05,04:05
22,APJ809,HND,04:25,04:23,04:23
23,CRK646,HKG,04:25,03:45,03:45
24,HVN440,CXR,04:30,03:59,03:59
25,KAL026,SFO,04:30,04:07,04:07
26,VJC836,CXR,04:30,04:58,04:58
27,ESR992,VVO,04:35,04:52,04:52
28,KAL624,MNL,04:35,04:09,04:09
29,KAL720,HND,04:35,04:16,04:16
30,TAX704,DMK,04:35,04:31,04:31
31,AAR704,MNL,04:40,03:51,03:51
32,TWB302,GUM,04:45,04:13,04:13
33,AAR324,CTU,04:50,04:38,04:38
34,AAV704,KLO,04:50,07:26,07:26
35,KAL012,LAX,04:50,04:19,04:19
36,AAV700,KLO,04:55,04:36,04:36
37,KAL006,LAS,04:55,04:25,04:25
38,AAV600,CEB,05:00,05:11,05:11
39,ESR592,DAD,05:00,04:34,04:34
40,TWB132,VTE,05:00,04:59,04:59
41,VJC880,DAD,05:00,05:28,05:28
42,AAR326,KWL,05:05,04:41,04:41
43,AAR746,HKG,05:10,05:02,05:02
44,CES2023,CSX,05:20,04:44,04:44
45,PAL466,MNL,05:20,06:54,06:54
46,TWB308,SPN,05:20,04:47,04:47
47,APG036,KLO,05:25,05:04,05:04
48,KAL464,DAD,05:25,05:38,05:38
49,KAL608,HKG,05:25,05:16,05:16
50,KAL680,HAN,05:25,05:43,05:43
51,KAL696,KTM,05:25,04:55,04:55
52,VJC864,SGN,05:25,05:24,05:24
53,AAR568,ULN,05:30,05:59,05:59
54,ASV502,HKG,05:30,05:47,05:47
55,VJC962,HAN,05:30,05:31,05:31
56,KAL860,PEK,05:35,05:19,05:19
57,AAR734,HAN,05:40,05:47,05:47
58,DLH718,MUC,05:40,05:34,05:34
59,AAR358,CAN,05:45,05:32,05:32
60,TWB108,MFM,05:45,05:49,05:49
61,HVN416,HAN,05:50,05:40,05:40
62,JJA4206,CNX,05:50,05:22,05:22
63,KAL250,JFK,05:50,05:37,05:37
64,UZB511,TAS,05:50,05:41,05:41
65,AAR756,DAD,05:55,05:09,05:09
66,CPA412,HKG,05:55,06:05,06:05
67,KAL112,GUM,05:55,06:07,06:07
68,AMX090,MEX,06:00,05:36,05:36
69,ESR512,BKK,06:00,05:51,05:51
70,KAL612,HKG,06:00,05:55,05:55
71,KAL644,SIN,06:00,05:44,05:44
72,VJC878,DAD,06:00,05:58,05:58
73,JJA2108,HKG,06:05,06:12,06:12
74,JNA122,MFM,06:05,05:54,05:54
75,TWB122,SGN,06:05,06:29,06:29
76,KAL658,BKK,06:10,06:01,06:01
77,VJC926,HPH,06:15,06:10,06:10
78,AAR752,SIN,06:20,06:26,06:26
79,JJA2004,MFM,06:25,06:23,06:23
80,JJA2508,BKI,06:25,06:47,06:47
81,KAL632,CEB,06:25,07:48,07:48
82,PAL484,CEB,06:25,06:02,06:02
83,AAR626,SPN,06:30,06:31,06:31
84,AAR970,HKG,06:30,06:25,06:25
85,JNA024,CRK,06:30,08:02,08:02
86,PAL488,KLO,06:30,05:34,05:34
87,AAR7483,HKT,06:35,06:52,06:52
88,THA658,BKK,06:35,06:17,06:17
89,TWB128,DAD,06:35,07:12,07:12
90,HVN408,SGN,06:40,06:32,06:32
91,HVN430,DAD,06:40,06:14,06:14
92,JNA062,BKI,06:40,06:19,06:19
93,KAL482,DEL,06:40,06:49,06:49
94,KAL684,SGN,06:40,06:41,06:41
95,KAL690,PNH,06:40,06:56,06:56
96,ESR594,DAD,06:45,06:39,06:39
97,AAR283,SFO,06:50,20:57,20:57
98,AAR708,CRK,06:50,08:39,08:39
99,ASV102,GUM,06:50,07:16,07:16
100,KAL672,KUL,06:50,07:35,07:35
101,KAL884,URC,06:50,06:45,06:45
102,JJA2406,CEB,06:55,08:12,08:12
103,JJA3105,GUM,06:55,06:37,06:37
104,KAL652,BKK,06:55,06:35,06:35
105,THA656,BKK,06:55,06:46,06:46
106,AAR988,PVG,07:00,08:25,08:25
107,ASV532,KLO,07:00,08:00,08:00
108,KAL474,MLE,07:00,06:57,06:57
109,AAR736,SGN,07:10,07:18,07:18
110,CEB180,KLO,07:10,07:06,07:06
111,ESR502,BKI,07:10,07:03,07:03
