,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD,Departure_STT
0,AAR248,ATL,00:05,23:40,00:00,이륙
1,ABW792,SVO,00:05,23:30,00:02,이륙
2,KAL647,SIN,00:05,00:24,00:24,이륙
3,UAE323,DXB,00:05,23:50,00:05,이륙
4,ETD873,AUH,00:15,00:15,00:13,이륙
5,TAX703,DMK,00:20,00:20,00:32,이륙
6,SIA007,SIN,00:25,00:25,00:38,이륙
7,AAR941,JFK,00:40,00:40,01:03,이륙
8,SYL506,YKS,00:40,00:40,01:00,이륙
9,THY91,IST,00:40,00:40,00:40,이륙
10,QTR859,DOH,00:50,00:50,00:54,이륙
11,KLM856,AMS,00:55,00:55,01:06,이륙
12,AAR987,PVG,01:05,01:05,01:11,이륙
13,PAC217,PVG,01:15,01:15,01:35,이륙
14,VJC839,CXR,01:50,01:50,02:27,이륙
15,KAL249,JFK,02:10,02:10,02:12,이륙
16,CEB187,MNL,02:30,02:30,02:46,이륙
17,GAP2483,TAG,02:30,02:30,02:34,이륙
18,PAC237,HKG,02:55,02:55,03:05,이륙
19,HKE615,HKG,04:55,04:55,05:06,이륙
20,PIC195,DAD,06:10,06:10,06:23,이륙
21,VJC881,DAD,06:15,06:15,07:00,이륙
22,AAV601,CEB,06:20,08:30,09:46,지연
23,AAV705,KLO,06:20,08:30,09:34,지연
24,JCC802,REP,06:20,06:20,06:37,이륙
25,VJC963,HAN,06:25,06:25,07:04,이륙
26,CRK627,HKG,06:30,06:30,06:58,이륙
27,ESR633,OKA,06:30,06:31,07:02,이륙
28,JJA1408,FUK,06:30,06:30,06:53,이륙
29,AAV701,KLO,06:45,08:30,09:47,지연
30,VJC865,SGN,06:45,06:45,07:19,이륙
31,VJC879,DAD,06:45,06:45,07:14,이륙
32,APG037,KLO,06:55,09:00,08:46,지연
33,EVA149,TPE,07:00,07:00,07:36,이륙
34,JJA1304,KIX,07:00,07:00,07:26,이륙
35,KAL1464,GMP,07:00,07:00,07:11,이륙
36,SWM212,REP,07:00,07:00,07:38,이륙
37,TWB205,NRT,07:00,07:00,07:23,이륙
38,ASV762,KIX,07:05,07:05,07:30,이륙
39,JNA221,FUK,07:05,07:05,07:33,이륙
40,PAL489,KLO,07:10,07:10,07:28,이륙
41,VJC925,HPH,07:15,07:15,07:52,이륙
42,TWB297,OIT,07:20,07:20,07:41,이륙
43,ESR621,CTS,07:25,07:25,07:54,이륙
44,TWB671,KHH,07:25,07:30,08:05,이륙
45,AAR731,SGN,07:30,07:30,07:56,이륙
46,JJA2965,DAD,07:30,07:30,08:00,이륙
47,JNA261,KKJ,07:30,07:30,07:44,이륙
48,PAL485,CEB,07:30,07:30,07:58,이륙
49,TWB607,TAO,07:30,07:30,08:29,이륙
50,JJA2461,CEB,07:35,07:35,08:07,이륙
51,JNA201,NRT,07:35,07:35,08:03,이륙
52,APJ012,KIX,07:40,07:40,08:11,이륙
53,JNA077,DAD,07:40,07:40,08:09,이륙
54,TWB125,DAD,07:45,07:45,08:15,이륙
55,TWB201,NRT,07:45,08:25,08:51,지연
56,AAR701,MNL,07:50,07:50,08:33,이륙
57,AMU825,MFM,07:50,07:50,08:18,이륙
58,ASV702,TAK,07:55,07:55,08:36,이륙
59,CEB181,KLO,07:55,07:55,08:31,이륙
60,CES5050,YNT,07:55,07:55,08:22,이륙
61,ESR881,TPE,07:55,07:55,08:27,이륙
62,JJA1904,CTS,07:55,07:55,08:45,이륙
63,KAL1413,TAE,07:55,07:55,08:13,이륙
64,KAL621,MNL,07:55,07:55,08:39,이륙
65,KAL763,KIJ,07:55,07:55,08:29,이륙
66,TWB281,KIX,07:55,07:55,08:23,이륙
67,AAR184,CTS,08:00,08:00,08:20,이륙
68,AAR3535,HAK,08:00,08:00,08:24,이륙
69,JNA211,KIX,08:00,09:20,08:26,이륙
70,KAL787,FUK,08:00,08:00,08:31,이륙
71,PAL487,KLO,08:00,08:00,08:20,이륙
72,AAR112,KIX,08:05,08:05,08:58,이륙
73,KAL747,OKJ,08:05,08:05,08:42,이륙
74,AAR327,TSN,08:10,08:10,08:26,이륙
75,JJA1102,NRT,08:10,08:10,08:39,이륙
76,KAL479,HAN,08:10,08:10,08:51,이륙
77,KAL941,TAS,08:10,08:10,09:01,이륙
78,PAL467,MNL,08:10,08:10,08:35,이륙
79,AAR122,NGO,08:15,08:15,08:48,이륙
80,KAL827,SZX,08:15,08:15,08:53,이륙
81,AAR331,PEK,08:20,08:20,08:37,이륙
82,AAR727,HAN,08:20,08:20,08:42,이륙
83,JJA8401,TAO,08:20,08:20,09:11,이륙
84,KAL1401,PUS,08:25,09:00,09:00,지연
85,KAL603,HKG,08:25,08:25,09:06,이륙
86,CES2044,TAO,08:30,08:30,08:49,이륙
87,JNA021,CEB,08:30,08:30,09:20,이륙
88,JNA231,CTS,08:35,08:35,09:07,이륙
89,KAL893,PVG,08:35,09:56,09:55,지연
90,AAR369,CAN,08:40,08:40,08:57,이륙
91,ESR601,NRT,08:40,08:40,09:12,이륙
92,CDG4620,TAO,08:45,08:45,09:08,이륙
93,CPA415,HKG,08:45,08:45,09:12,이륙
94,KAL831,SHE,08:50,08:50,09:26,이륙
95,CES5052,PVG,08:55,08:55,09:16,이륙
96,JNA281,KIX,08:55,08:55,09:16,이륙
97,KAL819,CSX,08:55,08:55,09:22,이륙
98,AAR102,NRT,09:00,09:00,09:23,이륙
99,AAR132,FUK,09:00,09:00,09:18,이륙
100,AAR309,WEH,09:00,09:00,09:14,이륙
101,AAR317,TAO,09:00,09:00,09:18,이륙
102,AAR721,HKG,09:00,09:00,09:28,이륙
