,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,ABW692,SVO,00:10,00:06,00:06,착륙
1,GEC8384,FRA,00:15,00:01,00:01,착륙
2,KAL854,PEK,00:50,00:36,00:36,착륙
3,CRK626,HKG,01:00,23:39,00:26,착륙
4,AJX8475,NRT,01:10,00:33,00:33,착륙
5,CKK257,PVG,01:50,02:07,02:07,착륙
6,PAC226,CVG,03:00,04:03,04:03,지연
7,THY6486,IST,03:05,03:43,03:43,착륙
8,UPS99,SDF,03:45,03:09,03:09,착륙
9,HKE614,HKG,04:10,03:46,03:46,착륙
10,KAL624,MNL,04:20,04:07,04:07,착륙
11,AAV700,KLO,04:30,04:35,04:35,착륙
12,PIC194,DAD,04:30,03:59,03:59,착륙
13,AAR191,KIX,04:35,04:24,04:24,착륙
14,APJ809,HND,04:35,04:16,04:16,착륙
15,JJA2306,MNL,04:40,04:19,04:19,착륙
16,JNA052,VTE,04:45,04:28,04:28,착륙
17,KAL720,HND,04:45,04:11,04:11,착륙
18,JJA4206,CNX,04:50,06:05,06:05,지연
19,KAL658,BKK,04:50,04:51,04:51,착륙
20,AAR704,MNL,04:55,04:37,04:37,착륙
21,AAV600,CEB,04:55,04:42,04:42,착륙
22,AAV704,KLO,04:55,04:53,04:53,착륙
23,JCC801,REP,04:55,04:33,04:33,착륙
24,SWM211,REP,04:55,07:51,07:51,지연
25,AAR235,ORD,05:00,05:05,05:05,착륙
26,AAR326,KWL,05:00,04:55,04:55,착륙
27,ESR592,DAD,05:00,04:40,04:40,착륙
28,KAL858,PEK,05:00,04:59,04:59,착륙
29,TWB132,VTE,05:00,04:26,04:26,착륙
30,VJC880,DAD,05:00,05:01,05:01,착륙
31,KAL680,HAN,05:05,04:49,04:49,착륙
32,TWB302,GUM,05:05,04:31,04:31,착륙
33,KAL086,JFK,05:15,04:57,04:57,착륙
34,PAL466,MNL,05:15,04:46,04:46,착륙
35,AAR203,LAX,05:20,05:37,05:37,착륙
36,CPA412,HKG,05:20,05:27,05:27,착륙
37,KAL608,HKG,05:20,05:14,05:14,착륙
38,AAR756,DAD,05:25,05:19,05:19,착륙
39,APG036,KLO,05:25,05:12,05:12,착륙
40,VJC864,SGN,05:25,05:25,05:25,착륙
41,VJC962,HAN,05:25,05:04,05:04,착륙
42,AAR211,SFO,05:30,05:10,05:10,착륙
43,AAR356,CAN,05:30,05:17,05:17,착륙
44,ASV532,HKG,05:30,05:21,05:21,착륙
45,HVN416,HAN,05:30,05:08,05:08,착륙
46,KAL464,DAD,05:30,06:02,06:02,착륙
47,KAL696,KTM,05:30,04:45,04:45,착륙
48,QTR8982,DOH,05:30,07:26,07:26,지연
49,VJC878,DAD,05:30,05:56,05:56,착륙
50,AAR746,HKG,05:35,06:43,06:43,지연
51,AMU826,MFM,05:40,05:31,05:31,착륙
52,AAR734,HAN,05:45,05:46,05:46,착륙
53,JNA062,BKI,05:45,05:23,05:23,착륙
54,KAL644,SIN,05:45,05:33,05:33,착륙
55,JJA2108,HKG,05:55,06:13,06:13,착륙
