,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,ABW492,SVO,00:10,00:06,00:06,착륙
1,GEC8384,FRA,00:15,00:02,00:02,착륙
2,KAL854,PEK,00:50,00:54,00:54,착륙
3,CRK626,HKG,01:00,00:11,00:11,착륙
4,PAC582,CVG,01:30,01:11,01:11,착륙
5,UPS5905,ANC,01:40,01:04,01:04,착륙
6,CKK257,PVG,01:50,02:09,02:09,착륙
7,KAL868,ULN,03:20,03:31,03:31,착륙
8,THY6494,IST,03:30,04:08,04:08,착륙
9,UPS33,ONT,03:40,03:28,03:28,착륙
10,JNA040,KLO,04:00,03:25,03:25,착륙
11,HKE614,HKG,04:10,03:41,03:41,착륙
12,KAL624,MNL,04:20,03:55,03:55,착륙
13,AAV700,KLO,04:30,03:50,03:50,착륙
14,JCC800,REP,04:30,04:05,04:05,착륙
15,SWM211,REP,04:30,05:05,05:05,착륙
16,APJ809,HND,04:35,04:49,04:49,착륙
17,JJA2306,MNL,04:40,04:13,04:13,착륙
18,JNA052,VTE,04:45,04:32,04:32,착륙
19,KAL720,HND,04:45,04:11,04:11,착륙
20,KAL152,KWE,04:50,04:34,04:34,착륙
21,KAL658,BKK,04:50,04:38,04:38,착륙
22,AAR324,CTU,04:55,05:11,05:11,착륙
23,AAR704,MNL,04:55,04:16,04:16,착륙
24,AAV600,CEB,04:55,04:41,04:41,착륙
25,AAV704,KLO,04:55,04:19,04:19,착륙
26,AAR235,ORD,05:00,04:02,04:02,착륙
27,AAR322,CSX,05:00,04:36,04:36,착륙
28,AAR326,KWL,05:00,05:42,05:42,착륙
29,AAR746,HKG,05:00,04:43,04:43,착륙
30,ESR592,DAD,05:00,04:25,04:25,착륙
31,KAL858,PEK,05:00,04:47,04:47,착륙
32,TWB132,VTE,05:00,04:28,04:28,착륙
33,VJC880,DAD,05:00,05:59,05:59,착륙
34,KAL680,HAN,05:05,04:54,04:54,착륙
35,TWB302,GUM,05:05,04:30,04:30,착륙
36,PAL466,MNL,05:15,04:45,04:45,착륙
37,AAR203,LAX,05:20,05:20,05:20,착륙
38,CPA412,HKG,05:20,05:01,05:01,착륙
39,KAL608,HKG,05:20,04:52,04:52,착륙
40,AAR756,DAD,05:25,05:03,05:03,착륙
41,VJC864,SGN,05:25,06:12,06:12,착륙
42,VJC962,HAN,05:25,05:18,05:18,착륙
43,AAR211,SFO,05:30,04:56,04:56,착륙
44,AAR356,CAN,05:30,05:10,05:10,착륙
45,ASV532,HKG,05:30,05:14,05:14,착륙
46,HVN416,HAN,05:30,06:19,06:19,착륙
47,KAL464,DAD,05:30,04:58,04:58,착륙
48,VJC878,DAD,05:30,05:40,05:40,착륙
49,AMU826,MFM,05:40,05:37,05:37,착륙
50,AAR734,HAN,05:45,05:35,05:35,착륙
51,JNA062,BKI,05:45,05:16,05:16,착륙
52,KAL644,SIN,05:45,05:22,05:22,착륙
53,PAC927,LAX,05:50,07:04,07:04,지연
54,APG036,KLO,05:55,05:31,05:31,착륙
55,JJA2108,HKG,05:55,06:06,06:06,착륙
56,JNA004,BKK,05:55,05:29,05:29,착륙
57,AMX090,MEX,06:00,06:18,06:18,착륙
58,KAL012,LAX,06:00,05:44,05:44,착륙
59,KAL684,SGN,06:00,06:02,06:02,착륙
60,PAL484,CEB,06:00,05:07,05:07,착륙
61,THA8552,BKK,06:00,05:27,05:27,착륙
62,VJC926,HPH,06:00,05:33,05:33,착륙
63,KAL026,SFO,06:10,06:01,06:01,착륙
64,KAL474,MLE,06:10,05:52,05:52,착륙
65,KAL482,DEL,06:10,05:46,05:46,착륙
66,KAL632,CEB,06:10,06:15,06:15,착륙
67,AAR752,SIN,06:15,06:20,06:20,착륙
68,KAL006,LAS,06:15,05:49,05:49,착륙
69,KAL112,GUM,06:15,06:05,06:05,착륙
70,KAL652,BKK,06:15,06:08,06:08,착륙
71,AAR708,CRK,06:20,06:38,06:38,착륙
72,ESR512,BKK,06:20,05:25,05:25,착륙
73,JNA024,CRK,06:25,06:46,06:46,착륙
74,JNA058,HAN,06:25,06:17,06:17,착륙
75,TWB308,SPN,06:25,06:03,06:03,착륙
76,AAR970,HKG,06:30,06:23,06:23,착륙
77,HVN408,SGN,06:30,06:32,06:32,착륙
78,MAS066,KUL,06:30,06:48,06:48,착륙
79,JJA2406,CEB,06:35,05:56,05:56,착륙
80,JJA4304,VTE,06:35,06:29,06:29,착륙
81,THA658,BKK,06:35,06:11,06:11,착륙
82,AAR626,SPN,06:40,06:09,06:09,착륙
83,ESR502,BKI,06:40,06:14,06:14,착륙
84,JJA3105,GUM,06:40,06:26,06:26,착륙
85,AAR736,SGN,06:45,06:45,06:45,착륙
86,KAL690,PNH,06:45,06:25,06:25,착륙
87,AAR742,BKK,06:50,07:07,07:07,착륙
88,KAL668,CNX,06:50,06:37,06:37,착륙
89,AAR988,PVG,06:55,07:26,07:26,착륙
90,ASV101,GUM,06:55,06:42,06:42,착륙
91,JNA122,MFM,06:55,06:58,06:58,착륙
92,THA656,BKK,06:55,06:35,06:35,착륙
93,TWB128,DAD,06:55,08:55,08:55,지연
94,ASV502,REP,07:00,06:52,06:52,착륙
95,KAL628,CGK,07:00,06:34,06:34,착륙
96,PAL486,KLO,07:00,06:22,06:22,착륙
97,TWB108,MFM,07:00,07:21,07:21,착륙
98,LAO921,VTE,07:05,06:50,06:50,착륙
99,CEB180,KLO,07:10,06:51,06:51,착륙
100,ESR594,DAD,07:10,07:09,07:09,착륙
101,HVN406,SGN,07:10,06:30,06:30,착륙
102,KAL672,KUL,07:10,06:55,06:55,착륙
103,JNA026,CEB,07:15,07:11,07:11,착륙
104,AAR740,PNH,07:20,07:01,07:01,착륙
105,AJX8479,OKA,07:25,07:14,07:14,착륙
106,ASV512,BKI,07:25,07:19,07:19,착륙
107,HVN430,DAD,07:25,07:03,07:03,착륙
108,JJA2502,BKI,07:25,07:12,07:12,착륙
109,ESR542,HAN,07:30,07:33,07:33,착륙
110,JNA652,SPN,07:30,06:59,06:59,착륙
111,KAL654,BKK,07:30,10:45,07:16,착륙
112,KAL472,RGN,07:35,07:24,07:24,착륙
113,SIA608,SIN,07:35,07:00,07:00,착륙
114,AHK128,HKG,07:45,09:26,09:26,지연
115,KAL314,HKG,07:45,06:54,06:54,착륙
116,AAR283,SFO,07:50,09:13,09:13,지연
117,JJA2804,HAN,07:50,07:50,07:50,착륙
118,UPS11,SDF,07:50,08:14,08:14,착륙
119,UPS196,ANC,07:50,07:45,07:45,착륙
120,AAR710,CEB,07:55,09:18,09:18,지연
121,VJC960,HAN,07:55,07:36,07:36,착륙
122,AAR8532,PUS,08:00,07:48,07:48,착륙
123,KAL1412,TAE,08:00,08:00,08:00,착륙
124,KAL468,CXR,08:00,07:43,07:43,착륙
125,ASV542,KLO,08:05,07:40,07:40,착륙
126,JJA2204,BKK,08:05,08:23,08:23,착륙
127,JNA060,DAD,08:05,07:28,07:28,착륙
128,AFR264,CDG,08:10,08:06,08:06,착륙
129,ESR504,BKI,08:10,08:02,08:02,착륙
130,KAL1402,PUS,08:10,07:54,07:54,착륙
131,ESR596,DAD,08:15,08:15,08:15,착륙
132,KAL678,ROR,08:15,07:30,07:30,착륙
133,FDX5926,MEM,08:20,08:29,08:29,착륙
134,JJA2904,DAD,08:20,07:52,07:52,착륙
135,XAX506,KUL,08:20,07:57,07:57,착륙
136,JJA3403,SPN,08:25,07:58,07:58,착륙
137,GIA878,CGK,08:30,08:04,08:04,착륙
138,KAL9170,SYX,08:35,08:09,08:09,착륙
139,TWB102,BKK,08:35,08:33,08:33,착륙
140,TWB122,SGN,08:35,08:19,08:19,착륙
141,KAL336,PVG,08:40,08:25,08:25,착륙
142,KAL642,SIN,08:40,08:28,08:28,착륙
143,KAL638,HKT,08:45,08:17,08:17,착륙
144,AAR177,HND,08:50,08:21,08:21,착륙
145,AAR762,CGK,08:50,08:40,08:40,착륙
146,BAW17,LHR,08:50,08:47,08:47,착륙
147,KAL214,SFO,08:50,08:12,08:12,착륙
148,KAL1404,PUS,09:05,08:53,08:53,착륙
149,FIN41,HEL,09:10,08:51,08:51,착륙
150,JJA2206,BKK,09:10,09:22,09:22,착륙
151,UZB8511,TAS,09:10,09:24,09:24,착륙
