,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD,Departure_STT
0,JJA2565,BKI,00:00,00:00,01:05,지연
1,JJA4903,CXR,00:00,00:20,00:50,이륙
2,AAR192,KIX,00:05,23:50,00:42,이륙
3,AAR286,SFO,00:05,23:30,00:02,이륙
4,AAR383,SIN,00:05,23:40,00:18,이륙
5,ABW649,SVO,00:05,23:50,00:37,이륙
6,CSN316,PEK,00:05,23:20,00:16,이륙
7,ESR503,BKI,00:05,23:00,00:20,이륙
8,JNA121,MFM,00:05,23:44,00:08,이륙
9,JNA651,SPN,00:05,23:50,00:14,이륙
10,KAL213,SFO,00:05,23:20,00:12,이륙
11,KAL255,SEA,00:05,23:00,00:46,이륙
12,KAL283,ORD,00:05,23:30,00:35,이륙
13,KAL319,CAN,00:05,23:25,00:57,이륙
14,QTR863,DOH,00:05,23:55,00:26,이륙
15,SIA603,SIN,00:05,23:05,00:03,이륙
16,THY89,IST,00:05,23:20,00:00,이륙
17,UAE323,DXB,00:05,23:50,00:55,이륙
18,UPS195,ANC,00:05,23:25,00:10,이륙
19,VJC9747,DLI,00:05,23:50,00:28,이륙
20,XAX509,KUL,00:05,23:20,00:24,이륙
21,AAR709,CEB,00:10,22:50,00:32,이륙
22,APJ808,HND,00:10,22:45,00:06,이륙
23,FDX5924,ANC,00:10,22:55,00:30,이륙
24,GTI2688,MIA,00:10,22:40,00:22,이륙
25,MAS039,KUL,00:10,01:20,01:51,지연
26,AAR325,KWL,00:15,23:50,01:00,이륙
27,ASV102,GUM,00:15,23:20,00:34,이륙
28,ETD873,AUH,00:15,00:15,01:35,지연
29,KAL257,JFK,00:15,23:15,01:07,이륙
30,JJA3108,GUM,00:20,00:20,00:44,이륙
31,JNA023,CRK,00:20,23:55,01:03,이륙
32,TAX703,DMK,00:20,00:20,00:52,이륙
33,SIA007,SIN,00:25,00:25,00:49,이륙
34,KAL051D,HNL,00:35,23:35,01:32,이륙
35,THY91,IST,00:40,00:40,01:02,이륙
36,CLX734,LUX,00:50,00:50,01:30,이륙
37,QTR859,DOH,00:50,00:50,01:53,지연
