,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,TWB206,NRT,00:05,00:00,00:00
1,GEC8384,FRA,00:15,00:04,00:04
2,KAL556,NRT,00:15,00:08,00:08
3,KAL9288,LAX,00:20,01:30,01:30
4,VJC838,CXR,00:30,00:20,00:20
5,KAL854,PEK,01:00,00:23,00:23
6,JJA8404,TAO,01:30,01:22,01:22
7,CKK257,PVG,01:50,02:09,02:09
8,GTI7531,SYD,02:35,02:43,02:43
9,PAC226,CVG,03:00,02:56,02:56
10,KAL868,ULN,03:25,03:20,03:20
11,ABW649,SVO,03:40,04:59,04:59
12,AAR235,ORD,04:00,03:45,03:45
13,KAL624,MNL,04:00,03:57,03:57
14,GTI2658,JFK,04:10,04:19,04:19
15,KAL012,LAX,04:10,03:24,03:24
16,JNA062,BKI,04:15,03:52,03:52
17,KAL006,LAS,04:15,03:40,03:40
18,KAL086,JFK,04:15,03:33,03:33
19,AAR203,LAX,04:20,03:48,03:48
20,CRK646,HKG,04:25,04:37,04:37
21,HVN440,CXR,04:25,03:55,03:55
22,AAR211,SFO,04:30,03:01,03:01
23,AAR704,MNL,04:30,04:00,04:00
24,AAV600,CEB,04:30,04:06,04:06
25,KAL026,SFO,04:30,03:43,03:43
26,PIC1194,DAD,04:30,04:14,04:14
27,VJC836,CXR,04:30,04:54,04:54
28,APJ809,HND,04:35,04:22,04:22
29,JJA2306,MNL,04:40,04:10,04:10
30,DAL27,ATL,04:45,04:27,04:27
31,CES2023,CSX,04:50,04:30,04:30
32,KAL720,HND,04:50,04:24,04:24
33,AAV700,KLO,04:55,04:04,04:04
34,KAL680,HAN,04:55,04:50,04:50
35,AAR746,HKG,05:00,04:44,04:44
36,ESR592,DAD,05:00,04:39,04:39
37,KAL658,BKK,05:00,04:41,04:41
38,KAL860,PEK,05:00,04:32,04:32
39,TWB132,VTE,05:00,04:34,04:34
40,QTR8982,DOH,05:05,04:57,04:57
41,TWB302,GUM,05:05,04:48,04:48
42,VJC880,DAD,05:05,05:45,05:45
43,AAR326,KWL,05:15,05:01,05:01
44,KAL608,HKG,05:20,05:13,05:13
45,CPA412,HKG,05:25,05:18,05:18
46,KZR959,ALA,05:25,05:11,05:11
47,VJC864,SGN,05:25,05:25,05:25
48,VJC962,HAN,05:25,05:16,05:16
49,AAR356,CAN,05:30,05:09,05:09
50,HVN416,HAN,05:30,05:23,05:23
51,KAL696,KTM,05:30,04:46,04:46
52,KAL464,DAD,05:35,05:07,05:07
53,KAL632,CEB,05:35,05:27,05:27
54,AAR756,DAD,05:40,05:20,05:20
55,AMU826,MFM,05:40,05:32,05:32
56,JNA004,BKK,05:40,05:41,05:41
57,AAR734,HAN,05:45,05:35,05:35
58,JNA052,VTE,05:45,05:30,05:30
59,KAL644,SIN,05:45,05:43,05:43
60,ASV532,HKG,05:50,05:52,05:52
61,PAL466,MNL,05:50,05:36,05:36
62,APG036,KLO,05:55,05:48,05:48
63,JJA2108,HKG,05:55,06:58,06:58
64,KAL542,OSL,05:55,06:07,06:07
65,AMX090,MEX,06:00,04:30,05:54
66,PAL484,CEB,06:00,05:38,05:38
67,VJC878,DAD,06:00,06:15,06:15
68,VJC926,HPH,06:00,06:14,06:14
69,JJA4206,CNX,06:05,06:02,06:02
70,TWB148,CRK,06:05,06:52,06:52
71,KAL482,DEL,06:10,06:09,06:09
72,KAL684,SGN,06:10,06:00,06:00
73,UPS11,SDF,06:10,05:58,05:58
74,KAL668,CNX,06:15,05:50,05:50
75,PAC968,HKG,06:15,07:29,07:29
76,ASV101,GUM,06:20,06:35,06:35
77,ESR512,BKK,06:20,05:56,05:56
78,KAL112,GUM,06:20,06:05,06:05
79,KAL612,HKG,06:20,06:29,06:29
80,JNA024,CRK,06:25,06:39,06:39
81,JNA058,HAN,06:25,06:25,06:25
82,JJA931F,GMP,06:26,06:31,06:31
83,AAR708,CRK,06:30,06:22,06:22
84,AAR970,HKG,06:30,06:23,06:23
85,HVN408,SGN,06:30,06:39,06:39
86,MAS066,KUL,06:30,06:28,06:28
87,AAR752,SIN,06:35,06:32,06:32
88,JNA122,MFM,06:35,06:46,06:46
89,THA658,BKK,06:35,06:11,06:11
90,AAR626,SPN,06:40,06:26,06:26
91,ESR502,BKI,06:40,06:17,06:17
92,JJA3105,GUM,06:40,06:17,06:17
93,KAL652,BKK,06:40,06:20,06:20
94,JJA4304,VTE,06:45,06:51,06:51
95,KAL690,PNH,06:45,06:36,06:36
96,KAL628,CGK,06:50,06:20,06:20
97,AAR736,SGN,06:55,07:01,07:01
98,AAR742,BKK,06:55,06:44,06:44
99,AAR988,PVG,06:55,06:57,06:57
100,KAL214,LAX,06:55,07:48,07:48
101,THA656,BKK,06:55,06:41,06:41
102,TWB128,DAD,06:55,06:53,06:53
103,ASV502,REP,07:00,06:33,06:33
104,PAL488,KLO,07:00,06:37,06:37
105,JJA2406,CEB,07:05,06:59,06:59
106,LAO921,VTE,07:05,07:06,07:06
107,AAR710,CEB,07:10,07:37,07:37
108,CEB180,KLO,07:10,07:15,07:15
109,ESR572,PPS,07:10,06:42,06:42
110,ESR594,DAD,07:10,07:33,07:33
111,HVN406,SGN,07:10,07:48,07:48
112,KAL472,RGN,07:15,07:03,07:03
113,KAL672,KUL,07:15,06:55,06:55
114,AAR740,PNH,07:20,07:25,07:25
115,JNA026,CEB,07:20,07:17,07:17
116,HVN430,DAD,07:25,07:27,07:27
117,ESR542,HAN,07:30,07:39,07:39
118,JNA644,GUM,07:30,07:31,07:31
119,ASV512,BKI,07:35,07:22,07:22
120,ESR582,PQC,07:35,08:19,08:19
121,SIA608,SIN,07:35,07:20,07:20
122,JJA2508,BKI,07:45,07:35,07:35
123,KAL314,HKG,07:45,07:43,07:43
124,AAR283,SFO,07:50,07:08,07:08
125,ASV542,KLO,07:50,07:42,07:42
126,JJA2804,HAN,07:50,10:29,10:29
127,JJA8608,HAK,07:50,07:11,07:11
128,VJC960,HAN,07:55,07:50,07:50
129,AAR8532,PUS,08:00,07:51,07:51
130,KAL1412,TAE,08:00,07:46,07:46
131,KAL468,CXR,08:00,07:41,07:41
132,JJA4604,CRK,08:05,08:00,08:00
133,JNA060,DAD,08:05,07:53,07:53
134,TWB146,HAN,08:05,08:03,08:03
135,AFR264,CDG,08:10,07:58,07:58
136,KAL1402,PUS,08:15,07:55,07:55
137,JJA2904,DAD,08:20,09:03,09:03
138,XAX506,KUL,08:20,08:05,08:05
139,JJA3403,SPN,08:25,08:31,08:31
140,KAL654,BKK,08:25,08:08,08:08
141,TWB122,SGN,08:25,09:11,09:11
142,GIA878,CGK,08:30,08:11,08:11
143,ESR562,CXR,08:35,08:13,08:13
144,TWB102,BKK,08:35,08:59,08:59
145,TWB622,SYX,08:35,08:44,08:44
146,KAL336,PVG,08:40,08:15,08:15
147,KAL638,HKT,08:45,08:35,08:35
148,AAR177,HND,08:50,08:32,08:32
149,AAR762,CGK,08:50,08:27,08:27
150,BAW17,LHR,08:50,08:56,08:56
151,KAL646,SIN,08:50,08:39,08:39
152,KAL1404,PUS,09:05,08:47,08:47
153,AHK128,HKG,09:10,08:49,08:49
154,FIN41,HEL,09:10,08:42,08:42
155,GIA870,DPS,09:15,08:51,08:51
156,LOT97,WAW,09:15,09:06,09:06
157,AAR744,BKK,09:20,09:12,09:12
158,ASV552,DAD,09:20,08:37,08:37
159,JJA4704,SGN,09:20,09:08,09:08
160,KAL630,DPS,09:20,08:54,08:54
161,JJA2206,BKK,09:25,09:35,09:35
162,JJA2204,BKK,09:35,09:25,09:25
163,AAR748,HKT,09:40,09:23,09:23
164,JJA4904,CXR,09:40,09:20,09:20
165,KAL924,SVO,09:40,09:15,09:15
166,APJ001,KIX,09:45,09:30,09:30
167,AAR552,IST,09:50,10:11,10:11
168,AIH512,HAN,09:50,09:18,09:18
169,SIA612,SIN,09:50,09:33,09:33
170,VJC862,SGN,09:50,09:44,09:44
171,KAL234,SEA,09:55,09:01,09:01
172,TAX700,DMK,10:05,09:48,09:48
173,UPS196,ANC,10:05,09:38,09:38
174,JNA096,JHB,10:10,10:05,10:05
175,TWB158,CXR,10:10,09:27,09:27
176,CSN685,DLC,10:20,09:46,09:46
177,UIA170,TPE,10:20,10:35,10:35
178,AZA758,FCO,10:25,10:19,10:19
179,CAL164,KHH,10:45,10:39,10:39
180,CDG4095,TNA,10:45,10:33,10:33
181,DLH718,MUC,10:45,10:09,10:09
182,CES549,YNT,10:55,10:42,10:42
183,EVA188,RMQ,10:55,10:44,10:44
184,GCR7993,TSN,10:55,10:51,10:51
185,AAR115,KIX,11:00,10:53,10:53
186,CES2039,TAO,11:00,10:37,10:37
187,JNA222,FUK,11:00,10:57,10:57
188,CSN313,PVG,11:05,10:55,10:55
189,SHU5450,KHV,11:05,10:31,10:31
190,AAR768,DEL,11:15,10:48,10:48
191,CAL160,TPE,11:15,11:06,11:17
192,CES579,NKG,11:15,11:06,11:06
193,JJA1607,NGO,11:15,10:46,10:46
194,AAR368,PVG,11:20,11:11,11:11
195,CDG4617,TAO,11:20,11:02,11:02
196,AAR792,FRA,11:25,12:09,12:09
197,ASV725,KMJ,11:25,11:44,11:44
198,KAL722,KIX,11:25,11:10,11:10
199,AFL250,SVO,11:30,11:25,11:25
200,JJA1407,FUK,11:30,11:20,11:20
201,JNA262,KKJ,11:30,11:08,11:08
202,TWB298,OIT,11:30,11:31,11:31
203,CSN681,SHE,11:35,11:30,11:30
204,KAL1406,PUS,11:35,11:13,11:13
205,KAL752,NGO,11:35,11:24,11:24
206,AAR107,NRT,11:40,11:22,11:22
207,CSN637,CGQ,11:40,11:21,11:21
208,ASV721,NGS,11:45,11:33,11:33
209,CCA171,TSN,11:45,11:18,11:18
210,ETD876,AUH,11:45,11:14,11:14
211,CCA123,PEK,11:50,11:40,11:40
212,CCA139,HGH,11:50,11:46,11:46
213,HKE618,HKG,11:50,11:28,11:28
214,JJA1303,KIX,11:50,11:42,11:42
215,KAL706,NRT,11:50,11:29,11:29
216,SHU5496,UUS,11:50,11:27,11:27
217,AAR588,BRU,11:55,12:24,12:24
218,ASV761,KIX,11:55,11:54,11:54
219,CES5041,PVG,11:55,12:20,12:20
220,THY88,IST,11:55,12:42,12:42
221,DLH712,FRA,12:00,12:00,12:00
222,KAL788,FUK,12:00,11:59,11:59
223,KAL896,PVG,12:00,12:02,12:02
224,AAR542,FRA,12:05,11:51,11:51
225,AIC310,BOM,12:05,13:00,13:00
226,KAL530,FRA,12:05,11:48,11:48
227,MGL301,ULN,12:05,11:36,11:36
228,TWB608,TAO,12:05,11:38,11:38
229,APG884,MNL,12:10,12:06,12:06
230,CES2033,TAO,12:15,11:55,11:55
231,CSN6079,WUH,12:15,11:50,11:50
232,CSN687,CGQ,12:15,11:49,11:49
233,JJA8402,TAO,12:20,11:58,11:58
234,KAL952,DXB,12:20,12:29,12:29
235,ESR606,NRT,12:25,12:48,12:48
236,KAL748,OKJ,12:25,12:15,12:15
237,UPS64,ANC,12:30,11:35,11:35
238,CPA438,HKG,12:35,12:22,12:22
239,SHU5436,VVO,12:35,12:02,12:02
240,CCA401,CTU,12:40,12:31,12:31
241,KAL936,PRG,12:40,12:18,12:18
242,AAR111,KIX,12:50,13:11,13:11
243,AAR131,FUK,12:50,12:39,12:39
244,CDG4087,TAO,12:50,12:37,12:37
245,KAL320,CAN,12:50,12:26,12:26
246,AAR318,TAO,12:55,12:50,12:50
247,CXA871,XMN,12:55,12:34,12:34
248,CES2017,WEH,13:00,12:56,12:56
249,AMU822,MFM,13:05,12:52,12:52
250,CCA143,YNJ,13:05,12:46,12:46
251,AAR121,NGO,13:10,12:58,12:58
252,ASV731,HIJ,13:10,13:03,13:03
253,JNA212,KIX,13:10,13:07,13:07
254,AAR302,DLC,13:15,13:09,13:09
255,CES5021,TAO,13:15,13:05,13:05
256,CSN6073,YNJ,13:25,12:54,12:54
257,KAL846,TAO,13:25,13:14,13:14
258,AAR247,ATL,13:30,12:43,12:43
259,CES5061,PVG,13:30,13:19,13:19
260,ESR642,FUK,13:30,13:17,13:17
261,TWB670,RMQ,13:30,13:34,13:34
262,KAL938,VIE,13:35,13:01,13:01
263,AAR328,TSN,13:45,13:40,13:40
264,AAR332,PEK,13:45,13:29,13:29
265,TWB292,FUK,13:45,13:38,13:38
266,AAR502,CDG,13:50,13:37,13:37
267,CSN337,CAN,13:50,13:25,13:25
268,ESR612,KIX,13:50,13:32,13:32
269,FDX5132,MEM,13:50,13:21,13:21
270,JJA1301,KIX,13:50,13:52,13:52
271,CPA410,HKG,13:55,13:51,13:51
272,CSZ9033,SZX,13:55,13:57,13:57
273,KAL906,FRA,13:55,13:43,13:43
274,JJA8502,WEH,14:00,14:50,14:50
275,JNA202,NRT,14:00,13:28,13:28
276,JNA282,KIX,14:00,13:49,13:49
277,KAL724,KIX,14:00,13:42,13:42
278,AAR562,FCO,14:10,13:53,13:53
279,CCA131,PEK,14:10,13:56,13:56
280,KAL776,KMQ,14:10,13:46,13:46
281,ESR882,TPE,14:20,14:03,14:03
282,KAL832,SHE,14:20,13:48,13:48
283,CDG4081,TAO,14:25,14:12,14:12
284,JJA1401,FUK,14:25,13:59,13:59
285,JJA1903,CTS,14:25,14:06,14:06
286,KAL894,PVG,14:25,14:28,14:28
287,AAR304,CGQ,14:30,14:22,14:22
288,AAR362,PVG,14:30,14:32,14:32
289,ESR602,NRT,14:30,14:30,14:30
290,JJA1101,NRT,14:30,14:17,14:17
291,ESR622,CTS,14:35,13:35,13:35
292,CDG4987,TNA,14:40,14:15,14:15
293,JJA8702,YNT,14:40,14:21,14:21
294,KAL916,BCN,14:45,14:43,14:43
295,KAL908,LHR,14:50,14:36,14:36
296,XAX504,KUL,14:50,14:35,14:35
297,APJ005,KIX,14:55,14:39,14:39
298,CCA439,CKG,14:55,14:19,14:19
299,CES267,YNT,14:55,15:21,15:21
300,KAL9268,ATL,14:55,14:01,14:01
301,TWB202,NRT,14:55,15:11,15:11
302,AAR790,MXP,15:00,15:09,15:09
303,KAL742,NGO,15:00,14:45,14:45
304,PAC582,CVG,15:00,17:06,17:06
305,PAC989,CVG,15:00,21:19,21:19
306,KAL686,SGN,15:05,15:04,15:04
307,KAL746,FUK,15:10,14:59,14:59
308,KAL958,TLV,15:10,14:58,14:58
309,CSN3061,CAN,15:15,14:25,14:25
310,KAL806,TSN,15:15,15:07,15:07
311,KAL892,YNJ,15:15,14:55,14:55
312,UAL893,SFO,15:15,14:48,14:48
313,AAR171,OKA,15:20,15:00,15:00
314,CES5033,PVG,15:20,15:16,15:16
315,KAL020,SEA,15:20,14:40,14:40
316,TAX708,DMK,15:20,15:22,15:22
317,AAL281,DFW,15:25,15:03,15:03
318,AAR151,SDJ,15:25,14:52,14:52
319,AAR352,YNJ,15:25,15:26,15:26
320,KAL074,YYZ,15:25,15:13,15:13
321,KAL764,KIJ,15:25,15:06,15:06
322,AAR512,BCN,15:30,15:41,15:41
323,APJ905,OKA,15:30,15:18,15:18
324,KAL250,JFK,15:30,15:19,15:20
325,KAL814,HFE,15:30,15:28,15:28
326,SIA600,SIN,15:30,15:05,15:05
327,KLM855,AMS,15:40,15:23,15:23
328,ASV751,NRT,15:45,15:48,15:48
329,JNA232,CTS,15:45,15:02,15:02
330,CES559,TAO,15:50,15:39,15:39
331,JNA246,OKA,15:50,15:40,15:40
332,KAL692,TPE,15:50,15:44,15:44
333,AAR101,NRT,15:55,15:43,15:43
334,AJX8477,NRT,15:55,15:24,15:24
335,APG038,KLO,15:55,15:38,15:38
336,CQH8559,PVG,15:55,16:14,16:14
337,KAL910,CDG,15:55,15:35,15:35
338,AAR173,CTS,16:00,15:33,15:33
339,AAR364,PVG,16:00,16:31,16:31
340,CCA801,TSN,16:00,15:47,15:47
341,JJA1601,NGO,16:00,16:11,16:11
342,JNA082,TPE,16:00,16:03,16:03
343,KAL926,AMS,16:00,16:06,16:06
344,TWB276,KMJ,16:00,15:52,15:52
345,AAR522,LHR,16:05,15:03,15:50
346,KAL396,SGN,16:05,16:41,16:41
347,AJX8475,NRT,16:10,15:55,15:55
348,ETH672,ADD,16:10,15:31,15:31
349,JNA224,FUK,16:10,15:59,15:59
350,JJA8902,JMU,16:15,18:21,18:21
351,THA634,BKK,16:15,16:32,16:32
352,AAR133,FUK,16:20,16:15,16:15
353,ACA063,YVR,16:20,16:48,16:48
354,CES217,YNZ,16:25,16:17,16:17
355,DAL159,DTW,16:25,16:19,16:19
356,KAL082,JFK,16:25,16:25,16:25
357,KAL882,WUH,16:25,16:22,16:22
358,AAR221,JFK,16:30,15:53,15:53
359,AAR712,TPE,16:30,16:21,16:21
360,CSN695,DLC,16:30,16:09,16:09
361,HVN414,HAN,16:30,16:23,16:23
362,KAL038,ORD,16:30,16:12,16:12
363,KAL094,IAD,16:30,15:57,15:57
364,KAL824,MDG,16:30,16:34,16:34
365,AAR702,MNL,16:40,16:54,16:54
366,ASV741,YGJ,16:40,16:17,16:17
