,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AJX8480,OKA,00:05,00:05,00:11
1,CKS9077,ANC,00:05,00:05,00:29
2,THY91,IST,00:05,00:05,00:10
3,UAE323,DXB,00:05,00:05,00:05
4,MAS039,KUL,00:10,00:10,00:26
5,CDG8096,TAO,00:20,00:20,00:15
6,KAL859,PEK,00:20,00:20,00:20
7,PAC717,PVG,00:20,12:35,12:55
8,GTI2688,JFK,00:30,00:30,01:32
9,SIA007,SIN,00:35,00:35,00:49
10,QTR859,DOH,00:45,00:45,00:41
11,KLM856,AMS,00:55,00:55,01:07
12,ETD873,AUH,01:00,01:00,01:09
13,AAR987,PVG,01:05,02:15,02:17
14,TAX703,DMK,01:05,01:05,01:17
15,ABW492,SVO,01:50,01:50,02:04
16,VJC839,CXR,01:50,01:50,01:47
17,GEC8385,FRA,02:05,02:05,01:56
18,KAL335,PVG,02:05,09:30,09:55
19,SHU5435,VVO,02:15,02:15,02:18
20,GTI654,ANC,02:35,11:20,11:49
21,XAX507F,KUL,03:00,12:45,06:13
22,CEB187,MNL,03:05,03:05,03:14
23,KAL595,ZAZ,03:25,03:25,03:20
24,FDX0024,MEM,03:45,03:45,03:47
25,AAR198,NRT,04:00,04:00,04:18
26,KAL8341,PEN,04:00,04:00,04:07
27,MAS039D,KUL,04:00,06:38,06:52
28,PAC225,CVG,04:35,04:35,04:51
29,CKK258,PVG,04:55,10:00,10:25
30,APJ9504,KIX,05:00,05:45,05:59
31,HKE603,HKG,05:25,05:25,05:42
32,PAC927,HKG,05:30,05:30,05:39
33,JJA932F,GMP,05:45,05:45,06:01
34,THY6495,IST,05:55,07:30,07:57
35,AAV601,CEB,06:15,06:15,06:28
36,VJC881,DAD,06:15,06:15,06:16
37,AAV605,CEB,06:20,06:20,06:46
38,JNA209,NRT,06:20,06:20,06:39
39,TWB205,NRT,06:25,06:25,06:32
40,VJC963,HAN,06:25,06:25,06:42
41,AAR8533,PUS,06:30,,06:48
42,CRK647,HKG,06:30,06:30,06:35
43,VJC865,SGN,06:45,06:45,07:24
44,JJA1904,CTS,07:00,,
45,VJC879,DAD,07:00,07:00,07:31
46,EVA149,TPE,07:10,07:10,07:21
47,JJA2201,BKK,07:10,07:10,07:18
48,JNA261,KKJ,07:10,07:10,07:29
49,JNA221,FUK,07:15,07:15,07:33
50,VJC925,HPH,07:15,07:15,07:26
51,AAR731,SGN,07:20,07:40,08:09
52,JNA077,DAD,07:20,07:20,07:36
53,JNA201,NRT,07:25,07:25,07:48
54,TWB297,OIT,07:25,07:25,07:42
55,TWB669,RMQ,07:25,07:25,07:40
56,APJ012,KIX,07:30,,
57,ASV722,NGS,07:30,07:30,07:56
58,JNA645,GUM,07:30,07:30,07:45
59,KAL1411,TAE,07:30,,07:52
60,KAL529,FRA,07:30,07:30,07:49
61,AAR701,MNL,07:45,07:45,08:06
62,CES5050,YNT,07:45,07:45,07:54
63,TWB125,DAD,07:45,07:45,07:59
64,TWB201,NRT,07:45,07:45,08:02
65,JNA081,TPE,07:50,07:50,08:20
66,TWB273,HSG,07:50,07:50,08:04
67,AMU825,MFM,07:55,07:55,08:24
68,ESR601,NRT,08:00,08:00,08:14
69,KAL621,MNL,08:00,08:00,08:34
70,KAL747,OKJ,08:00,08:00,08:18
71,KAL787,FUK,08:00,08:00,08:22
72,KAL809,CGO,08:00,08:00,08:17
73,ESR641,FUK,08:05,08:05,08:25
74,ESR881,TPE,08:05,08:05,08:15
75,KAL831,SHE,08:05,08:05,08:22
76,KAL845,TAO,08:05,08:05,08:26
77,KAL479,HAN,08:10,08:10,08:36
78,KAL603,HKG,08:10,08:10,08:29
79,PAL467,MNL,08:10,08:10,08:13
80,AAR122,NGO,08:15,08:15,08:34
81,AAR327,TSN,08:15,08:15,08:32
82,AAR331,PEK,08:20,08:20,08:40
83,AAR727,HAN,08:20,08:20,08:42
84,JJA8401,TAO,08:20,08:20,08:44
85,ASV702,TAK,08:25,08:25,08:40
86,KAL1401,PUS,08:25,,08:50
87,PAL475,PPS,08:25,08:25,08:28
88,AAR795,FRA,08:30,08:30,08:58
89,CES2044,TAO,08:30,08:30,08:55
90,JJA1102,NRT,08:30,08:30,08:52
91,KAL893,PVG,08:30,08:30,08:51
92,PAL485,CEB,08:30,08:30,08:38
93,AAR369,CAN,08:40,08:40,08:57
94,CPA415,HKG,08:40,08:40,08:53
95,KAL827,SZX,08:40,08:40,09:03
96,AAR132,FUK,08:45,08:45,08:59
97,CDG4620,TAO,08:45,08:45,08:48
98,KAL823,MDG,08:45,08:45,09:01
99,KAL865,CAN,08:50,08:50,09:12
100,AAR351,YNJ,08:55,08:55,09:06
