,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,EVA150,TPE,00:05,00:02,00:02
1,JJA8404,TAO,00:05,00:08,00:08
2,QDA9901,TAO,00:05,00:36,00:36
3,TWB206,NRT,00:05,00:06,00:06
4,CDG4777,TAO,00:30,00:23,00:23
5,SHU5496,UUS,00:40,00:16,00:16
6,KAL854,PEK,00:45,00:18,00:18
7,APG5038,CRK,00:50,00:31,00:31
8,APJ701,CTS,01:10,00:47,00:47
9,PAC963,CVG,01:15,01:32,01:32
10,ABW531,SVO,02:30,15:29,15:29
11,ESR872,PVG,02:30,02:25,02:25
12,GTI2678,JFK,02:35,04:05,04:05
13,HYT9073,YNZ,02:35,01:45,01:45
14,CKK257,PVG,02:40,03:02,03:02
15,THY6494,ISL,02:45,21:56,21:56
16,KAL868,ULN,03:25,02:55,02:55
17,PAC224,CVG,03:35,03:47,03:47
18,PAC927,LAX,03:35,03:34,03:34
19,UPS33,ONT,03:35,02:52,02:52
20,AAR203,LAX,04:00,04:15,04:15
21,AAR211,SFO,04:00,04:02,04:02
22,AAR235,ORD,04:00,03:52,03:52
23,DAL27,ATL,04:00,03:26,03:26
24,KAL026,SFO,04:00,04:17,04:17
25,JNA080,DAD,04:05,03:17,03:17
26,KAL086,JFK,04:10,04:10,04:10
27,JJA2306,MNL,04:15,04:31,04:31
28,KAL012,LAX,04:20,04:35,04:35
29,APJ809,HND,04:25,04:22,04:22
30,CRK646,HKG,04:25,03:49,03:49
31,HVN440,CXR,04:30,04:29,04:29
32,VJC836,CXR,04:30,05:18,05:18
33,ESR992,VVO,04:35,04:19,04:19
34,KAL006,LAS,04:35,04:26,04:26
35,KAL624,MNL,04:35,04:24,04:24
36,KAL720,HND,04:35,04:00,04:00
37,KZR209,TSE,04:35,04:07,04:07
38,TAX704,DMK,04:35,04:47,04:47
39,AAR322,CSX,04:40,04:33,04:33
40,AAR704,MNL,04:40,04:45,04:45
41,TWB302,GUM,04:45,04:13,04:13
42,AAR324,CTU,04:50,04:38,04:38
43,AAV704,KLO,04:50,06:53,06:53
44,AAV700,KLO,04:55,04:43,04:43
45,AAV600,CEB,05:00,05:04,05:04
46,APG8036,KLO,05:00,04:52,04:52
47,ESR592,DAD,05:00,04:40,04:40
48,TWB132,VTE,05:00,05:07,05:07
49,VJC880,DAD,05:00,05:23,05:23
50,AAR326,KWL,05:05,04:57,04:57
51,AAR746,HKG,05:10,04:49,04:49
52,CES2023,CSX,05:20,04:55,04:55
53,PAL466,MNL,05:20,05:17,05:17
54,TWB308,SPN,05:20,05:12,05:12
55,KAL464,DAD,05:25,05:02,05:02
56,KAL608,HKG,05:25,05:14,05:14
57,KAL680,HAN,05:25,05:21,05:21
58,SYL505,YKS,05:25,05:25,05:25
59,VJC864,SGN,05:25,05:59,05:59
60,AAR568,ULN,05:30,04:59,04:59
61,ASV502,HKG,05:30,05:24,05:24
62,TWB9424,VVO,05:30,05:33,05:33
63,VJC962,HAN,05:30,09:43,09:43
64,KAL860,PEK,05:35,05:22,05:22
65,AAR734,HAN,05:40,05:28,05:28
66,DLH718,MUC,05:40,05:09,05:09
67,AAR356,CAN,05:45,05:26,05:26
68,HVN416,HAN,05:50,05:53,05:53
69,JJA4206,CNX,05:50,05:39,05:39
70,JNA064,BKI,05:50,05:48,05:48
71,AAR756,DAD,05:55,05:30,05:30
72,CPA412,HKG,05:55,05:36,05:36
73,JNA040,KLO,05:55,05:34,05:34
74,KAL112,GUM,05:55,05:44,05:44
75,KAL316,PVG,05:55,05:32,05:32
76,TWB108,MFM,05:55,06:45,06:45
77,AMX090,MEX,06:00,07:55,07:55
78,ESR512,BKK,06:00,05:55,05:55
79,JNA096,JHB,06:00,06:01,06:01
80,JNA122,MFM,06:00,06:12,06:12
81,KAL612,HKG,06:00,05:57,05:57
82,KAL644,SIN,06:00,05:37,05:50
83,VJC878,DAD,06:00,06:03,06:03
84,JJA2108,HKG,06:05,05:42,05:42
85,TWB122,SGN,06:05,05:35,05:35
86,KAL658,BKK,06:10,06:13,06:13
87,VJC926,HPH,06:15,05:47,05:47
88,AAR752,SIN,06:20,06:18,06:18
89,ASV532,KLO,06:25,06:38,06:38
90,JJA2004,MFM,06:25,06:27,06:27
91,JJA2508,BKI,06:25,06:22,06:22
92,KAL632,CEB,06:25,06:40,06:40
93,PAL484,CEB,06:25,06:08,06:08
94,AAR3243,CTU,06:30,06:24,06:24
95,AAR626,SPN,06:30,06:31,06:31
96,AAR970,HKG,06:30,06:14,06:14
97,JNA024,CRK,06:30,06:26,06:26
98,PAL488,KLO,06:30,07:05,07:05
99,THA658,BKK,06:35,06:21,06:21
100,TWB128,DAD,06:35,07:10,07:10
101,HVN408,SGN,06:40,06:31,06:31
102,HVN430,DAD,06:40,06:16,06:16
103,JNA062,BKI,06:40,06:34,06:34
104,KAL684,SGN,06:40,06:33,06:33
105,KAL690,PNH,06:40,06:29,06:29
106,ESR594,DAD,06:45,07:08,07:08
107,KAL668,CNX,06:45,06:10,06:10
108,AAR708,CRK,06:50,06:51,06:51
109,ASV102,GUM,06:50,07:14,07:14
110,KAL672,KUL,06:50,07:32,07:32
111,ASV546,REP,06:55,06:56,06:56
112,JJA2406,CEB,06:55,06:57,06:57
113,JJA3105,GUM,06:55,07:11,07:11
114,KAL652,BKK,06:55,06:42,06:42
115,THA656,BKK,06:55,06:50,06:50
116,AAR988,PVG,07:00,07:28,07:28
117,JNA072,HKT,07:00,07:13,07:13
118,KAL474,MLE,07:00,06:48,06:48
119,KAL476,DLI,07:00,06:18,06:18
120,KAL482,DEL,07:00,06:58,06:58
121,JNA124,MFM,07:05,07:16,07:16
122,LAO921,VTE,07:05,07:07,07:07
123,AAR736,SGN,07:10,07:35,07:35
124,CEB180,KLO,07:10,06:35,06:35
125,ESR502,BKI,07:10,06:28,06:28
126,MAS066,KUL,07:10,10:40,10:34
127,AAR740,PNH,07:15,07:21,07:21
128,AFR264,CDG,07:15,06:03,06:39
129,KAL628,CGK,07:15,07:03,07:03
130,ASV542,BKI,07:20,07:31,07:31
131,JJA4304,VTE,07:20,06:41,06:41
132,JNA058,HAN,07:20,07:19,07:19
133,JJA2804,HAN,07:25,07:54,07:54
134,AAR578,ALA,07:30,07:15,07:15
135,JNA026,CEB,07:30,07:37,07:37
136,KAL634,DPS,07:30,07:05,07:05
137,BAW17,LHR,07:35,06:25,06:54
138,GTI2838,LAX,07:35,07:19,07:19
139,KAL472,RGN,07:35,07:25,07:25
140,AAR710,CEB,07:45,07:42,07:42
141,AHK128,HKG,07:45,08:08,08:08
142,SIA608,SIN,07:45,07:50,07:50
143,KAL314,HKG,07:50,07:52,07:52
144,KAL468,CXR,07:50,07:43,07:43
145,ESR562,CXR,07:55,08:05,08:05
146,JNA060,DAD,07:55,08:13,08:13
147,KAL214,LAX,07:55,07:00,07:00
148,UPS196,ANC,07:55,07:39,07:39
149,VJC960,HAN,07:55,09:24,09:24
150,AAR8532,PUS,08:00,07:47,07:47
151,JJA8602,SYX,08:00,07:48,07:48
152,JJA2904,DAD,08:05,08:33,08:33
153,KAL1410,TAE,08:05,07:46,07:46
154,KAL1402,PUS,08:10,07:50,07:50
155,FIN41,HEL,08:20,07:23,07:23
156,JNA028,CEB,08:20,07:53,07:53
157,JNA002,BKK,08:25,08:48,08:48
158,KAL320,CAN,08:25,09:30,09:30
159,KAL646,SIN,08:25,08:15,08:15
160,UZB511,TAS,08:25,08:02,08:02
161,FDX5926,MEM,08:30,08:24,08:24
162,AAR177,HND,08:35,08:26,08:26
163,FDX5230,MEM,08:35,08:37,08:51
164,JJA3403,SPN,08:35,08:21,08:21
165,KAL336,PVG,08:35,07:59,07:59
166,XAX506,KUL,08:35,08:29,08:29
167,JJA2204,BKK,08:40,09:08,09:08
168,TWB102,BKK,08:40,09:26,09:26
169,AAR762,CGK,08:55,09:20,09:20
170,KAL638,HKT,08:55,08:41,08:41
171,UPS11,SDF,08:55,09:12,09:12
172,LOT97,WAW,09:10,08:57,08:57
173,AAR742,BKK,09:15,08:59,08:59
174,ASV512,DAD,09:15,09:56,09:56
175,GIA870,DPS,09:15,08:53,08:53
176,KAL630,DPS,09:15,09:18,09:18
177,PAC237,CVG,09:15,09:48,09:48
178,AAR552,IST,09:20,09:01,09:01
179,JJA2206,BKK,09:20,09:37,09:37
180,JJA3465,SPN,09:25,08:35,08:35
181,KZR909,ALA,09:25,08:55,08:55
182,APJ001,KIX,09:30,09:28,09:28
183,AAR748,HKT,09:35,09:41,09:41
184,JJA1407,FUK,09:35,09:10,09:10
185,AAR610,ROR,09:40,09:22,09:22
186,AZA758,FCO,09:40,08:38,08:38
187,JJA4908,CXR,09:40,09:14,09:14
188,KAL924,SVO,09:40,09:05,09:05
189,VJC862,SGN,09:40,09:39,09:39
190,ESR514,BKK,09:45,09:45,09:45
191,SIA612,SIN,09:50,09:35,09:35
192,JJA4704,SGN,10:05,09:16,09:16
193,TAX700,DMK,10:05,10:03,10:03
194,JJA2408,CEB,10:15,09:33,09:33
195,AAR934,HAN,10:20,10:31,10:31
196,CSN685,DLC,10:20,10:00,10:00
197,KAL362,HAN,10:20,10:06,10:06
198,TWB158,CXR,10:25,09:58,09:58
199,AAR956,HAN,10:30,20:54,20:54
200,CAL164,KHH,10:30,10:16,10:16
201,GCR7993,TSN,10:30,10:36,10:36
202,CDG4095,TNA,10:45,10:22,10:22
203,CSN683,HRB,10:45,10:19,10:19
204,CES549,YNT,10:55,10:42,10:42
205,JNA222,FUK,10:55,10:52,10:52
206,JNA262,KKJ,10:55,10:40,10:40
207,AAR115,KIX,11:00,10:47,10:47
208,CES2039,TAO,11:00,10:45,10:45
209,EVA170,TPE,11:00,11:12,11:12
210,KAL536,FRA,11:05,13:35,13:35
211,PAC715,LAX,11:05,10:29,10:29
212,AFL250,SVO,11:10,10:58,10:58
213,CAL160,TPE,11:10,11:18,11:07
214,KAL920,ZAG,11:10,10:27,10:27
215,CDG4617,TAO,11:15,10:56,10:56
216,CES579,NKG,11:15,11:04,11:04
217,JJA1607,NGO,11:15,10:38,10:38
218,UPS64,ANC,11:15,12:02,12:02
219,CSN313,PVG,11:20,11:39,11:39
220,DLH712,FRA,11:20,11:02,11:02
221,KAL722,KIX,11:20,11:00,11:00
222,CSA190,PRG,11:25,11:35,11:35
223,FDX5154,MEM,11:25,10:54,10:54
224,KAL752,NGO,11:25,11:15,11:15
225,AAR107,NRT,11:30,11:19,11:19
226,AAR368,PVG,11:30,11:49,11:49
227,CCA123,PEK,11:35,11:22,11:22
228,CSN681,SHE,11:35,11:06,11:06
229,ETD876,AUH,11:35,12:21,12:21
230,TWB164,HAN,11:35,10:43,10:43
231,CCA171,TSN,11:45,11:10,11:10
232,KAL706,NRT,11:45,11:41,11:41
233,SHU5450,KHV,11:45,11:28,11:28
234,AAR542,FRA,11:50,11:33,11:33
235,HKE618,HKG,11:50,11:43,11:43
236,JJA1303,KIX,11:50,11:53,11:53
237,ASV712,KIX,11:55,11:25,11:25
238,CES5041,PVG,11:55,12:23,12:23
239,CSN6079,WUH,11:55,12:20,12:20
240,KAL1404,PUS,11:55,11:46,11:46
241,KAL896,PVG,11:55,12:01,12:01
242,KAL748,OKJ,12:00,11:48,11:48
243,KAL788,FUK,12:00,11:51,11:51
244,CCA139,HGH,12:05,12:19,12:19
245,KAL952,DXB,12:05,13:07,13:07
246,APG884,MNL,12:10,11:56,11:56
247,CES2033,TAO,12:10,11:31,11:31
248,KAL846,TAO,12:10,11:58,11:58
249,SHU5436,VVO,12:10,11:44,11:44
250,CSN687,CGQ,12:15,11:47,11:47
251,AAR247,ATL,12:20,12:12,12:12
252,AAR310,WEH,12:20,12:05,12:05
253,CXA871,XMN,12:20,12:50,12:50
254,ESR642,FUK,12:20,11:57,11:57
255,JJA8402,TAO,12:20,12:08,12:08
256,AAR588,BRU,12:30,11:37,11:37
257,AIC310,BOM,12:30,13:07,13:07
258,ASV742,TAK,12:30,12:18,12:18
259,CPA438,HKG,12:35,12:36,12:36
260,JNA212,KIX,12:35,12:39,12:39
261,PAC213,CVG,12:35,12:52,12:52
262,AAR111,KIX,12:40,12:27,12:27
263,AAR302,DLC,12:40,12:48,12:48
264,CCA401,CTU,12:40,12:46,12:46
265,CDG4087,TAO,12:50,12:38,12:38
266,MGL301,ULN,12:50,12:57,12:57
267,AAR318,TAO,12:55,13:20,13:20
268,KAL906,FRA,12:55,12:43,12:43
269,THY88,IST,12:55,12:13,12:13
270,AAR131,FUK,13:00,12:32,12:32
271,ESR612,KIX,13:00,12:55,12:55
272,KAL284,ORD,13:00,12:41,12:41
273,AAR121,NGO,13:05,12:59,12:59
274,KAL510,FRA,13:05,11:55,11:55
275,CCA143,YNJ,13:10,12:24,12:24
276,TWB282,KIX,13:10,13:03,13:03
277,CES2017,WEH,13:15,13:05,13:05
278,CES5021,XIY,13:15,13:19,13:19
279,KAL832,SHE,13:15,13:09,13:09
280,JNA202,NRT,13:20,13:17,13:17
281,CSN6073,YNJ,13:25,12:34,12:34
282,AAR328,TSN,13:30,13:37,13:37
283,ASV746,YGJ,13:30,13:13,13:13
