,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,EVA150,TPE,00:05,00:04,00:04,착륙
1,MGL307,ULN,00:25,23:59,00:23,착륙
2,KAL854,PEK,00:30,23:55,00:34,착륙
3,PAC237,CVG,00:30,07:58,07:58,지연
4,VJC838,CXR,00:57,00:45,00:45,착륙
5,CRK646,HKG,01:20,01:09,01:09,착륙
6,CEB188,MNL,03:14,03:31,03:31,착륙
7,KAL868,ULN,03:25,03:15,03:15,착륙
8,JNA080,DAD,03:55,03:50,03:50,착륙
9,AAR203,LAX,04:00,03:45,03:45,착륙
10,AAR211,SFO,04:00,02:19,04:13,착륙
11,AAR235,ORD,04:00,03:47,03:47,착륙
12,DAL27,ATL,04:00,03:58,03:58,착륙
13,JJA2306,MNL,04:05,05:49,05:49,지연
14,KAL086,JFK,04:10,03:40,03:40,착륙
15,UPS37,ONT,04:10,04:00,04:00,착륙
16,KAL624,MNL,04:15,05:47,05:47,지연
17,KAL012,LAX,04:20,04:07,04:07,착륙
18,KAL026,SFO,04:20,04:22,04:22,착륙
19,APJ809,HND,04:25,04:04,04:04,착륙
20,HVN440,CXR,04:30,04:50,04:50,착륙
21,JJA1281,HND,04:30,04:27,04:27,착륙
22,KAL720,HND,04:35,03:56,03:56,착륙
23,PAL1466,MNL,04:35,08:00,08:00,지연
24,AAR322,CSX,04:40,04:31,04:31,착륙
25,AAR704,MNL,04:40,05:21,05:21,착륙
26,CES2023,CSX,04:40,05:09,05:09,착륙
27,TWB302,GUM,04:45,04:20,04:20,착륙
28,AAR324,CTU,04:50,04:29,04:29,착륙
29,AAV604,CEB,04:50,04:51,04:51,착륙
30,KAL886,KMG,04:50,04:42,04:42,착륙
31,AAV600,CEB,05:00,05:00,05:00,착륙
32,ESR592,DAD,05:00,04:56,04:56,착륙
33,ESR992,VVO,05:00,04:25,04:25,착륙
34,TWB132,VTE,05:00,04:44,04:44,착륙
35,VJC880,DAD,05:00,06:16,06:16,지연
36,AAR326,KWL,05:05,04:53,04:53,착륙
37,AAR746,HKG,05:10,04:47,04:47,착륙
38,PIC194,DAD,05:10,05:27,05:27,착륙
39,ASV502,REP,05:20,05:02,05:02,착륙
40,TWB308,SPN,05:20,05:14,05:14,착륙
41,JNA064,BKI,05:25,05:38,05:38,착륙
42,KAL464,DAD,05:25,05:33,05:33,착륙
43,KAL608,HKG,05:25,04:57,04:57,착륙
44,KAL680,HAN,05:25,05:04,05:04,착륙
45,VJC864,SGN,05:25,06:20,06:20,착륙
46,ASV532,HKG,05:30,05:17,05:17,착륙
47,VJC962,HAN,05:30,05:24,05:24,착륙
48,AAR734,HAN,05:40,05:28,05:28,착륙
49,AMU826,MFM,05:40,05:35,05:35,착륙
50,AAR358,CAN,05:45,05:31,05:31,착륙
51,CPA412,HKG,05:45,06:09,06:09,착륙
52,TWB110,MFM,05:45,05:44,05:44,착륙
53,HVN416,HAN,05:50,05:51,05:51,착륙
54,AAR756,DAD,05:55,05:40,05:40,착륙
55,KAL112,GUM,05:55,06:43,06:43,착륙
56,KAL316,PVG,05:55,06:52,06:52,착륙
57,KAL644,SIN,05:55,05:59,05:59,착륙
58,AAR626,SPN,06:00,06:01,06:01,착륙
59,AMX090,MEX,06:00,11:44,11:44,지연
