,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR286,SFO,00:05,23:30,00:10
1,APG7047,CEB,00:05,00:05,00:14
2,CDG8066,TNA,00:05,23:40,00:03
3,CDG8072,TAO,00:05,00:45,00:48
4,KAL213,LAX,00:05,23:20,00:06
5,KAL273,VCP,00:05,23:30,00:01
6,KAL473,MLE,00:05,23:50,00:18
7,KAL8351,SGN,00:05,23:55,00:24
8,KAL859,PEK,00:05,23:55,00:22
9,QDA9902,TAO,00:05,00:05,00:19
10,SHU5435,VVO,00:05,23:40,00:12
11,TWB157,CXR,00:05,23:25,00:08
12,UAE323,DXB,00:05,23:55,00:15
13,JNA123,MFM,00:10,23:55,00:33
14,MAS039,KUL,00:10,00:10,00:26
15,PAC717,PVG,00:20,00:20,00:31
16,QTR8983,DOH,00:20,00:20,00:39
17,KAL325,HAN,00:25,00:25,00:28
18,UPS26,SDF,00:25,00:25,00:30
19,ETD873,AUH,00:55,00:55,01:00
20,KLM856,AMS,00:55,00:55,01:05
21,AAR987,PVG,01:05,01:05,01:20
22,TAX703,DMK,01:05,01:05,01:22
23,CEB187,MNL,01:10,01:10,01:23
24,QTR859,DOH,01:15,01:15,01:26
25,KAL335,PVG,01:45,02:45,02:48
26,VJC975,PQC,01:45,01:45,01:58
27,THY6545,ISL,01:50,01:50,02:08
28,VJC839,CXR,01:50,01:50,02:00
29,AZG610,GYD,02:00,02:00,02:33
30,CLX6356,LUX,02:20,02:50,02:36
31,APJ702,CTS,02:40,03:40,03:38
32,CKK258,PVG,04:55,04:55,05:07
33,FDX5924,ANC,05:00,05:00,05:04
34,PAC225,CVG,05:15,05:15,05:14
35,JNA947F,CJU,05:40,05:40,05:56
36,JJA8607,HAK,05:50,05:50,06:00
37,TAX705,DMK,05:50,05:50,05:53
38,AAV705,KLO,06:10,07:43,08:01
39,AAV601,CEB,06:15,06:15,06:26
40,APG037,KLO,06:15,06:15,06:11
41,VJC837,CXR,06:15,06:15,07:02
42,VJC881,DAD,06:15,06:15,06:34
43,AAV701,KLO,06:20,06:20,06:48
44,AAV771,CRK,06:20,06:20,06:39
45,HVN441,CXR,06:20,06:20,06:31
46,JJA1606,NGO,06:20,07:28,07:28
47,JJA3100,GUM,06:25,06:25,06:50
48,VJC963,HAN,06:25,06:25,06:43
49,AAR8533,PUS,06:30,,06:37
50,JJA2201,BKK,06:30,06:30,06:55
51,TWB103,HKT,06:45,06:45,06:59
52,VJC865,SGN,06:45,07:50,07:46
53,EVA149,TPE,06:50,06:50,07:08
54,JJA4501,KHH,06:50,06:50,07:31
55,CRK647,HKG,06:55,06:55,07:15
56,JJA8905,HRB,06:55,06:55,07:10
57,JNA283,KIX,06:55,07:25,07:39
58,TWB237,NGO,06:55,06:55,07:16
59,SBI5792,OVB,07:00,07:00,07:18
60,VJC879,DAD,07:00,07:00,07:20
61,UPS99,ANC,07:05,07:05,07:13
62,JJA1304,KIX,07:10,07:10,07:36
63,JNA201,NRT,07:10,,
64,ASV515,DAD,07:15,07:15,07:41
65,ESR563,CXR,07:15,07:15,07:26
66,JNA221,FUK,07:15,07:45,08:07
67,VJC925,HPH,07:15,07:15,07:33
68,AAR731,SGN,07:20,07:20,07:57
69,JNA077,DAD,07:20,07:20,07:53
70,TWB145,KLO,07:25,07:25,07:42
71,TWB669,RMQ,07:25,07:25,07:49
72,APJ012,KIX,07:30,07:30,07:44
73,JNA021,CEB,07:30,07:30,08:27
74,KAL8537,FRA,07:30,07:30,07:50
75,KAL001D,HNL,07:40,08:40,09:00
76,AAR701,MNL,07:45,07:45,08:07
77,CES5050,YNT,07:45,07:45,07:54
78,TWB125,DAD,07:45,07:45,08:20
79,JNA081,TPE,07:50,07:50,08:10
80,JNA211,KIX,07:50,07:50,08:05
81,KAL621,MNL,07:50,07:50,08:13
82,KAL747,OKJ,07:50,07:50,08:01
83,TWB605,TNA,07:50,07:50,08:05
84,AAR112,KIX,07:55,07:55,08:27
85,CEB181,KLO,07:55,07:55,08:03
86,AAR1161,KIX,08:00,08:00,08:09
87,ESR601,NRT,08:00,,
88,ESR615,KIX,08:00,08:00,08:11
89,KAL751D,NGO,08:00,08:00,08:15
90,KAL787,FUK,08:00,08:00,08:23
91,KAL809,CGO,08:00,08:00,08:18
92,KAL845,TAO,08:00,08:00,08:15
93,QTR8916,LAX,08:00,08:00,08:16
94,TWB281,KIX,08:00,08:00,08:21
95,ASV763,KMJ,08:05,08:05,08:18
96,ESR881,TPE,08:05,08:05,08:24
97,KAL831,SHE,08:05,08:05,08:22
98,KAL479,HAN,08:10,08:10,08:31
99,KAL603,HKG,08:10,08:10,08:33
100,PAL467,MNL,08:10,09:40,09:49
101,AAR122,NGO,08:15,08:15,08:26
102,AAR331,PEK,08:20,08:20,08:52
103,AAR727,HAN,08:20,08:20,08:36
104,JJA8401,TAO,08:20,08:20,08:28
105,JNA231,CTS,08:20,08:20,08:34
106,KAL1401,PUS,08:25,,08:40
107,KAL813,HFE,08:25,08:25,08:42
108,AAR793,FRA,08:30,08:30,09:02
109,AAR951,HAN,08:30,08:30,08:50
110,CES2044,TAO,08:30,08:30,08:38
111,KAL893,PVG,08:30,08:30,08:55
112,PAL485,CEB,08:30,08:30,08:58
113,AAR353,CKG,08:35,08:35,09:00
114,AAR369,CAN,08:40,08:40,09:07
115,CPA415,HKG,08:40,08:40,09:04
116,KAL827,SZX,08:40,08:40,09:12
117,AAR132,FUK,08:45,08:45,08:58
118,AAR383,SIN,08:45,08:50,09:19
119,CDG4620,TAO,08:45,08:45,08:56
120,ESR611,KIX,08:45,08:45,09:08
121,KAL823,MDG,08:45,08:45,09:06
122,KAL865,CAN,08:50,08:50,09:38
123,KAL881,WUH,08:50,08:50,09:10
124,AAR327,TSN,08:55,08:55,09:15
125,CES5052,PVG,08:55,08:55,09:25
126,AAR102,NRT,09:00,11:00,11:12
127,AAR192,KIX,09:00,16:40,17:04
128,AAR351,YNJ,09:00,09:00,09:17
129,AAR361,PVG,09:00,10:15,10:11
130,AAR7117,RMQ,09:00,09:00,09:29
131,AAR721,HKG,09:00,09:00,09:22
132,KAL819,CSX,09:00,09:00,09:45
133,SIA607,SIN,09:00,09:50,10:13
134,AAR2921,ORD,09:05,10:00,10:11
135,AAR301,DLC,09:05,09:05,09:27
136,AAR317,TAO,09:05,09:05,09:24
137,AFR267,CDG,09:05,09:05,09:32
138,JJA2601,TPE,09:05,09:05,09:40
139,KAL681,SGN,09:05,09:05,09:44
140,PAC968,LAX,09:05,09:05,09:22
141,ASV753,HIJ,09:10,09:10,09:27
142,CPA421,HKG,09:10,09:10,09:34
143,ESR931,HKG,09:10,09:10,09:47
144,KAL657,BKK,09:15,09:15,09:55
145,KAL805,TSN,09:15,09:15,09:42
146,KAL807,XIY,09:15,09:15,09:36
147,AAR303,CGQ,09:20,09:20,09:53
148,KAL031,DFW,09:20,09:20,09:41
149,KAL035,ATL,09:20,09:20,09:46
150,JJA3402,SPN,09:30,09:30,09:43
151,JNA113,HKG,09:30,09:30,09:51
152,JNA645,GUM,09:30,09:30,09:54
153,KAL091,BOS,09:30,09:30,09:56
154,AAR152,SDJ,09:35,13:55,14:08
155,ASV103,GUM,09:35,09:35,09:48
156,JJA1402,FUK,09:35,09:35,10:06
157,KAL073,YYZ,09:35,09:35,09:51
158,KAL723,KIX,09:35,09:35,09:59
159,KAL891,YNJ,09:35,09:35,09:59
160,THA659,BKK,09:35,09:35,10:01
161,JNA641,GUM,09:40,09:40,10:03
162,AAR172,OKA,09:45,09:45,10:09
163,KAL113,GUM,09:45,09:45,10:09
164,XAX507,KUL,09:45,09:45,10:04
165,KAL613,HKG,09:50,09:50,10:07
166,AAR347,XIY,10:00,10:00,10:37
167,AAR371,SZX,10:00,10:10,10:25
168,AAR711,TPE,10:00,10:00,10:18
169,ASV701,NRT,10:00,,
170,KAL081,JFK,10:00,10:00,10:20
171,HVN417,HAN,10:05,10:05,10:30
172,KAL767,AOJ,10:05,10:05,10:15
173,TWB291,FUK,10:05,10:05,10:17
174,UPS11,SDF,10:05,10:05,10:26
175,APJ002,KIX,10:10,10:10,10:23
176,JJA8501,WEH,10:10,10:10,10:32
177,JJA8901,JMU,10:10,10:10,10:22
178,KAL703,NRT,10:10,10:10,10:40
179,KAL765,CTS,10:10,10:10,10:27
180,KAL981,VVO,10:10,10:10,10:43
181,CPA417,HKG,10:15,10:15,10:20
182,DLH719,MUC,10:15,10:15,10:40
183,HVN409,SGN,10:15,10:15,10:28
184,AAR222,JFK,10:20,10:20,10:32
185,FIN42,HEL,10:20,10:20,10:46
186,KAL887,XMN,10:20,10:20,10:38
187,THA657,BKK,10:20,10:20,10:34
188,AAR551,IST,10:25,10:25,10:52
189,KAL093,IAD,10:25,10:25,10:48
190,AAR377,DLC,10:30,10:30,10:56
191,AAR729,HAN,10:35,10:35,11:00
192,BAW18,LHR,10:35,10:35,10:58
193,DAL158,DTW,10:35,10:35,10:49
194,GIA879,CGK,10:35,10:35,10:54
195,JJA1106,NRT,10:35,,
196,KAL691,TPE,10:35,10:35,11:05
197,JJA2901,DAD,10:40,10:40,11:02
198,JJA3102,GUM,10:40,10:40,10:51
199,JJA8701,YNT,10:40,10:40,11:05
200,KAL037,ORD,10:40,10:40,10:56
201,KAL483,HAN,10:40,10:40,11:08
202,KAL741,NGO,10:40,10:40,10:59
203,KAL855,PEK,10:40,10:40,11:10
204,AAR363,PVG,10:45,10:45,11:13
205,KZR960,ALA,10:55,10:55,11:18
206,LOT98,WAW,10:55,10:55,11:20
207,JJA2001,MFM,11:00,11:00,11:26
208,JJA972F,GUM,11:00,11:00,11:40
209,MAS067,KUL,11:00,11:00,11:16
210,ESR571,PPS,11:05,11:05,11:22
211,KAL485,DAD,11:05,11:05,11:33
212,VJC961,HAN,11:05,11:05,11:24
213,JJA1602,NGO,11:10,11:10,11:31
214,KAL897,PVG,11:10,11:10,11:35
215,CSN340,HAK,11:15,11:15,11:30
216,TAX701,DMK,11:15,11:15,11:38
217,CSN686,DLC,11:20,11:20,11:28
218,HVN431,DAD,11:20,11:20,11:44
219,SIA611,SIN,11:20,11:20,11:53
220,THA689,BKK,11:20,11:20,11:50
221,AAR7553,DAD,11:25,11:25,11:56
222,GIA871,DPS,11:25,11:25,11:42
223,CAL165,KHH,11:30,11:30,11:47
224,KAL913,MAD,11:40,11:40,11:59
225,VJC863,SGN,11:40,11:40,12:01
226,CDG4096,TNA,11:45,11:45,11:51
227,GCR7994,TSN,11:45,11:45,12:21
228,KAL509,ARN,11:50,11:50,12:14
229,CES2040,TAO,11:55,11:55,12:31
230,EVA187,RMQ,11:55,11:55,12:04
231,AAR541,FRA,12:00,12:00,12:26
232,CES550,YNT,12:00,12:00,12:07
233,UIA169,TPE,12:00,12:00,12:16
234,AAR339,HRB,12:10,12:10,12:37
235,SHU5451,KHV,12:10,12:10,12:18
236,CDG4618,TAO,12:15,12:15,12:34
237,CES218,YNZ,12:15,12:15,12:09
238,CES5086,TNA,12:15,12:15,12:19
239,JJA1902,CTS,12:20,12:20,12:29
240,AAR359,HGH,12:25,12:25,12:38
241,AMX091,MEX,12:25,12:25,12:41
242,CSN314,PVG,12:25,12:25,13:05
243,JJA5102,VVO,12:25,12:25,12:40
244,KAL795,CTS,12:25,12:25,12:50
245,AAR134,FUK,12:30,12:30,12:33
246,AAR349,NKG,12:30,12:40,13:01
247,AAR501,CDG,12:30,12:30,12:55
248,AAR561,FCO,12:30,12:30,12:52
249,CAL161,TPE,12:35,12:35,12:52
250,KAL863,TSN,12:35,12:35,12:58
251,AAR511,BCN,12:45,12:45,13:11
252,CCA172,TSN,12:45,12:45,13:03
253,CSN682,SHE,12:45,12:45,12:46
254,HKE619,HKG,12:50,12:50,12:58
255,KAL905,FRA,12:50,12:50,13:18
256,KAL937,VIE,12:50,12:50,13:23
257,APG885,MNL,12:55,12:55,12:53
258,CES5042,PVG,12:55,12:55,13:15
259,CSN6080,WUH,12:55,12:55,13:00
260,TWB679,KHH,12:55,12:55,13:09
261,AAR333,PEK,13:00,13:00,13:28
262,KAL869,DLC,13:00,13:00,13:15
263,CCA124,PEK,13:05,13:05,13:32
264,CCA140,HGH,13:05,13:35,13:56
265,JJA1704,MYJ,13:05,13:05,13:07
266,KAL861,TAO,13:05,13:05,13:26
267,KAL923,SVO,13:05,13:05,13:38
268,SHU5437,VVO,13:05,13:05,13:17
269,AFL251,SVO,13:10,13:10,13:49
270,CES2034,TAO,13:10,13:10,13:42
271,ESR605,NRT,13:10,13:10,13:21
272,KAL847,TNA,13:10,13:10,13:35
273,ASV713,KIX,13:15,13:15,13:30
274,KAL817,TXN,13:15,13:15,13:28
275,CSN688,CGQ,13:20,13:20,13:20
276,KAL901,CDG,13:20,13:20,14:02
