,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,ABW392,SVO,00:05,00:11,00:11
1,AAR191,KIX,00:30,00:05,00:05
2,KAL854,PEK,01:00,01:02,01:02
3,KAL9768,CTS,01:20,01:12,01:12
4,JJA8404,TAO,01:30,01:28,01:28
5,CKK257,PVG,01:50,02:01,02:01
6,GTI2678,JFK,02:25,16:02,16:02
7,PAC582,CVG,03:30,03:16,03:16
8,PAC997,LAX,03:35,03:14,03:14
9,UPS33,ONT,03:45,03:21,03:21
10,KAL624,MNL,04:00,04:06,04:06
11,JNA062,BKI,04:15,03:54,03:54
12,KAL2938,HKT,04:15,04:37,04:37
13,CRK646,HKG,04:25,03:30,03:30
14,HVN440,CXR,04:25,04:10,04:10
15,AAR704,MNL,04:30,03:58,03:58
16,AAV600,CEB,04:30,04:04,04:04
17,PIC1194,DAD,04:30,04:17,04:17
18,VJC836,CXR,04:30,04:33,04:33
19,APJ809,HND,04:35,04:35,04:35
20,JJA2306,MNL,04:40,03:40,03:40
21,CES2023,CSX,04:50,04:59,04:59
22,HYT9033,YIW,04:50,03:51,03:51
23,KAL720,HND,04:50,04:19,04:19
24,AAR324,CTU,04:55,04:46,04:46
25,AAV700,KLO,04:55,03:44,03:44
26,KAL680,HAN,04:55,04:52,04:52
27,AAR235,ORD,05:00,05:25,05:25
28,ESR592,DAD,05:00,04:31,04:31
29,KAL658,BKK,05:00,04:44,04:44
30,TWB132,VTE,05:00,04:48,04:48
31,KAL886,KMG,05:05,04:54,04:54
32,TWB302,GUM,05:05,04:39,04:39
33,VJC880,DAD,05:05,05:08,05:08
34,KAL012,LAX,05:10,04:41,04:41
35,AAR326,KWL,05:15,05:12,05:12
36,KAL086,JFK,05:15,04:50,04:50
37,AAR203,LAX,05:20,05:05,05:05
38,KAL608,HKG,05:20,05:01,05:01
39,CPA412,HKG,05:25,05:22,05:22
40,SWM211,REP,05:25,05:03,05:03
41,VJC864,SGN,05:25,05:31,05:31
42,VJC962,HAN,05:25,04:57,04:56
43,AAR211,SFO,05:30,04:13,04:13
44,AAR358,CAN,05:30,05:34,05:34
45,ASV532,HKG,05:30,06:04,06:04
46,HVN416,HAN,05:30,05:14,05:14
47,KAL026,SFO,05:30,04:26,04:26
48,KAL650,MNL,05:30,05:30,05:30
49,KAL464,DAD,05:35,05:10,05:10
50,KAL632,CEB,05:35,05:35,05:35
51,AAR756,DAD,05:40,05:16,05:16
52,AMU826,MFM,05:40,05:19,05:19
53,JNA004,BKK,05:40,05:13,05:13
54,AAR734,HAN,05:45,05:42,05:42
55,DAL27,ATL,05:45,05:11,05:11
56,JNA052,VTE,05:45,05:47,05:47
57,KAL644,SIN,05:45,05:39,05:39
58,PAL466,MNL,05:50,05:21,05:21
59,APG036,KLO,05:55,05:18,05:18
60,JJA2108,HKG,05:55,06:16,06:16
61,KAL542,OSL,05:55,06:09,06:09
62,GTI8460,IAH,06:00,08:19,08:19
63,PAL484,CEB,06:00,05:24,05:24
64,VJC878,DAD,06:00,06:47,06:47
65,VJC926,HPH,06:00,05:33,05:33
66,JJA4206,CNX,06:05,06:01,06:01
67,THA688,BKK,06:05,05:54,05:54
68,TWB148,CRK,06:05,05:27,05:27
69,KAL684,SGN,06:10,06:35,06:35
70,KAL668,CNX,06:15,05:37,05:37
71,ASV101,GUM,06:20,06:28,06:28
72,ESR512,BKK,06:20,05:28,05:28
73,KAL112,GUM,06:20,05:59,05:59
74,KAL612,HKG,06:20,06:29,06:29
75,AAR746,HKG,06:25,06:08,06:08
76,JNA024,CRK,06:25,07:11,07:11
77,JNA058,HAN,06:25,06:23,06:23
78,AAR708,CRK,06:30,06:33,06:33
79,AAR970,HKG,06:30,06:20,06:20
80,HVN408,SGN,06:30,06:22,06:22
81,MAS066,KUL,06:30,06:18,06:18
82,AAR752,SIN,06:35,06:56,06:56
83,JNA122,MFM,06:35,06:52,06:52
84,THA658,BKK,06:35,05:56,05:56
85,AAR626,SPN,06:40,06:31,06:31
86,ESR502,BKI,06:40,07:00,07:00
87,JJA3105,GUM,06:40,06:14,06:14
88,KAL652,BKK,06:40,06:17,06:17
89,RBA651,BWN,06:40,06:12,06:12
90,JJA4304,VTE,06:45,06:32,06:32
91,KAL690,PNH,06:45,06:50,06:50
92,KAL628,CGK,06:50,06:22,06:22
93,AAR736,SGN,06:55,06:43,06:43
94,AAR742,BKK,06:55,06:38,06:38
95,AAR988,PVG,06:55,07:42,07:42
96,KAL316,PVG,06:55,06:41,06:41
97,THA656,BKK,06:55,06:26,06:26
98,TWB128,DAD,06:55,06:44,06:44
99,ASV502,REP,07:00,07:02,07:02
100,PAL488,KLO,07:00,06:25,06:25
101,JJA2406,CEB,07:05,06:49,06:49
102,JNA124,MFM,07:05,07:32,07:32
103,LAO921,VTE,07:05,06:40,06:40
104,AAR710,CEB,07:10,07:37,07:37
105,CEB180,KLO,07:10,06:37,06:37
106,ESR572,PPS,07:10,06:38,06:38
107,ESR594,DAD,07:10,08:17,08:17
108,JNA072,HKT,07:15,06:58,06:58
109,KAL472,RGN,07:15,06:55,06:55
110,KAL672,KUL,07:15,07:08,07:08
111,AAR740,PNH,07:20,07:35,07:35
112,JNA026,CEB,07:20,07:06,07:06
113,ASV512,BKI,07:25,08:07,08:07
114,HVN430,DAD,07:25,07:15,07:15
115,ESR542,HAN,07:30,07:26,07:26
116,JNA644,GUM,07:30,07:18,07:18
117,JJA4604,CRK,07:35,07:44,07:44
118,SIA608,SIN,07:35,07:04,07:04
119,SWM213,REP,07:40,07:29,07:29
120,AAR285,SFO,07:45,06:54,06:54
