,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,EVA150,TPE,00:05,00:54,00:54
1,UPS37,ONT,00:25,00:44,00:44
2,KAL854,PEK,00:45,01:08,01:08
3,APJ701,CTS,01:10,00:49,00:49
4,PAC963,CVG,01:15,01:57,01:57
5,CKK257,PVG,02:40,04:10,04:10
6,PAC224,CVG,03:35,03:26,03:26
7,PAC997,LAX,03:35,04:06,04:06
8,DAL27,ATL,04:00,03:04,03:04
9,JNA080,DAD,04:05,03:18,03:18
10,KAL086,JFK,04:10,03:32,03:32
11,JJA2306,MNL,04:15,04:26,04:26
12,KAL624,MNL,04:15,04:23,04:23
13,AAR203,LAX,04:20,03:36,03:36
14,KAL026,SFO,04:20,04:08,04:08
15,APJ809,HND,04:25,04:12,04:12
16,CRK646,HKG,04:25,04:01,04:01
17,AAR211,SFO,04:30,03:29,03:29
18,HVN440,CXR,04:30,04:03,04:03
19,VJC836,CXR,04:30,05:07,05:07
20,KAL720,HND,04:35,04:17,04:17
21,TAX704,DMK,04:35,04:44,04:44
22,AAR704,MNL,04:40,04:30,04:30
23,TWB302,GUM,04:45,04:41,04:41
24,AAR324,CTU,04:50,04:14,04:14
25,AAV704,KLO,04:50,04:49,04:49
26,KAL012,LAX,04:50,04:19,04:19
27,AAV700,KLO,04:55,04:28,04:28
28,KAL006,LAS,04:55,04:21,04:21
29,AAV600,CEB,05:00,05:09,05:09
30,ESR592,DAD,05:00,04:35,04:35
31,ESR992,VVO,05:00,03:58,03:58
32,TWB132,VTE,05:00,04:39,04:39
33,VJC880,DAD,05:00,04:56,04:56
34,AAR326,KWL,05:05,04:47,04:47
35,KAL696,KTM,05:05,05:03,05:03
36,AAR746,HKG,05:10,05:35,05:35
37,JNA064,BKI,05:10,04:54,04:54
38,CES2023,CSX,05:20,05:14,05:14
39,PAL466,MNL,05:20,05:22,05:22
40,TWB308,SPN,05:20,05:00,05:00
41,APG036,KLO,05:25,05:11,05:11
