,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR357,CAN,00:05,23:55,00:04
1,AAR951,HAN,00:05,23:55,00:00
2,ASV591,HKG,00:05,23:20,00:09
3,CDG4722,TAO,00:05,23:50,00:02
4,KAL315,PVG,00:05,23:55,00:12
5,PAC214,CVG,00:05,00:05,00:17
6,SIA603,SIN,00:05,23:45,00:07
7,UAE323,DXB,00:05,23:50,00:15
8,AJX8480,OKA,00:10,00:10,00:24
9,MAS039,KUL,00:10,00:10,00:22
10,ETD873,AUH,00:15,00:15,00:28
11,TAX703,DMK,00:20,00:20,00:30
12,THY91,IST,00:30,00:30,00:33
13,QTR859,DOH,00:35,00:35,00:37
14,ETH673,ADD,00:45,01:20,01:37
15,KLM856,AMS,00:55,00:55,01:10
16,MGL302,ULN,00:55,01:00,01:43
17,AAR987,PVG,01:05,01:05,01:27
18,GTI531,PVG,01:10,02:00,01:57
19,VJC839,CXR,01:50,01:50,01:48
20,KAL249,JFK,01:55,01:55,01:50
21,GEC8387,FRA,02:15,02:15,02:25
22,GAP2483,TAG,02:30,02:30,02:39
23,KAL9541,OSL,02:40,02:40,02:43
24,CEB187,MNL,02:55,02:55,03:19
25,JJA992F,TAE,04:50,05:41,05:41
26,AAR284,SFO,05:00,05:00,05:20
27,HKE615,HKG,05:10,05:10,05:11
28,PAC735,HKG,05:15,06:00,07:15
29,JJA1600,NGO,05:55,05:55,06:06
30,HVN441,CXR,06:15,06:15,06:23
31,JJA2201,BKK,06:15,06:15,06:39
32,VJC881,DAD,06:15,07:15,07:28
33,VJC837,CXR,06:20,06:20,06:49
34,AAV601,CEB,06:25,06:25,06:32
35,APV1103,MWX,06:25,06:25,06:37
36,VJC963,HAN,06:25,06:25,06:56
37,AAR8533,PUS,06:30,,06:52
38,TWB671,KHH,06:30,06:30,07:00
39,PAC769,HKG,06:45,06:45,07:03
40,VJC865,SGN,06:45,06:45,07:07
41,AAV701,KLO,06:50,06:50,07:11
42,CRK647,HKG,06:50,06:50,07:21
43,ESR633,OKA,06:50,07:50,08:12
44,JJA1582,KOJ,06:50,06:50,07:09
45,JNA221,FUK,06:50,06:50,07:13
46,KAL141F,PUS,06:50,06:50,07:05
47,APG037,KLO,06:55,06:55,06:58
48,EVA149,TPE,07:00,07:00,07:18
49,JJA1304,KIX,07:00,07:00,07:26
50,SWM212,REP,07:00,07:00,07:23
51,VJC879,DAD,07:00,07:00,08:15
52,AIH231,YNT,07:05,13:05,13:28
53,TGW897,SIN,07:05,08:00,08:24
54,ASV762,KIX,07:15,07:35,08:05
55,JJA1904,CTS,07:15,07:15,07:32
56,VJC925,HPH,07:15,07:15,07:34
57,JNA261,KKJ,07:20,07:20,07:48
58,TWB297,OIT,07:20,07:20,07:40
59,CES5050,YNT,07:25,12:10,12:47
60,ESR621,CTS,07:25,07:25,07:50
61,TWB237,NGO,07:25,07:25,07:58
62,APJ012,KIX,07:30,07:30,07:54
63,JJA1408,FUK,07:30,07:30,07:52
64,JNA201,NRT,07:30,07:30,07:45
65,PAL485,CEB,07:30,07:30,07:43
66,AAR701,MNL,07:35,07:35,08:07
67,KAL1411,TAE,07:35,,07:56
68,AMU825,MFM,07:40,07:40,08:04
69,JNA077,DAD,07:40,07:40,08:10
70,TWB125,DAD,07:45,07:45,08:21
71,TWB201,NRT,07:45,07:45,08:02
72,JNA063,BKI,07:50,07:50,08:28
73,CEB181,KLO,07:55,07:55,08:36
74,KAL621,MNL,07:55,07:55,08:34
75,PAC225,CVG,07:55,07:55,08:00
76,TWB281,KIX,07:55,07:55,08:10
77,AAR731,SGN,08:00,08:00,08:31
78,CLX7345,LUX,08:00,10:30,11:24
79,JNA211,KIX,08:00,08:00,08:22
80,KAL529,FRA,08:00,08:00,10:21
81,KAL787,FUK,08:00,08:00,08:18
82,PAL489,KLO,08:00,08:00,08:18
83,AAR112,KIX,08:05,08:05,08:19
84,KAL479,HAN,08:05,08:05,08:32
85,KAL747,OKJ,08:05,08:05,08:53
86,TWB3001,PUS,08:05,08:05,08:27
