,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR383,SIN,00:05,23:40,00:11
1,AAR391,SGN,00:05,00:15,00:34
2,AAR909,ORD,00:05,00:05,00:40
3,AAR951,HAN,00:05,23:45,00:25
4,AIH511,HAN,00:05,00:05,00:31
5,AJX8480,OKA,00:05,00:05,00:45
6,CDG4778,TAO,00:05,22:55,00:28
7,CDG8072,TAO,00:05,00:45,00:47
8,CLX6353,LUX,00:05,23:45,00:05
9,KAL361,HAN,00:05,23:25,00:18
10,KAL647,SIN,00:05,23:30,00:02
11,KZR960,ALA,00:05,23:50,00:21
12,QDA9902,TAO,00:05,00:05,00:32
13,SHU5435,VVO,00:05,23:40,00:09
14,SIA603,SIN,00:05,23:45,00:13
15,TWB163,HAN,00:05,23:30,00:04
16,UAE323,DXB,00:05,23:55,00:15
17,XAX509,KUL,00:05,23:25,00:08
18,CSN672,SHE,00:10,23:50,00:23
19,MAS039,KUL,00:10,00:10,00:27
20,PAC715,PVG,00:20,12:50,13:49
21,CSN316,PEK,00:30,23:55,01:00
22,CEB187,MNL,00:45,02:15,02:08
23,KLM856,AMS,00:55,00:55,00:51
24,ETD873,AUH,01:00,01:00,01:09
25,AAR987,PVG,01:05,01:05,01:28
26,ETH673,ADD,01:05,01:05,01:19
27,TAX703,DMK,01:05,01:05,01:13
28,QTR859,DOH,01:15,01:15,01:33
29,VJC875,DAD,01:15,01:15,01:44
30,KAL249,JFK,01:40,01:40,01:46
31,VJC975,PQC,01:45,03:00,03:09
32,ABW392,SVO,01:50,01:50,02:10
33,VJC839,CXR,01:50,01:50,02:06
34,ABW329,SVO,01:55,01:55,02:17
35,GEC8390,FRA,02:00,02:00,02:03
36,GEC8387,FRA,02:05,02:05,02:15
37,PAC225,CVG,04:35,04:35,04:54
38,CKK258,PVG,04:55,04:55,04:46
39,PAC997,PVG,05:00,05:00,05:35
40,PAC969,HKG,05:15,05:15,05:14
41,JJA1408,FUK,05:40,05:40,05:55
42,TAX705,DMK,05:50,05:50,05:58
43,AAV601,CEB,06:15,06:15,06:42
44,APG037,KLO,06:15,06:15,06:20
45,VJC837,CXR,06:15,08:35,09:20
46,VJC881,DAD,06:15,06:15,06:32
47,AAV701,KLO,06:20,07:30,07:22
48,HVN441,CXR,06:20,06:20,06:38
49,VJC963,HAN,06:25,06:25,06:52
50,AAR8533,PUS,06:30,,06:44
51,JJA2201,BKK,06:30,06:30,06:49
52,VJC865,SGN,06:45,07:40,08:15
53,EVA149,TPE,06:50,06:50,07:19
54,CRK647,HKG,06:55,06:55,07:02
55,TWB237,NGO,06:55,06:55,07:08
56,TWB671,KHH,07:00,07:00,07:13
57,VJC879,DAD,07:00,07:00,07:15
58,ESR605,NRT,07:05,07:05,07:24
59,JNA221,FUK,07:05,07:05,07:29
60,JJA1304,KIX,07:10,07:10,07:31
61,JNA261,KKJ,07:10,07:10,07:39
62,VJC925,HPH,07:15,07:15,07:26
63,JNA077,DAD,07:20,07:20,07:44
64,JNA201,NRT,07:25,07:25,07:59
65,TWB125,DAD,07:25,07:25,07:56
66,TWB297,OIT,07:25,07:25,07:35
67,AAR805A,GMP,07:30,08:09,08:09
68,APJ012,KIX,07:30,07:30,07:47
69,JNA021,CEB,07:30,07:30,07:51
70,KAL535,FRA,07:30,08:30,09:01
71,AAR731,SGN,07:35,07:50,08:27
72,ESR621,CTS,07:40,07:40,07:49
73,CES5050,YNT,07:45,07:45,08:06
74,TWB201,NRT,07:45,07:45,08:02
75,ASV763,KMJ,07:50,07:50,08:04
76,JNA081,TPE,07:50,07:50,08:38
77,JNA211,KIX,07:50,07:50,08:20
78,KAL621,MNL,07:50,07:50,08:20
79,AAR112,KIX,07:55,07:55,08:24
80,CEB181,KLO,07:55,07:55,08:12
81,AAR248,ATL,08:00,10:35,10:57
82,ESR601,NRT,08:00,08:00,08:14
83,KAL747,OKJ,08:00,08:00,08:18
84,KAL787,FUK,08:00,08:00,08:22
85,KAL809,CGO,08:00,08:00,08:18
86,TWB281,KIX,08:00,09:30,09:47
87,AAR701,MNL,08:05,08:05,08:46
88,KAL831,SHE,08:05,08:05,08:25
89,KAL845,TAO,08:05,08:05,08:29
90,KAL479,HAN,08:10,08:10,08:36
91,KAL603,HKG,08:10,08:10,08:31
92,PAL467,MNL,08:10,08:10,08:22
93,AAR122,NGO,08:15,08:15,08:28
94,AAR331,PEK,08:20,08:20,08:44
95,JJA8401,TAO,08:20,08:20,08:40
96,JNA231,CTS,08:20,08:20,08:52
97,AAR789,MXP,08:25,08:25,09:16
98,ASV741,TAK,08:25,08:25,08:45
99,KAL1401,PUS,08:25,,08:47
100,PAL489,KLO,08:25,08:25,08:33
101,AAR793,FRA,08:30,08:30,09:11
102,CES2044,TAO,08:30,10:00,10:28
103,JJA1102,NRT,08:30,08:30,08:50
104,KAL893,PVG,08:30,08:30,09:18
105,PAL485,CEB,08:30,08:30,08:42
106,AAR369,CAN,08:40,08:40,09:04
107,CPA415,HKG,08:40,08:40,08:57
108,ESR641,FUK,08:40,08:40,09:06
109,KAL813,HFE,08:40,08:40,08:54
110,KAL827,SZX,08:40,08:40,09:09
111,AAR132,FUK,08:45,08:45,09:01
112,CDG4620,TAO,08:45,08:45,08:50
113,ESR611,KIX,08:45,08:45,09:04
114,KAL823,MDG,08:45,08:45,09:06
115,KAL865,CAN,08:50,08:50,09:29
116,AAR327,TSN,08:55,08:55,09:22
117,CES5052,PVG,08:55,08:55,09:23
118,UPS186,ANC,08:55,08:55,09:13
119,AAR102,NRT,09:00,09:00,09:22
120,AAR174,CTS,09:00,09:00,09:11
121,AAR309,WEH,09:00,09:00,09:25
122,AAR351,YNJ,09:00,09:00,09:55
123,AAR361,PVG,09:00,09:00,09:41
124,AAR721,HKG,09:00,10:04,10:04
125,KAL819,CSX,09:00,09:00,09:36
126,SIA607,SIN,09:00,10:05,10:33
127,AAR301,DLC,09:05,09:05,09:34
128,AAR317,TAO,09:05,09:05,09:31
129,AAR576,UUS,09:05,09:05,09:16
130,AFR267,CDG,09:05,09:05,09:50
131,GTI2848,LAX,09:05,09:05,09:57
132,JJA2601,TPE,09:05,09:05,09:38
133,KAL657,BKK,09:05,09:05,09:44
134,KAL881,WUH,09:05,09:05,09:48
135,ASV745,YGJ,09:10,09:10,09:25
136,CPA421,HKG,09:10,09:10,09:27
137,ESR931,HKG,09:10,09:10,09:53
138,JJA1302,KIX,09:10,09:10,09:29
139,KAL681,SGN,09:10,09:10,09:57
140,KAL805,TSN,09:15,09:15,09:59
141,KAL807,XIY,09:15,09:15,10:06
142,AAR303,CGQ,09:20,09:20,10:02
143,KAL031,DFW,09:20,09:20,09:45
144,KAL035,ATL,09:20,09:20,09:50
145,JJA3402,SPN,09:30,09:30,09:59
146,JNA113,HKG,09:30,09:30,10:08
147,AAR337,YNZ,09:35,09:35,10:10
148,JJA1402,FUK,09:35,09:35,09:52
149,KAL073,YYZ,09:35,09:35,10:03
150,KAL723,KIX,09:35,09:35,09:54
151,KAL891,YNJ,09:35,09:35,10:15
152,THA659,BKK,09:35,09:35,10:17
153,ASV735,OKA,09:40,09:40,10:19
154,ASV751,FSZ,09:40,09:40,10:00
155,JNA641,GUM,09:40,09:40,10:25
156,AAR172,OKA,09:45,10:52,10:52
157,KAL113,GUM,09:45,09:45,10:12
158,XAX507,KUL,09:45,09:45,10:12
159,KAL613,HKG,09:50,09:50,10:22
160,JJA2101,HKG,09:55,09:55,10:29
161,JNA205,NRT,09:55,09:55,10:16
162,AAR347,XIY,10:00,10:00,10:25
163,AAR371,SZX,10:00,10:00,10:26
164,AAR711,TPE,10:00,10:05,10:38
165,ASV701,NRT,10:00,10:00,10:24
166,JJA901T,ICN,10:00,10:00,10:17
167,KAL081,JFK,10:00,10:00,10:28
168,ESR661,KMI,10:05,10:05,10:19
169,HVN417,HAN,10:05,10:05,10:44
170,KAL763,KIJ,10:05,10:05,10:32
171,TWB291,FUK,10:05,10:05,10:14
172,APJ002,KIX,10:10,10:10,10:35
173,JJA8501,WEH,10:10,10:10,10:40
174,KAL703,NRT,10:10,10:10,10:38
175,KAL765,CTS,10:10,10:10,10:21
176,KAL981,VVO,10:10,10:10,10:48
177,AAR3533,CKG,10:15,10:15,10:35
178,CPA417,HKG,10:15,10:15,10:42
179,DLH719,MUC,10:15,10:15,10:31
180,HVN409,SGN,10:15,10:15,10:46
181,AAR222,JFK,10:20,10:20,10:42
182,FIN42,HEL,10:20,10:20,10:36
183,KAL887,XMN,10:20,10:20,10:50
184,THA657,BKK,10:20,10:20,11:00
185,KAL093,IAD,10:25,10:25,10:48
186,JNA281,KIX,10:30,10:30,10:51
187,AAR729,HAN,10:35,10:35,11:02
188,BAW18,LHR,10:35,10:35,10:58
189,DAL158,DTW,10:35,10:35,11:03
190,GIA879,CGK,10:35,10:35,10:54
191,JJA1106,NRT,10:35,10:35,11:18
192,KAL691,TPE,10:35,10:35,11:04
193,TWB251,CTS,10:35,10:35,10:54
194,AAR551,IST,10:40,10:40,11:12
195,JJA2901,DAD,10:40,10:40,11:08
196,JJA3102,GUM,10:40,10:40,11:05
197,JJA8701,YNT,10:40,10:40,11:16
198,KAL037,ORD,10:40,10:40,11:08
199,KAL483,HAN,10:40,10:40,11:14
200,KAL741,NGO,10:40,10:40,11:01
201,LAO922,VTE,10:40,10:40,10:57
202,AAR363,PVG,10:45,11:50,12:27
203,JNA245,OKA,10:45,11:15,11:50
204,LOT98,WAW,10:55,10:55,11:21
205,JJA2001,MFM,11:00,11:00,11:28
206,MAS067,KUL,11:00,11:00,11:24
207,KAL485,DAD,11:05,11:05,11:33
208,KAL919,ZAG,11:05,11:05,11:27
209,VJC961,HAN,11:05,11:05,11:30
210,JJA1602,NGO,11:10,11:10,11:35
211,KAL897,PVG,11:10,11:10,11:38
212,TWB611,WNZ,11:10,11:10,11:44
213,CSN340,HAK,11:15,11:15,11:25
214,TAX701,DMK,11:15,11:15,11:55
215,CSN686,DLC,11:20,11:20,11:40
216,HVN431,DAD,11:20,11:20,11:42
217,SIA611,SIN,11:20,11:20,11:47
218,THA689,BKK,11:20,11:20,12:01
219,GIA871,DPS,11:25,11:25,11:36
220,KAL317,TSN,11:25,11:25,11:52
221,KZR910,ALA,11:25,11:25,11:48
222,CAL165,KHH,11:30,11:30,12:05
223,ESR631,OKA,11:30,11:30,11:57
224,KAL913,MAD,11:40,11:40,12:07
225,VJC863,SGN,11:40,11:40,12:16
226,AIH241,WEH,11:45,11:45,11:59
227,CDG4096,TNA,11:45,11:45,12:03
228,GCR7994,TSN,11:45,11:45,12:12
229,CES2040,TAO,11:55,11:55,12:18
230,EVA187,RMQ,11:55,11:55,12:09
231,PAC949,HKG,11:55,11:55,12:22
232,AAR541,FRA,12:00,12:00,12:28
233,CES550,YNT,12:00,12:00,12:21
234,JNA223,FUK,12:00,12:00,12:30
235,UIA169,TPE,12:00,12:00,12:41
236,UAL806,SFO,12:05,12:05,12:28
237,UPS11,SDF,12:05,12:05,12:14
238,AAR339,HRB,12:10,12:10,12:32
239,AIH231,YNT,12:15,12:15,12:25
240,CDG4618,TAO,12:15,12:15,12:37
241,CES580,NKG,12:15,12:15,12:34
242,JJA1902,CTS,12:20,12:20,12:36
243,KAL917,ZRH,12:20,12:20,12:48
244,AAR359,HGH,12:25,12:25,12:56
245,CSN314,PVG,12:25,12:25,12:33
246,JJA5102,VVO,12:25,12:25,12:45
247,KAL795,CTS,12:25,12:25,12:38
248,TWB283,KIX,12:25,12:25,12:45
249,AAR134,FUK,12:30,12:30,12:47
250,AAR349,NKG,12:30,12:30,13:01
251,AAR561,FCO,12:30,12:30,12:55
252,AAR997,TSN,12:30,13:00,13:23
253,UPS174,ANC,12:30,12:30,12:51
254,CAL161,TPE,12:35,12:35,12:59
255,RBA652,BWN,12:35,12:35,12:52
256,AAR511,BCN,12:45,12:45,13:20
257,CCA172,TSN,12:45,12:45,13:10
258,CSN682,SHE,12:45,12:45,12:58
259,CSA191,PRG,12:50,12:50,13:07
260,CSN6088,MDG,12:50,12:50,13:04
261,HKE619,HKG,12:50,12:50,13:02
262,KAL905,FRA,12:50,12:50,13:13
263,APG885,MNL,12:55,12:55,13:05
264,CES5042,PVG,12:55,12:55,14:09
265,AAR333,PEK,13:00,13:00,13:16
266,AFL251,SVO,13:00,13:00,13:25
267,KAL481,DEL,13:00,13:00,13:20
268,KAL869,DLC,13:00,13:00,13:47
269,SHU5451,KHV,13:00,13:00,13:15
270,CCA124,PEK,13:05,13:05,13:30
271,CCA140,HGH,13:05,13:05,13:41
272,JJA1704,MYJ,13:05,13:05,13:22
273,KAL861,TAO,13:05,13:05,13:28
274,KAL901,CDG,13:05,13:05,13:38
