,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,AAR384,SIN,00:20,00:49,00:49,착륙
1,KAL854,PEK,00:50,00:35,00:35,착륙
2,CRK626,HKG,01:00,00:06,00:06,착륙
3,PAC582,CVG,01:30,01:29,01:29,착륙
4,CKK257,PVG,01:50,02:16,02:16,착륙
5,AAR796,FRA,02:00,01:58,01:58,착륙
6,KAL868,ULN,03:20,03:12,03:12,착륙
7,THY6494,IST,03:30,03:19,03:19,착륙
8,PAC927,LAX,03:35,06:13,06:13,지연
9,UPS33,ONT,03:40,03:16,03:16,착륙
10,AAR235,ORD,04:00,03:52,03:52,착륙
11,JNA040,KLO,04:00,03:21,03:21,착륙
12,HKE614,HKG,04:10,03:33,03:33,착륙
13,KAL086,JFK,04:15,03:48,03:48,착륙
14,AAR203,LAX,04:20,05:17,05:17,착륙
15,KAL624,MNL,04:20,03:57,03:57,착륙
16,PAC224,CVG,04:20,03:55,03:55,착륙
17,AAR211,SFO,04:30,04:42,04:42,착륙
18,AAV700,KLO,04:30,04:26,04:26,착륙
19,JCC800,REP,04:30,04:01,04:01,착륙
20,SWM211,REP,04:30,04:05,04:05,착륙
21,APJ809,HND,04:35,04:12,04:12,착륙
22,JJA2306,MNL,04:40,04:15,04:15,착륙
23,JNA052,VTE,04:45,04:57,04:57,착륙
24,KAL720,HND,04:45,04:09,04:09,착륙
25,KAL152,KWE,04:50,04:31,04:31,착륙
26,KAL658,BKK,04:50,04:39,04:39,착륙
27,AAR324,CTU,04:55,04:59,04:59,착륙
28,AAR704,MNL,04:55,04:44,04:44,착륙
29,AAV600,CEB,04:55,04:25,04:25,착륙
30,AAV704,KLO,04:55,07:15,06:52,지연
31,AAR322,CSX,05:00,05:39,05:39,착륙
32,AAR326,KWL,05:00,04:53,04:53,착륙
33,AAR746,HKG,05:00,04:17,04:17,착륙
34,ESR592,DAD,05:00,04:19,04:19,착륙
35,KAL012,LAX,05:00,06:11,06:11,지연
36,KAL858,PEK,05:00,04:29,04:29,착륙
37,TWB132,VTE,05:00,05:41,05:41,착륙
38,VJC880,DAD,05:00,04:47,04:47,착륙
39,KAL680,HAN,05:05,05:02,05:02,착륙
40,TWB302,GUM,05:05,04:22,04:22,착륙
41,KAL026,SFO,05:10,05:43,05:43,착륙
42,PIC194,DAD,05:10,04:35,04:35,착륙
43,KAL006,LAS,05:15,04:37,04:37,착륙
44,PAL466,MNL,05:15,04:33,04:33,착륙
45,CPA412,HKG,05:20,04:49,04:49,착륙
46,KAL608,HKG,05:20,05:07,05:07,착륙
47,AAR756,DAD,05:25,05:33,05:33,착륙
48,VJC864,SGN,05:25,04:55,04:55,착륙
49,VJC962,HAN,05:25,05:44,05:44,착륙
50,AAR356,CAN,05:30,05:37,05:37,착륙
51,ASV532,HKG,05:30,05:23,05:23,착륙
52,HVN416,HAN,05:30,05:14,05:14,착륙
53,KAL464,DAD,05:30,04:51,04:51,착륙
54,VJC878,DAD,05:30,05:36,05:36,착륙
55,KAL9312,BOM,05:35,05:04,05:04,착륙
56,AMU826,MFM,05:40,05:25,05:25,착륙
57,AAR734,HAN,05:45,05:50,05:50,착륙
58,JNA062,BKI,05:45,05:19,05:19,착륙
59,KAL644,SIN,05:45,05:27,05:27,착륙
60,APG036,KLO,05:55,05:11,05:11,착륙
61,JJA2108,HKG,05:55,05:53,05:53,착륙
62,JNA004,BKK,05:55,05:32,05:32,착륙
63,AMX090,MEX,06:00,05:09,05:09,착륙
64,KAL684,SGN,06:00,06:03,06:03,착륙
65,PAL484,CEB,06:00,05:38,05:38,착륙
66,THA8552,BKK,06:00,05:30,05:30,착륙
67,VJC926,HPH,06:00,05:47,05:47,착륙
68,KAL316,PVG,06:05,05:40,05:40,착륙
69,KAL474,MLE,06:10,06:09,06:09,착륙
70,KAL482,DEL,06:10,06:07,06:07,착륙
71,KAL632,CEB,06:10,05:46,05:46,착륙
72,AAR752,SIN,06:15,06:22,06:22,착륙
73,KAL112,GUM,06:15,05:49,05:49,착륙
74,KAL652,BKK,06:15,05:57,05:57,착륙
75,ESR512,BKK,06:20,05:21,05:21,착륙
76,JNA024,CRK,06:25,06:19,06:19,착륙
77,JNA058,HAN,06:25,06:46,06:46,착륙
78,TWB308,SPN,06:25,07:07,07:07,착륙
79,AAR970,HKG,06:30,11:46,11:46,지연
80,HVN408,SGN,06:30,06:30,06:30,착륙
81,MAS066,KUL,06:30,06:57,06:57,착륙
82,JJA2406,CEB,06:35,06:32,06:32,착륙
83,JJA4304,VTE,06:35,06:55,06:55,착륙
84,THA658,BKK,06:35,05:52,05:52,착륙
85,AAR626,SPN,06:40,06:27,06:27,착륙
86,ESR502,BKI,06:40,06:05,06:05,착륙
87,JJA3105,GUM,06:40,06:01,06:01,착륙
88,AAR736,SGN,06:45,06:48,06:48,착륙
89,KAL690,PNH,06:45,06:24,06:24,착륙
90,KAL668,CNX,06:50,06:44,06:44,착륙
91,AAR988,PVG,06:55,06:39,06:39,착륙
92,ASV101,GUM,06:55,06:37,06:37,착륙
93,JNA122,MFM,06:55,06:49,06:49,착륙
94,THA656,BKK,06:55,06:15,06:15,착륙
95,TWB128,DAD,06:55,07:25,07:25,착륙
96,AAR742,BKK,07:00,07:20,07:20,착륙
97,ASV502,REP,07:00,06:53,06:53,착륙
98,KAL628,CGK,07:00,06:34,06:34,착륙
99,PAL486,KLO,07:00,06:18,06:18,착륙
100,TWB108,MFM,07:00,07:01,07:01,착륙
101,AAR708,CRK,07:05,07:32,07:32,착륙
102,LAO921,VTE,07:05,06:56,06:56,착륙
103,AAR710,CEB,07:10,09:12,09:12,지연
104,CEB180,KLO,07:10,06:41,06:41,착륙
105,ESR594,DAD,07:10,07:02,07:02,착륙
106,HVN406,SGN,07:10,06:42,06:42,착륙
107,KAL672,KUL,07:10,07:00,07:00,착륙
108,JNA026,CEB,07:15,07:13,07:13,착륙
109,AAR740,PNH,07:20,06:59,06:59,착륙
110,AJX8479,OKA,07:25,07:10,07:10,착륙
111,ASV512,BKI,07:25,07:36,07:36,착륙
112,HVN430,DAD,07:25,06:50,06:50,착륙
113,JJA2502,BKI,07:25,07:23,07:23,착륙
114,ESR542,HAN,07:30,08:00,08:00,착륙
115,JNA652,SPN,07:30,07:18,07:18,착륙
116,KAL654,BKK,07:30,07:15,07:15,착륙
117,KAL472,RGN,07:35,07:29,07:29,착륙
118,SIA608,SIN,07:35,07:08,07:08,착륙
119,AHK128,HKG,07:45,07:27,07:27,착륙
120,KAL314,HKG,07:45,07:05,07:05,착륙
121,JJA2804,HAN,07:50,08:08,08:08,착륙
122,KAL214,SFO,07:50,07:51,07:51,착륙
123,UPS11,SDF,07:50,07:59,07:59,착륙
124,UPS196,ANC,07:50,07:53,07:53,착륙
125,VJC960,HAN,07:55,07:34,07:34,착륙
126,AAR8532,PUS,08:00,07:38,07:38,착륙
127,KAL1412,TAE,08:00,07:41,07:41,착륙
128,KAL468,CXR,08:00,07:46,07:46,착륙
129,ASV542,KLO,08:05,07:03,07:03,착륙
130,JJA2204,BKK,08:05,07:40,07:40,착륙
131,JNA060,DAD,08:05,07:45,07:45,착륙
132,AFR264,CDG,08:10,07:48,07:48,착륙
