,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR383,SIN,00:05,23:40,00:07
1,CDG4722,TAO,00:05,23:50,00:01
2,FDX9828,KIX,00:05,23:55,00:03
3,KAL213,LAX,00:05,23:20,00:15
4,SHU5751,KHV,00:05,23:45,00:09
5,UAE323,DXB,00:05,23:50,00:04
6,XAX509,KUL,00:05,23:50,00:11
7,MAS039,KUL,00:10,00:10,00:23
8,CSN8130,CGO,00:15,00:15,00:13
9,ETD873,AUH,00:15,00:15,00:32
10,PAC717,PVG,00:20,00:20,00:42
11,TAX703,DMK,00:20,00:20,00:26
12,CEB187,MNL,00:25,00:25,00:44
13,KAL325,HAN,00:25,00:25,00:53
14,THY91,IST,00:25,00:25,00:40
15,QTR859,DOH,00:35,00:35,00:45
16,KLM856,AMS,00:55,00:55,00:58
17,AAR987,PVG,01:05,03:37,03:37
18,AZG129,GYD,01:05,09:30,09:55
19,VJC975,PQC,01:45,01:45,01:54
20,ABW692,SVO,01:50,01:50,02:01
21,THY6545,ISL,01:50,07:25,07:41
22,VJC839,CXR,01:50,01:50,01:44
23,KAL335,PVG,01:55,01:55,02:11
24,GEC8385,FRA,02:20,02:20,02:23
25,AAR286,SFO,03:05,03:05,03:23
26,GTI2928,ORD,03:30,07:15,07:24
27,KAL8351,BKK,03:50,03:50,03:53
28,SOO7950,HKG,04:00,04:00,04:16
29,CKK258,PVG,04:20,04:10,04:49
30,BOX580,LEJ,04:40,04:40,04:46
31,PAC225,CVG,05:10,05:10,05:12
32,AJX8478,NRT,05:15,05:15,05:19
33,UPS99,ANC,05:45,06:30,06:51
34,AAR801A,GMP,06:00,06:00,06:15
35,AAV701,KLO,06:10,06:10,06:26
36,HVN441,CXR,06:15,06:15,06:17
37,JJA2201,BKK,06:15,06:15,06:29
38,VJC881,DAD,06:15,06:15,06:38
39,VJC837,CXR,06:20,06:20,06:44
40,AAV601,CEB,06:25,06:25,06:34
41,JJA3100,GUM,06:25,06:25,06:31
42,VJC963,HAN,06:25,06:25,06:35
43,AAR8533,PUS,06:30,,06:41
44,QTR8983,DOH,06:30,06:30,06:47
45,VJC865,SGN,06:45,06:45,07:08
46,AAV771,CRK,06:50,06:50,07:06
47,CRK647,HKG,06:50,06:50,06:56
48,JJA8905,HRB,06:50,06:50,06:53
49,JNA221,FUK,06:50,06:50,07:02
50,APG037,KLO,06:55,07:00,07:44
51,ESR595,DAD,07:00,07:00,07:17
52,EVA149,TPE,07:00,07:00,07:11
53,JJA1304,KIX,07:00,07:00,07:15
54,VJC879,DAD,07:00,07:00,07:28
55,JNA125,MFM,07:05,07:05,07:26
56,VJC925,HPH,07:15,07:15,07:19
57,CES5050,YNT,07:25,07:25,07:36
58,TWB669,RMQ,07:25,07:25,07:34
59,AAR731,SGN,07:30,07:30,07:48
60,APJ012,KIX,07:30,07:30,07:39
61,JNA201,NRT,07:30,07:30,07:45
62,PAL485,CEB,07:30,07:30,07:33
63,TWB607,TAO,07:30,07:30,07:50
64,AAR701,MNL,07:35,07:35,07:52
65,JNA077,DAD,07:40,07:40,08:16
66,KAL621,MNL,07:45,07:45,08:06
67,TWB125,DAD,07:45,07:45,08:27
68,TWB211,NRT,07:45,07:45,08:05
69,AAR7117,RMQ,07:50,07:50,08:10
70,ESR823,KHH,07:50,07:50,08:13
71,JNA063,BKI,07:50,07:50,08:08
72,CEB181,KLO,07:55,07:55,08:03
73,KAL635,CRK,07:55,07:55,08:20
74,TWB281,KIX,07:55,07:55,07:58
75,ESR881,TPE,08:00,08:00,08:22
76,JNA211,KIX,08:00,08:00,08:15
77,KAL787,FUK,08:00,08:00,08:32
78,KAL8537,FRA,08:00,08:00,08:18
79,AAR112,KIX,08:05,08:05,08:17
80,KAL479,HAN,08:05,08:05,08:30
81,KAL747,OKJ,08:05,08:05,08:19
82,AAR122,NGO,08:10,08:10,08:21
83,JJA1102,NRT,08:10,08:10,08:27
84,PAL467,MNL,08:10,08:10,08:24
85,AAR951,HAN,08:15,09:50,10:14
86,KAL827,SZX,08:15,08:15,08:36
87,PAC968,LAX,08:15,08:15,08:23
88,AAR331,PEK,08:20,08:20,08:52
89,AAR727,HAN,08:20,08:20,08:42
90,JJA8401,TAO,08:20,09:20,09:36
91,KAL603,HKG,08:20,08:20,08:34
92,KAL1401,PUS,08:25,,08:38
93,KAL893,PVG,08:25,08:25,08:59
94,AAR353,CKG,08:30,08:30,08:54
95,AAR369,CAN,08:30,08:30,08:47
96,CES2044,TAO,08:30,08:30,08:32
97,JNA021,CEB,08:30,08:30,08:56
98,AAR132,FUK,08:40,08:40,08:57
99,ESR601,NRT,08:40,08:40,08:55
100,AAR793,FRA,08:45,08:45,09:01
101,CDG4620,TAO,08:45,08:45,08:49
102,KAL831,SHE,08:50,08:50,09:05
103,AAR327,TSN,08:55,08:55,09:15
104,AAR623,SPN,08:55,09:10,09:34
105,CES5052,PVG,08:55,08:55,09:12
106,KAL819,CSX,08:55,08:55,09:10
107,KAL865,CAN,08:55,08:55,09:47
108,AAR102,NRT,09:00,09:00,09:11
109,AAR317,TAO,09:00,09:00,09:24
110,AAR351,YNJ,09:00,09:00,09:32
111,AAR721,HKG,09:00,09:00,09:22
112,KAL691,TPE,09:00,09:00,09:42
113,KAL723,KIX,09:00,09:00,09:18
114,KAL741,NGO,09:00,09:00,09:14
115,SIA607,SIN,09:00,09:00,09:18
116,AAR303,CGQ,09:05,10:30,10:42
117,AAR361,PVG,09:05,09:05,09:34
118,ESR611,KIX,09:05,09:05,09:27
119,KAL813,HFE,09:05,09:05,09:26
120,KAL845,TAO,09:05,09:05,09:28
