,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD,Departure_STT
0,CKS257,HKG,00:15,00:55,01:31,지연
1,ETD873,AUH,00:15,00:15,00:16,이륙
2,TAX703,DMK,00:20,00:20,00:32,이륙
3,UAE323,DXB,00:20,23:50,00:14,이륙
4,AAR951,HAN,00:25,23:55,00:03,이륙
5,SIA007,SIN,00:25,00:25,00:46,이륙
6,THY91,IST,00:40,00:40,00:48,이륙
7,QTR859,DOH,00:50,00:50,00:54,이륙
8,KLM856,AMS,00:55,00:55,01:24,이륙
9,PAC7970,HKG,01:00,01:00,01:19,이륙
10,AAR987,PVG,01:05,01:05,01:17,이륙
11,PAC717,PVG,01:15,01:15,01:39,이륙
12,KAL335,PVG,02:05,02:05,02:08,이륙
13,CEB187,MNL,02:30,02:30,02:44,이륙
14,GAP2483,TAG,02:30,02:30,02:42,이륙
15,KAL541,OSL,02:50,02:50,03:06,이륙
16,CKK258,PVG,03:40,04:20,04:17,이륙
17,SYL506,YKS,03:55,03:55,04:00,이륙
18,HKE615,HKG,04:55,04:55,05:07,이륙
19,PAC997,PVG,05:00,05:00,05:16,이륙
20,PAC225,CVG,05:30,05:30,05:45,이륙
21,PIC195,DAD,06:10,06:10,06:28,이륙
22,VJC881,DAD,06:15,06:15,06:42,이륙
23,AAV601,CEB,06:20,06:20,06:34,이륙
24,AAV705,KLO,06:20,08:10,08:59,지연
25,JCC802,REP,06:20,06:20,06:40,이륙
26,KAL3133,GUM,06:25,06:25,06:53,이륙
27,VJC963,HAN,06:25,06:25,06:50,이륙
28,CRK627,HKG,06:30,06:30,06:44,이륙
29,ESR633,OKA,06:30,06:30,06:55,이륙
30,AAV701,KLO,06:45,06:45,07:03,이륙
31,VJC865,SGN,06:45,06:45,07:23,이륙
32,VJC879,DAD,06:45,06:45,07:22,이륙
33,JJA2965,DAD,06:50,06:50,07:01,이륙
34,APG037,KLO,06:55,06:55,07:11,이륙
35,QTR8983,DOH,06:55,06:55,06:56,이륙
36,EVA149,TPE,07:00,07:00,07:20,이륙
37,JJA1304,KIX,07:00,07:00,07:09,이륙
38,SWM212,REP,07:00,07:00,07:32,이륙
39,TWB205,NRT,07:00,07:00,07:17,이륙
40,AIH231,YNT,07:05,07:05,07:15,이륙
41,ASV762,KIX,07:05,07:05,07:28,이륙
42,JNA221,FUK,07:05,07:05,07:30,이륙
43,PAL489,KLO,07:10,07:10,07:26,이륙
44,VJC925,HPH,07:15,07:15,07:39,이륙
45,TWB297,OIT,07:20,07:20,07:36,이륙
46,CES5050,YNT,07:25,07:25,07:34,이륙
47,ESR621,CTS,07:25,07:25,07:41,이륙
48,TWB671,KHH,07:25,07:25,07:56,이륙
49,AAR731,SGN,07:30,07:30,07:54,이륙
50,APJ012,KIX,07:30,07:30,07:44,이륙
51,JJA1408,FUK,07:30,07:30,07:50,이륙
52,JNA261,KKJ,07:30,07:30,07:46,이륙
53,PAL485,CEB,07:30,08:50,09:44,지연
54,TWB607,TAO,07:30,07:30,07:52,이륙
55,JJA2461,CEB,07:35,07:35,07:59,이륙
56,JNA201,NRT,07:35,07:35,08:21,이륙
57,JNA077,DAD,07:40,07:40,08:01,이륙
58,TWB125,DAD,07:45,07:45,08:03,이륙
59,TWB201,NRT,07:45,07:45,08:28,이륙
60,AAR701,MNL,07:50,07:50,08:17,이륙
61,AMU825,MFM,07:50,07:50,08:11,이륙
62,ASV702,TAK,07:55,07:55,08:13,이륙
63,CEB181,KLO,07:55,07:55,08:29,이륙
64,ESR881,TPE,07:55,07:55,08:07,이륙
65,JJA1904,CTS,07:55,07:55,08:36,이륙
66,KAL1413,TAE,07:55,07:55,08:05,이륙
67,KAL621,MNL,07:55,07:55,08:26,이륙
68,TWB281,KIX,07:55,07:55,08:24,이륙
69,AAR184,CTS,08:00,08:00,08:34,이륙
70,JNA211,KIX,08:00,08:00,08:16,이륙
71,KAL529,FRA,08:00,08:00,08:09,이륙
72,KAL787,FUK,08:00,08:00,08:25,이륙
73,PAL487,KLO,08:00,08:00,09:54,지연
74,AAR112,KIX,08:05,08:05,08:48,이륙
75,KAL747,OKJ,08:05,08:05,08:19,이륙
76,AAR327,TSN,08:10,08:10,08:36,이륙
77,JJA1102,NRT,08:10,08:10,08:41,이륙
78,KAL479,HAN,08:10,08:10,08:34,이륙
79,PAL467,MNL,08:10,08:10,08:32,이륙
80,AAR122,NGO,08:15,08:15,08:51,이륙
81,KAL827,SZX,08:15,08:15,08:38,이륙
82,AAR727,HAN,08:20,08:20,08:42,이륙
83,JJA8401,TAO,08:20,08:20,08:47,이륙
84,KAL1401,PUS,08:25,08:25,08:54,이륙
85,KAL603,HKG,08:25,08:25,08:51,이륙
86,AAR353,CKG,08:30,08:30,08:40,이륙
87,CES2044,TAO,08:30,08:30,08:45,이륙
88,JNA021,CEB,08:30,08:30,09:11,이륙
89,JNA281,KIX,08:30,08:30,08:59,이륙
90,JNA231,CTS,08:35,08:35,09:11,이륙
91,KAL893,PVG,08:35,08:35,09:18,이륙
92,AAR369,CAN,08:40,08:40,08:56,이륙
93,ESR601,NRT,08:40,08:40,09:03,이륙
94,CDG4620,TAO,08:45,08:45,08:54,이륙
95,CPA415,HKG,08:45,08:45,09:00,이륙
96,KAL785,KOJ,08:45,08:45,09:01,이륙
97,KAL831,SHE,08:50,08:50,09:56,지연
98,UPS186,ANC,08:50,08:50,09:02,이륙
99,CES5052,PVG,08:55,08:55,09:32,이륙
100,KAL819,CSX,08:55,08:55,09:29,이륙
101,AAR102,NRT,09:00,09:00,09:36,이륙
102,AAR132,FUK,09:00,09:00,09:24,이륙
103,AAR317,TAO,09:00,09:00,09:16,이륙
104,AAR721,HKG,09:00,09:00,09:14,이륙
105,KAL691,TPE,09:00,09:00,09:49,이륙
106,KAL723,KIX,09:00,09:50,10:07,지연
107,KAL865,CAN,09:00,09:50,10:33,지연
108,SIA607,SIN,09:00,09:00,09:24,이륙
109,AAR303,CGQ,09:05,09:05,09:22,이륙
110,AAR361,PVG,09:05,09:05,09:31,이륙
111,ESR611,KIX,09:05,09:05,09:26,이륙
112,KAL657,BKK,09:05,09:35,10:31,지연
113,KAL775,KMQ,09:05,09:35,09:39,이륙
114,KAL845,TAO,09:05,09:35,10:07,지연
115,KAL881,WUH,09:05,09:55,10:25,지연
116,ESR931,HKG,09:10,09:10,09:20,이륙
117,JJA1302,KIX,09:10,09:10,09:33,이륙
118,KAL681,SGN,09:10,09:10,09:35,이륙
119,KAL825,YNJ,09:10,10:00,10:29,지연
120,KAL113,GUM,09:15,09:45,10:29,지연
121,AAR351,YNJ,09:20,09:20,09:42,이륙
122,CPA421,HKG,09:20,09:20,09:37,이륙
123,KAL807,XIY,09:20,09:20,10:04,이륙
124,KAL809,CGO,09:20,09:20,09:51,이륙
125,JNA113,HKG,09:25,09:25,09:58,이륙
126,AAR152,SDJ,09:30,09:30,09:51,이륙
127,AAR309,WEH,09:30,09:50,10:18,이륙
128,AAR7953,FRA,09:30,09:30,10:15,이륙
129,ESR641,FUK,09:35,09:35,09:53,이륙
130,JNA641,GUM,09:35,09:35,10:01,이륙
131,KAL035,ATL,09:35,10:35,11:21,지연
132,THA659,BKK,09:35,09:35,09:47,이륙
133,XAX507,KUL,09:35,09:35,10:02,이륙
134,AAR158,KMI,09:40,09:40,10:03,이륙
135,AAR301,DLC,09:40,09:40,10:00,이륙
136,ESR617,KIX,09:40,09:40,09:59,이륙
137,JJA8901,JMU,09:40,09:40,10:11,이륙
138,JNA081,TPE,09:40,09:40,10:09,이륙
139,KAL483,HAN,09:40,09:40,10:13,이륙
140,AAR371,SZX,09:55,09:55,10:06,이륙
141,AFR267,CDG,09:55,09:55,10:22,이륙
142,JJA2101,HKG,09:55,09:55,10:20,이륙
143,AAR172,OKA,10:00,10:10,10:37,이륙
144,AAR711,TPE,10:00,10:00,10:16,이륙
145,ASV752,NRT,10:00,10:00,10:24,이륙
146,KAL081,JFK,10:00,11:10,11:48,지연
147,JJA3102,GUM,10:05,10:05,10:31,이륙
148,KAL765,CTS,10:05,10:45,11:34,지연
149,KAL887,XMN,10:05,10:05,10:35,이륙
150,KAL981,VVO,10:05,10:05,11:05,지연
151,TWB291,FUK,10:05,10:05,10:16,이륙
152,CPA417,HKG,10:10,10:10,10:23,이륙
153,JJA3402,SPN,10:10,10:10,10:50,이륙
154,JNA245,OKA,10:10,10:10,10:27,이륙
155,KAL703,NRT,10:10,10:10,10:55,이륙
156,HVN409,SGN,10:15,10:15,10:39,이륙
157,KAL093,IAD,10:15,10:45,11:54,지연
158,KAL805,TSN,10:15,10:15,11:26,지연
159,KAL073,YYZ,10:20,11:10,12:30,지연
160,APJ002,KIX,10:25,10:25,11:24,이륙
161,AAR572,KHV,10:30,10:30,10:41,이륙
162,JAL954,NRT,10:30,10:30,11:17,이륙
163,JNA039,KLO,10:30,10:30,10:51,이륙
164,KAL767,AOJ,10:30,10:30,10:47,이륙
165,GIA879,CGK,10:35,10:35,11:03,이륙
166,HVN417,HAN,10:35,10:35,11:00,이륙
167,JJA1106,NRT,10:35,10:35,10:59,이륙
168,JJA1402,FUK,10:35,10:35,10:53,이륙
169,JJA8501,WEH,10:35,10:35,11:32,이륙
170,KAL741,NGO,10:35,11:25,12:07,지연
171,AAR997,TSN,10:40,12:00,12:24,지연
172,JJA1308,KIX,10:40,10:40,11:11,이륙
173,JJA2901,DAD,10:40,10:40,11:15,이륙
174,KAL037,ORD,10:40,10:40,12:13,지연
175,HVN431,DAD,10:45,10:45,10:56,이륙
176,AAR222,JFK,10:50,10:50,11:14,이륙
177,AAR363,PVG,10:50,10:50,11:09,이륙
178,THA629,BKK,10:50,10:50,11:59,지연
179,VJC863,SGN,10:50,10:50,11:07,이륙
180,BAW18,LHR,10:55,10:55,11:19,이륙
181,CSN340,HAK,10:55,10:55,11:52,이륙
182,AAR541,FRA,11:00,11:00,11:38,이륙
183,JJA2001,MFM,11:00,11:00,11:55,이륙
184,KAL031,DFW,11:00,11:00,12:43,지연
185,KAL613,HKG,11:00,11:30,12:36,지연
186,MAS067,KUL,11:00,11:00,11:47,이륙
187,FIN42,HEL,11:05,11:05,11:28,이륙
188,JJA2601,TPE,11:05,11:05,11:36,이륙
189,KAL727,KIX,11:05,11:05,12:01,이륙
190,KAL745,FUK,11:05,11:35,12:38,지연
191,VJC961,HAN,11:05,11:05,11:30,이륙
192,AIH233,YNT,11:10,11:10,12:28,지연
193,TWB251,CTS,11:10,12:10,13:03,지연
194,DAL158,DTW,11:15,11:15,11:44,이륙
195,CSN686,DLC,11:20,11:20,11:57,이륙
196,KAL855,PEK,11:20,12:10,13:01,지연
197,SWM214,REP,11:20,11:20,11:41,이륙
198,TAX701,DMK,11:20,11:20,11:43,이륙
199,KAL461,DAD,11:25,12:05,13:25,지연
200,ESR631,OKA,11:30,11:30,12:05,이륙
201,KAL317,TSN,11:30,11:30,12:03,이륙
202,ASV521,MFM,11:35,11:35,12:11,이륙
203,KAL897,PVG,11:35,11:35,12:46,지연
204,EVA169,TPE,11:40,11:40,12:20,이륙
205,CAL165,KHH,11:45,11:45,12:15,이륙
206,CDG4096,TNA,11:45,11:45,12:18,이륙
207,PAC237,HKG,11:45,11:45,12:22,이륙
208,LAO922,VTE,11:50,11:50,12:17,이륙
209,AAR985,YNT,11:55,11:55,12:08,이륙
210,CES2040,TAO,11:55,11:55,12:32,이륙
211,CES550,YNT,12:00,12:00,12:45,이륙
212,CSN314,PVG,12:00,12:00,12:26,이륙
213,JJA1602,NGO,12:00,12:00,12:55,이륙
214,JNA223,FUK,12:00,12:00,12:34,이륙
215,JJA1902,CTS,12:05,12:20,13:00,이륙
216,GCR7994,TSN,12:10,12:10,12:49,이륙
217,CES218,YNZ,12:15,12:15,12:41,이륙
218,CDG4618,TAO,12:20,12:20,13:31,지연
219,AAR339,HRB,12:25,12:25,13:05,이륙
220,AMX091,MEX,12:25,12:25,12:50,이륙
221,CAL161,TPE,12:25,12:25,13:18,이륙
222,UPS174,CGO,12:25,12:25,12:52,이륙
223,AAR349,NKG,12:30,12:30,13:20,이륙
224,AAR359,HGH,12:30,12:30,13:07,이륙
225,AAR501,CDG,12:30,12:30,13:12,이륙
226,AAR767,DEL,12:30,12:30,13:14,이륙
227,JJA5102,VVO,12:30,12:30,13:39,지연
228,AAR561,FCO,12:35,12:35,13:24,이륙
229,HKE619,HKG,12:35,12:35,13:10,이륙
230,KAL817,TXN,12:35,12:35,13:03,이륙
231,AAR134,FUK,12:40,12:40,13:22,이륙
232,SIA008,LAX,12:40,12:40,13:10,이륙
233,TWB283,KIX,12:40,12:40,13:06,이륙
234,CCA172,TSN,12:45,12:45,13:08,이륙
235,CSN682,SHE,12:45,12:45,13:16,이륙
236,KAL951,DXB,12:45,13:15,14:31,지연
237,CCA140,HGH,12:50,12:50,13:22,이륙
238,KAL869,DLC,12:50,12:50,13:47,이륙
239,KAL935,PRG,12:50,12:50,13:27,이륙
240,UPS11,SDF,12:50,12:50,12:57,이륙
241,APG885,MNL,12:55,12:55,13:37,이륙
242,CES5042,PVG,12:55,12:55,13:29,이륙
243,AAR333,PEK,13:00,13:00,13:43,이륙
244,KAL867,ULN,13:00,13:00,14:18,지연
245,KAL907,LHR,13:00,14:30,14:45,지연
246,SHU5497,UUS,13:00,13:00,13:17,이륙
247,CCA124,PEK,13:05,13:05,13:58,이륙
248,KAL923,SVO,13:05,13:05,13:35,이륙
249,TWB275,KMJ,13:05,13:05,13:20,이륙
250,ASV764,KIX,13:10,13:10,13:41,이륙
251,KAL789,FUK,13:10,13:10,13:50,이륙
252,KAL841,TAO,13:10,13:10,14:23,지연
253,CES2034,TAO,13:15,13:15,13:55,이륙
254,AFL251,SVO,13:20,13:20,14:04,이륙
255,CSN688,CGQ,13:20,13:20,14:08,이륙
256,EVA171,KHH,13:20,13:20,13:33,이륙
257,KAL791,OIT,13:20,13:20,13:48,이륙
