,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR951,HAN,00:05,23:55,00:15
1,CKS2827,LAX,00:05,23:30,00:05
2,JJA2107,HKG,00:05,00:05,00:27
3,KAL271,ATL,00:05,23:25,00:13
4,KAL277,GDL,00:05,23:40,00:08
5,KAL9525,MXP,00:05,23:40,00:03
6,SIA603,SIN,00:05,23:15,00:23
7,UAE323,DXB,00:05,23:50,00:17
8,UPS99,ANC,00:05,23:10,00:01
9,JJA3404,SPN,00:10,23:10,00:20
10,AJX8480,OKA,00:15,00:15,00:32
11,ETD873,AUH,00:15,00:15,00:25
12,TAX703,DMK,00:20,00:20,00:45
13,QTR859,DOH,00:30,00:30,00:47
14,THY91,IST,00:40,00:40,00:43
15,KLM856,AMS,00:55,00:55,01:01
16,PAC238,LAX,01:00,01:10,03:13
17,AAR987,PVG,01:05,01:05,01:14
18,PAC717,PVG,01:15,01:15,01:51
19,KAL8303,HKG,01:25,01:25,01:36
20,VJC839,CXR,01:50,01:50,01:59
21,KAL335,PVG,02:05,02:05,02:15
22,GEC8385,FRA,02:10,02:10,02:25
23,CEB187,MNL,02:30,02:30,03:15
24,GAP2483,TAG,02:30,02:30,02:33
25,KAL541,OSL,02:50,02:50,03:05
26,AAR198,NRT,04:00,04:00,04:19
27,CKK258,PVG,04:20,04:20,04:46
28,HKE615,HKG,04:55,04:55,05:43
29,PAC997,PVG,05:00,05:43,06:10
30,PAC225,CVG,05:30,05:30,05:41
31,PAC959,HKG,05:45,05:45,06:07
32,PIC195,DAD,06:10,06:10,06:25
33,VJC881,DAD,06:15,06:15,07:11
34,AAV601,CEB,06:20,06:20,06:54
35,AAV705,KLO,06:20,06:20,06:38
36,JCC802,REP,06:20,06:20,06:28
37,VJC963,HAN,06:25,06:25,07:21
38,CRK627,HKG,06:30,06:30,06:45
39,ESR633,OKA,06:30,06:30,06:51
40,AAV701,KLO,06:45,06:45,07:08
41,VJC865,SGN,06:45,06:45,07:17
42,VJC879,DAD,06:45,06:45,07:42
43,APG037,KLO,06:55,06:55,07:13
44,EVA149,TPE,07:00,07:00,08:15
45,JJA1304,KIX,07:00,07:00,07:20
46,SWM212,REP,07:00,07:00,08:32
47,TWB205,NRT,07:00,07:00,07:36
48,AIH231,YNT,07:05,07:05,07:15
49,ASV762,KIX,07:05,07:05,07:32
50,JNA221,FUK,07:05,07:05,07:24
51,PAL489,KLO,07:10,08:10,08:47
52,VJC925,HPH,07:15,07:15,07:43
53,TWB297,OIT,07:20,07:20,07:38
54,CES5050,YNT,07:25,07:25,07:48
55,ESR621,CTS,07:25,07:25,07:40
56,TWB671,KHH,07:25,07:25,08:12
57,AAR731,SGN,07:30,07:30,07:55
58,APJ012,KIX,07:30,07:40,07:53
59,JJA1408,FUK,07:30,07:30,07:45
60,JNA261,KKJ,07:30,07:30,07:51
61,PAL485,CEB,07:30,10:14,10:14
62,TWB607,TAO,07:30,07:30,07:59
63,JJA2461,CEB,07:35,07:35,07:57
64,JNA201,NRT,07:35,07:35,08:07
65,KAL1413,TAE,07:35,07:55,08:01
66,JNA077,DAD,07:40,07:40,08:05
67,TWB125,DAD,07:45,07:45,08:03
68,TWB201,NRT,07:45,08:55,09:27
69,AAR701,MNL,07:50,07:50,08:37
70,AMU825,MFM,07:50,07:50,08:10
71,ASV702,TAK,07:55,07:55,08:56
72,CEB181,KLO,07:55,07:55,09:16
73,ESR881,TPE,07:55,07:55,08:27
74,JJA1904,CTS,07:55,07:55,08:22
75,KAL621,MNL,07:55,07:55,08:49
76,TWB281,KIX,07:55,08:30,08:59
77,AAR184,CTS,08:00,08:00,08:33
78,JNA211,KIX,08:00,08:00,08:25
79,KAL529,FRA,08:00,10:30,11:08
80,KAL787,FUK,08:00,08:00,08:30
81,PAL487,KLO,08:00,08:50,09:31
82,AAR112,KIX,08:05,10:00,10:40
83,KAL747,OKJ,08:05,08:05,08:37
84,AAR327,TSN,08:10,08:10,08:36
85,JJA1102,NRT,08:10,09:13,09:13
86,KAL479,HAN,08:10,08:10,08:41
87,PAL467,MNL,08:10,08:10,09:01
88,AAR122,NGO,08:15,08:15,09:05
89,KAL827,SZX,08:15,08:15,08:45
90,AAR727,HAN,08:20,08:20,08:53
91,JJA8401,TAO,08:20,08:20,09:17
92,KAL1401,PUS,08:25,00:07,09:07
93,KAL603,HKG,08:25,08:25,08:57
94,AAR353,CKG,08:30,08:30,08:43
95,AAR795,FRA,08:30,08:30,08:59
96,CES2044,TAO,08:30,08:30,08:51
97,JNA021,CEB,08:30,08:30,08:55
98,JNA281,KIX,08:30,08:30,09:02
99,KAL349,PEN,08:30,08:40,09:13
100,DAL158A,DTW,08:35,09:00,09:39
101,JNA231,CTS,08:35,08:35,09:10
102,KAL893,PVG,08:35,08:35,09:03
103,AAR369,CAN,08:40,08:40,09:11
104,ESR601,NRT,08:40,08:40,09:16
105,CDG4620,TAO,08:45,08:45,09:06
106,CPA415,HKG,08:45,08:45,09:08
107,KAL785,KOJ,08:45,08:45,09:18
108,KAL831,SHE,08:50,08:50,09:20
109,UPS186,ANC,08:50,08:50,09:45
110,CES5052,PVG,08:55,08:55,09:25
111,KAL819,CSX,08:55,08:55,09:23
112,AAR102,NRT,09:00,09:00,09:35
113,AAR132,FUK,09:00,09:00,09:22
114,AAR309,WEH,09:00,09:00,09:49
115,AAR317,TAO,09:00,09:00,09:27
116,AAR721,HKG,09:00,09:00,09:34
117,KAL691,TPE,09:00,11:59,11:59
118,KAL723,KIX,09:00,10:15,10:15
119,KAL865,CAN,09:00,09:00,09:51
120,SIA607,SIN,09:00,09:00,09:36
121,AAR303,CGQ,09:05,09:05,09:39
122,AAR361,PVG,09:05,09:05,09:29
123,ESR611,KIX,09:05,09:05,09:24
124,KAL657,BKK,09:05,10:16,10:16
125,KAL775,KMQ,09:05,09:05,
126,KAL845,TAO,09:05,09:05,10:04
127,KAL881,WUH,09:05,09:05,09:41
128,ESR931,HKG,09:10,09:10,09:58
129,JJA1302,KIX,09:10,09:10,09:32
130,KAL681,SGN,09:10,09:10,09:44
131,KAL825,YNJ,09:10,09:10,10:00
132,KAL113,GUM,09:15,10:36,11:26
133,AAR351,YNJ,09:20,09:20,09:56
134,CPA421,HKG,09:20,11:20,11:53
135,KAL807,XIY,09:20,10:28,10:28
136,JNA113,HKG,09:25,09:25,09:47
137,AAR152,SDJ,09:30,09:50,10:18
138,AJX8476,NRT,09:30,13:05,13:54
139,ESR641,FUK,09:35,09:35,09:52
140,JNA641,GUM,09:35,09:35,09:54
141,KAL035,ATL,09:35,09:35,10:21
142,THA659,BKK,09:35,09:35,09:54
143,XAX507,KUL,09:35,09:35,10:02
144,AAR158,KMI,09:40,09:40,10:04
145,AAR301,DLC,09:40,09:40,10:08
146,ESR617,KIX,09:40,09:40,10:08
147,JJA8901,JMU,09:40,09:40,10:12
148,JNA081,TPE,09:40,09:40,10:06
149,KAL483,HAN,09:40,09:40,10:26
150,AAR371,SZX,09:55,09:55,10:10
151,AFR267,CDG,09:55,09:55,10:18
152,JJA2101,HKG,09:55,09:55,10:29
153,AAR711,TPE,10:00,11:00,11:46
154,ASV752,NRT,10:00,10:00,10:12
155,KAL081,JFK,10:00,10:00,10:43
