,Departure_FLT,Departure_ARR,Departure_SCH,Departure_ETD,Departure_ATD
0,AAR951,HAN,00:05,23:55,00:11
1,AIH511,HAN,00:05,23:55,00:25
2,CDG4722,TAO,00:05,23:50,00:05
3,CSN316,PEK,00:05,23:20,00:02
4,VJC875,DAD,00:05,22:40,00:04
5,AJX8480,OKA,00:10,00:10,00:40
6,ETD873,AUH,00:15,00:15,00:27
7,PAC717,PVG,00:20,11:40,12:42
8,TAX703,DMK,00:20,00:20,00:36
9,AZG122,GYD,00:30,01:00,01:08
10,THY91,IST,00:30,00:30,00:23
11,QTR859,DOH,00:35,00:35,00:31
12,KLM856,AMS,00:55,00:55,00:59
13,SOO7970,HKG,01:00,01:00,01:10
14,AAR987,PVG,01:05,01:05,01:17
15,VJC975,PQC,01:45,01:45,01:43
16,ABW292,SVO,01:50,01:50,01:53
17,VJC839,CXR,01:50,01:50,01:47
18,KAL335,PVG,01:55,01:55,02:02
19,GEC8385,FRA,02:15,02:15,02:10
20,KAL541,OSL,02:40,02:40,03:00
21,CEB187,MNL,02:55,02:55,03:03
22,CKK258,PVG,04:20,04:45,04:51
23,ACA2312,SIN,05:00,05:00,05:03
24,PAC997,PVG,05:00,05:00,05:23
25,PAC225,CVG,05:30,05:30,05:37
26,PIC1195,DAD,05:55,05:55,06:25
27,HVN441,CXR,06:15,06:15,06:34
28,JJA2201,BKK,06:15,06:15,06:30
29,VJC881,DAD,06:15,06:15,07:17
30,VJC837,CXR,06:20,06:20,06:38
31,AAV601,CEB,06:25,06:25,06:47
32,VJC963,HAN,06:25,06:25,06:52
33,AAR8533,PUS,06:30,,06:44
34,CRK647,HKG,06:30,06:30,06:41
35,PAC959,HKG,06:40,06:40,06:50
36,VJC865,SGN,06:45,06:45,07:12
37,AAV701,KLO,06:50,06:50,07:10
38,JNA221,FUK,06:50,06:50,07:19
39,APG037,KLO,06:55,06:55,06:55
40,QTR8983,DOH,06:55,07:30,07:57
41,EVA149,TPE,07:00,07:00,07:15
42,JJA1304,KIX,07:00,07:00,07:29
43,SWM212,REP,07:00,07:00,07:07
44,TWB205,NRT,07:00,07:00,07:21
45,TWB237,NGO,07:00,09:53,09:51
46,VJC879,DAD,07:00,07:00,07:49
47,ASV762,KIX,07:15,07:15,07:37
48,ESR605,NRT,07:15,07:15,07:34
49,JJA1904,CTS,07:15,07:15,07:25
50,VJC925,HPH,07:15,07:15,07:31
51,JNA261,KKJ,07:20,07:20,08:08
52,TWB297,OIT,07:20,07:20,07:27
53,CES5050,YNT,07:25,07:25,07:43
54,ESR621,CTS,07:25,07:25,07:47
55,JJA1100,NRT,07:25,07:25,07:41
56,TWB669,RMQ,07:25,07:25,07:39
57,AAR731,SGN,07:30,07:30,08:02
58,APJ012,KIX,07:30,07:30,08:00
59,JJA1408,FUK,07:30,07:30,07:51
60,JNA201,NRT,07:30,07:30,07:55
61,PAL485,CEB,07:30,07:30,07:45
62,TWB607,TAO,07:30,07:30,07:53
63,AAR701,MNL,07:35,07:35,08:10
64,KAL1411,TAE,07:35,,08:04
65,AMU825,MFM,07:40,07:40,08:06
66,JNA077,DAD,07:40,07:40,08:12
67,TWB125,DAD,07:45,07:45,08:18
68,TWB201,NRT,07:45,07:45,08:16
69,AAR198,NRT,07:50,09:20,09:48
70,JNA063,BKI,07:50,07:50,08:24
71,CEB181,KLO,07:55,07:55,08:21
72,KAL621,MNL,07:55,07:55,08:30
73,TWB281,KIX,07:55,07:55,08:34
74,ESR881,TPE,08:00,08:00,08:33
75,JNA211,KIX,08:00,08:00,08:20
76,KAL529,FRA,08:00,09:04,09:03
77,KAL787,FUK,08:00,08:00,08:24
78,PAL489,KLO,08:00,08:00,08:14
79,AAR112,KIX,08:05,08:05,08:26
80,KAL479,HAN,08:05,08:05,08:28
81,KAL747,OKJ,08:05,08:05,08:29
82,AAR122,NGO,08:10,08:10,08:23
83,JJA1102,NRT,08:10,08:10,08:31
84,PAL467,MNL,08:10,08:10,08:26
85,KAL827,SZX,08:15,08:15,08:42
86,AAR727,HAN,08:20,08:20,08:37
87,JJA8401,TAO,08:20,08:20,08:39
88,KAL603,HKG,08:20,08:20,08:41
89,KAL1401,PUS,08:25,,08:48
90,AAR353,CKG,08:30,08:30,08:48
91,AAR369,CAN,08:30,08:30,08:54
92,AAR795,FRA,08:30,08:30,08:52
93,CES2044,TAO,08:30,08:30,08:44
94,JNA021,CEB,08:30,08:30,09:15
95,JNA281,KIX,08:30,08:30,08:57
96,JNA231,CTS,08:35,08:35,08:53
97,KAL893,PVG,08:35,08:35,08:59
98,ESR601,NRT,08:40,08:40,08:59
99,CDG4620,TAO,08:45,08:45,08:49
100,CPA415,HKG,08:45,08:45,09:01
101,KAL785,KOJ,08:45,08:45,09:05
102,KAL831,SHE,08:50,08:50,09:10
103,UPS186,ANC,08:50,08:50,08:55
104,AAR132,FUK,08:55,08:55,09:16
105,AAR327,TSN,08:55,08:55,09:07
106,CES5052,PVG,08:55,08:55,09:05
107,KAL819,CSX,08:55,08:55,09:20
108,KAL865,CAN,08:55,08:55,09:25
