,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,KAL854,PEK,01:00,00:28,00:28,착륙
1,CKK257,PVG,01:50,02:06,02:06,착륙
2,PAC582,CVG,03:30,03:31,03:31,착륙
3,AAR794,FRA,03:40,03:52,03:52,착륙
4,KAL624,MNL,04:00,03:48,03:48,착륙
5,HKE614,HKG,04:20,04:05,04:05,착륙
6,CRK646,HKG,04:25,03:45,03:45,착륙
7,AAR704,MNL,04:30,04:41,04:41,착륙
8,AAV600,CEB,04:30,04:11,04:11,착륙
9,APJ809,HND,04:35,04:26,04:26,착륙
10,JJA2306,MNL,04:40,04:01,04:01,착륙
11,KAL152,KWE,04:40,04:16,04:16,착륙
12,CES2023,CSX,04:50,05:28,05:28,착륙
13,KAL720,HND,04:50,04:21,04:21,착륙
14,AAR324,CTU,04:55,04:46,04:46,착륙
15,AAV700,KLO,04:55,04:28,04:28,착륙
16,ESR992,VVO,04:55,06:42,06:42,지연
17,KAL680,HAN,04:55,05:02,05:02,착륙
18,AAR235,ORD,05:00,04:23,04:23,착륙
19,AAR322,CSX,05:00,04:36,04:36,착륙
20,ESR592,DAD,05:00,05:05,05:05,착륙
21,KAL658,BKK,05:00,04:51,04:51,착륙
22,TWB132,VTE,05:00,04:31,04:31,착륙
23,KAL886,KMG,05:05,04:34,04:34,착륙
24,TWB302,GUM,05:05,04:39,04:39,착륙
25,VJC880,DAD,05:05,05:26,05:26,착륙
26,HVN6416,HAN,05:10,04:55,04:55,착륙
27,KAL012,LAX,05:10,05:09,05:09,착륙
28,KAL086,JFK,05:15,04:44,04:44,착륙
29,AAR203,LAX,05:20,05:29,05:29,착륙
30,KAL608,HKG,05:20,06:00,06:00,착륙
31,CPA412,HKG,05:25,05:39,05:39,착륙
32,VJC864,SGN,05:25,05:42,05:42,착륙
33,VJC962,HAN,05:25,05:45,05:45,착륙
34,AAR211,SFO,05:30,04:58,04:58,착륙
35,AAR358,CAN,05:30,05:17,05:17,착륙
36,AAR746,HKG,05:30,05:52,05:52,착륙
37,ASV532,HKG,05:30,05:41,05:41,착륙
38,HVN416,HAN,05:30,07:17,07:17,지연
39,KAL026,SFO,05:30,05:23,05:23,착륙
40,KAL650,MNL,05:30,05:34,05:34,착륙
41,KAL696,KTM,05:30,05:12,05:12,착륙
42,KAL464,DAD,05:35,05:30,05:30,착륙
43,KAL632,CEB,05:35,05:58,05:58,착륙
44,AAR756,DAD,05:40,05:46,05:46,착륙
45,AMU826,MFM,05:40,05:36,05:36,착륙
46,JNA004,BKK,05:40,05:32,05:32,착륙
47,AAR734,HAN,05:45,05:51,05:51,착륙
48,DAL27,ATL,05:45,04:48,04:48,착륙
49,KAL644,SIN,05:45,05:55,05:55,착륙
50,PAL466,MNL,05:50,06:46,06:46,착륙
51,APG036,KLO,05:55,05:35,05:35,착륙
52,JJA2108,HKG,05:55,06:40,06:40,착륙
53,KAL482,DEL,06:00,05:54,05:54,착륙
54,PAL484,CEB,06:00,05:50,05:50,착륙
55,VJC878,DAD,06:00,06:27,06:27,착륙
56,VJC926,HPH,06:00,05:21,05:21,착륙
57,APV1102,MWX,06:05,07:19,07:19,지연
58,JNA062,BKI,06:05,05:38,05:38,착륙
59,THA688,BKK,06:05,06:05,06:05,착륙
60,KAL684,SGN,06:10,06:09,06:09,착륙
61,TWB108,MFM,06:10,06:07,06:07,착륙
62,KAL006,LAS,06:15,06:11,06:11,착륙
63,KAL668,CNX,06:15,05:48,05:48,착륙
64,PAC224,CVG,06:15,05:43,05:43,착륙
