,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,GEC8386,FRA,00:15,00:04,00:04
1,KAL854,PEK,01:00,00:30,00:30
2,CKK257,PVG,01:50,02:07,02:07
3,GTI2678,JFK,02:25,15:12,15:12
4,AAR951,ICN,02:30,02:36,02:36
5,PAC582,CVG,03:30,03:20,03:20
6,PAC997,LAX,03:35,03:40,03:40
7,UPS33,ONT,03:45,02:59,02:59
8,KAL624,MNL,04:00,04:05,04:05
9,JNA062,BKI,04:15,03:46,03:46
10,CRK646,HKG,04:25,03:28,03:28
11,HVN440,CXR,04:25,03:55,03:55
12,AAR704,MNL,04:30,03:51,03:51
13,AAV600,CEB,04:30,07:35,07:35
14,PIC1194,DAD,04:30,04:02,04:02
15,VJC836,CXR,04:30,04:38,04:38
16,APJ809,HND,04:35,04:46,04:46
17,JJA2306,MNL,04:40,03:33,03:33
18,CES2023,CSX,04:50,05:40,05:40
19,HYT9033,YIW,04:50,03:25,03:25
20,KAL720,HND,04:50,04:39,04:39
21,KAL9468,LPQ,04:50,04:11,04:11
22,AAR324,CTU,04:55,04:54,04:54
23,AAV700,KLO,04:55,03:59,03:59
24,ESR992,VVO,04:55,04:23,04:23
25,KAL680,HAN,04:55,04:56,04:56
26,AAR235,ORD,05:00,05:13,05:13
27,AAR746,HKG,05:00,04:49,04:49
28,ESR592,DAD,05:00,04:26,04:26
29,KAL658,BKK,05:00,04:44,04:44
30,TWB132,VTE,05:00,04:33,04:33
31,KAL886,KMG,05:05,04:29,04:29
32,TWB302,GUM,05:05,04:31,04:31
33,VJC880,DAD,05:05,05:32,05:32
34,KAL012,LAX,05:10,05:17,05:17
35,AAR326,KWL,05:15,05:31,05:31
36,KAL086,JFK,05:15,04:42,04:42
37,AAR203,LAX,05:20,05:25,05:25
38,KAL608,HKG,05:20,05:10,05:10
39,CPA412,HKG,05:25,05:05,05:05
40,SWM211,REP,05:25,04:51,04:51
41,VJC864,SGN,05:25,04:59,04:59
