,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,GEC8386,FRA,00:15,00:03,00:03
1,JJA8404,TAO,00:20,00:16,00:16
2,AAR952,HAN,00:35,00:33,00:33
3,AAR197,NRT,00:40,00:22,00:22
4,MMA801,RGN,00:50,00:19,00:19
5,KAL854,PEK,01:00,00:36,00:36
6,PAC237,CVG,01:00,01:04,01:04
7,JJA1107,NRT,01:25,02:12,02:12
8,AAV770,CRK,01:40,01:32,01:32
9,KAL492,CNX,04:00,03:15,03:15
10,PIC1194,DAD,04:15,03:26,03:26
11,BAV492,CXR,04:20,04:09,04:09
12,KAL624,MNL,04:20,04:01,04:01
13,APJ809,HND,04:25,04:19,04:19
14,CRK646,HKG,04:25,03:23,03:23
15,HVN440,CXR,04:25,03:50,03:50
16,AAV600,CEB,04:30,04:21,04:21
17,TWB614,SHE,04:30,04:54,04:54
18,UPS37,ONT,04:30,04:23,04:23
19,VJC836,CXR,04:30,05:12,05:12
20,JJA2306,MNL,04:40,03:31,03:31
21,KAL658,BKK,04:45,04:12,04:12
22,CES2069,PVG,04:50,03:56,03:56
23,KAL720,HND,04:50,04:42,04:42
24,AAR324,CTU,04:55,04:58,04:58
25,AAV700,KLO,04:55,03:46,03:46
26,KAL680,HAN,04:55,04:49,04:49
27,AAR322,CSX,05:00,04:34,04:34
28,AAR704,MNL,05:00,04:14,04:14
29,AAR746,HKG,05:00,04:26,04:26
30,ESR504,BKI,05:00,05:00,05:00
31,ESR592,DAD,05:00,04:44,04:44
32,ESR854,CGO,05:00,05:52,05:52
33,TWB118,HKG,05:00,05:09,05:09
34,TWB132,VTE,05:00,04:38,04:38
35,KAL886,KMG,05:05,04:36,04:36
36,TWB302,GUM,05:05,04:31,04:31
37,VJC880,DAD,05:05,05:11,05:11
38,KAL012,LAX,05:10,05:30,05:30
39,AAR223,JFK,05:15,04:09,05:21
40,AAR326,KWL,05:15,04:51,04:51
41,KAL086,JFK,05:15,05:25,05:25
42,AAR203,LAX,05:20,05:23,05:23
43,KAL608,HKG,05:20,04:56,04:56
44,JNA062,BKI,05:25,06:58,06:58
45,VJC864,SGN,05:25,05:07,05:07
46,VJC962,HAN,05:25,04:48,04:48
47,AAR211,SFO,05:30,05:35,05:35
48,AAR358,CAN,05:30,05:02,05:02
49,ASV502,HKG,05:30,05:28,05:28
50,HVN416,HAN,05:30,05:04,05:04
51,KAL026,SFO,05:30,05:17,05:17
52,KAL464,DAD,05:35,05:40,05:40
53,KAL632,CEB,05:35,05:14,05:14
54,AAR756,DAD,05:40,05:36,05:36
55,JNA004,BKK,05:40,05:42,05:42
56,KAL650,MNL,05:40,05:26,05:26
57,AAR734,HAN,05:45,05:42,05:42
58,DAL27,ATL,05:45,05:15,05:15
59,KAL644,SIN,05:45,05:16,05:16
60,PAL466,MNL,05:50,05:19,05:19
61,APG036,KLO,05:55,05:21,05:21
62,AMX090,MEX,06:00,06:00,06:00
63,JNA096,JHB,06:00,06:48,06:48
64,KAL482,DEL,06:00,05:37,05:37
65,PAL484,CEB,06:00,05:24,05:24
66,VJC878,DAD,06:00,05:59,05:59
67,VJC926,HPH,06:00,06:04,06:04
68,AAR626,SPN,06:05,05:33,05:33
69,ESR872,PVG,06:05,05:29,05:29
70,KAL316,PVG,06:05,05:39,05:39
71,LOT2001,BUD,06:05,05:48,05:48
72,THA688,BKK,06:05,05:56,05:56
73,TWB308,SPN,06:05,05:37,05:37
74,KAL474,MLE,06:10,06:02,06:02
75,KAL684,SGN,06:10,05:50,05:50
76,KAL668,CNX,06:15,05:55,05:55
77,ESR512,BKK,06:20,05:32,05:32
78,JJA4206,CNX,06:20,06:33,06:33
79,KAL112,GUM,06:20,05:46,05:46
80,KAL612,HKG,06:20,06:16,06:16
81,JNA058,HAN,06:25,06:59,06:59
82,KAL476,DLI,06:25,05:57,05:57
83,AAR708,CRK,06:30,06:36,06:36
84,HVN408,SGN,06:30,05:49,05:49
85,MAS066,KUL,06:30,06:08,06:08
86,TWB3306,GUM,06:30,06:19,06:19
87,JJA2108,HKG,06:35,06:43,06:43
88,JNA024,CRK,06:35,06:41,06:41
89,THA658,BKK,06:35,05:52,05:52
90,ESR502,BKI,06:40,06:45,06:45
91,KAL652,BKK,06:40,07:04,07:04
92,KAL688,REP,06:40,06:06,06:06
93,AAR774,CXR,06:45,07:19,07:19
94,JJA4304,VTE,06:45,07:07,07:07
95,KAL690,PNH,06:45,06:23,06:23
96,AAR752,SIN,06:50,06:26,06:26
97,JNA122,MFM,06:50,06:38,06:38
98,KAL628,CGK,06:50,06:14,06:14
99,AAR736,SGN,06:55,07:11,07:11
100,AAR742,BKK,06:55,06:56,06:56
