,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA
0,VJC974,PQC,00:10,00:06,00:06
1,CSN315,PEK,00:30,00:37,00:37
2,GTI545,CVG,00:40,00:03,00:03
3,KAL854,PEK,00:45,02:14,02:14
4,FDX5924,OAK,00:50,01:15,01:15
5,EVA150,TPE,01:09,01:12,01:12
6,APJ701,CTS,01:10,00:51,00:51
7,PAC963,CVG,01:15,02:08,02:08
8,KAL694,TPE,01:20,01:40,01:40
9,VJC838,CXR,01:20,01:24,01:24
10,CLX7345,LUX,01:55,01:19,01:19
11,CKK257,PVG,02:40,03:47,03:47
12,KAL868,ULN,03:25,03:04,03:04
13,AAR235,ORD,04:00,03:23,03:23
14,DAL27,ATL,04:00,03:34,03:34
15,JNA080,DAD,04:05,03:27,03:27
16,KAL086,JFK,04:10,04:05,04:05
17,JJA2306,MNL,04:15,04:19,04:19
18,KAL624,MNL,04:15,03:57,03:57
19,AAR203,LAX,04:20,03:31,03:31
20,KAL026,SFO,04:20,03:52,03:52
21,AAR247,ATL,04:25,04:22,04:22
22,ABW9361,SVO,04:25,04:02,04:02
23,APJ809,HND,04:25,04:00,04:00
24,CRK646,HKG,04:25,04:17,04:17
25,ETH3640,BRU,04:25,05:25,05:25
26,AAR211,SFO,04:30,03:42,03:42
27,HVN440,CXR,04:30,04:10,04:10
28,VJC836,CXR,04:30,05:09,05:09
29,KAL720,HND,04:35,04:08,04:08
30,AAR322,CSX,04:40,04:40,04:40
31,AAR704,MNL,04:40,03:54,03:54
32,TWB302,GUM,04:45,04:33,04:33
33,AAR324,CTU,04:50,04:43,04:43
34,AAV704,KLO,04:50,04:36,04:36
35,KAL012,LAX,04:50,04:45,04:45
36,KAL886,KMG,04:50,04:27,04:27
37,AAV700,KLO,04:55,04:26,04:26
38,KAL006,LAS,04:55,04:14,04:14
39,AAV600,CEB,05:00,04:49,04:49
40,ESR592,DAD,05:00,04:47,04:47
41,ESR992,VVO,05:00,04:24,04:24
42,TWB132,VTE,05:00,05:45,05:45
43,VJC880,DAD,05:00,05:38,05:38
44,AAR326,KWL,05:05,04:38,04:38
45,KAL696,KTM,05:05,05:23,05:23
46,AAR746,HKG,05:10,04:51,04:51
47,CES2023,CSX,05:20,05:04,05:04
48,PAL466,MNL,05:20,05:16,05:16
49,TWB308,SPN,05:20,04:53,04:53
50,APG036,KLO,05:25,05:00,05:00
51,KAL464,DAD,05:25,04:57,04:57
52,KAL608,HKG,05:25,04:55,04:55
53,KAL680,HAN,05:25,05:02,05:02
54,VJC864,SGN,05:25,07:36,07:36
55,ASV502,HKG,05:30,05:20,05:20
56,VJC962,HAN,05:30,05:28,05:28
57,AAR734,HAN,05:40,05:11,05:11
58,DLH718,MUC,05:40,05:33,05:33
59,AAR358,CAN,05:45,05:27,05:27
60,KAL316,PVG,05:45,08:14,08:14
61,TWB108,MFM,05:45,07:12,07:12
62,HVN416,HAN,05:50,05:39,05:39
63,AAR756,DAD,05:55,05:06,05:06
64,CPA412,HKG,05:55,05:36,05:36
65,JNA040,KLO,05:55,05:14,05:14
66,KAL112,GUM,05:55,06:11,06:11
67,ESR512,BKK,06:00,05:30,05:30
68,KAL612,HKG,06:00,05:41,05:41
69,KAL644,SIN,06:00,05:50,05:50
70,PAC224,CVG,06:00,05:47,05:47
71,THA688,BKK,06:00,05:48,05:48
72,VJC878,DAD,06:00,07:25,07:25
73,JJA2108,HKG,06:05,06:27,06:27
74,JNA122,MFM,06:05,06:48,06:48
75,TWB122,SGN,06:05,05:46,05:46
76,KAL658,BKK,06:10,05:51,05:51
77,KAL8468,CXR,06:10,05:43,05:43
78,VJC926,HPH,06:15,05:18,05:18
79,AAR752,SIN,06:20,06:00,06:00
80,KAL482,DEL,06:20,06:31,06:31
81,JJA2508,BKI,06:25,06:47,06:47
82,KAL632,CEB,06:25,06:28,06:28
83,PAL484,CEB,06:25,06:13,06:13
84,AAR626,SPN,06:30,06:20,06:20
85,AAR970,HKG,06:30,06:22,06:22
86,JNA024,CRK,06:30,07:06,07:06
87,PAL488,KLO,06:30,05:42,05:42
88,THA658,BKK,06:35,06:17,06:17
89,TWB128,DAD,06:35,07:51,07:51
90,HVN408,SGN,06:40,06:25,06:25
91,HVN430,DAD,06:40,06:15,06:15
92,JNA062,BKI,06:40,06:37,06:37
93,KAL684,SGN,06:40,06:34,06:34
94,KAL690,PNH,06:40,06:35,06:35
95,ESR594,DAD,06:45,06:59,06:59
96,ASV102,GUM,06:50,07:15,07:15
97,KAL672,KUL,06:50,06:32,06:32
98,JJA2406,CEB,06:55,07:33,07:33
99,JJA3105,GUM,06:55,06:43,06:43
100,KAL652,BKK,06:55,06:39,06:39
101,THA656,BKK,06:55,07:44,07:44
102,AAR988,PVG,07:00,08:24,08:24
103,ASV532,KLO,07:00,07:31,07:31
104,ESR572,PPS,07:00,06:45,06:45
105,AAR708,CRK,07:05,07:28,07:28
106,LAO921,VTE,07:05,07:18,07:18
107,AAR736,SGN,07:10,07:08,07:08
108,CEB180,KLO,07:10,07:39,07:39
109,ESR502,BKI,07:10,06:50,06:50
110,MAS066,KUL,07:10,07:01,07:01
111,AAR740,PNH,07:15,07:30,07:30
112,AFR264,CDG,07:15,07:03,07:03
113,KAL628,CGK,07:15,06:56,06:56
114,ASV542,BKI,07:20,07:57,07:57
115,JJA4304,VTE,07:20,06:53,06:53
116,JNA058,HAN,07:20,07:23,07:23
117,JJA2804,HAN,07:25,07:48,07:48
118,JNA026,CEB,07:25,07:41,07:41
119,JJA8602,SYX,07:30,07:17,07:17
120,BAW17,LHR,07:35,07:21,07:21
121,JJA4604,CRK,07:35,07:11,07:11
122,KAL472,RGN,07:35,07:14,07:14
123,AAR710,CEB,07:45,08:03,08:03
124,KAL942,TAS,07:45,08:26,08:26
125,SIA608,SIN,07:45,07:26,07:26
126,KAL314,HKG,07:50,07:19,07:19
127,ESR562,CXR,07:55,08:40,08:40
128,JNA060,DAD,07:55,09:23,09:23
129,KAL214,LAX,07:55,06:41,06:41
130,UPS196,ANC,07:55,07:55,07:55
131,VJC960,HAN,07:55,08:44,08:44
132,AAR8532,PUS,08:00,07:53,07:53
133,JJA2904,DAD,08:05,09:52,09:52
134,JNA028,CEB,08:05,07:47,07:47
135,KAL1402,PUS,08:10,08:00,08:00
136,KAL1410,TAE,08:15,08:08,08:08
137,FIN41,HEL,08:20,08:38,08:38
138,TWB158,CXR,08:20,10:09,10:09
139,JNA002,BKK,08:25,08:52,08:52
140,KAL320,CAN,08:25,08:11,08:11
141,KAL646,SIN,08:25,08:34,08:34
142,AAR578,ALA,08:30,08:06,08:06
143,GIA878,CGK,08:30,08:28,08:28
144,AAR177,HND,08:35,08:32,08:32
145,XAX506,KUL,08:35,08:30,08:30
146,AHK128,HKG,08:40,08:36,08:36
147,JJA2204,BKK,08:40,08:46,08:46
148,TWB102,BKK,08:40,09:22,09:22
149,AAR574,TAS,08:55,09:18,09:18
150,AAR762,CGK,08:55,09:02,09:02
151,KAL638,HKT,08:55,08:42,08:42
152,FDX5926,MEM,09:05,10:13,10:13
153,LOT97,WAW,09:10,08:57,08:57
154,AAR742,BKK,09:15,08:55,08:55
155,ASV512,DAD,09:15,10:18,10:18
156,GIA870,DPS,09:15,08:47,08:47
157,KAL630,DPS,09:15,09:07,09:07
158,JJA2206,BKK,09:20,09:27,09:27
159,APJ001,KIX,09:30,09:04,09:04
160,AAR748,HKT,09:35,09:46,09:46
161,JJA4908,CXR,09:40,09:42,09:42
162,KAL924,SVO,09:40,09:10,09:10
163,VJC862,SGN,09:40,10:01,10:01
164,JJA4704,SGN,09:45,08:50,08:50
165,KZR909,ALA,09:45,09:05,09:05
166,AIH512,HAN,09:50,09:58,09:58
167,SIA612,SIN,09:50,09:30,09:30
168,PAC717,LAX,10:00,10:39,10:39
169,TAX700,DMK,10:05,10:03,10:03
170,AAR754,SIN,10:15,11:11,11:11
171,CSN685,DLC,10:20,10:11,10:11
172,KAL362,HAN,10:20,10:16,10:16
173,TWB164,HAN,10:25,09:15,09:15
174,AAR392,SGN,10:30,10:42,10:42
175,AAR956,HAN,10:30,14:09,14:09
176,CAL164,KHH,10:30,10:34,10:34
177,GCR7993,TSN,10:30,10:28,10:28
178,CDG4095,TNA,10:45,10:21,10:21
179,JNA222,FUK,10:45,10:49,10:49
180,AAR532,VCE,10:50,11:00,11:00
181,CES549,YNT,10:55,10:26,10:26
182,JNA262,KKJ,10:55,10:47,10:47
183,UPS26,ANC,10:55,10:06,10:06
184,AAR115,KIX,11:00,10:51,10:51
185,CES2039,TAO,11:00,10:23,10:23
186,EVA170,TPE,11:00,11:48,11:48
187,AFL250,SVO,11:10,10:31,10:31
188,CAL160,TPE,11:10,11:21,11:17
189,CDG4617,TAO,11:15,10:53,10:53
190,CES579,NKG,11:15,11:03,11:03
191,JJA1607,NGO,11:15,10:44,10:44
192,CSN313,PVG,11:20,11:22,11:22
193,DLH712,FRA,11:20,11:23,11:23
194,KAL722,KIX,11:20,11:16,11:16
195,KAL752,NGO,11:25,11:09,11:09
196,AAR107,NRT,11:30,11:08,11:08
197,AAR368,PVG,11:30,11:47,11:47
198,JJA1407,FUK,11:30,11:19,11:19
199,CCA123,PEK,11:35,11:20,11:20
200,CSN681,SHE,11:35,11:30,11:30
201,ETD876,AUH,11:35,11:06,11:06
202,TWB298,OIT,11:35,11:27,11:27
203,CCA171,TSN,11:45,11:12,11:12
204,KAL706,NRT,11:45,11:31,11:31
205,PAC751,CVG,11:45,10:36,10:36
206,SHU5450,KHV,11:45,11:45,11:45
