,Arrival_FLT,Arrival_DEP,Arrival_SCH,Arrival_ETA,Arrival_ATA,Arrival_STT
0,EVA150,TPE,00:05,00:05,00:29,착륙
1,TAX702,DMK,00:05,00:02,00:02,착륙
2,KAL854,PEK,00:30,00:06,00:06,착륙
3,PAC237,CVG,00:30,01:01,01:01,착륙
4,CRK646,HKG,01:20,01:07,01:07,착륙
5,KAL868,ULN,03:25,03:11,03:11,착륙
6,UPS33A,ONT,03:25,22:40,,결항
7,JNA080,DAD,03:55,03:08,03:08,착륙
8,AAR235,ORD,04:00,03:46,03:46,착륙
9,DAL27,ATL,04:00,03:39,03:39,착륙
10,TWB108,MFM,04:00,03:31,03:31,착륙
11,JJA2306,MNL,04:05,03:55,03:55,착륙
12,KAL086,JFK,04:10,03:58,03:58,착륙
13,UPS37,ONT,04:10,04:21,04:21,착륙
14,KAL624,MNL,04:15,04:04,04:04,착륙
15,AAR203,LAX,04:20,04:07,04:07,착륙
16,APJ809,HND,04:25,04:24,04:24,착륙
17,AAR211,SFO,04:30,03:35,03:35,착륙
18,HVN440,CXR,04:30,04:10,04:10,착륙
19,KAL720,HND,04:35,04:16,04:16,착륙
20,AAR322,CSX,04:40,04:28,04:28,착륙
21,AAR704,MNL,04:40,04:01,04:01,착륙
22,CES2023,CSX,04:40,05:03,05:03,착륙
23,TWB302,GUM,04:45,04:18,04:18,착륙
24,AAR324,CTU,04:50,04:39,04:39,착륙
25,AAV604,CEB,04:50,04:33,04:33,착륙
26,KAL012,LAX,04:50,04:47,04:47,착륙
27,KAL026,SFO,04:50,04:30,04:30,착륙
28,AAV600,CEB,05:00,05:00,05:00,착륙
29,ESR592,DAD,05:00,04:49,04:49,착륙
30,VJC880,DAD,05:00,05:53,05:53,착륙
31,AAR326,KWL,05:05,04:55,04:55,착륙
32,AAR746,HKG,05:10,04:42,04:42,착륙
33,AAR790,MXP,05:15,04:53,04:53,착륙
34,ASV502,REP,05:20,04:44,04:44,착륙
35,PAL466,MNL,05:20,04:51,04:51,착륙
36,TWB308,SPN,05:20,04:57,04:57,착륙
37,KAL464,DAD,05:25,05:08,05:08,착륙
38,KAL608,HKG,05:25,05:11,05:11,착륙
39,KAL680,HAN,05:25,05:05,05:05,착륙
40,VJC864,SGN,05:25,06:36,06:36,지연
41,ASV532,HKG,05:30,05:24,05:24,착륙
42,VJC962,HAN,05:30,05:26,05:26,착륙
43,AAR734,HAN,05:40,05:29,05:29,착륙
44,AMU826,MFM,05:40,05:32,05:32,착륙
45,CPA412,HKG,05:45,05:45,05:45,착륙
46,HVN416,HAN,05:50,05:48,05:48,착륙
47,AAR756,DAD,05:55,05:39,05:39,착륙
48,KAL112,GUM,05:55,06:00,06:00,착륙
49,KAL316,PVG,05:55,05:42,05:42,착륙
50,KAL644,SIN,05:55,05:50,05:50,착륙
51,AAR626,SPN,06:00,05:58,05:58,착륙
52,AMX090,MEX,06:00,06:05,06:05,착륙
53,ESR512,BKK,06:00,05:55,05:55,착륙
54,VJC878,DAD,06:00,06:01,06:01,착륙
55,AAR740,PNH,06:05,06:04,06:04,착륙
56,JJA2108,HKG,06:05,06:09,06:09,착륙
57,AAR358,CAN,06:10,06:12,06:12,착륙
58,AAR752,SIN,06:10,07:09,07:09,착륙
59,JJA2004,MFM,06:10,06:19,06:19,착륙
60,KAL652,BKK,06:10,06:07,06:07,착륙
61,VJC926,HPH,06:15,06:28,06:28,착륙
62,JNA122,MFM,06:20,06:38,06:38,착륙
63,KAL482,DEL,06:20,08:20,08:20,지연
64,JJA2502,BKI,06:25,06:30,06:30,착륙
65,KAL474,MLE,06:25,06:10,06:10,착륙
66,KAL632,CEB,06:25,06:22,06:22,착륙
67,PAL484,CEB,06:25,06:03,06:03,착륙
68,JNA024,CRK,06:30,06:53,06:53,착륙
69,KAL690,PNH,06:35,06:20,06:20,착륙
70,THA658,BKK,06:35,06:49,06:49,착륙
71,TWB128,DAD,06:35,06:41,06:41,착륙
72,HVN408,SGN,06:40,07:10,07:10,착륙
73,HVN430,DAD,06:40,06:14,06:14,착륙
74,JNA062,BKI,06:40,06:24,06:24,착륙
75,KAL684,SGN,06:40,06:26,06:26,착륙
76,ESR594,DAD,06:45,06:33,06:33,착륙
77,AAR708,CRK,06:50,06:54,06:54,착륙
78,JJA2406,CEB,06:50,07:27,07:27,착륙
79,JNA026,CEB,06:50,07:00,07:00,착륙
80,KAL658,BKK,06:50,06:46,06:46,착륙
81,ASV101,GUM,06:55,06:57,06:57,착륙
82,JJA3105,GUM,06:55,07:01,07:01,착륙
83,KAL672,KUL,06:55,06:51,06:51,착륙
84,THA656,BKK,06:55,07:02,07:02,착륙
85,AAR988,PVG,07:00,06:55,06:55,착륙
86,KAL8258,JFK,07:00,07:16,07:16,착륙
87,JNA052,VTE,07:05,07:20,07:20,착륙
88,KAL668,CNX,07:05,06:16,06:16,착륙
89,LAO921,VTE,07:05,07:22,07:22,착륙
90,AAR736,SGN,07:10,07:25,07:25,착륙
91,AFR264,CDG,07:10,06:44,06:44,착륙
92,ESR502,BKI,07:10,06:43,06:43,착륙
93,MAS066,KUL,07:10,07:13,07:13,착륙
94,KAL628,CGK,07:15,07:05,07:05,착륙
95,ASV512,BKI,07:20,07:21,07:21,착륙
96,JJA4304,VTE,07:20,06:59,06:59,착륙
97,JNA058,HAN,07:20,07:18,07:18,착륙
98,JJA2804,HAN,07:25,07:48,07:48,착륙
99,KAL9170,SYX,07:25,07:40,07:40,착륙
100,BAW17,LHR,07:30,07:15,07:15,착륙
101,KAL634,DPS,07:30,07:51,07:51,착륙
102,KAL472,RGN,07:35,06:49,06:49,착륙
103,TWB122,SGN,07:35,07:12,07:12,착륙
104,KAL942,TAS,07:45,07:23,07:23,착륙
105,SIA608,SIN,07:45,07:29,07:29,착륙
106,AAR578,ALA,07:50,07:34,07:34,착륙
107,JJA2904,DAD,07:50,07:53,07:53,착륙
108,KAL214,SFO,07:50,07:38,07:38,착륙
109,KAL314,HKG,07:50,07:04,07:04,착륙
110,KAL468,CXR,07:50,07:36,07:36,착륙
111,ESR542,HAN,07:55,07:31,07:31,착륙
112,JNA060,DAD,07:55,08:08,08:08,착륙
113,VJC960,HAN,07:55,07:42,07:42,착륙
114,AAR8532,PUS,08:00,07:44,07:44,착륙
115,AAR710,CEB,08:05,07:55,07:55,착륙
116,KAL1402,PUS,08:10,08:03,08:03,착륙
