,label,1hour_prediction
0,3.0,3.580250251542138
1,0.0,0.9800791037419064
2,0.0,1.0916725722511766
3,2.0,2.858092711573998
4,18.0,20.206795626451648
5,37.0,34.41679553722776
6,28.0,29.826905573111652
7,27.0,28.746033646126083
8,25.0,26.247435420209914
9,19.0,18.06555282413463
10,14.0,16.063085533213844
11,30.0,30.19684485704921
12,22.0,24.194524809779107
13,26.0,25.053769472305074
14,29.0,25.878131169788734
15,32.0,32.66888911168696
16,35.0,37.3531235166428
17,41.0,39.278980678154824
18,33.0,29.88100208389136
19,23.0,26.005275467669975
20,27.0,26.760768175485307
21,22.0,22.013266158688
22,18.0,18.324227644149534
23,4.0,4.747057624072676
24,3.0,2.873324117682767
25,0.0,2.070967899109214
26,2.0,1.3291733607444152
27,1.0,3.978489893170848
28,21.0,21.794131030659695
29,36.0,31.309051785333647
30,32.0,30.814365091815937
31,24.0,25.038719140578152
32,25.0,25.246168757363307
33,18.0,18.394049357301874
34,15.0,18.311599289568882
35,30.0,32.66603616128644
36,21.0,22.42107015404778
37,20.0,22.027777344663818
38,28.0,26.051798298749695
39,23.0,26.114035210774194
40,37.0,37.24377631268353
41,44.0,40.098713741575864
42,34.0,30.73255856405769
43,24.0,26.58796043916939
44,23.0,24.45377558434498
45,17.0,19.930080249144197
46,17.0,17.632824601108
47,5.0,4.807214005912375
48,4.0,3.5068044038273163
49,0.0,1.2674810554591196
50,2.0,1.9919261324103426
51,1.0,3.1459276413592026
52,20.0,19.94313296825671
53,33.0,32.46103458906598
54,34.0,32.71265302219134
55,27.0,27.569591235135935
56,27.0,24.548926719523262
57,16.0,16.272544479970396
58,11.0,16.019868552248425
59,36.0,30.268998478678903
60,21.0,26.83385088338453
61,15.0,18.8068624500069
62,28.0,28.410094555254624
63,39.0,36.2862160408216
64,35.0,35.737508661050214
65,44.0,41.694144247123596
66,32.0,29.893974097324705
67,25.0,26.0141307028935
68,26.0,28.908778101067067
69,20.0,23.928092811723705
70,25.0,21.45433444712274
71,6.0,4.697211875524972
72,1.0,2.299532153497695
73,2.0,1.9702643858126003
74,0.0,0.9814139419067975
75,2.0,3.8279041352310728
76,18.0,20.228543742664446
77,32.0,32.010032452461964
78,34.0,32.15565769471532
79,29.0,29.241841450524824
80,25.0,24.425800641302967
81,23.0,19.68252741305452
82,16.0,18.605162212182332
83,36.0,32.16739541385387
84,19.0,22.327024800303302
85,25.0,24.998707947115168
86,28.0,27.847746083194185
87,34.0,31.728961912383568
88,32.0,35.2346555814601
89,41.0,40.752618601012905
90,31.0,30.58241685072133
91,25.0,26.49403150274772
92,26.0,27.800140368802378
93,18.0,20.920489270382443
94,18.0,17.171137058409663
95,3.0,4.5367871649119005
96,4.0,2.2295350174538995
97,4.0,3.2820588109994624
98,1.0,2.508413251092277
99,2.0,3.126398757620745
100,22.0,20.77115818983473
101,37.0,33.527124810601805
102,27.0,31.65698477527666
103,32.0,33.375091487824754
104,28.0,26.280254130662954
105,22.0,20.62470038940436
106,15.0,19.013663764830184
107,37.0,33.45181115554236
108,24.0,25.280398087731353
109,26.0,26.16754176685298
110,27.0,28.832226337349542
111,34.0,34.182175509065694
112,33.0,35.6554907972711
113,38.0,38.63987850521853
114,32.0,30.142325740918153
115,29.0,26.980500455029926
116,26.0,25.767166212330935
117,24.0,24.76358919895811
118,21.0,18.664579024047214
119,4.0,4.994082869695577
120,2.0,2.2544758042108572
121,2.0,1.6961659727489617
122,0.0,1.0045039361836656
123,3.0,3.058701909984313
124,20.0,21.33066010496502
125,35.0,32.53061259420915
126,30.0,31.88181437917482
127,32.0,28.7501699138877
128,24.0,24.459054328380727
129,19.0,19.563152287944625
130,16.0,18.19451979656084
131,35.0,33.02399291455957
132,22.0,23.95719190365953
133,22.0,24.138759475101192
134,28.0,29.186163013478524
135,29.0,32.81643116688062
136,30.0,36.47740028155021
137,47.0,41.66396820852042
138,34.0,31.101660913598085
139,22.0,26.770695502205488
140,27.0,27.26515604612549
141,29.0,26.69586327926125
142,21.0,15.992652219181982
143,3.0,4.78566286291993
144,4.0,3.930536917312372
145,2.0,2.8943998671699993
146,0.0,1.3540088650594173
147,5.0,4.426935585170301
148,23.0,20.895735413569763
149,30.0,31.38968660542957
150,31.0,32.82689182989072
151,32.0,30.74097892368609
152,26.0,24.90789874294186
153,23.0,21.21150644304891
154,20.0,19.774268249817013
155,37.0,33.82302275352126
156,22.0,25.065254689700737
157,25.0,26.39866219375257
158,29.0,26.77778595101539
159,32.0,33.3542495015803
160,28.0,32.80619344227113
161,46.0,42.14700006359202
162,37.0,32.88340085793448
163,25.0,26.217371991895945
164,28.0,27.851068561301613
165,25.0,26.705625129557372
166,23.0,21.078456358217448
167,5.0,5.052104965560127
168,4.0,4.774677719619955
169,2.0,1.070899874045258
170,1.0,1.0145480221879717
171,2.0,2.656943919248382
172,20.0,20.956629034856157
173,31.0,30.95688878609704
174,32.0,32.051933889848016
175,30.0,28.03377118744157
176,26.0,26.376732959269127
177,17.0,18.048830495970797
178,17.0,17.016046276759127
179,29.0,29.602206231196416
180,24.0,26.064395232011098
181,27.0,25.362016544325396
182,25.0,26.9211447911849
183,26.0,30.701425226141943
184,34.0,37.20136002827412
185,41.0,39.90907372756856
186,38.0,33.98436026433041
187,27.0,26.9474931589476
188,24.0,25.622928133222743
189,22.0,23.758916451281348
190,23.0,21.791569617148383
191,6.0,7.238533113028592
192,5.0,5.192793805933944
193,1.0,1.809280902323388
194,0.0,1.043464086737721
195,4.0,2.837300204374854
196,18.0,19.33120909465502
197,24.0,27.242692180725744
198,24.0,27.34321009249855
199,32.0,30.17095997885002
200,28.0,24.76839211515948
201,23.0,20.98678187587453
202,23.0,19.574155443965964
203,32.0,29.260319930533804
204,23.0,21.07771504297802
205,22.0,22.644227581019774
206,22.0,23.014857397558497
207,24.0,28.474574041126367
208,40.0,38.70828572256941
209,36.0,37.65099969545926
210,34.0,31.61397507692548
211,27.0,27.484192950433886
212,32.0,28.752035078685232
213,22.0,23.008994287301938
214,20.0,17.776561087006986
215,6.0,5.750981374060618
216,4.0,3.7428524412187296
217,1.0,1.6499421085876889
218,1.0,1.2988263723844606
219,3.0,3.6191681565802947
220,22.0,19.7550902995693
221,28.0,30.275049529991175
222,37.0,34.66250203085106
223,29.0,28.40507507185275
224,24.0,24.225821046295557
