,label,1hour_prediction
0,11.0,8.655568390022221
1,4.0,4.521608158447291
2,4.0,4.353855874413319
3,1.0,1.075778783849277
4,0.0,0.7128262360119245
5,1.0,0.9757125636797822
6,4.0,7.401375047041124
7,26.0,24.610868055161607
8,32.0,32.71355308637153
9,38.0,37.8208788827889
10,36.0,37.35796767982174
11,30.0,29.13406914385021
12,29.0,27.92717786246693
13,30.0,30.64235396132873
14,30.0,28.366807696746434
15,28.0,26.058652161514047
16,17.0,21.409179293578088
17,22.0,21.12838960881054
18,22.0,21.79582006483263
19,39.0,35.50776672504789
20,33.0,33.6842402507156
21,29.0,28.494948861001724
22,27.0,27.054108991227977
23,12.0,14.947863781634123
24,7.0,7.192206472892403
25,2.0,2.2869325213974174
26,4.0,3.6322539899579502
27,0.0,0.973217583721213
28,0.0,0.9869379969176941
29,3.0,2.645218071758265
30,7.0,10.200676541028017
31,27.0,24.729020437431576
32,39.0,35.016878494111566
33,28.0,33.43309362764129
34,36.0,39.81048694941325
35,30.0,30.112740028173583
36,43.0,38.2839256008006
37,30.0,30.979406585190063
38,28.0,29.904644076345974
39,27.0,28.307110988278897
40,23.0,21.580202731926533
41,17.0,20.56662364821807
42,23.0,22.697368081505807
43,35.0,34.77008989409715
44,37.0,35.33327442075605
45,30.0,28.338104058889208
46,22.0,26.59462654947398
47,13.0,18.11910103456026
48,7.0,7.7577499460608665
49,5.0,4.265942888981792
50,3.0,4.199881564056617
51,1.0,2.3035666165431583
52,2.0,1.514986622522158
53,3.0,1.7817859978546255
54,9.0,9.147671022464102
55,24.0,23.307882508976874
56,35.0,34.9406161698823
57,33.0,35.53457872798069
58,37.0,38.32541238692179
59,29.0,29.64771199835996
60,29.0,26.039773317978582
61,40.0,36.135442708591825
62,31.0,30.48290674841518
63,27.0,26.468225530818298
64,25.0,24.72502152743182
65,23.0,22.335568680871724
66,22.0,22.053907562990286
67,32.0,34.838727031852876
68,36.0,36.26213064348205
69,27.0,27.46290125603837
70,29.0,28.095492539273565
71,25.0,24.221809092908966
72,14.0,13.766371556434347
73,4.0,3.4207382621641935
