,label,1hour_prediction,label,2hour_prediction
0,4.0,5.122775451826168,2.0,2.1140026079935437
1,2.0,2.2567536485315696,0.0,1.7634485070203063
2,0.0,1.8452399860633706,6.0,5.996090906298543
3,6.0,6.161726565646102,20.0,20.577794711407975
4,20.0,20.722727505244084,31.0,32.24139004045318
5,31.0,32.08859224750387,35.0,33.580978030795386
6,35.0,34.07196094040141,29.0,27.257109511083037
7,29.0,26.899345418217695,22.0,23.079024391811434
8,22.0,22.956231357427658,20.0,19.17978135760947
9,20.0,19.460407921204553,15.0,17.659629576460613
10,15.0,17.444348606740427,34.0,33.09496279040071
11,34.0,33.07664935922566,22.0,21.704871210038792
12,22.0,21.379473443117227,29.0,27.6088367008492
13,29.0,27.83129506387111,23.0,24.81708738004292
14,23.0,24.97504182993345,30.0,29.272421436111706
15,30.0,29.610047937347712,39.0,38.07402540536237
16,39.0,38.589972318181424,44.0,40.18520646596388
17,44.0,40.39941118449466,18.0,22.5648753159937
18,18.0,22.588614152816,30.0,29.262567387632043
19,30.0,29.78950573866419,27.0,26.031076803420024
20,27.0,26.072625562108737,23.0,23.258276868115555
21,23.0,23.323286256091677,16.0,18.155937741071348
22,16.0,18.18918674711605,9.0,6.874081804979127
23,9.0,6.680258612024719,2.0,2.875853761420827
24,2.0,2.760255362565513,1.0,1.7457513564904708
25,1.0,1.7368559337735476,0.0,2.28235468210197
26,0.0,2.395465899541897,5.0,5.714195417027712
27,5.0,5.751097468782312,20.0,20.408084343154666
28,20.0,20.349296192211074,34.0,33.02063494758774
29,34.0,32.32513655399519,26.0,34.08795950431361
30,26.0,30.55174264281547,30.0,29.10480657576886
31,30.0,29.572249006500645,24.0,23.48544598251351
32,24.0,23.264386741446778,18.0,18.405189213664855
33,18.0,18.111897260293386,15.0,16.640776362395933
34,15.0,16.594895284707484,34.0,30.737080694518323
35,34.0,30.363002296984867,26.0,25.691669073006985
36,26.0,25.58631615901769,21.0,25.126989436154517
37,21.0,25.680804287735157,31.0,29.329752047555004
38,31.0,30.41825409246955,30.0,29.962544715017497
39,30.0,30.36683781602882,39.0,38.363855554937814
40,39.0,38.0820632909575,42.0,40.202846530988076
41,42.0,40.151833363390054,19.0,22.042905918228264
42,19.0,21.616594093677037,23.0,26.417304113372413
43,23.0,26.62013216126095,32.0,29.08666981131729
44,32.0,30.10887314110937,25.0,25.647353980953625
45,25.0,25.268824305061447,22.0,22.917372021740846
46,22.0,22.932729829820218,5.0,6.52795511272757
47,5.0,6.578065843357861,1.0,2.4901852121056915
48,1.0,3.0410810782695044,0.0,1.7282274912410647
49,0.0,1.6433039511781524,2.0,2.351730089542846
50,2.0,2.630518648150156,6.0,7.716855281568731
51,6.0,7.793605772762396,18.0,20.982018846840898
52,18.0,20.241565345791194,32.0,32.5954276260078
53,32.0,32.755055456314906,34.0,33.620749116786385
54,34.0,33.19729932067909,26.0,27.577526870872788
55,26.0,27.34625287583297,26.0,24.231323831900895
56,26.0,24.207523433277316,24.0,21.448504372481374
57,24.0,20.57828660114491,20.0,19.51519968126248
58,20.0,18.994739542913734,28.0,30.671226694380973
59,28.0,30.363368793748677,25.0,24.695818105673464
60,25.0,25.341023960897857,27.0,27.736752005441097
61,27.0,27.365804901578343,29.0,27.495130488761767
62,29.0,27.110350268638022,30.0,31.180808804107702
63,30.0,30.53666405622331,37.0,38.11526754386857
64,37.0,38.2006542930041,41.0,38.8545830515647
65,41.0,39.36087407343431,26.0,26.617389195677124
