,label,1hour_prediction,label,2hour_prediction
176,26.0,26.091,17.0,17.704
177,17.0,17.459,17.0,16.46
178,17.0,16.47,29.0,29.248
179,29.0,29.195,24.0,24.772
180,24.0,24.792,27.0,26.253
181,27.0,26.341,25.0,25.873
182,25.0,26.083,26.0,29.098
183,26.0,29.185,34.0,36.466
184,34.0,36.82,41.0,40.326
185,41.0,40.488,38.0,34.324
186,38.0,33.48,27.0,26.943
187,27.0,27.113,24.0,24.913
188,24.0,24.888,22.0,22.803
189,22.0,24.385,23.0,19.062
190,23.0,21.919,6.0,6.557
191,6.0,6.459,5.0,5.155
192,5.0,4.992,1.0,1.315
193,1.0,1.128,0.0,0.334
194,0.0,0.329,4.0,3.589
195,4.0,3.34,18.0,18.644
196,18.0,18.711,24.0,26.643
197,24.0,26.369,24.0,27.269
198,24.0,27.04,32.0,31.064
199,32.0,31.047,28.0,27.104
200,28.0,26.625,23.0,22.18
201,23.0,22.321,23.0,21.718
202,23.0,21.837,32.0,30.749
203,32.0,28.803,23.0,22.637
204,23.0,22.186,22.0,22.255
205,22.0,22.143,22.0,22.831
206,22.0,22.764,24.0,25.223
207,24.0,28.31,40.0,39.399
208,40.0,39.444,36.0,36.858
209,36.0,36.859,34.0,32.732
210,34.0,32.828,27.0,27.404
211,27.0,27.462,32.0,30.335
212,32.0,30.228,22.0,22.442
213,22.0,22.483,20.0,19.292
214,20.0,18.711,6.0,5.92
215,6.0,6.15,4.0,3.903
216,4.0,3.941,1.0,1.038
217,1.0,1.062,1.0,1.181
218,1.0,1.128,3.0,3.127
219,3.0,2.73,22.0,20.994
220,22.0,21.246,28.0,29.59
221,28.0,29.752,37.0,34.751
222,37.0,35.086,29.0,28.525
223,29.0,28.504,24.0,24.238
224,24.0,24.107,15.0,16.697
225,15.0,16.012,20.0,19.778
226,20.0,19.929,32.0,30.377
227,32.0,30.691,20.0,22.805
228,20.0,22.757,18.0,20.437
229,18.0,19.882,24.0,25.53
230,24.0,25.545,33.0,33.622
231,33.0,33.743,36.0,37.24
232,36.0,37.136,47.0,44.999
233,47.0,44.675,33.0,31.201
234,33.0,31.101,25.0,25.691
235,25.0,25.476,28.0,29.49
236,28.0,29.25,26.0,25.966
237,26.0,25.859,23.0,21.258
238,23.0,22.091,10.0,8.353
239,10.0,8.608,3.0,3.379
240,3.0,3.328,2.0,1.686
241,2.0,1.677,0.0,0.132
242,0.0,0.327,4.0,3.613
243,4.0,3.765,15.0,17.056
244,15.0,16.861,26.0,27.726
245,26.0,27.803,27.0,29.03
246,27.0,28.945,42.0,37.904
247,42.0,38.145,27.0,26.639
248,27.0,26.734,19.0,19.48
249,19.0,19.544,23.0,21.204
250,23.0,21.77,37.0,34.614
251,37.0,31.024,20.0,25.862
252,20.0,25.877,24.0,24.44
253,24.0,24.713,25.0,26.622
254,25.0,26.627,29.0,30.47
255,29.0,30.116,43.0,42.32
256,43.0,42.489,43.0,40.675
257,43.0,40.737,36.0,34.059
258,36.0,29.795,23.0,29.803
259,23.0,24.275,31.0,30.474
260,31.0,30.375,27.0,26.105
261,27.0,26.16,22.0,21.259
262,22.0,21.777,7.0,6.856
263,7.0,6.562,3.0,2.518
264,3.0,1.592,0.0,3.13
265,0.0,1.097,1.0,0.93
266,1.0,0.928,4.0,3.71
267,4.0,3.83,18.0,18.979
268,18.0,18.993,29.0,30.063
269,29.0,32.198,30.0,31.466
270,30.0,30.976,29.0,29.562
271,29.0,31.206,34.0,25.843
272,34.0,31.955,23.0,21.927
273,23.0,22.079,22.0,20.939
274,22.0,20.889,29.0,30.125
275,29.0,29.924,31.0,30.681
276,31.0,30.723,20.0,21.416
277,20.0,21.225,30.0,29.554
278,30.0,30.082,29.0,30.371
279,29.0,30.543,45.0,43.115
280,45.0,43.264,37.0,37.349
281,37.0,37.198,32.0,31.236
282,32.0,31.565,25.0,25.781
283,25.0,25.653,27.0,27.515
284,27.0,27.354,25.0,24.388
285,25.0,24.218,16.0,15.914
286,16.0,16.051,15.0,14.068
287,15.0,12.072,15.0,13.714
