,label,1hour_prediction,label,2hour_prediction
176,38.0,37.322,37.0,36.989
177,37.0,37.226,35.0,35.8
178,35.0,35.871,31.0,30.609
179,31.0,30.583,32.0,30.7
180,32.0,30.9,32.0,31.736
181,32.0,31.693,32.0,31.176
182,32.0,31.143,25.0,25.483
183,25.0,25.575,20.0,20.335
184,20.0,20.271,16.0,17.831
185,16.0,17.562,22.0,21.835
186,22.0,22.315,28.0,30.42
187,28.0,30.649,20.0,25.799
188,20.0,25.546,26.0,26.332
189,26.0,27.17,26.0,25.491
190,26.0,24.824,24.0,27.025
191,24.0,24.7,22.0,22.532
192,22.0,21.818,17.0,14.736
193,17.0,15.155,7.0,5.729
194,7.0,5.783,4.0,3.296
195,4.0,3.199,1.0,1.169
196,1.0,1.125,4.0,3.092
197,4.0,3.15,5.0,5.999
198,5.0,6.096,21.0,21.076
199,21.0,21.683,30.0,31.863
200,30.0,32.3,40.0,39.391
201,40.0,39.769,37.0,36.776
202,37.0,36.742,29.0,29.322
203,29.0,30.604,44.0,33.103
204,44.0,39.497,32.0,30.645
205,32.0,31.16,35.0,32.541
206,35.0,32.84,20.0,22.466
207,20.0,26.865,22.0,20.456
208,22.0,21.407,22.0,20.961
209,22.0,21.31,19.0,19.996
210,19.0,19.954,32.0,32.776
211,32.0,33.284,35.0,33.912
212,35.0,34.728,29.0,28.769
213,29.0,28.731,29.0,27.778
214,29.0,28.464,16.0,18.533
215,16.0,18.671,11.0,11.916
216,11.0,11.779,9.0,8.198
217,9.0,8.194,2.0,3.025
218,2.0,2.97,4.0,3.38
219,4.0,3.432,3.0,2.773
220,3.0,2.71,2.0,2.28
221,2.0,2.176,5.0,6.884
222,5.0,6.746,23.0,23.271
223,23.0,23.083,33.0,34.665
224,33.0,34.571,31.0,34.049
225,31.0,34.117,38.0,38.049
226,38.0,38.156,29.0,29.423
227,29.0,29.383,31.0,30.056
228,31.0,30.513,43.0,38.762
229,43.0,37.366,32.0,31.405
230,32.0,31.477,27.0,26.993
231,27.0,27.115,27.0,26.422
232,27.0,26.536,21.0,22.211
