,EAD,label,EDD,year,month,day,hour,DayName,Arpt_cond,P_Airp,P_AAR,P_ADR,Arrival_remainder,Departure_remainder,WD_850,WD_925,WD_1000,WS_850,WS_925,WS_1000,WDIR_t,WSPD_t,WG_t,VIS_t,WC_t,CLA_1LYR_t,BASE_1LYR_t,CLA_2LYR_t,BASE_2LYR_t,CLA_3LYR_t,BASE_3LYR_t
0,13.0,36.0,37.0,2018,1,1,0,1,1.0,1.0,18.62081456414793,38.03490739743979,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
1,28.0,30.0,25.0,2018,1,1,1,1,1.0,1.0,16.63308778830707,36.63699799535729,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
2,27.0,29.0,30.0,2018,1,1,2,1,1.0,1.0,29.04623835832301,29.40512540282956,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
3,25.0,30.0,26.0,2018,1,1,3,1,1.0,1.0,25.471122884510525,28.127414015052842,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
4,26.0,30.0,29.0,2018,1,1,4,1,1.0,1.0,24.730074653011492,30.514937720291506,0.0,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
5,33.0,28.0,24.0,2018,1,1,5,1,1.0,1.0,27.00112728741208,29.868426387142122,5.9988727125879215,0.0,320.0,325.0,245.0,28.0,19.0,3.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
6,37.0,17.0,19.0,2018,1,1,6,1,1.0,1.0,32.97215532575249,26.627926089285403,2.027844674247511,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
7,41.0,22.0,19.0,2018,1,1,7,1,1.0,1.0,36.77303942947971,19.843294011697182,0.0,13.156705988302818,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
8,26.0,22.0,37.0,2018,1,1,8,1,1.0,1.0,38.672523964283634,20.609275697498898,0.0,8.390724302501102,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
9,27.0,39.0,32.0,2018,1,1,9,1,1.0,1.0,28.208804735755816,21.319092235140918,0.0,20.680907764859082,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
10,25.0,33.0,35.0,2018,1,1,10,1,1.0,1.0,25.961607113213965,37.00524280242642,0.0,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
11,23.0,29.0,26.0,2018,1,1,11,1,1.0,1.0,26.87180073650139,32.12474125024125,1.1281992634986118,0.0,300.0,280.0,235.0,30.0,9.0,4.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
12,24.0,27.0,19.0,2018,1,1,12,1,1.0,1.0,22.10659037594806,28.160079800107383,4.893409624051941,1.8399201998926173,315.0,300.0,260.0,25.0,16.0,2.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
13,3.0,12.0,9.0,2018,1,1,13,1,1.0,1.0,18.847873501329442,27.030967729915925,6.152126498670558,0.0,315.0,300.0,260.0,25.0,16.0,2.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
14,2.0,7.0,8.0,2018,1,1,14,1,1.0,1.0,4.936240446333542,15.565487121824424,21.063759553666458,13.434512878175576,315.0,300.0,260.0,25.0,16.0,2.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
15,3.0,2.0,1.0,2018,1,1,15,1,1.0,1.0,2.7579394514361524,6.759399010946414,30.24206054856385,17.240600989053586,315.0,300.0,260.0,25.0,16.0,2.0,0.0,0.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
16,0.0,4.0,4.0,2018,1,1,16,1,1.0,1.0,1.8659132612721394,3.1770008053496674,35.13408673872786,15.822999194650333,315.0,300.0,260.0,25.0,16.0,2.0,340.0,10.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
17,2.0,0.0,0.0,2018,1,1,17,1,1.0,1.0,1.2824927367248593,4.300880831424214,39.71750726327514,14.699119168575786,315.0,300.0,260.0,25.0,16.0,2.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
18,21.0,0.0,1.0,2018,1,1,18,1,1.0,1.0,3.3313630844755213,1.2072453437367143,22.66863691552448,35.792754656263284,305.0,290.0,230.0,26.0,17.0,4.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
19,30.0,3.0,3.0,2018,1,1,19,1,1.0,1.0,21.403066456550167,1.1313775361696443,5.596933543449833,30.868622463830356,305.0,290.0,230.0,26.0,17.0,4.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
20,36.0,7.0,18.0,2018,1,1,20,1,1.0,1.0,32.33049008387453,2.421408167610909,0.0,32.578591832389094,305.0,290.0,230.0,26.0,17.0,4.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
21,25.0,27.0,33.0,2018,1,1,21,1,1.0,1.0,31.891847380693555,9.47219640431181,0.0,16.52780359568819,305.0,290.0,230.0,26.0,17.0,4.0,340.0,8.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
22,26.0,39.0,30.0,2018,1,1,22,1,1.0,1.0,25.613540550844284,24.23460567961722,0.0,0.0,305.0,290.0,230.0,26.0,17.0,4.0,330.0,10.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
23,15.0,28.0,43.0,2018,1,1,23,1,1.0,1.0,24.95649983382349,35.806340206908665,0.0,0.0,305.0,290.0,230.0,26.0,17.0,4.0,30.0,7.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
24,15.0,36.0,40.0,2018,1,2,0,2,1.0,1.0,18.148556640642198,32.37996702919833,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,30.0,7.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
25,32.0,30.0,26.0,2018,1,2,1,2,1.0,1.0,16.806634018372467,35.646247883346135,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,30.0,7.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
26,22.0,43.0,37.0,2018,1,2,2,2,1.0,1.0,31.815494587935238,29.414816823797782,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,30.0,7.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
27,22.0,30.0,22.0,2018,1,2,3,2,1.0,1.0,22.136237379079482,30.52004356936737,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,30.0,7.0,0.0,9999.0,0,0,0.0,0,0.0,0,0.0
28,26.0,28.0,32.0,2018,1,2,4,2,1.0,1.0,21.671448464259914,31.32673083327468,0.0,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
29,26.0,27.0,25.0,2018,1,2,5,2,1.0,1.0,26.74624815150162,29.991923431356096,3.2537518484983785,0.0,290.0,280.0,325.0,31.0,13.0,3.0,70.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
30,37.0,23.0,17.0,2018,1,2,6,2,1.0,1.0,26.098527667056874,28.251047950048754,9.901472332943126,0.0,290.0,315.0,325.0,31.0,18.0,8.0,340.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
31,40.0,17.0,20.0,2018,1,2,7,2,1.0,1.0,35.526894196906696,23.20009549423216,0.0,9.799904505767842,290.0,315.0,325.0,31.0,18.0,8.0,340.0,6.0,0.0,9999.0,0,0,400.0,0,400.0,0,400.0
